Rank	Character	Frequency	Frequency per million	Zipf value
1	e	495757742	115021.555	8.0608
2	a	475338238	110283.9929	8.0425
3	i	421644645	97826.4556	7.9905
4	t	302263285	70128.5933	7.8459
5	u	277569004	64399.2332	7.8089
6	n	276665550	64189.6214	7.8075
7	r	259618249	60234.4496	7.7798
8	c	232500541	53942.8263	7.7319
9	s	201470230	46743.4337	7.6697
10	o	177189569	41110.0383	7.6139
11	m	166840385	38708.9074	7.5878
12	l	163217671	37868.3957	7.5783
13	ă	151467390	35142.194	7.5458
14	d	140751629	32656.0129	7.514
15	p	125281809	29066.835	7.4634
16	v	64501141	14965.014	7.1751
17	f	53473810	12406.5451	7.0937
18	b	51542432	11958.443	7.0777
19	ş	42742054	9916.653	6.9964
20	g	40881623	9485.0114	6.977
21	î	40315240	9353.604	6.971
22	ţ	36931330	8568.4976	6.9329
23	z	28298602	6565.6044	6.8173
24	h	23355499	5418.7471	6.7339
25	â	22074109	5121.4497	6.7094
26	j	12791619	2967.8042	6.4724
27	y	6647699	1542.3434	6.1882
28	k	6148766	1426.5851	6.1543
29	x	4541690	1053.7248	6.0227
30	w	3095305	718.1467	5.8562
31	ș	2073694	481.1211	5.6823
32	ț	1686068	391.1874	5.5924
33	ã	743013	172.3876	5.2365
34	q	286365	66.44	4.8224
35	þ	64802	15.0348	4.1771
36	º	64262	14.9095	4.1735
37	é	56722	13.1602	4.1193
38	ä	30135	6.9917	3.8446
39	ĺ	22418	5.2012	3.7161
40	ü	17089	3.9648	3.5982
41	á	16158	3.7488	3.5739
42	í	13179	3.0577	3.4854
43	ª	11227	2.6048	3.4158
44	ö	10005	2.3213	3.3657
45	ˇ	9820	2.2784	3.3576
46	ó	9739	2.2596	3.354
47	ł	9168	2.1271	3.3278
48	č	9162	2.1257	3.3275
49	ç	6876	1.5953	3.2028
50	ń	6692	1.5526	3.1911
51	ž	6045	1.4025	3.1469
52	š	4133	0.9589	2.9818
53	ż	3903	0.9055	2.9569
54	è	3706	0.8598	2.9344
55	ú	3203	0.7431	2.871
56	ŕ	3163	0.7339	2.8656
57	ý	2917	0.6768	2.8305
58	ć	2859	0.6633	2.8217
59	ľ	2718	0.6306	2.7998
60	ű	1848	0.4288	2.6323
61	ô	1828	0.4241	2.6275
62	ë	1688	0.3916	2.5928
63	ř	1648	0.3824	2.5825
64	ś	1600	0.3712	2.5696
65	æ	1436	0.3332	2.5227
66	ę	1408	0.3267	2.5141
67	ñ	1063	0.2466	2.392
68	đ	1015	0.2355	2.372
69	ο	993	0.2304	2.3625
70	ι	951	0.2206	2.3436
71	ď	945	0.2193	2.341
72	ź	887	0.2058	2.3134
73	ť	882	0.2046	2.3109
74	ě	881	0.2044	2.3105
75	ň	839	0.1947	2.2894
76	р	762	0.1768	2.2475
77	à	756	0.1754	2.244
78	ï	699	0.1622	2.2101
79	å	661	0.1534	2.1858
80	μ	572	0.1327	2.1229
81	ů	432	0.1002	2.0009
82	ő	406	0.0942	1.9741
83	ì	380	0.0882	1.9455
84	ø	370	0.0858	1.9335
85	а	361	0.0838	1.9232
86	ą	335	0.0777	1.8904
87	ν	332	0.077	1.8865
88	с	318	0.0738	1.8681
89	ƒ	313	0.0726	1.8609
90	ê	281	0.0652	1.8142
91	ß	230	0.0534	1.7275
