Rank	Bigram	Frequency	Frequency per million	Zipf value
1	о$	28882344	23417.9872	7.3695
2	е$	23412467	18982.9764	7.2784
3	^н	21207294	17195.0081	7.2354
4	а$	20347262	16497.6887	7.2174
5	^п	20078412	16279.7035	7.2116
6	то	19887511	16124.9197	7.2075
7	я$	18182294	14742.319	7.1686
8	и$	17754046	14395.0928	7.1582
9	^в	17595275	14266.3603	7.1543
10	^с	17122380	13882.934	7.1425
11	ь$	15699016	12728.8615	7.1048
12	^т	14201865	11514.962	7.0613
13	не	13363062	10834.8552	7.0348
14	на	12565036	10187.8107	7.0081
15	^м	12353313	10016.1443	7.0007
16	^о	11639640	9437.4937	6.9749
17	^д	11474915	9303.9337	6.9687
18	по	11156895	9046.081	6.9565
19	ы$	11152504	9042.5208	6.9563
20	ст	11009537	8926.6022	6.9507
21	но	10276832	8332.5204	6.9208
22	т$	10036683	8137.8061	6.9105
23	^к	9530378	7727.2908	6.888
24	у$	8849755	7175.4373	6.8558
25	м$	8744581	7090.1616	6.8507
26	ть	8708972	7061.2896	6.8489
27	ра	8553057	6934.8727	6.841
28	^и	8475112	6871.6744	6.8371
29	те	8467390	6865.4134	6.8367
30	^ч	8448593	6850.1727	6.8357
31	й$	8415038	6822.966	6.834
32	ни	8310333	6738.0706	6.8285
33	ен	8206136	6653.587	6.8231
34	ро	8164656	6619.9547	6.8209
35	ет	8015124	6498.7132	6.8128
36	ко	7872225	6382.8498	6.805
37	пр	7826949	6346.1398	6.8025
38	^б	7800649	6324.8156	6.801
39	го	7397956	5998.3095	6.778
40	ка	7379206	5983.1069	6.7769
41	де	7272262	5896.396	6.7706
42	та	7218309	5852.6506	6.7674
43	^я	7163197	5807.9654	6.764
44	ли	7080179	5740.6539	6.759
45	ер	7048840	5715.2441	6.757
46	от	7033137	5702.512	6.7561
47	да	7024848	5695.7912	6.7556
48	он	6928521	5617.6887	6.7496
49	во	6732921	5459.0949	6.7371
50	ал	6590348	5343.4959	6.7278
51	^з	6572176	5328.7619	6.7266
52	ла	6428491	5212.2612	6.717
53	ит	6391819	5182.5273	6.7145
54	ва	6257106	5073.3011	6.7053
55	^э	6207288	5032.9084	6.7018
56	ов	6187833	5017.1341	6.7005
57	чт	6184464	5014.4025	6.7002
58	ор	6130491	4970.6409	6.6964
59	ре	5919478	4799.5502	6.6812
60	ос	5878239	4766.1134	6.6782
61	ол	5861432	4752.4861	6.6769
62	мо	5780506	4686.8708	6.6709
63	ак	5711171	4630.6536	6.6656
64	ат	5587109	4530.0633	6.6561
65	^у	5567227	4513.9429	6.6546
66	ел	5536774	4489.2514	6.6522
67	эт	5531659	4485.1041	6.6518
68	ри	5482998	4445.6495	6.6479
69	в$	5453726	4421.9155	6.6456
70	ес	5448858	4417.9685	6.6452
71	к$	5445037	4414.8704	6.6449
72	за	5296092	4294.1049	6.6329
73	ом	5261942	4266.4159	6.6301
74	ог	5236707	4245.9552	6.628
75	ас	4864543	3944.2022	6.596
76	л$	4835759	3920.864	6.5934
77	же	4821813	3909.5565	6.5921
78	ем	4797665	3889.9771	6.5899
79	ме	4786706	3881.0915	6.589
80	н$	4747376	3849.2025	6.5854
81	од	4721996	3828.6242	6.583
82	ве	4654442	3773.851	6.5768
83	с$	4650945	3771.0156	6.5765
84	^е	4601521	3730.9423	6.5718
85	ты	4590775	3722.2294	6.5708
86	^р	4426587	3589.1047	6.555
87	ан	4401599	3568.8443	6.5525
88	до	4394530	3563.1127	6.5518
89	че	4392551	3561.5081	6.5516
90	ль	4339405	3518.417	6.5463
91	ло	4227592	3427.7583	6.535
92	ти	4197208	3403.1228	6.5319
93	об	4193996	3400.5185	6.5315
94	ил	4180229	3389.3561	6.5301
95	ой	4100142	3324.4211	6.5217
96	се	4092750	3318.4276	6.5209
97	ма	4037185	3273.3751	6.515
98	ся	4021459	3260.6244	6.5133
99	бы	4010826	3252.0031	6.5122
100	ю$	3975108	3223.0427	6.5083
101	ле	3842821	3115.7836	6.4936
102	ин	3782229	3066.6552	6.4867
103	вы	3547524	2876.3549	6.4588
104	ам	3519409	2853.5591	6.4554
105	хо	3474555	2817.1912	6.4498
106	ав	3405742	2761.3972	6.4411
107	бо	3397893	2755.0331	6.4401
108	^г	3383045	2742.9943	6.4382
109	сл	3357092	2721.9514	6.4349
110	ви	3355987	2721.0555	6.4347
111	ди	3290028	2667.5755	6.4261
112	^л	3247780	2633.3206	6.4205
113	ож	3229052	2618.1358	6.418
114	ег	3192913	2588.8341	6.4131
115	вс	3121954	2531.3001	6.4033
116	им	3103003	2515.9345	6.4007
117	тр	3007109	2438.183	6.3871
118	^х	2995770	2428.9893	6.3854
119	ск	2984542	2419.8855	6.3838
120	аз	2929441	2375.2093	6.3757
121	оч	2889620	2342.9222	6.3698
122	ар	2867761	2325.1988	6.3665
123	сь	2853998	2314.0396	6.3644
124	ед	2849179	2310.1324	6.3636
125	ае	2846134	2307.6635	6.3632
126	ис	2843153	2305.2464	6.3627
127	^а	2783351	2256.7586	6.3535
128	ми	2742825	2223.8999	6.3471
129	ны	2735873	2218.2631	6.346
130	зн	2732427	2215.4691	6.3455
131	ну	2707372	2195.1543	6.3415
132	бе	2701793	2190.6309	6.3406
133	шь	2692593	2183.1714	6.3391
134	еб	2677083	2170.5958	6.3366
135	х$	2666945	2162.3759	6.3349
136	со	2659070	2155.9908	6.3336
137	ей	2640396	2140.8498	6.3306
138	тв	2631589	2133.709	6.3291
139	мн	2592346	2101.8905	6.3226
140	ня	2548939	2066.6959	6.3153
141	уд	2482167	2012.5567	6.3037
142	ду	2403589	1948.8452	6.2898
143	па	2385192	1933.9288	6.2864
144	еш	2374603	1925.3431	6.2845
145	ад	2366054	1918.4116	6.2829
146	ое	2309642	1872.6723	6.2725
147	ки	2288840	1855.806	6.2685
148	ру	2261386	1833.5461	6.2633
149	му	2255669	1828.9107	6.2622
150	ик	2215330	1796.2036	6.2544
151	ок	2195223	1779.9007	6.2504
152	мы	2186824	1773.0907	6.2487
153	ай	2178002	1765.9378	6.247
154	из	2175350	1763.7875	6.2464
155	^ж	2143212	1737.7298	6.24
156	аю	2134056	1730.3061	6.2381
157	сп	2094272	1698.049	6.23
158	чи	2053842	1665.2681	6.2215
159	пе	2038601	1652.9106	6.2182
160	ид	1994694	1617.3105	6.2088
161	ше	1990081	1613.5703	6.2078
162	си	1987777	1611.7022	6.2073
163	ив	1949623	1580.7667	6.1989
164	ча	1918952	1555.8984	6.192
165	лу	1914703	1552.4533	6.191
166	ие	1891264	1533.4488	6.1857
167	дн	1883286	1526.9802	6.1838
168	уж	1810391	1467.8765	6.1667
169	ыл	1792638	1453.4822	6.1624
170	жи	1779135	1442.5339	6.1591
171	ку	1743467	1413.6141	6.1503
172	бу	1739576	1410.4592	6.1494
173	р$	1735660	1407.2841	6.1484
174	гд	1733403	1405.4541	6.1478
175	нн	1729706	1402.4566	6.1469
176	тс	1724348	1398.1123	6.1455
177	ут	1711669	1387.8321	6.1423
178	жн	1622574	1315.5933	6.1191
179	ля	1617891	1311.7963	6.1179
180	ош	1571465	1274.1538	6.1052
181	са	1542634	1250.7774	6.0972
182	ум	1530340	1240.8094	6.0937
183	нь	1503713	1219.22	6.0861
184	ят	1503528	1219.07	6.086
185	кр	1494527	1211.7719	6.0834
186	ьс	1480530	1200.4231	6.0793
