Rank	Character	Frequency	Frequency per million	Zipf value
1	о	110575680	108632.3261	8.036
2	е	87086461	85555.9272	7.9323
3	а	80282544	78871.5882	7.8969
4	т	75440007	74114.1582	7.8699
5	н	65321671	64173.6507	7.8074
6	и	60657608	59591.5581	7.7752
7	с	49884453	49007.7399	7.6903
8	р	40996310	40275.8049	7.605
9	л	39643957	38947.2194	7.5905
10	в	38863461	38180.4405	7.5818
11	м	35369492	34747.8776	7.5409
12	д	34180179	33579.4666	7.5261
13	к	30390436	29856.3279	7.475
14	у	28249725	27753.2396	7.4433
15	п	27804585	27315.9229	7.4364
16	я	23929148	23508.5962	7.3712
17	ь	22919292	22516.4883	7.3525
18	ы	20583021	20221.277	7.3058
19	б	19455244	19113.3205	7.2813
20	ч	18249833	17929.0944	7.2536
21	з	16127591	15844.1506	7.1999
22	г	15523575	15250.7501	7.1833
23	й	12498894	12279.2275	7.0892
24	ж	11775825	11568.8663	7.0633
25	ш	10311379	10130.1578	7.0056
26	х	8043542	7902.1777	6.8977
27	э	7448053	7317.1544	6.8643
28	ю	7272545	7144.7309	6.854
29	ц	3000447	2947.7145	6.4695
30	щ	2803038	2753.775	6.4399
31	ё	2625422	2579.2805	6.4115
32	ф	1882348	1849.266	6.267
33	a	900595	884.7672	5.9468
34	e	865608	850.395	5.9296
35	o	836537	821.835	5.9148
36	i	498620	489.8568	5.6901
37	t	458936	450.8703	5.6541
38	n	424937	417.4688	5.6206
39	s	412442	405.1934	5.6077
40	r	411568	404.3347	5.6067
41	c	379103	372.4403	5.5711
42	h	363104	356.7225	5.5523
43	l	343371	337.3363	5.5281
44	u	247959	243.6012	5.3867
45	ъ	244944	240.6391	5.3814
46	d	238306	234.1178	5.3694
47	p	231805	227.7311	5.3574
48	m	231065	227.0041	5.356
49	f	230160	226.115	5.3543
50	y	219389	215.5333	5.3335
51	b	176976	173.8657	5.2402
52	k	157834	155.0601	5.1905
53	g	147749	145.1523	5.1618
54	w	108605	106.6963	5.0281
55	ќ	86370	84.8521	4.9287
56	v	79047	77.6578	4.8902
57	x	71395	70.1402	4.846
58	ѕ	59406	58.3619	4.7661
59	ћ	44890	44.1011	4.6444
60	ƒ	37673	37.0109	4.5683
61	z	33027	32.4466	4.5112
62	j	31790	31.2313	4.4946
63	є	26918	26.4449	4.4223
64	ј	26010	25.5529	4.4074
65	q	10418	10.2349	4.0101
66	ў	7133	7.0076	3.8456
67	ı	6483	6.3691	3.8041
68	ѓ	5079	4.9897	3.6981
69	ι	3506	3.4444	3.5371
70	ο	3353	3.2941	3.5177
71	ђ	2233	2.1938	3.3412
72	ї	2108	2.071	3.3162
73	џ	1883	1.8499	3.2671
74	µ	1005	0.9873	2.9944
75	ë	990	0.9726	2.9879
76	і	975	0.9579	2.9813
77	́	951	0.9343	2.9705
78	い	708	0.6956	2.8424
79	é	670	0.6582	2.8184
80	á	531	0.5217	2.7174
81	ö	523	0.5138	2.7108
82	て	509	0.5001	2.6991
83	ґ	451	0.4431	2.6465
84	τ	419	0.4116	2.6145
85	た	408	0.4008	2.6029
86	の	404	0.3969	2.5987
87	な	366	0.3596	2.5558
88	њ	336	0.3301	2.5186
89	く	319	0.3134	2.4961
90	し	316	0.3104	2.4919
91	に	293	0.2879	2.4592
92	ی	286	0.281	2.4487
93	ó	275	0.2702	2.4317
94	っ	261	0.2564	2.4089
