Rank	Character	Frequency	Frequency per million	Zipf value
1	a	415187429	118476.8166	8.0736
2	o	329219247	93945.1574	7.9729
3	e	321491973	91740.1223	7.9626
4	i	311608575	88919.8213	7.949
5	n	186101257	53105.3759	7.7251
6	t	167224760	47718.8273	7.6787
7	s	161760116	46159.4505	7.6643
8	m	159434620	45495.853	7.658
9	d	147933642	42213.9635	7.6255
10	r	143364783	40910.2056	7.6118
11	j	140046595	39963.3361	7.6017
12	u	124814802	35616.8308	7.5517
13	l	115369186	32921.4541	7.5175
14	v	111239725	31743.0817	7.5016
15	k	98054160	27980.4828	7.4469
16	p	80990925	23111.362	7.3638
17	b	59109659	16867.3802	7.227
18	z	57455071	16395.2312	7.2147
19	š	56129775	16017.0482	7.2046
20	g	50506069	14412.2819	7.1587
21	è	24893365	7103.5066	6.8515
22	c	24825299	7084.0835	6.8503
23	æ	23866347	6810.4394	6.8332
24	ž	23568901	6725.561	6.8277
25	h	22241752	6346.8491	6.8026
26	а	16184955	4618.4971	6.6645
27	о	12716100	3628.6336	6.5597
28	е	12508069	3569.2704	6.5526
29	и	12027020	3431.9995	6.5355
30	н	6774767	1933.2301	6.2863
31	т	6427176	1834.0424	6.2634
32	с	6270506	1789.3355	6.2527
33	м	6241903	1781.1734	6.2507
34	f	6235886	1779.4564	6.2503
35	д	5898332	1683.1328	6.2261
36	ð	5661097	1615.4361	6.2083
37	р	5655361	1613.7993	6.2078
38	у	4900295	1398.3356	6.1456
39	в	4468347	1275.076	6.1055
40	ј	4130875	1178.7759	6.0714
41	л	3939556	1124.1816	6.0508
42	к	3890619	1110.217	6.0454
43	п	3179848	907.3932	5.9578
44	y	2367168	675.489	5.8296
45	б	2309066	658.9091	5.8188
46	ш	2250912	642.3145	5.8077
47	з	2227784	635.7147	5.8033
48	г	1994717	569.2073	5.7553
49	w	1075588	306.927	5.487
50	ч	1056209	301.3971	5.4791
51	ћ	1032596	294.6589	5.4693
52	ж	911206	260.0194	5.415
53	х	827945	236.2603	5.3734
54	ц	786573	224.4544	5.3511
55	љ	604433	172.4794	5.2367
56	č	597139	170.398	5.2315
57	ć	546412	155.9227	5.1929
58	њ	543884	155.2013	5.1909
59	x	331246	94.5235	4.9755
60	ђ	254766	72.6994	4.8615
61	ф	251858	71.8696	4.8565
62	đ	127865	36.4872	4.5621
63	q	98733	28.1742	4.4499
64	џ	98481	28.1023	4.4487
65	à	54139	15.449	4.1889
66	î	49988	14.2644	4.1543
67	å	42768	12.2042	4.0865
68	â	33943	9.6859	3.9861
69	í	32818	9.3649	3.9715
70	ä	27168	7.7526	3.8894
71	ó	23918	6.8252	3.8341
72	ñ	23722	6.7692	3.8305
73	ò	22035	6.2879	3.7985
74	ì	21910	6.2522	3.796
75	é	17801	5.0796	3.7058
76	ë	17520	4.9995	3.6989
77	ê	14073	4.0158	3.6038
78	á	13263	3.7847	3.578
79	ï	11764	3.3569	3.5259
80	ç	10654	3.0402	3.4829
81	ŕ	10004	2.8547	3.4556
82	ĺ	8738	2.4935	3.3968
83	ÿ	8575	2.4469	3.3886
84	ã	8549	2.4395	3.3873
85	ø	8293	2.3665	3.3741
86	ª	7582	2.1636	3.3352
87	ö	7307	2.0851	3.3191
88	ü	5512	1.5729	3.1967
89	́	5483	1.5646	3.1944
90	ń	4084	1.1654	3.0665
91	ě	4047	1.1548	3.0625
92	ň	3993	1.1394	3.0567
93	ľ	3635	1.0373	3.0159
94	ô	3457	0.9865	2.9941
95	õ	2999	0.8558	2.9324
96	œ	2860	0.8161	2.9117
97	ę	2631	0.7508	2.8755
98	ą	2388	0.6814	2.8334
99	ď	2036	0.581	2.7642
100	ř	1456	0.4155	2.6186
101	ă	1285	0.3667	2.5643
102	þ	1166	0.3327	2.5221
103	ť	1020	0.2911	2.464
104	ú	758	0.2163	2.3351
105	ќ	613	0.1749	2.2428
106	ő	564	0.1609	2.2066
107	ˇ	525	0.1498	2.1755
108	ś	514	0.1467	2.1664
109	ѕ	345	0.0984	1.993
109	ў	345	0.0984	1.993
110	ź	336	0.0959	1.9818
111	µ	326	0.093	1.9685
