Rank	Character	Frequency	Frequency per million	Zipf value
1	e	33765474	97710.9314	7.9899
2	o	32657826	94505.6064	7.9755
3	a	30568969	88460.8471	7.9468
4	i	19467945	56336.5714	7.7508
5	t	18916986	54742.1997	7.7383
6	n	18861596	54581.9115	7.737
7	s	16593650	48018.9023	7.6814
8	m	16278924	47108.1444	7.6731
9	r	14153622	40957.9202	7.6123
10	v	12629789	36548.234	7.5629
11	l	12542307	36295.0776	7.5598
12	d	11163762	32305.8276	7.5093
13	k	10978243	31768.9705	7.502
14	p	10221394	29578.7919	7.471
15	u	8821767	25528.5346	7.407
16	j	8137500	23548.3946	7.372
17	h	7264137	21021.0463	7.3227
18	b	6799526	19676.5494	7.2939
19	á	6525514	18883.6102	7.2761
20	c	6392782	18499.5088	7.2672
21	z	5835302	16886.2665	7.2275
22	y	5259416	15219.7608	7.1824
23	ž	4258994	12324.7276	7.0908
24	č	4212489	12190.1509	7.086
25	š	3793582	10977.9128	7.0405
26	í	3641314	10537.2779	7.0227
27	ť	3371893	9757.6242	6.9893
28	ý	2292362	6633.6645	6.8218
29	ú	2022810	5853.6317	6.7674
30	é	1662175	4810.0218	6.6821
31	ľ	1328183	3843.5118	6.5847
32	ô	1005248	2908.9987	6.4637
33	ď	940657	2722.0844	6.4349
34	g	825698	2389.4147	6.3783
35	f	773423	2238.1407	6.3499
36	ň	582032	1684.2911	6.2264
37	w	273502	791.4633	5.8984
38	ä	239651	693.5049	5.841
39	ó	203608	589.2033	5.7703
40	x	163065	471.8794	5.6738
41	ŕ	58781	170.1012	5.2307
42	q	19109	55.2979	4.7427
43	ĺ	16692	48.3035	4.684
44	ă	7544	21.8309	4.3391
45	ą	5865	16.9722	4.2297
46	ş	3722	10.7708	4.0322
47	â	3220	9.3181	3.9693
48	ě	2747	7.9493	3.9003
49	þ	2178	6.3027	3.7995
50	ö	1870	5.4114	3.7333
51	ř	1862	5.3883	3.7315
52	º	1646	4.7632	3.6779
53	ü	1256	3.6346	3.5605
54	ã	998	2.888	3.4606
55	î	819	2.37	3.3747
56	µ	772	2.234	3.3491
57	ů	692	2.0025	3.3016
58	ˇ	608	1.7594	3.2454
59	ń	508	1.4701	3.1673
60	ć	475	1.3746	3.1382
61	ł	419	1.2125	3.0837
62	ś	388	1.1228	3.0503
63	ż	386	1.117	3.0481
64	ç	323	0.9347	2.9707
65	è	267	0.7726	2.888
66	ź	230	0.6656	2.8232
67	ţ	168	0.4862	2.6868
68	ű	155	0.4485	2.6518
69	い	131	0.3791	2.5788
70	な	124	0.3588	2.5549
71	ë	120	0.3473	2.5407
72	た	118	0.3415	2.5334
73	ª	117	0.3386	2.5297
74	ì	98	0.2836	2.4527
75	て	96	0.2778	2.4437
76	ñ	93	0.2691	2.4299
77	а	89	0.2575	2.4108
78	е	88	0.2547	2.406
79	の	85	0.246	2.3909
80	ß	70	0.2026	2.3066
81	ę	60	0.1736	2.2395
82	ï	59	0.1707	2.2322
82	も	59	0.1707	2.2322
82	を	59	0.1707	2.2322
83	ø	56	0.1621	2.2098
84	і	53	0.1534	2.1858
85	が	51	0.1476	2.1691
86	う	50	0.1447	2.1605
86	っ	50	0.1447	2.1605
87	し	48	0.1389	2.1427
87	る	48	0.1389	2.1427
88	く	46	0.1331	2.1242
89	ら	45	0.1302	2.1146
90	き	44	0.1273	2.1048
91	か	43	0.1244	2.0948
92	æ	42	0.1215	2.0846
93	で	41	0.1186	2.0741
94	と	40	0.1158	2.0637
95	に	39	0.1129	2.0527
96	à	37	0.1071	2.0298
96	ò	37	0.1071	2.0298
97	り	36	0.1042	2.0179
97	れ	36	0.1042	2.0179
98	о	35	0.1013	2.0056
99	ま	32	0.0926	1.9666
100	ん	30	0.0868	1.9385
101	с	29	0.0839	1.9238
102	だ	28	0.081	1.9085
102	は	28	0.081	1.9085
103	ő	26	0.0752	1.8762
104	ど	25	0.0723	1.8591
105	あ	24	0.0695	1.842
105	見	24	0.0695	1.842
106	今	23	0.0666	1.8235
107	こ	22	0.0637	1.8041
108	ζ	21	0.0608	1.7839
108	え	21	0.0608	1.7839
109	ù	20	0.0579	1.7627
109	わ	20	0.0579	1.7627
110	đ	19	0.055	1.7404
110	私	19	0.055	1.7404
111	ѕ	18	0.0521	1.7168
