Rank	Character	Frequency	Frequency per million	Zipf value
1	a	128921440	109387.8413	8.039
2	e	126665663	107473.8495	8.0313
3	o	108669354	92204.2606	7.9648
4	i	101964870	86515.61	7.9371
5	n	67365337	57158.4431	7.7571
6	r	58350934	49509.862	7.6947
7	s	57440217	48737.1328	7.6879
8	t	55485587	47078.6596	7.6728
9	j	55362800	46974.4767	7.6719
10	l	53953450	45778.6651	7.6607
11	m	51323617	43547.2926	7.639
12	v	42213409	35817.4225	7.5541
13	k	41511370	35221.7533	7.5468
14	d	41198661	34956.4246	7.5435
15	p	37782410	32057.7886	7.5059
16	b	25604893	21725.3544	7.337
17	z	22508129	19097.7982	7.281
18	u	21579741	18310.0754	7.2627
19	g	17604293	14936.9694	7.1743
20	č	16557905	14049.1255	7.1476
21	š	14632715	12415.6316	7.094
22	h	11859183	10062.3328	7.0027
23	c	8145456	6911.293	6.8396
24	ž	6949436	5896.4886	6.7706
25	f	2092732	1775.6506	6.2494
26	y	1725145	1463.7588	6.1655
27	w	760767	645.499	5.8099
28	x	203874	172.9839	5.238
29	q	68794	58.3706	4.7662
30	é	16662	14.1374	4.1504
31	ć	6984	5.9258	3.7727
32	ü	4599	3.9022	3.5913
33	í	4428	3.7571	3.5749
34	è	4422	3.752	3.5743
35	ą	4180	3.5467	3.5498
36	ó	3236	2.7457	3.4387
37	á	2984	2.5319	3.4034
38	ö	2434	2.0652	3.315
39	ľ	2068	1.7547	3.2442
40	â	1799	1.5264	3.1837
41	ä	1657	1.4059	3.148
42	ş	1425	1.2091	3.0825
43	đ	1281	1.0869	3.0362
44	ˇ	1278	1.0844	3.0352
45	ô	1209	1.0258	3.0111
46	ĺ	1153	0.9783	2.9905
47	ť	897	0.7611	2.8814
48	ç	885	0.7509	2.8756
49	ú	877	0.7441	2.8716
50	ń	861	0.7305	2.8636
51	ŕ	853	0.7238	2.8596
52	ë	369	0.3131	2.4957
53	ł	290	0.2461	2.3911
54	ż	265	0.2248	2.3518
55	î	251	0.213	2.3284
56	ś	242	0.2053	2.3124
57	ă	165	0.14	2.1461
58	ď	152	0.129	2.1106
59	ň	145	0.123	2.0899
59	ű	145	0.123	2.0899
60	ā	140	0.1188	2.0748
61	ů	126	0.1069	2.029
62	ř	109	0.0925	1.9661
63	ß	85	0.0721	1.8579
64	ő	80	0.0679	1.8319
65	æ	75	0.0636	1.8035
66	ę	72	0.0611	1.786
67	ě	70	0.0594	1.7738
68	ñ	56	0.0475	1.6767
68	ý	56	0.0475	1.6767
69	ο	54	0.0458	1.6609
70	ṭ	47	0.0399	1.601
71	å	46	0.039	1.5911
72	þ	45	0.0382	1.5821
73	ḍ	43	0.0365	1.5623
74	ã	41	0.0348	1.5416
75	ø	38	0.0322	1.5079
75	τ	38	0.0322	1.5079
76	º	36	0.0305	1.4843
77	ū	34	0.0288	1.4594
78	ī	26	0.0221	1.3444
79	ţ	25	0.0212	1.3263
80	ź	24	0.0204	1.3096
81	η	22	0.0187	1.2718
82	θ	18	0.0153	1.1847
83	̆	16	0.0136	1.1335
84	ª	13	0.011	1.0414
85	α	12	0.0102	1.0086
86	µ	9	0.0076	0.8808
86	μ	9	0.0076	0.8808
87	ǣ	8	0.0068	0.8325
87	ṇ	8	0.0068	0.8325
88	à	7	0.0059	0.7709
89	δ	6	0.0051	0.7076
89	σ	6	0.0051	0.7076
90	û	5	0.0042	0.6232
91	κ	4	0.0034	0.5315
91	ᴰ	4	0.0034	0.5315
91	ᴴ	4	0.0034	0.5315
91	ṁ	4	0.0034	0.5315
91	韆	4	0.0034	0.5315
92	ê	3	0.0025	0.3979
92	ð	3	0.0025	0.3979
92	ų	3	0.0025	0.3979
93	ē	2	0.0017	0.2304
93	ˈ	2	0.0017	0.2304
93	β	2	0.0017	0.2304
93	ν	2	0.0017	0.2304
93	ṛ	2	0.0017	0.2304
93	ṣ	2	0.0017	0.2304
93	碈	2	0.0017	0.2304
93	羘	2	0.0017	0.2304
94	ÿ	1	0.0008	-0.0969
94	ō	1	0.0008	-0.0969
94	œ	1	0.0008	-0.0969
94	ũ	1	0.0008	-0.0969
94	с	1	0.0008	-0.0969
94	ṝ	1	0.0008	-0.0969
94	醤	1	0.0008	-0.0969
94	鷓	1	0.0008	-0.0969
94	ﬁ	1	0.0008	-0.0969
