Rank	Character	Frequency	Frequency per million	Zipf value
1	e	677706014	134300.2943	8.1281
2	a	574578742	113863.6704	8.0564
3	o	470930535	93323.8132	7.97
4	s	392308744	77743.4149	7.8907
5	n	338245374	67029.7332	7.8263
6	r	322839794	63976.8254	7.806
7	i	261805880	51881.7983	7.715
8	t	236876293	46941.5281	7.6716
9	l	231550704	45886.1616	7.6617
10	u	227506378	45084.7018	7.654
11	d	216009862	42806.4492	7.6315
12	c	181879188	36042.8091	7.5568
13	m	159669641	31641.5663	7.5003
14	p	124983229	24767.7962	7.3939
15	q	74342071	14732.2907	7.1683
16	b	73788263	14622.5432	7.165
17	h	70534086	13977.6663	7.1454
18	g	61359162	12159.4812	7.0849
19	v	59528902	11796.7805	7.0718
20	y	53926653	10686.5886	7.0288
21	í	41560069	8235.9156	6.9157
22	é	34069210	6751.4598	6.8294
23	á	32293374	6399.5443	6.8061
24	f	28975560	5742.0565	6.7591
25	j	26162442	5184.5839	6.7147
26	ó	24871578	4928.7747	6.6927
27	z	15182322	3008.6649	6.4784
28	ñ	9657469	1913.8106	6.2819
29	ú	7660027	1517.9796	6.1813
30	k	6515428	1291.1556	6.111
31	x	5074406	1005.5897	6.0024
32	w	3216508	637.412	5.8044
33	ü	162879	32.2776	4.5089
34	ã	60491	11.9874	4.0787
35	â	47305	9.3744	3.9719
36	à	44869	8.8916	3.949
37	º	34891	6.9143	3.8397
38	è	32549	6.4502	3.8096
39	ª	23649	4.6865	3.6708
40	ö	17511	3.4701	3.5403
41	ô	17305	3.4293	3.5352
42	ò	16870	3.3431	3.5241
43	ì	13621	2.6993	3.4313
44	ç	13514	2.6781	3.4278
45	ä	12682	2.5132	3.4002
46	ê	10174	2.0162	3.3045
47	û	5214	1.0333	3.0142
48	ï	4984	0.9877	2.9946
49	ù	4825	0.9562	2.9805
50	ø	4289	0.8499	2.9294
51	ž	4053	0.8032	2.9048
52	ë	3949	0.7826	2.8935
53	î	3797	0.7524	2.8764
54	þ	3140	0.6223	2.794
55	å	2968	0.5882	2.7695
56	ż	2382	0.472	2.6739
57	š	2280	0.4518	2.6549
58	æ	2238	0.4435	2.6469
59	ν	1989	0.3942	2.5957
60	ý	1964	0.3892	2.5902
61	œ	1626	0.3222	2.5081
62	ÿ	1599	0.3169	2.5009
63	ο	1424	0.2822	2.4506
64	ń	1082	0.2144	2.3312
65	驴	979	0.194	2.2878
66	铆	964	0.191	2.281
67	α	921	0.1825	2.2613
68	υ	907	0.1797	2.2545
69	у	897	0.1778	2.2499
70	н	870	0.1724	2.2365
71	ð	867	0.1718	2.235
72	ί	826	0.1637	2.214
73	б	808	0.1601	2.2044
74	茅	788	0.1562	2.1937
75	й	689	0.1365	2.1351
76	谩	687	0.1361	2.1339
77	ي	680	0.1348	2.1297
78	ˇ	663	0.1314	2.1186
79	ї	646	0.128	2.1072
80	ў	641	0.127	2.1038
81	贸	628	0.1245	2.0952
82	õ	625	0.1239	2.0931
82	ώ	625	0.1239	2.0931
83	ل	618	0.1225	2.0881
84	ό	586	0.1161	2.0648
85	ι	481	0.0953	1.9791
86	隆	424	0.084	1.9243
87	ß	378	0.0749	1.8745
88	ﬁ	374	0.0741	1.8698
89	ṡ	349	0.0692	1.8401
90	َ	324	0.0642	1.8075
91	η	314	0.0622	1.7938
92	ε	277	0.0549	1.7396
93	μ	268	0.0531	1.7251
94	ъ	266	0.0527	1.7218
95	σ	263	0.0521	1.7168
95	τ	263	0.0521	1.7168
96	い	259	0.0513	1.7101
96	帽	259	0.0513	1.7101
97	ٌ	253	0.0501	1.6998
98	с	241	0.0478	1.6794
99	е	204	0.0404	1.6064
100	ā	201	0.0398	1.5999
101	な	197	0.039	1.5911
102	の	181	0.0359	1.5551
103	ﬂ	180	0.0357	1.5527
104	ă	178	0.0353	1.5478
105	ρ	177	0.0351	1.5453
106	煤	169	0.0335	1.525
107	て	137	0.0271	1.433
108	た	135	0.0268	1.4281
109	ϊ	126	0.025	1.3979
110	で	121	0.024	1.3802
111	т	117	0.0232	1.3655
112	に	113	0.0224	1.3502
113	ş	108	0.0214	1.3304
114	も	107	0.0212	1.3263
115	し	106	0.021	1.3222
116	ら	101	0.02	1.301
117	р	98	0.0194	1.2878
118	を	94	0.0186	1.2695
119	ْ	91	0.018	1.2553
120	は	90	0.0178	1.2504
121	о	88	0.0174	1.2405
122	ƒ	86	0.017	1.2304
