Rank	Character	Frequency	Frequency per million	Zipf value
1	a	79176395	101070.4182	8.0046
2	e	71625798	91431.9142	7.9611
3	r	67108957	85666.0668	7.9328
4	t	66570131	84978.2435	7.9293
5	n	61054289	77937.1493	7.8917
6	i	42606322	54387.9117	7.7355
7	d	41667653	53189.68	7.7258
8	s	37723748	48155.1981	7.6826
9	l	36556641	46665.3602	7.669
10	g	31014813	39591.0943	7.5976
11	o	27498928	35102.9894	7.5453
12	m	26393345	33691.6882	7.5275
13	k	23504600	30004.1414	7.4772
14	ä	21380004	27292.0476	7.436
15	v	21102592	26937.9251	7.4304
16	h	20877334	26650.3783	7.4257
17	u	16999083	21699.7052	7.3365
18	j	15184511	19383.3639	7.2874
19	å	14487917	18494.1463	7.267
20	f	13631137	17400.4477	7.2406
21	p	11929073	15227.7253	7.1826
22	ö	10984991	14022.5838	7.1468
23	b	10157751	12966.5937	7.1128
24	c	8062369	10291.7922	7.0125
25	y	4292104	5478.9656	6.7387
26	x	627667	801.2308	5.9038
27	w	582726	743.8626	5.8715
28	z	255609	326.2905	5.5136
29	é	115799	147.82	5.1697
30	â	82944	105.8798	5.0248
31	q	53556	68.3654	4.8348
32	ã	11351	14.4898	4.1611
33	á	9646	12.3133	4.0904
34	ü	7748	9.8905	3.9952
35	ñ	4312	5.5044	3.7407
36	ø	4002	5.1086	3.7083
37	è	3690	4.7104	3.6731
38	ó	3642	4.6491	3.6674
39	ĺ	3142	4.0108	3.6032
40	í	3097	3.9534	3.597
41	ν	2791	3.5628	3.5518
42	à	2221	2.8352	3.4526
43	æ	1444	1.8433	3.2656
44	ç	1381	1.7629	3.2462
45	ú	1059	1.3518	3.1309
46	ن	928	1.1846	3.0736
47	ه	606	0.7736	2.8885
48	î	578	0.7378	2.8679
49	õ	527	0.6727	2.8278
50	ª	510	0.651	2.8136
51	ِ	476	0.6076	2.7836
52	ê	429	0.5476	2.7385
52	û	429	0.5476	2.7385
53	ô	422	0.5387	2.7313
54	ë	409	0.5221	2.7178
55	е	262	0.3344	2.5243
56	о	259	0.3306	2.5193
57	ı	254	0.3242	2.5108
58	а	237	0.3025	2.4807
59	ï	203	0.2591	2.4135
60	ò	200	0.2553	2.4071
61	ì	187	0.2387	2.3779
62	т	184	0.2349	2.3709
63	š	177	0.2259	2.3539
64	с	168	0.2145	2.3314
65	н	161	0.2055	2.3128
66	и	151	0.1928	2.2851
67	ý	135	0.1723	2.2363
68	р	126	0.1608	2.2063
69	º	124	0.1583	2.1995
69	ć	124	0.1583	2.1995
70	ž	108	0.1379	2.1396
71	þ	103	0.1315	2.1189
72	ù	102	0.1302	2.1146
73	д	97	0.1238	2.0927
74	в	91	0.1162	2.0652
75	л	85	0.1085	2.0354
76	ð	82	0.1047	2.0199
77	к	78	0.0996	1.9983
78	у	75	0.0957	1.9809
79	й	74	0.0945	1.9754
80	м	72	0.0919	1.9633
81	ń	58	0.074	1.8692
81	п	58	0.074	1.8692
82	г	51	0.0651	1.8136
82	ь	51	0.0651	1.8136
83	б	48	0.0613	1.7875
83	я	48	0.0613	1.7875
84	ы	45	0.0574	1.7589
85	ß	43	0.0549	1.7396
86	ч	42	0.0536	1.7292
87	ؤ	40	0.0511	1.7084
88	ю	38	0.0485	1.6857
89	з	36	0.046	1.6628
90	ο	34	0.0434	1.6375
91	č	30	0.0383	1.5832
92	ш	26	0.0332	1.5211
93	х	24	0.0306	1.4857
94	ÿ	23	0.0294	1.4683
94	œ	23	0.0294	1.4683
95	ﬂ	22	0.0281	1.4487
96	ѕ	20	0.0255	1.4065
97	ж	19	0.0243	1.3856
98	ă	16	0.0204	1.3096
98	β	16	0.0204	1.3096
99	і	14	0.0179	1.2529
100	ε	11	0.014	1.1461
100	ව	11	0.014	1.1461
101	μ	10	0.0128	1.1072
102	ƒ	9	0.0115	1.0607
103	ň	6	0.0077	0.8865
103	ф	6	0.0077	0.8865
103	ц	6	0.0077	0.8865
103	ё	6	0.0077	0.8865
103	ය	6	0.0077	0.8865
104	̇	5	0.0064	0.8062
104	إ	5	0.0064	0.8062
104	ා	5	0.0064	0.8062
104	ේ	5	0.0064	0.8062
105	µ	4	0.0051	0.7076
105	ˆ	4	0.0051	0.7076
105	ι	4	0.0051	0.7076
105	щ	4	0.0051	0.7076
105	э	4	0.0051	0.7076
105	ආ	4	0.0051	0.7076
105	බ	4	0.0051	0.7076
105	ෝ	4	0.0051	0.7076
106	ј	3	0.0038	0.5798
106	ض	3	0.0038	0.5798
106	ු	3	0.0038	0.5798
107	ę	2	0.0026	0.415
107	ŕ	2	0.0026	0.415
107	ř	2	0.0026	0.415
107	ş	2	0.0026	0.415
107	α	2	0.0026	0.415
107	κ	2	0.0026	0.415
107	ජ	2	0.0026	0.415
108	ī	1	0.0013	0.1139
108	ś	1	0.0013	0.1139
108	η	1	0.0013	0.1139
108	න	1	0.0013	0.1139
108	්	1	0.0013	0.1139
108	ි	1	0.0013	0.1139
108	ツ	1	0.0013	0.1139
