Rank	Character	Frequency	Frequency per million	Zipf value
1	a	106632	223378.5822	8.349
2	n	58823	123225.6578	8.0907
3	i	40170	84150.3268	7.9251
4	g	36010	75435.7298	7.8776
5	o	29582	61970.0017	7.7922
6	s	22891	47953.3266	7.6808
7	t	21690	45437.4057	7.6574
8	k	20777	43524.8031	7.6387
9	m	19263	40353.1926	7.6059
10	l	17744	37171.1078	7.5702
11	y	15014	31452.1535	7.4977
12	u	14550	30480.1408	7.484
13	p	12550	26290.4307	7.4198
14	e	11077	23204.7092	7.3656
15	r	10915	22865.3427	7.3592
16	h	10283	21541.3943	7.3333
17	b	10035	21021.8703	7.3227
18	d	9576	20060.3318	7.3023
19	w	5285	11071.3089	7.0442
20	c	2312	4843.3048	6.6851
21	f	744	1558.5721	6.1927
22	v	512	1072.5658	6.0304
23	j	386	808.614	5.9077
24	x	327	685.0176	5.8357
25	z	137	286.9951	5.4579
26	q	73	152.9244	5.1845
27	é	1	2.0949	3.3212
27	ñ	1	2.0949	3.3212
