Rank	Bigram	Frequency	Frequency per million	Zipf value
1	்$	60028	54023.1147	7.7326
2	்க	31678	28509.0995	7.455
3	ு$	28519	25666.1093	7.4094
4	ன்	26604	23942.6758	7.3792
5	ம்	20456	18409.6894	7.265
6	^ந	19816	17833.7116	7.2512
7	து	16930	15236.4119	7.1829
8	்த	16649	14983.5216	7.1756
9	க்	14686	13216.8898	7.1211
10	ல்	14451	13005.398	7.1141
11	ள்	14126	12712.9093	7.1042
12	^இ	13278	11949.7387	7.0774
13	கள	13256	11929.9395	7.0766
14	^ப	12673	11405.2598	7.0571
15	^அ	12534	11280.1646	7.0523
16	ை$	12257	11030.8742	7.0426
17	ங்	12061	10854.481	7.0356
18	^வ	11970	10772.5842	7.0323
18	ரு	11970	10772.5842	7.0323
19	^எ	11958	10761.7846	7.0319
20	ும	11949	10753.6849	7.0316
21	^க	10682	9613.4289	6.9829
22	்ட	10488	9438.8357	6.9749
23	ர்	10465	9418.1365	6.974
24	ான	10095	9085.1493	6.9583
25	^ம	10030	9026.6516	6.9555
26	்ப	9985	8986.1531	6.9536
27	^ச	9914	8922.2556	6.9505
28	நா	8752	7876.496	6.8963
29	என	8351	7515.6099	6.876
30	கு	7927	7134.0246	6.8533
31	த்	7780	7001.7297	6.8452
32	ுக	7702	6931.5324	6.8408
33	டு	7670	6902.7336	6.839
34	கி	7663	6896.4338	6.8386
35	^த	7617	6855.0354	6.836
36	ி$	7543	6788.438	6.8318
37	ந்	7343	6608.4449	6.8201
38	்ற	7225	6502.249	6.8131
39	ிய	7091	6381.6537	6.8049
40	ப்	7025	6322.256	6.8009
41	ட்	6737	6063.066	6.7827
42	ிற	6708	6036.967	6.7808
43	்ல	6554	5898.3723	6.7707
44	க$	6362	5725.579	6.7578
45	தி	6360	5723.7791	6.7577
46	^உ	6027	5424.0906	6.7343
47	ண்	6019	5416.8909	6.7338
48	நீ	5761	5184.6999	6.7147
49	ார	5731	5157.7009	6.7125
50	டி	5606	5045.2053	6.7029
51	ில	5547	4992.1073	6.6983
52	ோ	5446	4901.2108	6.6903
53	று	5371	4833.7134	6.6843
54	வி	5173	4655.5203	6.668
55	்ன	5170	4652.8204	6.6677
56	வர	5093	4583.5231	6.6612
57	ரி	5022	4519.6255	6.6551
