Rank	Character	Frequency	Frequency per million	Zipf value
1	்	160298	166107.0974	8.2204
2	க	67299	69737.8729	7.8435
3	ு	66239	68639.4592	7.8366
4	த	51873	53752.8445	7.7304
5	ி	49388	51177.7897	7.7091
6	ா	47004	48707.395	7.6876
7	ன	42308	43841.215	7.6419
8	ம	37873	39245.4934	7.5938
9	ர	35378	36660.0762	7.5642
10	ப	31485	32625.9963	7.5136
11	ட	30555	31662.2937	7.5005
12	வ	28795	29838.5125	7.4748
13	ந	28136	29155.6307	7.4647
13	ல	28136	29155.6307	7.4647
14	ை	22471	23285.3347	7.3671
15	ள	22304	23112.2828	7.3638
16	ற	21863	22655.3012	7.3552
17	ய	20049	20775.563	7.3176
18	ே	19436	20140.3483	7.3041
19	ச	16647	17250.2767	7.2368
20	இ	13850	14351.9152	7.1569
21	அ	12976	13446.242	7.1286
22	எ	12402	12851.4406	7.109
23	ங	12061	12498.083	7.0968
24	ெ	11951	12384.0966	7.0929
25	ீ	8909	9231.8565	6.9653
26	ண	8801	9119.9426	6.96
27	உ	6286	6513.8006	6.8138
28	ஒ	4348	4505.5688	6.6537
29	ழ	3892	4033.0436	6.6056
30	ஆ	3224	3340.8357	6.5239
31	ூ	2423	2510.808	6.3998
32	a	2137	2214.4435	6.3453
33	e	2054	2128.4357	6.3281
34	ோ	2008	2080.7686	6.3182
35	r	1956	2026.8842	6.3068
36	ஸ	1940	2010.3044	6.3033
37	o	1822	1888.0281	6.276
38	n	1749	1812.3826	6.2582
39	s	1740	1803.0565	6.256
40	i	1673	1733.6285	6.239
41	ஏ	1610	1668.3454	6.2223
42	ொ	1195	1238.306	6.0928
43	h	1191	1234.1611	6.0914
44	c	1172	1214.4725	6.0844
45	t	1151	1192.7115	6.0765
46	l	1128	1168.878	6.0678
47	u	1114	1154.3707	6.0623
48	ஜ	1051	1089.0876	6.0371
49	m	1048	1085.9789	6.0358
50	g	1035	1072.5077	6.0304
51	d	894	926.398	5.9668
52	ஓ	729	755.4185	5.8782
53	k	662	685.9905	5.8363
54	ஷ	630	652.8308	5.8148
55	p	594	615.5262	5.7892
56	f	544	563.7142	5.7511
57	ஹ	514	532.627	5.7264
58	ஞ	485	502.5761	5.7012
59	b	432	447.6554	5.6509
60	ஐ	431	446.6192	5.6499
61	y	395	409.3145	5.6121
62	w	357	369.9375	5.5681
63	ஃ	267	276.6759	5.442
64	v	188	194.813	5.2896
65	ஈ	106	109.8414	5.0408
66	z	104	107.7689	5.0325
67	ஊ	95	98.4427	4.9932
68	j	72	74.6092	4.8728
69	x	62	64.2468	4.8079
70	ௌ	17	17.6161	4.2459
71	q	13	13.4711	4.1294
72	à	1	1.0362	3.0154
72	â	1	1.0362	3.0154
72	ௗ	1	1.0362	3.0154
