Rank	Character	Frequency	Frequency per million	Zipf value
1	ు	53897	83813.9817	7.9233
2	్	51473	80044.4752	7.9033
3	ి	47315	73578.4653	7.8668
4	న	44604	69362.6517	7.8411
5	ా	33804	52567.8208	7.7207
6	ర	30102	46810.926	7.6703
7	క	28693	44619.8226	7.6495
8	ం	28422	44198.3967	7.6454
9	మ	23611	36716.9216	7.5649
10	ల	20499	31877.5221	7.5035
11	ద	17698	27521.7516	7.4397
12	ే	17354	26986.8052	7.4312
13	త	16374	25462.8298	7.4059
14	వ	15963	24823.6932	7.3949
15	ప	14905	23178.4218	7.3651
16	స	14772	22971.5965	7.3612
17	డ	14364	22337.1251	7.349
18	చ	13502	20996.6488	7.3221
19	య	12249	19048.1374	7.2799
20	ీ	12198	18968.8285	7.278
21	ట	12010	18676.474	7.2713
22	గ	10094	15696.9466	7.1958
23	ె	9929	15440.3589	7.1887
24	అ	8852	13765.5411	7.1388
25	ో	8234	12804.5035	7.1074
26	ఉ	4709	7322.8573	6.8647
27	బ	4607	7164.2395	6.8552
28	ొ	3963	6162.7699	6.7898
29	ఇ	3494	5433.4388	6.7351
30	ూ	3423	5323.0284	6.7262
31	జ	3169	4928.0388	6.6927
32	ఆ	3129	4865.8357	6.6872
33	హ	3069	4772.5311	6.6787
34	ఒ	2805	4361.9908	6.6397
35	ౖ	2641	4106.9582	6.6135
36	ఎ	2494	3878.3619	6.5886
37	e	2455	3817.7139	6.5818
38	ష	2437	3789.7225	6.5786
39	a	2252	3502.0333	6.5443
40	ళ	2154	3349.6357	6.525
41	n	2089	3248.5557	6.5117
42	ఏ	1964	3054.1711	6.4849
43	i	1875	2915.7693	6.4648
44	o	1802	2802.2486	6.4475
45	శ	1789	2782.0326	6.4444
46	s	1650	2565.8769	6.4092
47	ధ	1583	2461.6868	6.3912
48	r	1519	2362.1619	6.3733
49	ఫ	1457	2265.7471	6.3552
50	l	1447	2250.1963	6.3522
51	భ	1438	2236.2006	6.3495
52	ఈ	1392	2164.6671	6.3354
53	t	1309	2035.5957	6.3087
54	m	1271	1976.5028	6.2959
55	h	1171	1820.9951	6.2603
56	g	1110	1726.1354	6.2371
57	ణ	916	1424.4505	6.1536
58	ఖ	904	1405.7896	6.1479
59	c	901	1401.1243	6.1465
60	u	780	1212.96	6.0838
61	d	758	1178.7483	6.0714
62	థ	661	1027.9059	6.012
63	b	631	981.2535	5.9918
64	ఓ	577	897.2794	5.9529
65	ౌ	552	858.4025	5.9337
66	w	508	789.9791	5.8976
67	p	481	747.992	5.8739
68	k	470	730.8862	5.8638
69	y	389	604.9249	5.7817
70	f	371	576.9335	5.7611
71	ృ	289	449.4172	5.6526
72	v	244	379.4388	5.5791
73	ఐ	176	273.6935	5.4373
74	z	152	236.3717	5.3736
75	j	131	203.7151	5.309
76	ఊ	110	171.0585	5.2331
77	ఠ	82	127.5163	5.1056
78	ఛ	69	107.3003	5.0306
79	ఘ	64	99.5249	4.9979
80	x	51	79.3089	4.8993
81	ఞ	49	76.1988	4.8819
82	ఔ	36	55.9828	4.7481
83	q	24	37.3218	4.572
84	ఢ	17	26.4363	4.4222
85	ై	14	21.7711	4.3379
86	ఱ	11	17.1058	4.2331
87	்	7	10.8855	4.0368
88	ః	6	9.3305	3.9699
89	த	4	6.2203	3.7938
90	வ	3	4.6652	3.6689
90	ா	3	4.6652	3.6689
90	ு	3	4.6652	3.6689
91	ச	2	3.1102	3.4928
91	ன	2	3.1102	3.4928
91	ப	2	3.1102	3.4928
91	ம	2	3.1102	3.4928
92	â	1	1.5551	3.1918
92	é	1	1.5551	3.1918
92	ö	1	1.5551	3.1918
92	ü	1	1.5551	3.1918
92	ஆ	1	1.5551	3.1918
92	இ	1	1.5551	3.1918
92	உ	1	1.5551	3.1918
92	ட	1	1.5551	3.1918
92	ந	1	1.5551	3.1918
92	ய	1	1.5551	3.1918
92	ர	1	1.5551	3.1918
92	ல	1	1.5551	3.1918
92	ி	1	1.5551	3.1918
92	ீ	1	1.5551	3.1918
92	ெ	1	1.5551	3.1918
92	ே	1	1.5551	3.1918
92	ை	1	1.5551	3.1918
92	ఋ	1	1.5551	3.1918
