Rank	Character	Frequency	Frequency per million	Zipf value
1	a	448256651	111210.9546	8.0461
2	e	378500722	93904.7452	7.9727
3	i	362869866	90026.7829	7.9544
4	n	301249872	74739.0714	7.8735
5	r	263005279	65250.7176	7.8146
6	l	213150743	52881.9763	7.7233
7	m	194308687	48207.3261	7.6831
8	d	171178549	42468.8174	7.6281
9	ı	168424618	41785.5764	7.621
10	k	163086718	40461.2615	7.607
11	y	152132900	37743.6564	7.5768
12	u	142390589	35326.6221	7.5481
13	s	135637625	33651.2347	7.527
14	b	128542850	31891.0451	7.5037
15	o	126740181	31443.809	7.4975
16	t	124115490	30792.6321	7.4884
17	z	64670072	16044.4255	7.2053
18	ü	61722904	15313.2431	7.1851
19	ş	60973930	15127.4252	7.1798
20	h	53465407	13264.5861	7.1227
21	g	52477847	13019.5758	7.1146
22	ç	42768777	10610.7885	7.0257
23	c	42476619	10538.3051	7.0228
24	ğ	40277191	9992.6345	6.9997
25	v	39931361	9906.8352	6.9959
26	p	32877578	8156.8156	6.9115
27	ö	31016661	7695.1284	6.8862
28	f	18535376	4598.5639	6.6626
29	̇	6588327	1634.5416	6.2134
30	j	4033187	1000.62	6.0003
31	w	2458372	609.9138	5.7853
32	â	1636720	406.0647	5.6086
33	x	658053	163.2607	5.2129
34	q	204106	50.638	4.7045
35	é	49987	12.4016	4.0935
36	ä	32212	7.9917	3.9026
37	î	31438	7.7997	3.8921
38	û	24779	6.1476	3.7887
39	ã	20821	5.1656	3.7131
40	ï	20598	5.1103	3.7084
41	ª	15294	3.7944	3.5791
42	ý	11024	2.735	3.437
43	º	10514	2.6085	3.4164
44	å	10313	2.5586	3.408
45	á	8606	2.1351	3.3294
46	í	8019	1.9895	3.2987
47	è	7797	1.9344	3.2865
48	ó	5847	1.4506	3.1615
49	ñ	5216	1.2941	3.112
50	ι	4500	1.1164	3.0478
51	þ	3068	0.7612	2.8815
52	à	2586	0.6416	2.8073
53	ð	2272	0.5637	2.751
54	ê	1844	0.4575	2.6604
55	ú	1823	0.4523	2.6554
56	ì	1653	0.4101	2.6129
57	い	1625	0.4032	2.6055
58	ø	1615	0.4007	2.6028
59	ô	1344	0.3334	2.523
60	ο	1122	0.2784	2.4447
61	て	1035	0.2568	2.4096
62	ë	1027	0.2548	2.4062
63	た	1026	0.2545	2.4057
64	ò	1015	0.2518	2.4011
65	の	910	0.2258	2.3537
66	な	903	0.224	2.3502
67	ÿ	856	0.2124	2.3272
68	る	839	0.2082	2.3185
69	ţ	789	0.1957	2.2916
70	に	646	0.1603	2.2049
71	も	630	0.1563	2.194
72	し	593	0.1471	2.1676
73	で	576	0.1429	2.155
74	っ	573	0.1422	2.1529
75	を	556	0.1379	2.1396
76	đ	548	0.136	2.1335
77	は	520	0.129	2.1106
78	ら	512	0.127	2.1038
79	š	506	0.1255	2.0986
80	れ	505	0.1253	2.098
81	æ	502	0.1245	2.0952
82	と	497	0.1233	2.091
83	õ	496	0.1231	2.0903
84	か	493	0.1223	2.0874
85	く	469	0.1164	2.066
86	が	435	0.1079	2.033
87	う	419	0.104	2.017
88	り	383	0.095	1.9777
89	だ	373	0.0925	1.9661
90	ま	371	0.092	1.9638
91	そ	357	0.0886	1.9474
92	ß	349	0.0866	1.9375
93	き	334	0.0829	1.9186
