Rank	Bigram	Frequency	Frequency per million	Zipf value
1	о$	680036	20770.917	7.3175
2	е$	666209	20348.5872	7.3085
3	и$	595480	18188.2513	7.2598
4	^н	534100	16313.4698	7.2125
5	^п	507886	15512.7934	7.1907
6	^в	503569	15380.9356	7.187
7	а$	499892	15268.6258	7.1838
8	я$	457673	13979.0951	7.1455
9	^т	446143	13626.9245	7.1344
10	^с	356914	10901.5274	7.0375
11	^м	342405	10458.3667	7.0195
12	на	339916	10382.343	7.0163
13	то	329913	10076.8129	7.0033
14	не	327571	10005.2792	7.0002
15	^д	315516	9637.0731	6.9839
16	ь$	301042	9194.9814	6.9636
17	^з	297762	9094.7976	6.9588
18	у$	293294	8958.3277	6.9522
19	ти	257870	7876.3424	6.8963
20	по	255736	7811.1618	6.8927
21	і$	249791	7629.5786	6.8825
22	^я	242892	7418.8566	6.8703
23	ро	237163	7243.8709	6.86
24	^б	227220	6940.1734	6.8414
25	ст	226864	6929.2998	6.8407
26	й$	215017	6567.4468	6.8174
27	ра	207563	6339.773	6.8021
28	та	205553	6278.3798	6.7978
29	^к	205301	6270.6828	6.7973
30	но	204415	6243.6209	6.7954
31	пр	195262	5964.0531	6.7755
32	^о	192931	5892.8554	6.7703
33	ен	191336	5844.1379	6.7667
34	в$	184541	5636.5925	6.751
35	го	184000	5620.0682	6.7497
36	ть	182425	5571.9617	6.746
37	те	181838	5554.0324	6.7446
38	м$	177636	5425.6872	6.7345
39	ва	177293	5415.2106	6.7336
40	ер	175871	5371.7773	6.7301
41	ко	175843	5370.9221	6.73
42	ли	173459	5298.1055	6.7241
43	ни	171386	5234.7881	6.7189
44	ка	167792	5125.0135	6.7097
45	мо	166365	5081.4275	6.706
46	ов	165321	5049.5397	6.7033
47	во	164707	5030.7858	6.7016
48	ал	163898	5006.0758	6.6995
49	за	160309	4896.4539	6.6899
50	^ч	158210	4832.3424	6.6842
51	к$	150504	4596.9715	6.6625
52	ог	150058	4583.3489	6.6612
53	т$	149717	4572.9335	6.6602
54	ат	149211	4557.4783	6.6587
55	ви	148150	4525.0712	6.6556
56	ла	144902	4425.8648	6.646
57	ит	143793	4391.9917	6.6427
58	об	143496	4382.9202	6.6418
59	до	139747	4268.4113	6.6303
60	он	139421	4258.454	6.6293
61	ри	139077	4247.9469	6.6282
62	ре	137846	4210.3474	6.6243
63	ор	136547	4170.671	6.6202
64	ом	136164	4158.9727	6.619
65	ос	135985	4153.5053	6.6184
66	ю$	135969	4153.0166	6.6184
67	де	133383	4074.0302	6.61
68	ак	132181	4037.3165	6.6061
69	^р	130436	3984.0175	6.6003
70	да	128421	3922.4716	6.5936
71	ся	128245	3917.0959	6.593
72	од	127413	3891.6834	6.5901
73	ма	127305	3888.3847	6.5898
74	ві	125943	3846.784	6.5851
75	ол	123429	3769.9968	6.5763
76	ав	123400	3769.111	6.5762
77	ме	122841	3752.037	6.5743
78	^у	122740	3748.952	6.5739
79	ні	122561	3743.4847	6.5733
80	ы$	122538	3742.7822	6.5732
81	от	122327	3736.3374	6.5724
82	ан	119545	3651.3644	6.5625
83	н$	116221	3549.8367	6.5502
84	ас	112257	3428.7609	6.5351
85	же	110855	3385.9384	6.5297
86	ет	108710	3320.4218	6.5212
87	ло	106274	3246.017	6.5114
88	що	106242	3245.0396	6.5112
89	^щ	106078	3240.0304	6.5105
90	^а	101158	3089.7547	6.4899
91	ин	99226	3030.744	6.4815
92	ль	98250	3000.9332	6.4773
93	ам	95797	2926.0091	6.4663
94	^г	95184	2907.2857	6.4635
95	ди	95155	2906.4	6.4634
96	^ц	94953	2900.2301	6.4624
97	ар	93264	2848.6415	6.4546
98	ле	92218	2816.6927	6.4497
99	^х	90421	2761.8054	6.4412
100	^и	90328	2758.9648	6.4407
101	тр	87990	2687.5533	6.4294
102	бу	86416	2639.4773	6.4215
103	ве	85771	2619.7765	6.4183
104	ми	85467	2610.4912	6.4167
105	се	85229	2603.2217	6.4155
106	с$	84254	2573.4415	6.4105
107	ем	84194	2571.6088	6.4102
108	ел	83113	2538.5909	6.4046
109	ил	82374	2516.019	6.4007
110	ес	82030	2505.5119	6.3989
111	че	81746	2496.8375	6.3974
112	сь	81493	2489.1099	6.396
113	ай	81214	2480.5882	6.3946
114	ив	81011	2474.3878	6.3935
115	ож	80893	2470.7836	6.3928
116	им	80543	2460.0932	6.391
117	це	80432	2456.7029	6.3904
118	^л	80322	2453.343	6.3898
119	ки	79724	2435.0778	6.3865
120	хо	79251	2420.6306	6.3839
121	зн	78657	2402.4875	6.3807
122	ис	76311	2330.8317	6.3675
123	вс	75732	2313.1468	6.3642
124	^і	75297	2299.8602	6.3617
125	з$	73977	2259.5423	6.354
126	аз	73648	2249.4934	6.3521
127	му	72390	2211.0692	6.3446
128	чт	72230	2206.1822	6.3436
129	ну	72036	2200.2567	6.3425
130	бо	71994	2198.9739	6.3422
131	х$	71529	2184.771	6.3394
132	ку	69004	2107.6478	6.3238
133	ду	68984	2107.0369	6.3237
134	^э	68385	2088.7411	6.3199
135	бе	68305	2086.2976	6.3194
136	ід	68239	2084.2817	6.319
137	як	67822	2071.5449	6.3163
138	оч	67080	2048.8814	6.3115
139	ий	66412	2028.4781	6.3072
140	^е	65685	2006.2727	6.3024
141	пе	65253	1993.0778	6.2995
142	чи	65183	1990.9397	6.2991
143	уд	63812	1949.0641	6.2898
144	еб	63438	1937.6407	6.2873
145	ін	63148	1928.783	6.2853
146	ня	61922	1891.3362	6.2768
147	ад	61327	1873.1626	6.2726
148	эт	60873	1859.2957	6.2693
149	л$	60809	1857.3409	6.2689
150	ут	60207	1838.9535	6.2646
151	ок	59942	1830.8594	6.2627
