Rank	Character	Frequency	Frequency per million	Zipf value
1	о	2614019	97049.9192	7.987
2	а	2133237	79200.0665	7.8987
3	е	1881617	69858.2443	7.8442
4	т	1706098	63341.8017	7.8017
5	н	1674200	62157.534	7.7935
6	и	1600552	59423.2262	7.774
7	в	1190661	44205.3229	7.6455
8	с	1102715	40940.1774	7.6121
9	р	1084138	40250.4746	7.6048
10	м	924870	34337.3781	7.5358
11	л	912388	33873.9625	7.5299
12	д	906498	33655.2862	7.5271
13	у	841468	31240.9364	7.4947
14	к	834519	30982.943	7.4911
15	і	769820	28580.8821	7.4561
16	п	748973	27806.9016	7.4442
17	я	681966	25319.1523	7.4034
18	б	589917	21901.676	7.3405
19	з	541694	20111.3148	7.3034
20	ь	505224	18757.3038	7.2732
21	ч	404237	15007.9889	7.1763
22	г	391505	14535.2917	7.1624
23	й	372189	13818.1522	7.1404
24	ж	301340	11187.7621	7.0487
25	ш	279674	10383.3748	7.0163
26	х	247222	9178.5389	6.9628
27	ю	236869	8794.1661	6.9442
28	ы	220974	8204.0371	6.914
29	ц	181862	6751.9373	6.8294
30	щ	166690	6188.6509	6.7916
31	є	108543	4029.8442	6.6053
32	э	89205	3311.888	6.5201
33	ї	75211	2792.3368	6.446
34	ф	58663	2177.9641	6.3381
35	o	57724	2143.1021	6.331
36	e	54910	2038.6275	6.3093
37	a	50668	1881.136	6.2744
38	i	43618	1619.3927	6.2094
39	ё	33525	1244.6729	6.0951
40	t	33209	1232.9408	6.0909
41	n	27242	1011.4058	6.0049
42	h	25054	930.1725	5.9686
43	s	24170	897.3525	5.953
44	r	21187	786.6036	5.8958
45	c	19527	724.9732	5.8603
46	l	17456	648.0838	5.8116
47	f	16262	603.7545	5.7809
48	p	16115	598.2969	5.7769
49	y	15413	572.2339	5.7576
50	u	14248	528.9813	5.7234
51	d	14110	523.8578	5.7192
52	m	13325	494.7134	5.6944
53	g	10428	387.1573	5.5879
54	b	8932	331.6158	5.5206
55	w	8667	321.7772	5.5076
56	k	7098	263.5254	5.4208
57	ґ	5650	209.7659	5.3217
58	v	4710	174.8668	5.2427
59	ъ	4003	148.6182	5.1721
60	x	2380	88.3616	4.9463
61	ѕ	1522	56.5068	4.7521
62	j	1314	48.7845	4.6883
63	ј	735	27.2881	4.436
64	z	716	26.5827	4.4246
65	µ	678	25.1719	4.4009
66	ў	653	24.2437	4.3846
67	q	286	10.6182	4.0261
68	ѓ	90	3.3414	3.5239
69	́	56	2.0791	3.3179
70	ђ	44	1.6336	3.2131
71	њ	40	1.4851	3.1718
72	á	36	1.3366	3.126
73	í	28	1.0395	3.0168
73	џ	28	1.0395	3.0168
74	ú	26	0.9653	2.9847
75	é	24	0.891	2.9499
76	ó	11	0.4084	2.6111
77	ќ	9	0.3341	2.5239
78	ѣ	6	0.2228	2.3479
78	の	6	0.2228	2.3479
78	術	6	0.2228	2.3479
79	љ	5	0.1856	2.2686
79	ћ	5	0.1856	2.2686
80	̀	4	0.1485	2.1717
80	ѻ	4	0.1485	2.1717
80	҆	4	0.1485	2.1717
81	ѫ	3	0.1114	2.0469
82	à	2	0.0743	1.871
82	å	2	0.0743	1.871
82	ô	2	0.0743	1.871
82	ö	2	0.0743	1.871
82	š	2	0.0743	1.871
82	ū	2	0.0743	1.871
82	倍	2	0.0743	1.871
82	化	2	0.0743	1.871
82	心	2	0.0743	1.871
82	火	2	0.0743	1.871
82	身	2	0.0743	1.871
82	転	2	0.0743	1.871
83	â	1	0.0371	1.5694
83	ã	1	0.0371	1.5694
83	ä	1	0.0371	1.5694
83	è	1	0.0371	1.5694
83	ñ	1	0.0371	1.5694
83	ø	1	0.0371	1.5694
83	ü	1	0.0371	1.5694
83	ι	1	0.0371	1.5694
83	ѥ	1	0.0371	1.5694
83	ѧ	1	0.0371	1.5694
83	ѵ	1	0.0371	1.5694
83	҄	1	0.0371	1.5694
83	ආ	1	0.0371	1.5694
83	න	1	0.0371	1.5694
83	බ	1	0.0371	1.5694
83	ය	1	0.0371	1.5694
83	ව	1	0.0371	1.5694
83	්	1	0.0371	1.5694
83	ු	1	0.0371	1.5694
83	ෝ	1	0.0371	1.5694
83	り	1	0.0371	1.5694
83	亀	1	0.0371	1.5694
83	人	1	0.0371	1.5694
83	仙	1	0.0371	1.5694
83	弾	1	0.0371	1.5694
83	影	1	0.0371	1.5694
83	戦	1	0.0371	1.5694
83	球	1	0.0371	1.5694
83	縛	1	0.0371	1.5694
83	肉	1	0.0371	1.5694
83	豪	1	0.0371	1.5694
83	超	1	0.0371	1.5694
83	車	1	0.0371	1.5694
83	遁	1	0.0371	1.5694
83	首	1	0.0371	1.5694
83	ꙑ	1	0.0371	1.5694
