Rank	Character	Frequency	Frequency per million	Zipf value
1	о	761772	88804.1978	7.9484
2	а	695538	81082.9148	7.9089
3	и	529501	61727.0149	7.7905
4	е	509602	59407.2726	7.7738
5	н	502707	58603.4823	7.7679
6	т	467278	54473.3174	7.7362
7	в	419861	48945.6416	7.6897
8	і	393607	45885.06	7.6617
9	р	345198	40241.741	7.6047
10	м	301715	35172.6744	7.5462
11	с	280830	32737.9884	7.5151
12	у	279231	32551.5836	7.5126
13	д	275366	32101.0181	7.5065
14	к	257975	30073.6479	7.4782
15	л	242426	28261.0105	7.4512
16	п	238120	27759.035	7.4434
17	я	220377	25690.6301	7.4098
18	з	200578	23382.5454	7.3689
19	б	186286	21716.4438	7.3368
20	й	114681	13369.032	7.1261
21	г	113441	13224.4779	7.1214
22	ч	109009	12707.8139	7.1041
23	ж	94340	10997.7631	7.0413
24	ш	94195	10980.8596	7.0406
25	ц	84718	9876.0706	6.9946
26	є	84531	9854.2709	6.9936
27	щ	84262	9822.912	6.9922
28	х	80903	9431.3338	6.9746
29	ю	79875	9311.4939	6.969
30	ї	58191	6783.6637	6.8315
31	ь	48822	5691.4648	6.7552
32	o	42293	4930.3413	6.6929
33	e	41167	4799.0769	6.6812
34	i	38156	4448.0671	6.6482
35	a	35353	4121.3051	6.615
36	t	29515	3440.7354	6.5367
37	n	24092	2808.5447	6.4485
38	s	20706	2413.819	6.3827
39	h	20539	2394.3508	6.3792
40	r	18746	2185.3304	6.3395
41	l	14926	1740.0107	6.2406
42	ф	13412	1563.5149	6.1941
43	u	12676	1477.7151	6.1696
44	y	12551	1463.1432	6.1653
45	d	12063	1406.2542	6.1481
46	f	11548	1346.2176	6.1291
47	p	11242	1310.5454	6.1175
48	m	11030	1285.8313	6.1092
49	c	10575	1232.7893	6.0909
50	g	9221	1074.9457	6.0314
51	w	7898	920.7159	5.9641
52	b	6913	805.8887	5.9063
53	k	6094	710.4131	5.8515
54	v	4204	490.0848	5.6903
55	ґ	2884	336.2047	5.5266
56	x	1201	140.0076	5.1462
57	j	1052	122.6378	5.0886
58	ы	563	65.6322	4.8171
59	z	548	63.8836	4.8054
60	ѕ	463	53.9746	4.7322
61	ё	391	45.5811	4.6588
62	q	249	29.0274	4.4628
63	µ	218	25.4135	4.4051
64	э	212	24.7141	4.3929
65	ј	150	17.4864	4.2427
66	ъ	82	9.5592	3.9804
67	ѓ	44	5.1293	3.7101
68	ђ	24	2.7978	3.4468
69	é	21	2.4481	3.3888
70	á	20	2.3315	3.3676
70	í	20	2.3315	3.3676
71	ú	19	2.2149	3.3454
72	њ	18	2.0984	3.3219
73	́	14	1.6321	3.2127
74	џ	10	1.1658	3.0666
75	ѣ	6	0.6995	2.8448
76	̀	4	0.4663	2.6687
76	҆	4	0.4663	2.6687
77	ó	3	0.3497	2.5437
77	ѫ	3	0.3497	2.5437
78	ô	2	0.2332	2.3677
78	š	2	0.2332	2.3677
78	ū	2	0.2332	2.3677
78	љ	2	0.2332	2.3677
78	ћ	2	0.2332	2.3677
79	â	1	0.1166	2.0667
79	å	1	0.1166	2.0667
79	è	1	0.1166	2.0667
79	ñ	1	0.1166	2.0667
79	ø	1	0.1166	2.0667
79	ü	1	0.1166	2.0667
79	ι	1	0.1166	2.0667
79	ќ	1	0.1166	2.0667
79	ѥ	1	0.1166	2.0667
79	ѵ	1	0.1166	2.0667
79	ආ	1	0.1166	2.0667
79	න	1	0.1166	2.0667
79	බ	1	0.1166	2.0667
79	ය	1	0.1166	2.0667
79	ව	1	0.1166	2.0667
79	්	1	0.1166	2.0667
79	ු	1	0.1166	2.0667
79	ෝ	1	0.1166	2.0667
79	ꙑ	1	0.1166	2.0667
