Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ے$	55372	46898.1989	7.6712
2	^ک	44198	37434.2013	7.5733
3	ں$	32059	27152.8816	7.4338
4	^ہ	30559	25882.4327	7.413
5	ا$	26936	22813.875	7.3582
6	^ا	25520	21614.5712	7.3347
7	^م	22715	19238.8317	7.2842
8	یں	22674	19204.1061	7.2834
9	ی$	22390	18963.5678	7.2779
10	ر$	17441	14771.9332	7.1694
11	ہ$	16946	14352.6851	7.1569
12	می	14056	11904.9535	7.0757
13	^س	13664	11572.9428	7.0634
14	و$	13013	11021.568	7.0422
15	ہے	12754	10802.2038	7.0335
16	^ن	12549	10628.5758	7.0265
17	ہی	12371	10477.8158	7.0203
18	^ت	12171	10308.4227	7.0132
19	^ب	11803	9996.7392	6.9999
20	کی	10347	8763.5567	6.9427
21	کے	9892	8378.1872	6.9232
22	م$	9841	8334.992	6.9209
23	یا	9470	8020.7676	6.9042
24	یک	9060	7673.5116	6.885
25	^آ	8355	7076.4006	6.8498
26	^پ	8266	7001.0206	6.8452
27	نے	8202	6946.8148	6.8418
28	^ج	8166	6916.324	6.8399
29	ن$	8160	6911.2422	6.8396
30	ان	7879	6673.2448	6.8243
31	کر	7819	6622.4268	6.821
32	ک$	7763	6574.9967	6.8179
33	^ل	7731	6547.8938	6.8161
34	س$	7128	6037.1733	6.7808
35	ہو	7006	5933.8435	6.7733
36	کو	6850	5801.7168	6.7636
37	^و	6731	5700.9279	6.7559
38	ت$	6669	5648.416	6.7519
39	^د	6605	5594.2101	6.7477
40	نہ	6602	5591.6692	6.7475
41	اس	6588	5579.8117	6.7466
42	ور	6566	5561.1785	6.7452
43	ار	6493	5499.35	6.7403
44	ہا	6382	5405.3367	6.7328
45	ای	6298	5334.1916	6.7271
46	سے	6166	5222.3921	6.7179
47	^ی	6151	5209.6876	6.7168
48	^ر	6021	5099.582	6.7075
49	ل$	5784	4898.8511	6.6901
50	پ$	5756	4875.136	6.688
51	وں	5584	4729.4579	6.6748
52	^گ	5570	4717.6004	6.6737
53	یہ	5426	4595.6373	6.6623
54	آپ	5336	4519.4103	6.6551
55	ری	4955	4196.7163	6.6229
56	تم	4927	4173.0013	6.6204
57	^چ	4842	4101.0092	6.6129
58	ھی	4655	3942.6265	6.5958
59	کہ	4558	3860.4708	6.5866
60	تھ	4471	3786.7848	6.5783
61	تا	4450	3768.9985	6.5762
62	جا	4284	3628.4022	6.5597
63	ات	4235	3586.9008	6.5547
63	نا	4235	3586.9008	6.5547
64	ئے	4219	3573.3494	6.5531
65	کا	4204	3560.6449	6.5515
66	او	4119	3488.6528	6.5427
67	ہم	3990	3379.3942	6.5288
68	ب$	3935	3332.811	6.5228
69	ھ$	3783	3204.0722	6.5057
70	با	3779	3200.6843	6.5052
71	ھا	3768	3191.3677	6.504
72	د$	3725	3154.9482	6.499
73	رہ	3693	3127.8453	6.4952
74	وہ	3642	3084.65	6.4892
75	رو	3612	3059.241	6.4856
76	ال	3594	3043.9956	6.4834
77	را	3574	3027.0563	6.481
78	لی	3537	2995.7186	6.4765
79	اں	3507	2970.3096	6.4728
80	وا	3463	2933.0431	6.4673
81	تے	3445	2917.7977	6.4651
82	اہ	3371	2855.1222	6.4556
83	دی	3261	2761.956	6.4412
84	ما	3224	2730.6182	6.4363
85	ام	3202	2711.985	6.4333
86	سا	3049	2582.3992	6.412
87	چھ	3047	2580.7053	6.4117
88	پر	2985	2528.1934	6.4028
89	رے	2982	2525.6525	6.4024
