Rank	Character	Frequency	Frequency per million	Zipf value
1	ا	96865	107056.8081	8.0296
2	ی	88153	97428.1609	7.9887
3	ہ	68061	75222.1485	7.8763
4	ک	62841	69452.9178	7.8417
5	ے	55576	61423.519	7.7883
6	ر	49166	54339.0805	7.7351
7	و	48263	53341.0698	7.7271
8	م	41774	46169.3192	7.6644
9	ن	40236	44469.496	7.6481
10	ت	32363	35768.1256	7.5535
11	ں	32232	35623.3422	7.5517
12	س	28685	31703.1388	7.5011
13	ل	24248	26799.2927	7.4281
14	ب	19789	21871.1317	7.3399
15	ھ	19551	21608.0902	7.3346
16	د	17209	19019.6729	7.2792
17	پ	16910	18689.2131	7.2716
18	ج	14391	15905.1724	7.2015
19	گ	10679	11802.6083	7.072
20	ئ	9345	10328.2493	7.014
21	چ	8967	9910.4775	6.9961
22	آ	8793	9718.1698	6.9876
23	ٹ	6905	7631.5208	6.8826
24	ف	5710	6310.7869	6.8001
25	ش	5440	6012.3784	6.779
26	ح	5130	5669.7613	6.7536
27	ق	4794	5298.4085	6.7241
28	ز	4558	5037.5774	6.7022
29	ع	4441	4908.267	6.6909
30	خ	4415	4879.5314	6.6884
31	e	4026	4449.6021	6.6483
32	ط	3546	3919.0981	6.5932
33	ص	3467	3831.786	6.5834
34	o	3105	3431.6976	6.5355
35	a	2998	3313.4394	6.5203
36	ڈ	2932	3240.4951	6.5106
37	i	2851	3150.9726	6.4984
38	n	2842	3141.0256	6.4971
39	r	2761	3051.5031	6.4845
40	ڑ	2705	2989.611	6.4756
41	t	2600	2873.5632	6.4584
42	s	2580	2851.4589	6.4551
43	l	1752	1936.3395	6.287
44	ء	1639	1811.45	6.258
45	ض	1634	1805.924	6.2567
46	d	1620	1790.4509	6.253
47	ظ	1556	1719.7171	6.2355
48	ؤ	1554	1717.5066	6.2349
49	h	1473	1627.9841	6.2117
50	u	1268	1401.4147	6.1466
51	m	1224	1352.7851	6.1312
52	µ	1206	1332.8912	6.1248
53	c	1198	1324.0495	6.1219
54	غ	1034	1142.794	6.058
55	y	930	1027.8515	6.0119
56	g	920	1016.7993	6.0072
57	p	832	919.5402	5.9636
58	k	793	876.4368	5.9427
58	إ	793	876.4368	5.9427
59	ذ	767	847.7011	5.9282
60	ِ	756	835.5438	5.922
61	f	747	825.5968	5.9168
62	b	707	781.3882	5.8929
63	ي	679	750.4421	5.8753
64	î	615	679.7082	5.8323
65	w	577	637.71	5.8046
66	ْ	451	498.4527	5.6976
67	أ	437	482.9797	5.6839
68	ّ	425	469.7171	5.6718
69	é	399	440.9814	5.6444
70	ث	394	435.4553	5.6389
71	ك	390	431.0345	5.6345
72	x	363	401.1936	5.6034
73	ç	359	396.7728	5.5985
74	v	355	392.3519	5.5937
75	â	312	344.8276	5.5376
76	َ	265	292.8824	5.4667
77	j	222	245.3581	5.3898
78	ً	204	225.4642	5.3531
79	ى	171	188.992	5.2764
80	ُ	161	177.9399	5.2503
81	z	158	174.6242	5.2421
81	ë	158	174.6242	5.2421
82	ü	156	172.4138	5.2366
83	ٌ	140	154.7303	5.1896
84	ة	139	153.6251	5.1865
85	à	126	139.2573	5.1438
86	ه	125	138.1521	5.1404
87	û	116	128.2051	5.1079
88	ٓ	109	120.4686	5.0809
89	è	73	80.6808	4.9068
90	ژ	71	78.4704	4.8947
91	ـ	65	71.8391	4.8564
92	ê	52	57.4713	4.7595
93	ï	45	49.7347	4.6967
94	ٍ	42	46.4191	4.6667
95	ô	41	45.3139	4.6562
96	ٰ	33	36.4721	4.562
97	q	22	24.3148	4.3859
98	ù	21	23.2095	4.3657
99	á	11	12.1574	4.0848
100	í	5	5.5261	3.7424
101	ú	2	2.2104	3.3445
101	ٗ	2	2.2104	3.3445
102	ã	1	1.1052	3.0434
102	ó	1	1.1052	3.0434
102	ٴ	1	1.1052	3.0434
