Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	die	14515	39529.513	7.5969	d i  |  ‿ i
2	ek	13312	36253.3157	7.5593	ɛ k
3	nie	13008	35425.4154	7.5493	n i  |  ‿ i
4	is	10806	29428.5854	7.4688	ə s
5	het	9281	25275.4675	7.4027	ə t  |  ɦ ɛ t
6	jy	8534	23241.1205	7.3663	j ə i
7	'n	7360	20043.9005	7.302	ə
8	dit	6936	18889.1975	7.2762	d ə t
9	my	5853	15939.8029	7.2025	m ə i
10	en	5519	15030.202	7.177	ə n  |  ɛ n
11	ons	5202	14166.8982	7.1513	ɔ n s
12	wat	4682	12750.753	7.1055	v a t
13	van	4339	11816.6419	7.0725	f a n
14	in	3713	10111.821	7.0048	ə n
15	te	3473	9458.2155	6.9758	t ə
16	hy	3090	8415.1702	6.9251	ɦ ə i
17	vir	3006	8186.4083	6.9131	f ə r
18	sy	2955	8047.5171	6.9057	s ə i
19	maar	2910	7924.9661	6.899	m ɑː r
20	gaan	2829	7704.3743	6.8867	χ ɑː n
21	kan	2771	7546.4196	6.8777	k a n
22	sal	2686	7314.9343	6.8642	s a l
23	dat	2609	7105.2359	6.8516	d a t
24	dis	2359	6424.3969	6.8078	d ə s
25	met	2309	6288.2291	6.7985	m ɛ t
26	so	2273	6190.1883	6.7917	s ʊ ə̯
27	u	2220	6045.8504	6.7815	y
28	hulle	2198	5985.9366	6.7771	ɦ œ l ə
29	as	2126	5789.855	6.7627	a s
30	ja	1945	5296.9275	6.724	j aː
31	kom	1874	5103.5692	6.7079	k ɔ m
32	moet	1867	5084.5057	6.7062	m u t
33	daar	1751	4768.5964	6.6784	d ɑː r
34	nou	1720	4684.1724	6.6706	n œ u
35	hier	1710	4656.9388	6.6681	ɦ i r
36	wil	1574	4286.5624	6.6321	v ə l
37	weet	1491	4060.5239	6.6086	v ɪ ə t
38	aan	1453	3957.0363	6.5974	ɑː n
39	haar	1413	3848.1021	6.5852	ɦ ɑː r
40	wees	1355	3690.1474	6.567	v ɪ ə s
41	nee	1274	3469.5556	6.5403	n i əː
42	nog	1253	3412.3651	6.5331	n ɔ χ
43	goed	1172	3191.7733	6.504	χ u t
44	ook	1089	2965.7347	6.4721	ʊ ə̯ k
45	word	1052	2864.9706	6.4571	v ɔ r t
46	sien	992	2701.5692	6.4316	s i n
47	laat	950	2587.1882	6.4128	l ɑː t
48	julle	942	2565.4014	6.4092	j œ l ə
49	al	925	2519.1043	6.4012	a l
50	by	910	2478.254	6.3941	b ə i
51	sê	899	2448.2971	6.3889	s ɛː
52	baie	851	2317.576	6.365	b a j ə
52	hierdie	851	2317.576	6.365	ɦ i r d i  |  ɦ i ɾ i
53	maak	843	2295.7891	6.3609	m ɑː k
54	se	829	2257.6622	6.3537	s ə
55	soos	827	2252.2155	6.3526	s ʊ ə s
56	dink	822	2238.5987	6.35	d ə ŋ k
57	of	788	2146.0046	6.3316	ɔ f
58	oor	742	2020.7302	6.3055	ʊ ə̯ r
59	uit	710	1933.5828	6.2864	œ i̯ t
60	iets	675	1838.2653	6.2644	i t s
61	niks	674	1835.542	6.2638	n ə k s
61	sou	674	1835.542	6.2638	s œ u
62	hou	661	1800.1383	6.2553	ɦ œ u
63	bly	656	1786.5216	6.252	b l ə i
64	deur	584	1590.4399	6.2015	d ɪ ø r
65	kry	577	1571.3764	6.1963	k r ə i
66	geen	563	1533.2495	6.1856	χ ɪ ə̯ n
67	man	560	1525.0794	6.1833	m a n
68	dankie	547	1489.6758	6.1731	d a ŋ k i
69	praat	520	1416.1451	6.1511	p r ɑː t
70	werk	513	1397.0817	6.1452	ʋ ɛː r k
71	gee	503	1369.8481	6.1367	χ ɪ ə
72	dag	482	1312.6576	6.1182	d a χ
73	weg	459	1250.0204	6.0969	v ɛ χ
74	nooit	456	1241.8504	6.0941	n oː i t
75	kon	450	1225.5102	6.0883	k ɔ n
76	hê	446	1214.6168	6.0844	ɦ ɛː
77	almal	438	1192.8299	6.0766	a l m a l
78	sit	431	1173.7665	6.0696	s ə t
79	lewe	417	1135.6395	6.0552	l ɪ ə v ə
80	dood	414	1127.4694	6.0521	d ʊ ə t
81	wag	409	1113.8526	6.0468	v a χ
82	altyd	393	1070.2789	6.0295	a l t ə i̯ t
83	daardie	357	972.2381	5.9878	d ɑː r d i  |  d ɑː ɾ i
84	voor	354	964.068	5.9841	f ʊ ə̯ r
