Rank	Word	Frequency	Frequency per million	Zipf value
1	die	14515	39529.513	7.5969
2	ek	13312	36253.3157	7.5593
3	nie	13008	35425.4154	7.5493
4	is	10806	29428.5854	7.4688
5	het	9281	25275.4675	7.4027
6	jy	8534	23241.1205	7.3663
7	'n	7360	20043.9005	7.302
8	dit	6936	18889.1975	7.2762
9	my	5853	15939.8029	7.2025
10	en	5519	15030.202	7.177
11	ons	5202	14166.8982	7.1513
12	wat	4682	12750.753	7.1055
13	van	4339	11816.6419	7.0725
14	jou	4319	11762.1748	7.0705
15	in	3713	10111.821	7.0048
16	te	3473	9458.2155	6.9758
17	hy	3090	8415.1702	6.9251
18	vir	3006	8186.4083	6.9131
19	sy	2955	8047.5171	6.9057
20	maar	2910	7924.9661	6.899
21	gaan	2829	7704.3743	6.8867
22	kan	2771	7546.4196	6.8777
23	om	2723	7415.6985	6.8702
24	sal	2686	7314.9343	6.8642
25	dat	2609	7105.2359	6.8516
26	dis	2359	6424.3969	6.8078
27	met	2309	6288.2291	6.7985
28	so	2273	6190.1883	6.7917
29	u	2220	6045.8504	6.7815
30	hulle	2198	5985.9366	6.7771
31	was	2155	5868.8323	6.7686
32	as	2126	5789.855	6.7627
33	ja	1945	5296.9275	6.724
34	kom	1874	5103.5692	6.7079
35	moet	1867	5084.5057	6.7062
36	op	1852	5043.6554	6.7027
37	daar	1751	4768.5964	6.6784
38	nou	1720	4684.1724	6.6706
39	hier	1710	4656.9388	6.6681
40	na	1616	4400.9434	6.6435
41	wil	1574	4286.5624	6.6321
42	weet	1491	4060.5239	6.6086
43	hom	1488	4052.3538	6.6077
44	aan	1453	3957.0363	6.5974
45	haar	1413	3848.1021	6.5852
46	wees	1355	3690.1474	6.567
47	net	1306	3556.703	6.551
48	nee	1274	3469.5556	6.5403
49	doen	1268	3453.2155	6.5382
50	nog	1253	3412.3651	6.5331
51	goed	1172	3191.7733	6.504
52	dan	1150	3131.8595	6.4958
53	hoe	1109	3020.2019	6.48
54	ook	1089	2965.7347	6.4721
55	word	1052	2864.9706	6.4571
56	sien	992	2701.5692	6.4316
57	laat	950	2587.1882	6.4128
58	julle	942	2565.4014	6.4092
59	al	925	2519.1043	6.4012
60	by	910	2478.254	6.3941
61	sê	899	2448.2971	6.3889
62	baie	851	2317.576	6.365
62	hierdie	851	2317.576	6.365
