Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	të	1048776	56297.3016	7.7505	t ə
2	është	295805	15878.532	7.2008	ə ʃ t ə
3	që	256921	13791.2758	7.1396	c ə  |  c͡ɕ ə  |  t͡ɕ ə  |  t͡ʃ ə
4	po	255841	13733.3024	7.1378	p ɔ
5	një	245229	13163.6603	7.1194	ɲ ə
6	dhe	242091	12995.2154	7.1138	ð e  |  ð ɛ
7	se	172344	9251.2626	6.9662	s ɛ
8	ti	131924	7081.5553	6.8501	t i
9	jo	126833	6808.2752	6.833	j ɔ
10	mirë	114066	6122.9548	6.787	m iː ɹ ə
11	çfarë	109792	5893.5305	6.7704	t ʃ f a ɹ ə
12	nga	104428	5605.5961	6.7486	ŋ ɡ a
13	mund	104417	5605.0056	6.7486	m ʊ n d
14	kjo	92444	4962.3063	6.6957	k j ɔ
15	ju	87101	4675.4991	6.6698	j u
16	shumë	84656	4544.2538	6.6575	ʃ u m ə
17	di	75147	4033.8197	6.6057	d i
18	je	74605	4004.7257	6.6026	j ɛ
19	jam	74073	3976.1684	6.5995	j a m
20	ishte	59078	3171.251	6.5012	i ʃ t ɛ
21	a	53297	2860.9324	6.4565	a  |  ɑ
22	janë	44278	2376.8011	6.376	j a n ə
23	ata	40702	2184.8448	6.3394	a t a
24	gjithë	38319	2056.9276	6.3132	ɟ ʝ i θ ə
25	ty	37392	2007.1671	6.3026	t y
26	gjë	30286	1625.7238	6.211	ɟ ə
27	ky	29830	1601.2461	6.2045	k y
28	jemi	28910	1551.8614	6.1909	j ɛ m i
29	bëj	27446	1473.2753	6.1683	b ə j
30	keq	26496	1422.2802	6.153	k ɛ c ɕ
31	tjetër	24840	1333.3877	6.125	t j ɛ t ə ɾ
32	dy	23574	1265.43	6.1022	d y
33	mendoj	22730	1220.1249	6.0864	m ɛ n d ɔ j
34	atje	22701	1218.5682	6.0858	a t j ɛ
35	jeni	21942	1177.8258	6.0711	j ɛ n i
36	së	21514	1154.8511	6.0625	s  |  s ə  |  s əː
37	vërtetë	19319	1037.0256	6.0158	v ə ɹ t ɛ t  |  v ə ɹ t ɛ t ə  |  v ə ɾ t ɛ t  |  v ə ɾ t ɛ t ə
38	zotëri	17686	949.3677	5.9774	z ɔ t ə r i
39	bukur	17197	923.1187	5.9653	b u k u ɾ
40	çdo	17064	915.9793	5.9619	ʒ d o
41	qenë	15580	836.3196	5.9224	c ɕ ɛ n ə
42	ato	14532	780.064	5.8921	a t ɔ
43	zot	14165	760.3638	5.881	z ɔ t
44	deri	13191	708.0804	5.8501	d ɛ ɾ i
45	shtëpi	12575	675.0141	5.8293	ʃ t ə p i
46	isha	12464	669.0557	5.8255	i ʃ a
47	vdekur	12384	664.7614	5.8227	v d ɛ k u ɾ
48	yt	12288	659.6082	5.8193	y t
49	punë	11904	638.9954	5.8055	p u n ə
50	dreq	10316	553.7531	5.7433	d ɾ ɛ c ɕ  |  d ɾ ɛ t͡ɕ
51	juaj	10022	537.9715	5.7308	j u a j
52	besoj	9505	510.2194	5.7078	b ɛ s ɔ j
53	z	9466	508.1259	5.706	z ə
54	madh	9461	507.8575	5.7057	i m a ð
55	madhe	8975	481.7695	5.6828	ɛ m a ð ɛ
56	vogël	8763	470.3895	5.6725	v ɔ ɡ ə l
57	tre	8590	461.1031	5.6638	t ɾ ɛ
58	shoku	7611	408.5513	5.6112	ʃ ɔ k u
59	ishe	7406	397.5471	5.5994	i ʃ ɛ
60	ishin	7197	386.3281	5.587	i ʃ i n
61	zemër	7112	381.7654	5.5818	z ɛ m ə ɾ  |  z ɛ̃ː m ə ɾ
62	pasur	6719	360.6696	5.5571	p a s u ɹ  |  p a s u ɾ
63	fëmijë	6562	352.2419	5.5468	f ə m i j ə
64	flas	6187	332.1123	5.5213	f l a s
65	larg	6083	326.5297	5.5139	l a ɾ ɡ
66	fare	5854	314.2372	5.4973	f a ɾ ɛ
67	gjej	5673	304.5213	5.4836	ɟ ɛ j
68	jap	5264	282.5665	5.4511	j aː p
69	orë	5161	277.0376	5.4425	ɔ ɾ ə
70	vështirë	4948	265.604	5.4242	v ə ʃ t i ɹ ə
71	lidhje	4755	255.2439	5.407	l iː ð j ɛ
72	frikë	4743	254.5997	5.4059	f ɾ i k ə
73	keqe	4579	245.7964	5.3906	k ɛ c ɕ ɛ
74	bashkë	4570	245.3133	5.3897	b a ʃ k ə
75	eshtë	4562	244.8838	5.389	ɛ ʃ t ə r
76	tërë	4402	236.2952	5.3735	t əː ɾ ə
77	fjalë	4384	235.329	5.3717	f j a l ə
78	pyetje	4336	232.7524	5.3669	p y ɛ t j ɛ
79	makinë	4332	232.5377	5.3665	m a k i n ə
80	afër	4285	230.0147	5.3618	a f ə ɹ  |  a f ə ɾ
81	vete	4211	226.0425	5.3542	v ɛ t ɛ
82	drejt	4205	225.7204	5.3536	d ɾ ɛ j t
83	rrugë	4141	222.285	5.3469	r u ɡ ə
84	mbaj	4138	222.1239	5.3466	m b a j
85	burrë	4129	221.6408	5.3456	b u r ə
86	armë	3942	211.6028	5.3255	aː ɾ m
87	pesë	3811	204.5709	5.3108	p ɛ s ə
88	bir	3790	203.4436	5.3084	b i ɾ
89	pasi	3748	201.1891	5.3036	p aː s i
90	vdes	3738	200.6523	5.3024	v d ɛ s
91	din	3590	192.7078	5.2849	d i n
92	jenë	3576	191.9563	5.2832	j ɛ n ə
93	dorë	3569	191.5805	5.2824	d ɔ ɹ  |  d ɔ ɾ ə
94	kundër	3549	190.507	5.2799	k u n d ə ɾ
95	botë	3471	186.32	5.2703	b ɔ t ə
96	thjeshtë	3429	184.0655	5.265	θ j ɛ ʃ t ə
97	ynë	3414	183.2603	5.2631	y n ə
98	ishim	3350	179.8248	5.2548	i ʃ i m
99	tung	3316	177.9997	5.2504	t u ŋ ɡ
100	qytet	3286	176.3894	5.2465	c y t ɛ t
101	katër	3272	175.6379	5.2446	k a t ə ɾ
101	lloj	3272	175.6379	5.2446	ɫ ɔ j
102	qoftë	3259	174.94	5.2429	c ɕ o f t ə
