Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	لا	6722138	18546.1143	7.2683	l aː
2	من	6427899	17734.3204	7.2488	m a n  |  m a n n  |  m i n
3	أن	5086140	14032.4601	7.1471	ʔ a n  |  ʔ a n n  |  ʔ a n n a
4	في	5042418	13911.8329	7.1434	f iː
5	هذا	4836905	13344.8306	7.1253	h aː d a  |  h aː ð a  |  h aː ð aː
6	على	3422258	9441.8752	6.9751	ʕ a l aː  |  ʕ u l a n
7	ما	3277558	9042.6536	6.9563	m aː
8	أنا	2858101	7885.3882	6.8968	ʔ a n a  |  ʔ a n aː
9	هل	2794982	7711.2454	6.8871	h a l
10	يا	2678237	7389.1505	6.8686	j aː
11	و	2515334	6939.7075	6.8413	oː  |  uː  |  w  |  w a  |  w aː w  |  w ɪ
12	لقد	2485831	6858.3099	6.8362	l a q a d
13	ذلك	2359891	6510.8464	6.8136	ð aː l i k a
14	لم	2073873	5721.734	6.7575	l a m  |  l i m a  |  l u m
15	ماذا	2013686	5555.6804	6.7447	m aː ð aː
16	هنا	1846524	5094.4871	6.7071	h u n aː
17	كان	1768822	4880.1103	6.6884	k aː n a
18	أنت	1728115	4767.8013	6.6783	ʔ a n t  |  ʔ a n t a  |  ʔ a n t i
19	إلى	1722411	4752.0642	6.6769	ʔ i l a n  |  ʔ i l aː
20	هو	1496423	4128.5722	6.6158	f a h u w a  |  f a h w a  |  h u w a  |  h u w a h  |  h uː  |  w a h u w a  |  w a h w a
21	هذه	1476013	4072.2618	6.6098	h aː ð i h  |  h aː ð i h i  |  h aː ð i h iː
22	عن	1428665	3941.6305	6.5957	ʕ a n
23	نعم	1278984	3528.6665	6.5476	n a ʕ a m
24	هناك	1255553	3464.0213	6.5396	h u n aː k  |  h u n aː k a
25	كل	1222931	3374.0185	6.5281	k u l  |  k u l l
26	ليس	1161053	3203.2995	6.5056	l a j i s a  |  l a j s a
27	الآن	1076133	2969.0086	6.4726	a l ʔ aː n a
28	شيء	1046953	2888.5021	6.4607	ʃ a j ʔ  |  ʃ iː ʔ a
29	الذي	1000885	2761.4023	6.4411	a l l a ð iː
30	مع	977890	2697.96	6.431	m a ʕ a
31	أجل	975689	2691.8876	6.4301	ʔ a d͡ʒ a l  |  ʔ a d͡ʒ a l l  |  ʔ a d͡ʒ d͡ʒ a l a  |  ʔ a d͡ʒ l
32	لكن	938674	2589.7646	6.4133	l aː k i n  |  l aː k i n n a
33	لن	902094	2488.8419	6.396	l a n
34	لك	887856	2449.5598	6.3891	l a k k
35	كيف	828364	2285.4237	6.359	k a j f  |  k a j f a  |  k a j j a f a
36	نحن	693061	1912.128	6.2815	n a ħ n i  |  n a ħ n u  |  n u ħ n a
37	حسنا	675845	1864.6298	6.2706	ħ a s a n a n  |  ħ a s s a n n aː  |  ħ a s u n n aː
38	إذا	662695	1828.3494	6.2621	ʔ i ð a n  |  ʔ i ð aː
39	عندما	651835	1798.3871	6.2549	ʕ i n d a m aː
40	قد	645075	1779.7365	6.2504	q a d  |  q a d d  |  q a d d a  |  q u d  |  q u d d
41	لماذا	641158	1768.9297	6.2477	l i m aː ð aː
42	أي	632470	1744.9598	6.2418	ʔ a j j
43	هي	616998	1702.2732	6.231	h i j a
44	أو	553760	1527.8021	6.1841	ʔ a w
45	أين	552650	1524.7396	6.1832	ʔ a j j a n a  |  ʔ a j n  |  ʔ a j n a
46	هيا	551507	1521.5861	6.1823	h a j j aː
47	ولكن	523972	1445.6181	6.1601	w a l aː k i n  |  w a l aː k i n n a
48	إن	520789	1436.8364	6.1574	ʔ i n  |  ʔ i n n a
49	لو	519509	1433.3049	6.1563	l a w
50	تلك	501111	1382.5455	6.1407	t i l k a
51	ربما	486704	1342.7972	6.128	r u b b a m aː
52	بعض	457754	1262.9253	6.1014	b a ʕ dˤ
53	صحيح	417368	1151.5019	6.0613	sˤ a ħ iː ħ
54	بخير	415767	1147.0848	6.0596	b i x a j r
55	أحد	404758	1116.7114	6.0479	ʔ a ħ a d  |  ʔ a ħ a d d
56	مثل	396317	1093.423	6.0388	m a θ a l  |  m a θ a l a  |  m a θ θ a l a  |  m i θ l  |  m i θ l a  |  m i θ l i  |  m i θ l u  |  m u θ l  |  m u θ u l
57	رجل	393585	1085.8855	6.0358	r a d͡ʒ d͡ʒ a l a  |  r a d͡ʒ i l  |  r a d͡ʒ i l a  |  r a d͡ʒ l  |  r a d͡ʒ u l  |  r i d͡ʒ l
58	شخص	376315	1038.2383	6.0163	ʃ a x a sˤ a  |  ʃ a x sˤ  |  ʃ a x x a sˤ a
59	جيد	347613	959.0506	5.9818	d͡ʒ a j j i d  |  d͡ʒ iː d
60	اليوم	343123	946.6629	5.9762	a l j a w m a
61	علي	340517	939.473	5.9729	ʕ a l i j a  |  ʕ a l i j j  |  ʕ a l j  |  ʕ u l i j a
62	أليس	335389	925.3251	5.9663	ʔ a l iː s  |  ʔ a l j a s
63	آخر	326407	900.5441	5.9545	ʔ aː x a r  |  ʔ aː x i r
64	منذ	325655	898.4693	5.9535	m u n ð u
65	واحد	282452	779.274	5.8917	w aː ħ i d
66	مرة	278634	768.7402	5.8858	m a r r a  |  m a r r a t a n  |  m u r r a
67	مكان	261281	720.864	5.8579	m a k aː n
68	وقت	250573	691.321	5.8397	w a k t  |  w a q a t  |  w a q q a t a  |  w a q t  |  w a ɡ t  |  w a ʔ t
69	كم	233625	644.5622	5.8093	k a m  |  k a m m  |  k u m
70	رائع	226276	624.2866	5.7954	r aː ʔ i ʕ
71	جدا	224794	620.1978	5.7925	d͡ʒ i d d a n
72	سيد	216544	597.4364	5.7763	s a j j i d
73	ثم	215681	595.0554	5.7746	θ a m m a  |  θ u m m a
74	واحدة	214185	590.928	5.7715	w aː ħ i d a
75	يوم	204923	565.3745	5.7523	j a w m
76	لهذا	201702	556.4879	5.7455	l i h aː ð aː
77	تم	199076	549.2429	5.7398	t a m m a
78	هكذا	199009	549.058	5.7396	h aː k a ð aː
79	شكرا	198652	548.0731	5.7388	ʃ u k r a n
80	فعل	197001	543.518	5.7352	f a ʕ a l a  |  f a ʕ l  |  f a ʕ ʕ a l a  |  f i ʕ l
81	مرحبا	195282	538.7754	5.7314	m a r ħ a b a n  |  m a r ħ a b aː
82	لها	193572	534.0575	5.7276	l a h aː
83	ألا	192801	531.9304	5.7259	ʔ a l aː  |  ʔ a l l aː
84	أمي	178600	492.7504	5.6926	ʔ u m m i j j  |  ʔ u m m iː
85	لذلك	172972	477.2229	5.6787	l i ð aː l i k a
86	لأن	161323	445.0838	5.6484	l i ʔ a n  |  l i ʔ a n n a
87	ها	158942	438.5147	5.642	h aː
88	قال	157428	434.3377	5.6378	q aː l  |  q aː l a  |  ɡ aː l  |  ʔ aː l
89	للغاية	156195	430.9359	5.6344	l i l ɣ aː j a t i
90	حقا	154787	427.0512	5.6305	ħ a q q a n
91	هم	154309	425.7325	5.6291	h a m m  |  h a m m a  |  h i m  |  h i m m  |  h u m
92	بين	151150	417.0169	5.6202	b a j n a
93	هؤلاء	145457	401.3101	5.6035	h aː ʔ u l aː ʔ i
94	أم	145058	400.2093	5.6023	ʔ a m  |  ʔ a m m  |  ʔ a m m a  |  ʔ u m m
95	مجرد	142684	393.6595	5.5951	m u d͡ʒ a r r a d
96	توقف	142595	393.414	5.5948	t a w a q q a f a  |  t a w a q q u f
97	يعني	142001	391.7752	5.593	j a ʕ n iː
98	متى	141374	390.0453	5.5911	m a t aː  |  m a t t aː
99	عمل	137914	380.4993	5.5804	ʕ a m a l  |  ʕ a m i l a  |  ʕ a m m a l a
100	فكرة	136632	376.9623	5.5763	f i k r a
101	عند	130876	361.0817	5.5576	ʕ i n d a
102	بأس	130352	359.636	5.5559	b a ʔ s
103	نفس	127910	352.8987	5.5477	n a f a s  |  n a f s
104	بسبب	125520	346.3047	5.5395	b i s a b a b i
105	تحت	125487	346.2137	5.5393	t a ħ t a  |  t a ħ t u
106	لكم	123609	341.0324	5.5328	l a k a m a
107	حيث	122512	338.0058	5.5289	ħ a j θ u
108	بالفعل	122318	337.4705	5.5282	b i l f i ʕ l i
109	قتل	119511	329.7261	5.5182	q a t a l a  |  q a t l  |  q a t t a l a  |  q i t l
110	اعتقد	115640	319.0462	5.5039	i ʕ t a q a d a
111	ليلة	114470	315.8182	5.4994	l a j l a
112	انتظر	112334	309.9251	5.4913	i n t a ðˤ a r a
113	أحب	107841	297.5291	5.4735	ʔ a ħ a b b  |  ʔ a ħ a b b a
114	ثلاثة	107413	296.3482	5.4718	θ a l aː θ a
115	جميع	105651	291.487	5.4646	d͡ʒ a m iː ʕ
116	دون	104975	289.6219	5.4618	d a w w a n a  |  d uː n  |  d uː n a
117	كبير	102681	283.2928	5.4522	k a b iː r  |  k b iː r
118	فتاة	100987	278.6192	5.445	f a t aː h
119	دولار	99958	275.7802	5.4406	d oː l aː r
120	سبب	99753	275.2146	5.4397	s a b a b  |  s a b b a b a
121	ثانية	99751	275.2091	5.4397	θ aː n i j a
122	الأرض	97813	269.8622	5.4311	a l ʔ a r dˤ
123	خارج	97137	267.9972	5.4281	x aː r i d͡ʒ
124	كبيرة	96098	265.1306	5.4235	k a b iː r a
125	جديد	93397	257.6786	5.4111	d͡ʒ a d iː d
126	هنالك	93075	256.7903	5.4096	h u n aː l i k a
127	جميلة	92693	255.7363	5.4078	d͡ʒ a m iː l a
128	أنتم	92675	255.6867	5.4077	ʔ a n t u m
129	دقيقة	92579	255.4218	5.4073	d a q iː q a  |  d a ɡ iː ɡ a
130	سعيد	91574	252.6491	5.4025	s a ʕ iː d
131	بالضبط	91117	251.3882	5.4003	b i ‿ dˤ dˤ a b tˤ i
132	جميل	90295	249.1204	5.3964	d͡ʒ a m iː l  |  ɡ a m iː l
133	طريقة	90195	248.8445	5.3959	tˤ a r iː q a
134	نوع	89743	247.5974	5.3937	n a w w a ʕ a  |  n a w ʕ
135	عام	89099	245.8206	5.3906	ʕ aː m  |  ʕ aː m m
136	ألم	86761	239.3702	5.3791	ʔ a l a m
137	غرفة	86281	238.0459	5.3767	ɣ u r f a
138	عظيم	86251	237.9631	5.3765	ʕ a ðˤ iː m
139	ساعة	86057	237.4279	5.3755	s aː ʕ a
140	رائعة	85832	236.8071	5.3744	r aː ʔ i ʕ a
141	قام	84880	234.1806	5.3696	q aː m a  |  q ō m  |  ɡ aː m
142	مات	84678	233.6233	5.3685	m aː t a  |  m ō t
143	بينما	84064	231.9293	5.3654	b a j n a m aː
144	فقد	83346	229.9483	5.3616	f a q a d a  |  f a q d
145	رقم	83018	229.0434	5.3599	r a q m  |  r a ɡ a m  |  r a ɡ i m  |  r a ʔ a m  |  r ə q ə m
