Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	է	1007	41570.3435	7.6188	j ɛ  |  ɛ
2	ես	499	20599.4055	7.3139	j ɛ s  |  ɛ s
3	որ	368	15191.5456	7.1816	v ɔ ɾ
4	եմ	318	13127.4769	7.1182	j ɛ m ə  |  ɛ m
5	մի	280	11558.7847	7.0629	m i
6	ու	244	10072.6552	7.0031	u
7	իմ	231	9535.9974	6.9794	i m
8	ինչ	214	8834.214	6.9462	i n t͡ʃʰ
9	ինձ	196	8091.1493	6.908	i n d͡z
10	ոչ	189	7802.1797	6.8922	v ɔ t͡ʃʰ
11	նա	186	7678.3355	6.8853	n ɑ
12	դու	173	7141.6777	6.8538	tʰ u
13	են	169	6976.5522	6.8436	ɛ n
14	այդ	167	6893.9894	6.8385	ɑ j tʰ
15	թե	156	6439.8943	6.8089	tʰ ɛ
16	էլ	147	6068.362	6.7831	ɛ l
17	քեզ	142	5861.9551	6.768	kʰ ɛ z
18	այս	138	5696.8296	6.7556	ɑ j s
19	եք	131	5407.86	6.733	ɛ kʰ
20	համար	127	5242.7345	6.7196	h ɑ m ɑ ɾ
21	այն	118	4871.2021	6.6876	ɑ j n
22	էր	104	4293.2629	6.6328	ɛ ɾ
23	կարող	101	4169.4188	6.6201	ɡ ɑ ɾ ɔ ʁ
24	սակայն	98	4045.5746	6.607	s ɑ ɡ ɑ j n
25	եթե	97	4004.2933	6.6025	j ɛ tʰ ɛ
26	պիտի	96	3963.0119	6.598	b i d i
27	չէ	93	3839.1678	6.5842	t͡ʃʰ ɛ
28	նրա	92	3797.8864	6.5795	n ə ɾ ɑ
29	հետ	91	3756.605	6.5748	h ɛ d
30	իր	89	3674.0423	6.5651	i ɾ
31	մեր	88	3632.7609	6.5602	m ɛ ɾ
32	ձեր	87	3591.4795	6.5553	t͡sʰ ɛ ɾ
33	դեռ	85	3508.9168	6.5452	tʰ ɛ ɾ
34	նրան	82	3385.0727	6.5296	n ə ɾ ɑ n
34	քո	82	3385.0727	6.5296	kʰ ɔ
35	հա	80	3302.5099	6.5188	h ɑ
36	ձեզ	79	3261.2285	6.5134	t͡sʰ ɛ z
37	հիմա	77	3178.6658	6.5022	h i m ɑ
38	դուք	73	3013.5403	6.4791	tʰ u kʰ
39	իսկ	72	2972.2589	6.4731	i s k
40	լավ	70	2889.6962	6.4609	l ɑ v
41	բայց	69	2848.4148	6.4546	pʰ ɑ j t͡sʰ
42	չի	67	2765.852	6.4418	t͡ʃʰ i
43	էի	65	2683.2893	6.4287	ɛ j i
44	ամեն	64	2642.0079	6.4219	ɑ m ɛ n
44	բան	64	2642.0079	6.4219	pʰ ɑ n
44	ուրեմն	64	2642.0079	6.4219	u ɾ ɛ m ə n
45	միայն	63	2600.7266	6.4151	m i j ɑ j n
46	այո	62	2559.4452	6.4081	ɑ j ɔ
46	պարոն	62	2559.4452	6.4081	b ɑ ɾ ɔ n
47	բարի	61	2518.1638	6.4011	pʰ ɑ ɾ i
48	արդեն	60	2476.8824	6.3939	ɑ ɾ tʰ ɛ n
49	շատ	57	2353.0383	6.3716	ʃ ɑ d
50	այստեղ	56	2311.7569	6.3639	ɑ j s t ɛ ʁ
50	ով	56	2311.7569	6.3639	ɔ v
51	նրանց	55	2270.4756	6.3561	n ə ɾ ɑ n t͡sʰ
52	ենք	53	2187.9128	6.34	ɛ ŋ kʰ
53	դա	52	2146.6314	6.3318	tʰ ɑ
53	երբ	52	2146.6314	6.3318	j ɛ ɾ pʰ
53	թող	52	2146.6314	6.3318	tʰ ɔ ʁ
53	մենք	52	2146.6314	6.3318	m ɛ ŋ kʰ
53	պետք	52	2146.6314	6.3318	b ɛ t kʰ
54	ինչպես	51	2105.3501	6.3233	i n t͡ʃʰ p ɛ s
54	մասին	51	2105.3501	6.3233	m ɑ s i n
55	ավելի	49	2022.7873	6.306	ɑ v ɛ l i
56	այդպես	48	1981.5059	6.297	ɑ j tʰ p ɛ s
56	մեջ	48	1981.5059	6.297	m ɛ t͡ʃʰ
57	մեզ	46	1898.9432	6.2785	m ɛ z
58	գիշեր	44	1816.3804	6.2592	kʰ i ʃ ɛ ɾ
58	մեկ	44	1816.3804	6.2592	m ɛ ɡ
59	մեծ	43	1775.0991	6.2492	m ɛ d͡z
60	դե	42	1733.8177	6.239	tʰ ɛ
60	նոր	42	1733.8177	6.239	n ɔ ɾ
60	որտեղ	42	1733.8177	6.239	v ɔ ɾ d ɛ ʁ
61	անգամ	40	1651.255	6.2178	ɑ ŋ kʰ ɑ m
61	գալիս	40	1651.255	6.2178	kʰ ɑ l i s
61	կամ	40	1651.255	6.2178	ɡ ɑ m
62	մոտ	39	1609.9736	6.2068	m ɔ d
62	վրա	39	1609.9736	6.2068	v ə ɾ ɑ
63	նրանք	38	1568.6922	6.1955	n ə ɾ ɑ ŋ kʰ
64	ոչինչ	36	1486.1295	6.1721	v ɔ t͡ʃʰ i n t͡ʃʰ
64	քանզի	36	1486.1295	6.1721	kʰ ɑ n z i
65	այլ	35	1444.8481	6.1598	ɑ j l
65	ինչու	35	1444.8481	6.1598	i n t͡ʃʰ u
65	նման	35	1444.8481	6.1598	n ə m ɑ n
66	տեր	34	1403.5667	6.1472	d ɛ ɾ
67	հետո	32	1321.004	6.1209	h ɛ d ɔ
68	օրիորդ	31	1279.7226	6.1071	ɔ ɾ j ɔ ɾ tʰ
69	այնտեղ	29	1197.1598	6.0782	ɑ j n d ɛ ʁ
70	ասել	28	1155.8785	6.0629	ɑ s ɛ l
70	աստված	28	1155.8785	6.0629	ɑ s t v ɑ d͡z
70	ի	28	1155.8785	6.0629	i
70	օր	28	1155.8785	6.0629	ɔ ɾ
71	քանի	27	1114.5971	6.0471	kʰ ɑ n i
72	առաջ	26	1073.3157	6.0307	ɑ ɾ ɑ t͡ʃʰ
72	ժամանակ	26	1073.3157	6.0307	ʒ ɑ m ɑ n ɑ ɡ
72	մարդ	26	1073.3157	6.0307	m ɑ ɾ tʰ
73	լինել	25	1032.0343	6.0137	l i n ɛ l
73	կա	25	1032.0343	6.0137	ɡ ɑ
73	սա	25	1032.0343	6.0137	s ɑ
74	գուցե	24	990.753	5.996	kʰ u t͡sʰ ɛ
75	ապա	23	949.4716	5.9775	ɑ b ɑ
75	բոլոր	23	949.4716	5.9775	pʰ ɔ l ɔ ɾ
76	բարով	22	908.1902	5.9582	pʰ ɑ ɾ ɔ v
76	երկու	22	908.1902	5.9582	j ɛ ɾ ɡ u
76	որքան	22	908.1902	5.9582	v ɔ ɾ kʰ ɑ n
77	առավել	21	866.9089	5.938	ɑ ɾ ɑ v ɛ l
77	երբեք	21	866.9089	5.938	j ɛ ɾ pʰ ɛ kʰ
77	հայր	21	866.9089	5.938	h ɑ j ɾ
77	տիկին	21	866.9089	5.938	d i ɡ i n
78	ազնիվ	20	825.6275	5.9168	ɑ z n i v
78	էին	20	825.6275	5.9168	ɛ j i n
78	չկա	20	825.6275	5.9168	t͡ʃʰ ə ɡ ɑ
78	սիրո	20	825.6275	5.9168	s i ɾ ɔ
78	սուրբ	20	825.6275	5.9168	s u ɾ pʰ
79	արի	19	784.3461	5.8945	ɑ ɾ i
79	դուրս	19	784.3461	5.8945	tʰ u ɾ s
79	կրկին	19	784.3461	5.8945	ɡ ə ɾ ɡ i n
79	միթե	19	784.3461	5.8945	m i tʰ ɛ
79	տուն	19	784.3461	5.8945	d u n
79	քան	19	784.3461	5.8945	kʰ ɑ n
80	դայակ	18	743.0647	5.871	tʰ ɑ j ɑ ɡ
80	դեպի	18	743.0647	5.871	tʰ ɛ b i
80	երկար	18	743.0647	5.871	j ɛ ɾ ɡ ɑ ɾ
80	էիր	18	743.0647	5.871	ɛ j i ɾ
80	պես	18	743.0647	5.871	b ɛ s
81	երեկո	17	701.7834	5.8462	j ɛ ɾ ɛ ɡ ɔ
81	ունեմ	17	701.7834	5.8462	u n ɛ m
81	սպանել	17	701.7834	5.8462	ə s p ɑ n ɛ l
81	քիչ	17	701.7834	5.8462	kʰ i t͡ʃʰ
82	այնպես	16	660.502	5.8199	ɑ j n b ɛ s
82	այսպես	16	660.502	5.8199	ɑ j s p ɛ s
82	արդյոք	16	660.502	5.8199	ɑ ɾ tʰ j ɔ kʰ
82	դեմ	16	660.502	5.8199	tʰ ɛ m
82	թեն	16	660.502	5.8199	tʰ ɛ n
82	հեռու	16	660.502	5.8199	h ɛ ɾ u
82	նույն	16	660.502	5.8199	n u j n
82	ողջ	16	660.502	5.8199	v ɔ χ t͡ʃʰ
82	վաղը	16	660.502	5.8199	v ɑ ʁ ə
82	տուր	16	660.502	5.8199	d u ɾ
83	եղիր	15	619.2206	5.7918	j ɛ ʁ i ɾ
83	երեք	15	619.2206	5.7918	j ɛ ɾ ɛ kʰ
83	հանգիստ	15	619.2206	5.7918	h ɑ ŋ kʰ i s t
83	ճիշտ	15	619.2206	5.7918	d͡ʒ i ʃ t
83	մեռած	15	619.2206	5.7918	m ɛ ɾ ɑ d͡z
83	շուտով	15	619.2206	5.7918	ʃ u d ɔ v
83	ուր	15	619.2206	5.7918	u ɾ
83	տանը	15	619.2206	5.7918	d ɑ n ə
84	այսօր	14	577.9392	5.7619	ɑ j s ɔ ɾ
84	անել	14	577.9392	5.7619	ɑ n ɛ l
84	նույնպես	14	577.9392	5.7619	n u j n b ɛ s
84	պատրաստ	14	577.9392	5.7619	b ɑ d ɾ ɑ s t
84	վեր	14	577.9392	5.7619	v ɛ ɾ
84	տարի	14	577.9392	5.7619	d ɑ ɾ i
85	առանց	13	536.6579	5.7297	ɑ ɾ ɑ n t͡sʰ
85	լոկ	13	536.6579	5.7297	l ɔ ɡ
85	սեր	13	536.6579	5.7297	s ɛ ɾ
86	արա	12	495.3765	5.6949	ɑ ɾ ɑ
