Rank	Word	Frequency	Frequency per million	Zipf value
1	է	1007	41570.3435	7.6188
2	ես	499	20599.4055	7.3139
3	որ	368	15191.5456	7.1816
4	եմ	318	13127.4769	7.1182
5	և	298	12301.8494	7.09
6	մի	280	11558.7847	7.0629
7	ու	244	10072.6552	7.0031
8	իմ	231	9535.9974	6.9794
9	ինչ	214	8834.214	6.9462
10	ինձ	196	8091.1493	6.908
11	ոչ	189	7802.1797	6.8922
12	նա	186	7678.3355	6.8853
13	դու	173	7141.6777	6.8538
14	են	169	6976.5522	6.8436
15	այդ	167	6893.9894	6.8385
16	թե	156	6439.8943	6.8089
17	էլ	147	6068.362	6.7831
18	քեզ	142	5861.9551	6.768
19	այս	138	5696.8296	6.7556
20	եք	131	5407.86	6.733
21	համար	127	5242.7345	6.7196
22	այն	118	4871.2021	6.6876
23	էր	104	4293.2629	6.6328
24	կարող	101	4169.4188	6.6201
25	եվ	99	4086.856	6.6114
26	սակայն	98	4045.5746	6.607
27	եթե	97	4004.2933	6.6025
28	պիտի	96	3963.0119	6.598
29	չէ	93	3839.1678	6.5842
30	նրա	92	3797.8864	6.5795
31	հետ	91	3756.605	6.5748
32	իր	89	3674.0423	6.5651
33	մեր	88	3632.7609	6.5602
34	ձեր	87	3591.4795	6.5553
34	չեմ	87	3591.4795	6.5553
35	դեռ	85	3508.9168	6.5452
36	նրան	82	3385.0727	6.5296
36	քո	82	3385.0727	6.5296
37	հա	80	3302.5099	6.5188
38	ձեզ	79	3261.2285	6.5134
39	հիմա	77	3178.6658	6.5022
40	ուզում	74	3054.8217	6.485
41	դուք	73	3013.5403	6.4791
42	իսկ	72	2972.2589	6.4731
42	օհ	72	2972.2589	6.4731
43	լավ	70	2889.6962	6.4609
44	բայց	69	2848.4148	6.4546
45	չի	67	2765.852	6.4418
46	էի	65	2683.2893	6.4287
47	ամեն	64	2642.0079	6.4219
47	բան	64	2642.0079	6.4219
47	ուրեմն	64	2642.0079	6.4219
48	միայն	63	2600.7266	6.4151
49	այո	62	2559.4452	6.4081
49	պարոն	62	2559.4452	6.4081
50	բարի	61	2518.1638	6.4011
51	արդեն	60	2476.8824	6.3939
52	պր	59	2435.6011	6.3866
53	շատ	57	2353.0383	6.3716
54	այստեղ	56	2311.7569	6.3639
54	ով	56	2311.7569	6.3639
55	նրանց	55	2270.4756	6.3561
56	ենք	53	2187.9128	6.34
57	դա	52	2146.6314	6.3318
57	երբ	52	2146.6314	6.3318
57	թող	52	2146.6314	6.3318
57	մենք	52	2146.6314	6.3318
57	պետք	52	2146.6314	6.3318
58	ինչպես	51	2105.3501	6.3233
58	մասին	51	2105.3501	6.3233
59	ավելի	49	2022.7873	6.306
60	այդպես	48	1981.5059	6.297
60	մեջ	48	1981.5059	6.297
60	ռոմեո	48	1981.5059	6.297
61	մեզ	46	1898.9432	6.2785
62	գիշեր	44	1816.3804	6.2592
62	մեկ	44	1816.3804	6.2592
63	մեծ	43	1775.0991	6.2492
64	դե	42	1733.8177	6.239
64	նոր	42	1733.8177	6.239
64	որտեղ	42	1733.8177	6.239
65	անգամ	40	1651.255	6.2178
65	գալիս	40	1651.255	6.2178
65	կամ	40	1651.255	6.2178
66	մոտ	39	1609.9736	6.2068
66	վրա	39	1609.9736	6.2068
67	նրանք	38	1568.6922	6.1955
68	ջուլիետ	37	1527.4108	6.184
69	ոչինչ	36	1486.1295	6.1721
69	չես	36	1486.1295	6.1721
69	քանզի	36	1486.1295	6.1721
70	այլ	35	1444.8481	6.1598
70	ինչու	35	1444.8481	6.1598
70	նման	35	1444.8481	6.1598
71	տեր	34	1403.5667	6.1472
72	խնդրում	33	1362.2853	6.1343
73	կատադրոյֆե	32	1321.004	6.1209
73	հետո	32	1321.004	6.1209
74	այլևս	31	1279.7226	6.1071
74	ասում	31	1279.7226	6.1071
74	մինչև	31	1279.7226	6.1071
74	օրիորդ	31	1279.7226	6.1071
75	հենց	30	1238.4412	6.0929
76	այնտեղ	29	1197.1598	6.0782
77	ահա	28	1155.8785	6.0629
77	այնքան	28	1155.8785	6.0629
77	ասել	28	1155.8785	6.0629
77	աստված	28	1155.8785	6.0629
77	ի	28	1155.8785	6.0629
77	օր	28	1155.8785	6.0629
78	չեն	27	1114.5971	6.0471
78	ռոմեոն	27	1114.5971	6.0471
78	քանի	27	1114.5971	6.0471
79	առաջ	26	1073.3157	6.0307
79	եղել	26	1073.3157	6.0307
79	ժամանակ	26	1073.3157	6.0307
79	մարդ	26	1073.3157	6.0307
79	յակոբ	26	1073.3157	6.0307
79	չէր	26	1073.3157	6.0307
80	եկել	25	1032.0343	6.0137
80	լինել	25	1032.0343	6.0137
80	կա	25	1032.0343	6.0137
80	որպես	25	1032.0343	6.0137
80	սա	25	1032.0343	6.0137
81	անում	24	990.753	5.996
81	գուցե	24	990.753	5.996
82	ապա	23	949.4716	5.9775
82	ասա	23	949.4716	5.9775
82	բոլոր	23	949.4716	5.9775
82	գնա	23	949.4716	5.9775
82	փեփփի	23	949.4716	5.9775
83	բարով	22	908.1902	5.9582
83	երկու	22	908.1902	5.9582
83	լինի	22	908.1902	5.9582
83	որքան	22	908.1902	5.9582
84	առավել	21	866.9089	5.938
84	երբեք	21	866.9089	5.938
84	իրենց	21	866.9089	5.938
84	հայր	21	866.9089	5.938
84	միլլեր	21	866.9089	5.938
84	տիկին	21	866.9089	5.938
85	ազնիվ	20	825.6275	5.9168
85	էին	20	825.6275	5.9168
85	կարծում	20	825.6275	5.9168
85	նաև	20	825.6275	5.9168
85	չկա	20	825.6275	5.9168
85	սիրո	20	825.6275	5.9168
85	սուրբ	20	825.6275	5.9168
85	տիբալտ	20	825.6275	5.9168
86	արի	19	784.3461	5.8945
86	դուրս	19	784.3461	5.8945
86	դրեյվերհավենը	19	784.3461	5.8945
86	խոսում	19	784.3461	5.8945
86	կրկին	19	784.3461	5.8945
86	մերկուցիո	19	784.3461	5.8945
86	միթե	19	784.3461	5.8945
86	նրանից	19	784.3461	5.8945
86	տուն	19	784.3461	5.8945
86	քան	19	784.3461	5.8945
87	դայակ	18	743.0647	5.871
87	դեպի	18	743.0647	5.871
87	երկար	18	743.0647	5.871
87	էիր	18	743.0647	5.871
87	ունի	18	743.0647	5.871
87	չեք	18	743.0647	5.871
87	պես	18	743.0647	5.871
88	երեկո	17	701.7834	5.8462
88	կավդորի	17	701.7834	5.8462
88	կլինի	17	701.7834	5.8462
88	մեկը	17	701.7834	5.8462
88	ունեմ	17	701.7834	5.8462
88	ունես	17	701.7834	5.8462
88	սպանել	17	701.7834	5.8462
88	քիչ	17	701.7834	5.8462
89	այդքան	16	660.502	5.8199
89	այնպես	16	660.502	5.8199
89	այսպես	16	660.502	5.8199
89	արդյոք	16	660.502	5.8199
89	դեմ	16	660.502	5.8199
89	թեն	16	660.502	5.8199
89	հեռու	16	660.502	5.8199
89	նույն	16	660.502	5.8199
89	ողջ	16	660.502	5.8199
89	վաղը	16	660.502	5.8199
89	տանի	16	660.502	5.8199
89	տուր	16	660.502	5.8199
89	օրը	16	660.502	5.8199
90	գնանք	15	619.2206	5.7918
90	գրողը	15	619.2206	5.7918
90	դրա	15	619.2206	5.7918
90	եղիր	15	619.2206	5.7918
90	երեք	15	619.2206	5.7918
90	հանգիստ	15	619.2206	5.7918
90	ճիշտ	15	619.2206	5.7918
90	մեռած	15	619.2206	5.7918
90	շուտով	15	619.2206	5.7918
90	ուր	15	619.2206	5.7918
90	չէի	15	619.2206	5.7918
90	սերն	15	619.2206	5.7918
90	տանը	15	619.2206	5.7918
91	այսօր	14	577.9392	5.7619
91	անել	14	577.9392	5.7619
91	թանկագին	14	577.9392	5.7619
91	մայրս	14	577.9392	5.7619
91	մնաս	14	577.9392	5.7619
91	նորից	14	577.9392	5.7619
91	նույնպես	14	577.9392	5.7619
91	պատրաստ	14	577.9392	5.7619
91	ջորջ	14	577.9392	5.7619
91	վեր	14	577.9392	5.7619
