Rank	Bigram	Frequency	Frequency per million	Zipf value
1	a$	973264	35287.2912	7.5476
2	n$	792793	28744.0175	7.4585
3	^e	678644	24605.3573	7.391
4	en	548081	19871.5804	7.2982
5	^d	529875	19211.4918	7.2836
6	^b	521805	18918.9007	7.2769
7	ar	444369	16111.3308	7.2071
8	er	410146	14870.5195	7.1723
9	o$	386431	14010.6931	7.1465
10	at	371684	13476.0163	7.1296
11	u$	370983	13450.6004	7.1287
12	ra	368828	13372.4673	7.1262
13	an	368072	13345.0573	7.1253
14	^z	358519	12998.6975	7.1139
15	i$	325437	11799.2551	7.0719
16	in	324716	11773.114	7.0709
17	k$	318997	11565.7622	7.0632
18	ai	317085	11496.4395	7.0606
19	ze	316986	11492.8501	7.0604
20	re	311847	11306.5272	7.0533
21	ba	306506	11112.8804	7.0458
22	te	303940	11019.8459	7.0422
23	e$	296340	10744.2953	7.0312
24	ta	293463	10639.985	7.0269
25	^a	293016	10623.7782	7.0263
26	ez	287569	10426.2883	7.0181
27	it	279682	10140.3321	7.0061
28	z$	277815	10072.6409	7.0031
29	tz	273901	9930.7324	6.997
30	na	271557	9845.7468	6.9932
31	da	271325	9837.3353	6.9929
32	^h	269851	9783.893	6.9905
33	ak	267546	9700.3214	6.9868
34	ko	263947	9569.8337	6.9809
35	ri	257647	9341.4168	6.9704
36	za	257153	9323.506	6.9696
37	du	256415	9296.7486	6.9683
38	zu	250425	9079.5713	6.9581
39	tu	249733	9054.4817	6.9569
40	^n	248791	9020.3279	6.9552
41	rr	238528	8648.226	6.9369
42	or	238208	8636.6238	6.9363
43	et	233350	8460.489	6.9274
44	^g	227879	8262.1289	6.9171
45	ik	217469	7884.6972	6.8968
46	la	213716	7748.626	6.8892
47	be	205955	7467.2381	6.8732
48	t$	199534	7234.4342	6.8594
49	iz	191443	6941.0816	6.8414
50	^i	185489	6725.2096	6.8277
51	ur	178473	6470.8329	6.811
52	go	175613	6367.1389	6.8039
53	ut	174030	6309.7446	6.8
54	di	173115	6276.5698	6.7977
55	eg	168887	6123.2767	6.787
56	ha	166957	6053.3013	6.782
57	gi	165517	6001.0918	6.7782
58	ek	165325	5994.1305	6.7777
59	ka	161525	5856.3552	6.7676
60	on	159346	5777.352	6.7617
61	ea	156718	5682.0695	6.7545
62	de	153635	5570.2903	6.7459
63	ia	152807	5540.2698	6.7435
