Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ez	156682	37328.6574	7.572	e s̻
2	da	100387	23916.6715	7.3787	d a
3	eta	90526	21567.3405	7.3338	e t a
4	bat	53947	12852.5873	7.109	b a t
5	egin	41044	9778.5158	6.9903	e ɡ i n
6	zer	40876	9738.4907	6.9885	s̻ e r
7	bai	36179	8619.4553	6.9355	b a i̯
8	behar	28416	6769.9616	6.8306	b e a r  |  b e h a r
9	baina	28324	6748.0431	6.8292	b a i̯ n a  |  b a ɲ a
10	hori	27910	6649.4098	6.8228	h o ɾ i  |  o ɾ i
11	nire	25047	5967.3152	6.7758	n i ɾ e
12	naiz	23601	5622.8134	6.75	n a i̯ s̻
13	izan	23239	5536.5688	6.7432	i s̻ a n
14	esan	21640	5155.6155	6.7123	e s̺ a n
15	dago	21403	5099.1515	6.7075	d a ɡ o
16	zara	20665	4923.3269	6.6923	s̻ a ɾ a
17	hau	19727	4699.8534	6.6721	a u̯  |  h a u̯
18	zen	16921	4031.3387	6.6054	s̻ e n
19	egiten	16082	3831.4514	6.5834	e ɡ i t e n
20	dira	14928	3556.517	6.551	d i ɾ a
21	hemen	14714	3505.5326	6.5448	e m e n  |  h e m e n
22	egingo	12149	2894.435	6.4616	e ɡ i n ɡ o
23	ondo	11985	2855.3628	6.4557	o n d o
24	bere	11483	2735.764	6.4371	b e ɾ e
25	zu	11440	2725.5195	6.4354	s̻ u
26	oso	11367	2708.1276	6.4327	o s̺ o
27	nik	11326	2698.3596	6.4311	n i k
28	izango	10715	2552.792	6.407	i s̻ a n ɡ o
29	zergatik	10511	2504.1901	6.3987	s̻ e r ɡ a t i k
30	joan	10177	2424.6164	6.3846	j o a n  |  x o a n
31	ni	9856	2348.1398	6.3707	n i
32	ongi	9732	2318.5975	6.3652	o n ɡ i
33	asko	9522	2268.5661	6.3558	a s̺ k o
34	beste	8918	2124.6663	6.3273	b e s̺ t e
35	ikusi	8870	2113.2306	6.3249	i k u s̺ i
36	gara	8526	2031.2744	6.3078	ɡ a ɾ a
37	nola	8348	1988.8668	6.2986	n o l a
38	zaude	8176	1947.8887	6.2896	s̻ a u̯ d e
39	gure	7878	1876.8918	6.2734	ɡ u ɾ e
40	zuk	7774	1852.1144	6.2677	s̻ u k
41	ezer	7768	1850.6849	6.2673	e s̻ e r
42	nago	7393	1761.3431	6.2458	n a ɡ o
43	eman	7193	1713.6942	6.2339	e m a n
44	utzi	7116	1695.3493	6.2293	u t͡s̻ i
45	baino	6851	1632.2145	6.2128	b a i̯ n o  |  b a ɲ o
46	zerbait	6581	1567.8884	6.1953	s̻ e r b a i̯ t
47	kaixo	6518	1552.879	6.1911	k a i̯ ʃ o
48	egon	6514	1551.926	6.1909	e ɡ o n
49	non	6465	1540.252	6.1876	n o n
50	etorri	6421	1529.7693	6.1846	e t o r i
51	hil	6331	1508.3272	6.1785	h i l  |  i l
52	dakit	6011	1432.0889	6.156	d a k i t
53	mesedez	5961	1420.1767	6.1523	m e s̺ e d e s̻
54	gauza	5900	1405.6438	6.1479	ɡ a u̯ s̻ a
55	bakarrik	5836	1390.3961	6.1431	b a k a r i k
56	batean	5787	1378.7221	6.1395	b a t e a n
57	bi	5749	1369.6688	6.1366	b i
58	gero	5723	1363.4745	6.1346	ɡ e ɾ o
59	goazen	5675	1352.0387	6.131	ɡ o a s̻ e n
60	ba	5521	1315.349	6.119	b a
61	aita	5234	1246.9728	6.0959	a i̯ t a
62	hor	5224	1244.5904	6.095	h o r  |  o r
63	entzun	5214	1242.2079	6.0942	e n t͡s̻ u n
64	ikusten	4950	1179.3113	6.0716	i k u s̺ t e n
65	egun	4698	1119.2736	6.0489	e ɡ u n
66	nor	4684	1115.9382	6.0476	n o r
67	nintzen	4681	1115.2235	6.0474	n i n t͡s̻ e n
68	begira	4650	1107.8379	6.0445	b e ɡ i ɾ a
69	ama	4628	1102.5965	6.0424	a m a
70	beti	4582	1091.6373	6.0381	b e t i
71	bera	4551	1084.2517	6.0351	b e ɾ a
72	gaur	4447	1059.4742	6.0251	ɡ a u̯ r
73	gizon	4435	1056.6153	6.0239	ɡ i s̻ o n
74	daude	4346	1035.4115	6.0151	d a u̯ d e
75	arte	4119	981.33	5.9918	a r t e
76	sartu	4040	962.5086	5.9834	s̺ a r t u
77	urte	4008	954.8848	5.98	u r t e
78	esker	3839	914.6214	5.9612	e s̺ k e r
79	baten	3802	905.8064	5.957	b a t e n
80	egia	3753	894.1324	5.9514	e ɡ i a
81	lehen	3719	886.0321	5.9474	l e e n  |  l e h e n
82	batek	3691	879.3612	5.9442	b a t e k
83	egongo	3619	862.2076	5.9356	e ɡ o n ɡ o
84	horrek	3598	857.2045	5.9331	h o r e k  |  o r e k
85	ados	3590	855.2985	5.9321	a d o s̺
86	alde	3560	848.1512	5.9285	a l d e
87	zein	3492	831.9505	5.9201	s̻ e i̯ n
88	neska	3446	820.9913	5.9143	n e s̺ k a
89	jakin	3402	810.5085	5.9088	j a k i n  |  x a k i n
90	atera	3388	807.1731	5.907	a t e ɾ a
91	ezagutzen	3312	789.0665	5.8971	e s̻ a ɡ u t͡s̻ e n
92	zaitez	3303	786.9223	5.8959	s̻ a i̯ t e s̻
93	zoaz	3232	770.0069	5.8865	s̻ o a s̻
94	aurkitu	3210	764.7655	5.8835	a u̯ r k i t u
95	ziren	3208	764.289	5.8833	s̻ i ɾ e n
96	zegoen	2952	703.2984	5.8471	s̻ e ɡ o e n
97	on	2911	693.5303	5.8411	o n
98	ahal	2905	692.1009	5.8402	a a l  |  a h a l
99	hala	2861	681.6181	5.8335	a l a  |  h a l a
100	lagun	2837	675.9002	5.8299	l a ɡ u n
101	hasi	2827	673.5178	5.8283	a s̺ i  |  h a s̺ i
102	itzuli	2781	662.5585	5.8212	i t͡s̻ u l i
103	eraman	2766	658.9849	5.8189	e ɾ a m a n
104	han	2703	643.9754	5.8089	a n  |  h a n
105	ze	2679	638.2576	5.805	s̻ e
106	zatoz	2666	635.1604	5.8029	s̻ a t o s̻
107	hiru	2665	634.9221	5.8027	h i ɾ u  |  i ɾ u
108	gaude	2627	625.8688	5.7965	ɡ a u̯ d e
109	berriro	2624	625.1541	5.796	b e r i ɾ o
110	lagundu	2470	588.4644	5.7697	l a ɡ u n d u
111	agur	2459	585.8437	5.7678	a ɡ u r
112	azken	2438	580.8406	5.7641	a s̻ k e n
113	ene	2411	574.408	5.7592	e n e
114	buruz	2386	568.4519	5.7547	b u ɾ u s̻
115	ekarri	2368	564.1635	5.7514	e k a r i
116	galdu	2338	557.0161	5.7459	ɡ a l d u
117	ibili	2326	554.1572	5.7436	i b i l i  |  i b i ʎ i
118	a	2296	547.0099	5.738	a
119	azkar	2280	543.1979	5.735	a s̻ k a r
120	berri	2242	534.1446	5.7277	b e r i
121	zarete	2228	530.8092	5.7249	s̻ a ɾ e t e
122	nora	2213	527.2355	5.722	n o ɾ a
123	zuri	2172	517.4675	5.7139	s̻ u ɾ i
124	bihar	2159	514.3703	5.7113	b i a r  |  b i h a r
125	begiratu	2147	511.5114	5.7089	b e ɡ i ɾ a t u
126	nork	2088	497.455	5.6968	n o r k
127	batera	2073	493.8813	5.6936	b a t e ɾ a
128	zinen	2071	493.4048	5.6932	s̻ i n e n  |  s̻ i ɲ e n
129	ikusiko	2065	491.9753	5.6919	i k u s̺ i k o
130	gu	2048	487.9252	5.6884	ɡ u
131	zuek	1990	474.107	5.6759	s̻ u e k
132	zain	1968	468.8656	5.671	s̻ a i̯ n
133	inor	1967	468.6273	5.6708	i n o r  |  i ɲ o r
134	emakume	1895	451.4737	5.6546	e m a k u m e
