Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	তুমি	39590	13903.2483	7.1431	t̪ u m i
2	আমার	38561	13541.8832	7.1317	ɑː m ɑ ɹ
3	আর	25942	9110.3326	6.9595	a r  |  a ɹ
4	আছে	21950	7708.4188	6.887	a s e  |  a t ʃʰ e
5	সে	19393	6810.4495	6.8332	ʃ e
6	আমাদের	15706	5515.6458	6.7416	ɑ m ɑ d e r
7	তার	12866	4518.2923	6.655	t̪ a r
8	কিছু	12368	4343.4043	6.6378	k i s u  |  k i t ʃʰ u
9	কিন্তু	12057	4234.187	6.6268	k i n t̪ u
10	এখন	10583	3716.5465	6.5701	æ kʰ ɔ n
11	তারা	7744	2719.5442	6.4345	t̪ a r a
12	অনেক	7511	2637.7191	6.4212	ɔ n e k
13	কেন	7380	2591.7144	6.4136	k ɛ n oː
14	করা	6958	2443.5161	6.388	k ɔ ɹ a  |  k ɔ ɽ a  |  k ɔ ɾ a
15	হ্যাঁ	6726	2362.0421	6.3733	h ɛ̃
16	তাই	6566	2305.8532	6.3628	t̪ a͡i
17	ভালো	5512	1935.7086	6.2868	bʱ a l o  |  v a l o
18	ভাল	5146	1807.1765	6.257	bʱ ɑ l o  |  v ɑ l o
19	খুব	4910	1724.2978	6.2366	kʰ u b
20	তুই	4274	1500.9468	6.1764	t̪ ʊ i
21	বাবা	4209	1478.12	6.1697	b a b a
22	মত	4143	1454.9421	6.1628	m ɔ t̪ o
23	দেখা	3700	1299.369	6.1137	d̪ æ kʰ a
24	ঐ	3477	1221.0557	6.0867	o iː
25	তিনি	3409	1197.1754	6.0782	t̪ ɪ n̪ ɪ
26	নাম	3343	1173.9974	6.0697	n a m
27	কিভাবে	3274	1149.766	6.0606	k i bʱ a b e  |  k i v a b e
28	এ	3093	1086.2022	6.0359	e  |  æ
29	মানুষ	2924	1026.8527	6.0115	m a n u ʃ
30	শুরু	2860	1004.3771	6.0019	ʃ u r u
31	তোমাদের	2846	999.4606	5.9998	t̪ o m ɑ d̪ ɛ ɹ
32	মতো	2379	835.4591	5.9219	m ɔ t̪ o
33	হেই	2306	809.8229	5.9084	ɦ e i
34	আজ	2266	795.7757	5.9008	a d ʒ
35	খারাপ	2244	788.0497	5.8966	kʰ a ɾ a p
36	পছন্দ	2152	755.7411	5.8784	p ɔ s o n d̪ o  |  p ɔ t ʃʰ o n d̪ o
37	পর	2054	721.3254	5.8581	p ɒ ɾ  |  p ɔ ɾ  |  ɸ ɒ ɾ
38	প্লিজ	2049	719.5695	5.8571	p l i z
