Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ket	2603	24526.9863	7.3896	k e  |  k e d
2	eo	2117	19947.6104	7.2999	e w
3	eus	1132	10666.3651	7.028	ø s
4	petra	906	8536.8611	6.9313	p e t ʁ a
5	gant	864	8141.1126	6.9107	ɡ ã n t
6	mat	598	5634.7053	6.7509	m aː d
7	amañ	454	4277.8532	6.6312	ã mː ã
8	mont	452	4259.008	6.6293	m ɔ̃ n t
9	bezañ	393	3703.0755	6.5686	b e z ɑ̃
10	met	385	3627.6949	6.5596	m ɛ d
11	out	341	3213.1012	6.5069	u t
12	gwir	289	2723.1268	6.4351	ɡ w i ʁ
13	re	264	2487.5622	6.3958	ʁ eː
14	all	263	2478.1396	6.3941	a lː
15	ebet	259	2440.4493	6.3875	e b ɛ d
16	piv	258	2431.0267	6.3858	p i w
17	unan	230	2167.1943	6.3359	ỹː n ã n
18	pelec'h	199	1875.0942	6.273	p e l ɛː x
19	holl	191	1799.7136	6.2552	ɔ l
19	setu	191	1799.7136	6.2552	s e t y
20	paotr	168	1582.9941	6.1995	p ɔː t ʁ
21	ivez	147	1385.1199	6.1415	i v e
22	bremañ	131	1234.3585	6.0914	b ʁ e m ɑ̃
23	bennak	125	1177.823	6.0711	b ɛ n aː k
24	den	120	1130.7101	6.0534	d ẽː n
25	sell	118	1111.8649	6.0461	s ɛ l
26	trugarez	113	1064.752	6.0272	t ʁ y ɡ a ʁ e
27	dont	106	998.7939	5.9995	d ɔ̃ n t
28	komz	103	970.5262	5.987	k ɔ̃ m s
29	nann	99	932.8358	5.9698	n ã n
30	hep	98	923.4132	5.9654	h e p
31	laouen	96	904.5681	5.9564	l ɔ wː ɛ n
32	tud	94	885.7229	5.9473	t yː d
33	anv	86	810.3422	5.9087	ɑ̃ n o
34	penn	82	772.6519	5.888	p ɛ̃ n
35	lakaat	81	763.2293	5.8827	l a k ɑː t
36	mamm	79	744.3841	5.8718	m ã mː
37	aon	74	697.2712	5.8434	ã w n  |  ɔ̃ n
38	aze	73	687.8486	5.8375	ɑː z e
39	soudarded	70	659.5809	5.8193	s u d a r d e t
40	salud	69	650.1583	5.813	s ɑː l y t
41	c'hwi	68	640.7357	5.8067	f i  |  χ w i
42	soudard	66	621.8905	5.7937	s uː d a r t
43	buhez	56	527.6647	5.7224	b y ɛ
44	tan	54	508.8195	5.7066	t ãː n
45	bras	53	499.397	5.6984	b ʁ a z
45	reiñ	53	499.397	5.6984	r ɛ ĩ
46	deiz	52	489.9744	5.6902	d eː  |  d ɛ j  |  d ɛ j s
46	kalz	52	489.9744	5.6902	k a l s
46	nevez	52	489.9744	5.6902	n e v e
47	devezh	50	471.1292	5.6731	d eː v ɛ s
48	kentañ	48	452.284	5.6554	k ɛ̃ n t ɑ̃
49	goulenn	44	414.5937	5.6176	ɡ uː l ɛ n
50	noz	43	405.1711	5.6076	n oː s
51	bloaz	38	358.0582	5.554	b l eː  |  b l w ɑː  |  b l w ɑː s
51	div	38	358.0582	5.554	d i w
52	dindan	37	348.6356	5.5424	d ɪ̃ n d ɑ̃ n
52	skuizh	37	348.6356	5.5424	s k ɥ iː s
53	hent	36	339.213	5.5305	h ɛ̃ n d
54	bevañ	35	329.7904	5.5182	b e v ɑ̃
54	kozh	35	329.7904	5.5182	k oː s
54	kudenn	35	329.7904	5.5182	k yː d ɛ n
55	adarre	34	320.3679	5.5056	a d a ʁ e
56	azen	33	310.9453	5.4927	ɑː z ɛ n
56	dec'h	33	310.9453	5.4927	d ɛː x
57	boued	31	292.1001	5.4655	b w eː t
57	lous	31	292.1001	5.4655	l uː s
58	tad	30	282.6775	5.4513	t ɑː t
59	aes	28	263.8324	5.4213	ɛ z
59	tomm	28	263.8324	5.4213	t ɔ mː
60	breur	27	254.4098	5.4055	b r øː r
61	etre	26	244.9872	5.3891	e t r e
61	istor	26	244.9872	5.3891	i s t o ʁ
61	warc'hoazh	26	244.9872	5.3891	w a r ɣ w ɑː s
62	fiziañs	25	235.5646	5.3721	f i z j ɑ̃ z
62	pellgomz	25	235.5646	5.3721	p ɛ l ɡ ɔ̃ m s
63	dour	24	226.142	5.3544	d uː r
63	du	24	226.142	5.3544	d yː
64	gwaz	23	216.7194	5.3359	ɡ w aː  |  ɡ w aː s
64	spered	23	216.7194	5.3359	s p e ʁ ɛ d
65	c'hwec'h	22	207.2968	5.3166	x w ɛ x
65	diaes	22	207.2968	5.3166	d iː ɛ s
65	digor	22	207.2968	5.3166	d i ɡ o ʁ
65	douar	22	207.2968	5.3166	d uː a r
65	pemp	22	207.2968	5.3166	p ɛ m p  |  p ɛ̃ m p
65	sac'h	22	207.2968	5.3166	s aː x
66	el	21	197.8743	5.2964	ɛ l
67	evañ	20	188.4517	5.2752	e v ɑ̃
67	kaer	20	188.4517	5.2752	k ɛː r
67	kousket	20	188.4517	5.2752	k u s k ɛ t
68	beleg	19	179.0291	5.2529	b ɛː l e k
68	diwelus	19	179.0291	5.2529	d i ɥ eː l y s
68	drouk	19	179.0291	5.2529	d r uː k
68	ger	19	179.0291	5.2529	ɡ eː r
68	karout	19	179.0291	5.2529	k ɑː r u t
68	moal	19	179.0291	5.2529	m w ɑː l
69	loen	18	169.6065	5.2294	l w ẽː n
69	sigaretenn	18	169.6065	5.2294	s i ɡ a r e tː ɛ n
69	taol	18	169.6065	5.2294	t a w l  |  t ɔː l
