Rank	Word	Frequency	Frequency per million	Zipf value
1	ket	2603	24526.9863	7.3896
2	ar	2573	24244.3088	7.3846
3	eo	2117	19947.6104	7.2999
4	da	2073	19533.0167	7.2908
5	an	1804	16998.3416	7.2304
6	a	1790	16866.4254	7.227
7	e	1710	16112.6187	7.2072
8	ur	1440	13568.521	7.1325
9	ma	1264	11910.1462	7.0759
10	eus	1132	10666.3651	7.028
11	ha	1088	10251.7714	7.0108
12	o	1077	10148.123	7.0064
13	petra	906	8536.8611	6.9313
14	gant	864	8141.1126	6.9107
15	un	774	7293.0801	6.8629
16	din	707	6661.7669	6.8236
17	ne	704	6633.4992	6.8217
18	en	699	6586.3863	6.8186
19	ya	619	5832.5795	6.7659
20	bet	602	5672.3956	6.7538
21	mat	598	5634.7053	6.7509
22	'zo	571	5380.2955	6.7308
23	se	560	5276.6471	6.7224
24	zo	505	4758.4049	6.6775
25	'teus	502	4730.1372	6.6749
26	n'eo	464	4372.079	6.6407
27	amañ	454	4277.8532	6.6312
28	mont	452	4259.008	6.6293
28	war	452	4259.008	6.6293
29	'oa	445	4193.0499	6.6225
30	deus	438	4127.0918	6.6156
31	'm	436	4108.2466	6.6137
32	hag	426	4014.0208	6.6036
33	evit	419	3948.0627	6.5964
34	bezañ	393	3703.0755	6.5686
35	dit	391	3684.2304	6.5663
36	met	385	3627.6949	6.5596
37	ho	381	3590.0045	6.5551
38	on	372	3505.2013	6.5447
39	er	371	3495.7787	6.5435
40	out	341	3213.1012	6.5069
41	ken	339	3194.256	6.5044
42	'meus	335	3156.5657	6.4992
43	c'hoant	331	3118.8753	6.494
44	'vo	329	3100.0302	6.4914
45	'neus	314	2958.6914	6.4711
46	ober	307	2892.7333	6.4613
47	na	302	2845.6204	6.4542
48	oa	296	2789.0849	6.4455
49	gwir	289	2723.1268	6.4351
50	graet	287	2704.2816	6.4321
50	neuze	287	2704.2816	6.4321
51	perak	283	2666.5913	6.426
52	hon	281	2647.7461	6.4229
53	deomp	280	2638.3235	6.4213
54	me	272	2562.9429	6.4087
55	'mañ	270	2544.0977	6.4055
56	re	264	2487.5622	6.3958
57	all	263	2478.1396	6.3941
57	te	263	2478.1396	6.3941
58	'ran	259	2440.4493	6.3875
58	ebet	259	2440.4493	6.3875
59	piv	258	2431.0267	6.3858
60	ret	254	2393.3363	6.379
61	gwelet	251	2365.0686	6.3738
62	'vit	249	2346.2234	6.3704
63	'rez	247	2327.3783	6.3669
63	ra	247	2327.3783	6.3669
64	d'ar	240	2261.4202	6.3544
65	'ta	239	2251.9976	6.3526
66	lâret	233	2195.4621	6.3415
67	tu	230	2167.1943	6.3359
67	unan	230	2167.1943	6.3359
68	ac'hanon	228	2148.3492	6.3321
68	oc'h	228	2148.3492	6.3321
68	pa	228	2148.3492	6.3321
69	em	227	2138.9266	6.3302
70	chom	226	2129.504	6.3283
71	al	209	1969.3201	6.2943
72	anezhañ	208	1959.8975	6.2922
72	pep	208	1959.8975	6.2922
73	hini	207	1950.4749	6.2901
74	lâr	200	1884.5168	6.2752
