Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	и	8559435	18302.7908	7.2625	i
2	в	5612906	12002.1759	7.0793	f  |  v
3	по	1503374	3214.6911	6.5071	p o
4	искаш	672090	1437.1419	6.1575	i s k ə ʃ
5	каза	551657	1179.6179	6.0717	k a z ə  |  k ɐ z a
6	можеш	479527	1025.381	6.0109	m ɔ ʒ ɛ ʃ
7	й	476698	1019.3317	6.0083	j
8	разбира	352103	752.9081	5.8767	r ɐ z b i ɾ ə
9	иска	325464	695.9454	5.8426	i s k a  |  i s k ə
10	виж	319104	682.3457	5.834	v i ʃ
11	кажи	297087	635.2664	5.803	k ɐ ʒ i
12	можем	280253	599.2699	5.7776	m ɔ ʒ ɛ m
13	кажеш	267521	572.0449	5.7574	k a ʒ ɛ ʃ
14	обичам	232680	497.5437	5.6968	o b i t ʃ ə m
15	приятел	209703	448.4116	5.6517	p r i j a t ɛ l
16	дай	202679	433.3921	5.6369	d̪ a j
17	чакай	192555	411.7438	5.6146	t ʃ a k ə j
18	исках	187653	401.2617	5.6034	i s k a x  |  i s k ə x
19	казва	183051	391.4212	5.5926	k a z v ə  |  k ɐ z v a
20	искате	169546	362.5432	5.5594	i s k ə t̪ ɛ
21	у	162832	348.1865	5.5418	u
22	видях	154142	329.6046	5.518	v i dʲ a x
23	помощ	138705	296.5953	5.4722	p ɔ m o ʃ t
24	спри	136415	291.6986	5.4649	s p r i
25	могат	132887	284.1546	5.4536	m ɔ ɡ ə t̪
26	давай	128262	274.2649	5.4382	d̪ a v ə j
27	можете	128051	273.8137	5.4375	m ɔ ʒ ɛ t̪ ɛ
28	кажете	127088	271.7545	5.4342	k a ʒ ɛ t̪ ɛ  |  k ɐ ʒ ɛ t̪ ɛ
29	вървим	120374	257.3978	5.4106	v ə r v i m
30	казваш	116146	248.357	5.3951	k a z v ə ʃ
31	виждаш	115987	248.017	5.3945	v i ʒ d̪ ə ʃ
32	вземи	115263	246.4689	5.3918	v z ɛ m i
33	г	109892	234.984	5.371	ɡ
34	тръгваме	108977	233.0274	5.3674	t̪ r ɤ ɡ v ə m ɛ
35	видиш	103839	222.0408	5.3464	v i d̪ i ʃ
36	искаше	103771	221.8954	5.3461	i s k ə ʃ ɛ
37	слушай	103697	221.7371	5.3458	s ɫ u ʃ ə j
38	голям	101812	217.7064	5.3379	ɡ o ʎ a m
39	каже	101480	216.9965	5.3365	k a ʒ ɛ
40	чух	100372	214.6272	5.3317	t ʃ u x
41	разбираш	99683	213.1539	5.3287	r ɐ z b i ɾ ə ʃ
42	искал	99546	212.861	5.3281	i s k a ɫ  |  i s k ə ɫ
43	казал	96654	206.677	5.3153	k a z ə ɫ  |  k ɐ z a ɫ
44	погледни	96609	206.5807	5.3151	p o̝ ɡ l ɛ d̪ n i
45	искат	96191	205.6869	5.3132	i s k ə t̪
46	виждал	91780	196.2548	5.2928	v i ʒ d̪ a ɫ  |  v i ʒ d̪ ə ɫ
47	вижте	90608	193.7487	5.2872	v i ʃ t̪ ɛ
48	разбрах	90138	192.7437	5.285	r ɐ z b r a x
49	получи	79627	170.2678	5.2311	p o ɫ u t ʃ i  |  p o̝ ɫ o t ʃ i
50	помогне	78708	168.3027	5.2261	p o m ɔ ɡ n ɛ
51	убие	78613	168.0996	5.2256	o b i ɛ
52	разбра	77141	164.952	5.2174	r ɐ z b r a
53	живее	75744	161.9647	5.2094	ʒ i v eː
54	казват	75664	161.7937	5.209	k a z v ə t̪
55	искаме	74381	159.0502	5.2015	i s k ə m ɛ
56	види	73136	156.388	5.1942	v i d̪ i
57	обичаш	70334	150.3964	5.1772	o b i t ʃ ə ʃ
58	обича	68519	146.5154	5.1659	o b i t ʃ ə  |  o̝ b i t ʃ a
59	агент	68036	145.4826	5.1628	ə ɡʲ ɛ n t
60	можеше	67811	145.0015	5.1614	m ɔ ʒ ɛ ʃ ɛ
61	отвори	66240	141.6422	5.1512	o t̪ v ɔ ɾ i  |  o̝ t̪ v o r i
62	забрави	63825	136.4781	5.1351	z ɐ b r a v i  |  z ə b r ɐ v i
63	спрете	63490	135.7618	5.1328	s p r ɛ t̪ ɛ
64	можех	61873	132.3041	5.1216	m ɔ ʒ ɛ x
65	истина	60912	130.2492	5.1148	i s t i n ə
66	игра	60372	129.0945	5.1109	i ɡ r a
67	убил	60292	128.9234	5.1103	o b i ɫ
68	умре	59400	127.0161	5.1039	u m r ɛ
69	взе	59354	126.9177	5.1035	v z ɛ
70	секс	57929	123.8706	5.093	s ɛ k s
71	спаси	57843	123.6867	5.0923	s p ɐ s i
72	излезе	57022	121.9311	5.0861	i z l ɛ z ɛ
73	казаха	55687	119.0765	5.0758	k a z ə x ə  |  k ɐ z a x ə
74	мразя	55460	118.5911	5.0741	m r a zʲ ə
75	чу	54998	117.6032	5.0704	t ʃ u
76	казвай	54306	116.1235	5.0649	k a z v ə j
77	възможност	53620	114.6566	5.0594	v ə z m o ʒ n o s t
78	интересува	53469	114.3337	5.0582	i n t̪ ɛ ɾ ɛ s u v ə
79	съпруга	53108	113.5618	5.0552	s ə p r u ɡ ə
80	сила	52919	113.1576	5.0537	s i l ə
81	вземем	52903	113.1234	5.0536	v z ɛ m ɛ m
82	уби	52748	112.792	5.0523	o b i
83	помогнеш	52692	112.6722	5.0518	p o m ɔ ɡ n ɛ ʃ
84	чакам	52638	112.5568	5.0514	t ʃ a k ə m
85	чуй	52391	112.0286	5.0493	t ʃ u j
86	вземеш	52339	111.9174	5.0489	v z ɛ m ɛ ʃ
87	чака	51786	110.7349	5.0443	t ʃ a k ə  |  t ʃ ɐ k a
88	започва	51655	110.4548	5.0432	z ɐ p ɔ t ʃ v ə
89	боли	51299	109.6936	5.0402	b ɔ l i
90	грижа	50718	108.4512	5.0352	ɡ r i ʒ ə
91	вземе	49988	106.8902	5.0289	v z ɛ m ɛ
92	пише	49596	106.052	5.0255	p i ʃ ɛ
93	питам	49556	105.9665	5.0252	p i t̪ ə m
94	приятелка	49410	105.6543	5.0239	p r i j a t ɛ l k ə
95	тръгвай	48653	104.0356	5.0172	t̪ r ɤ ɡ v ə j
96	разбереш	48625	103.9757	5.0169	r ə z b ɛ r ɛ ʃ
97	разбере	48359	103.4069	5.0145	r ə z b ɛ r ɛ
98	помогни	48043	102.7312	5.0117	p o̝ m o ɡ n i
99	млъкни	47955	102.543	5.0109	m ɫ ɐ k n i
100	разберем	47923	102.4746	5.0106	r ə z b ɛ r ɛ m
101	вземете	46120	98.6192	4.994	v z ɛ m ɛ t̪ ɛ
102	помогнете	46064	98.4995	4.9934	p o m ɔ ɡ n ɛ t̪ ɛ  |  p o̝ m o ɡ n ɛ t̪ ɛ
103	използва	45992	98.3455	4.9928	i s p ɔ ɫ z v ə
104	живееш	45928	98.2087	4.9921	ʒ i v ɛ ɛ ʃ
105	седни	45188	96.6263	4.9851	s ɛ d̪ n i
106	взех	45124	96.4894	4.9845	v z ɛ x
