Rank	Word	Frequency	Frequency per million	Zipf value
1	que	107826	31464.4145	7.4978
2	no	100577	29349.1034	7.4676
3	de	96149	28056.9806	7.448
4	la	91510	26703.2865	7.4266
5	el	77970	22752.2156	7.357
6	a	76905	22441.4408	7.3511
7	i	61178	17852.1873	7.2517
8	és	53854	15714.9906	7.1963
9	per	46600	13598.2204	7.1335
10	un	44977	13124.6172	7.1181
11	en	42075	12277.7924	7.0891
12	una	35026	10220.8427	7.0095
13	què	30336	8852.2664	6.9471
14	els	28787	8400.2569	6.9243
15	amb	26714	7795.3404	6.8918
16	ho	25099	7324.0716	6.8648
17	va	24828	7244.9918	6.86
18	ha	22878	6675.9675	6.8245
19	si	21542	6286.113	6.7984
20	com	21450	6259.2667	6.7965
21	les	20444	5965.7086	6.7757
22	això	20380	5947.0329	6.7743
23	em	19356	5648.2222	6.7519
24	però	18849	5500.2759	6.7404
25	bé	18231	5319.939	6.7259
26	sí	18110	5284.6303	6.723
27	al	17141	5001.869	6.6991
28	del	16280	4750.6229	6.6768
29	hi	15558	4539.9381	6.657
30	et	14378	4195.6054	6.6228
31	més	14288	4169.3428	6.6201
32	tu	14159	4131.6996	6.6161
33	es	14063	4103.6861	6.6132
34	jo	13697	3996.8847	6.6017
35	aquí	12855	3751.1829	6.5742
36	he	12441	3630.3747	6.56
37	tot	12155	3546.9178	6.5499
38	vaig	12082	3525.6159	6.5472
39	ser	11307	3299.4652	6.5184
40	molt	11306	3299.1734	6.5184
41	meu	10923	3187.4112	6.5034
42	fer	10600	3093.1574	6.4904
43	està	10523	3070.6883	6.4872
44	ja	10254	2992.1921	6.476
45	ara	10008	2920.4075	6.4654
46	aquest	9117	2660.4072	6.4249
47	li	9059	2643.4824	6.4222
48	dir	8576	2502.5395	6.3984
49	aquesta	8572	2501.3722	6.3982
50	ens	8475	2473.0669	6.3932
51	quan	8459	2468.398	6.3924
52	cap	8418	2456.4339	6.3903
53	res	8156	2379.9804	6.3766
54	meva	8082	2358.3866	6.3726
55	has	8075	2356.344	6.3722
56	només	7977	2327.7469	6.3669
57	sé	7500	2188.5548	6.3402
58	cosa	7412	2162.8757	6.335
59	on	7243	2113.5603	6.325
60	era	7229	2109.475	6.3242
61	seu	7163	2090.2157	6.3202
62	qui	7127	2079.7107	6.318
63	així	6922	2019.8902	6.3053
64	sóc	6908	2015.8049	6.3044
65	o	6722	1961.5287	6.2926
66	us	6675	1947.8138	6.2895
67	ets	6382	1862.3142	6.2701
68	teu	6336	1848.8911	6.2669
69	perquè	6227	1817.0841	6.2594
70	mi	6202	1809.7889	6.2576
71	puc	6200	1809.2053	6.2575
72	dels	6047	1764.5588	6.2466
73	seva	6038	1761.9325	6.246
74	són	5967	1741.2142	6.2409
75	fet	5963	1740.047	6.2406
76	vull	5939	1733.0436	6.2388
77	ell	5898	1721.0795	6.2358
78	estic	5772	1684.3118	6.2264
79	fa	5766	1682.5609	6.226
80	mai	5619	1639.6653	6.2148
81	tots	5513	1608.7337	6.2065
82	d'acord	5498	1604.3566	6.2053
83	vas	5476	1597.9368	6.2036
84	té	5435	1585.9727	6.2003
85	gràcies	5399	1575.4676	6.1974
86	tinc	5394	1574.0086	6.197
87	teva	5358	1563.5035	6.1941
88	veure	5332	1555.9166	6.192
89	hem	5144	1501.0568	6.1764
90	van	5119	1493.7616	6.1743
91	senyor	5053	1474.5023	6.1686
92	estat	4965	1448.8233	6.161
93	pot	4873	1421.977	6.1529
94	tan	4711	1374.7042	6.1382
95	estàs	4661	1360.1139	6.1336
96	casa	4651	1357.1958	6.1326
97	saps	4626	1349.9006	6.1303
98	vols	4572	1334.143	6.1252
99	pare	4419	1289.4965	6.1104
100	temps	4369	1274.9061	6.1055
101	tens	4332	1264.1092	6.1018
102	fins	4310	1257.6895	6.0996
103	potser	4298	1254.1878	6.0984
104	alguna	4293	1252.7288	6.0979
105	encara	4220	1231.4268	6.0904
106	crec	4144	1209.2495	6.0825
107	dit	4116	1201.0789	6.0796
108	també	4017	1172.1899	6.069
109	ella	4004	1168.3965	6.0676
110	pots	3969	1158.1832	6.0638
111	dia	3882	1132.796	6.0542
112	nit	3874	1130.4615	6.0533
113	hola	3779	1102.7398	6.0425
114	dos	3773	1100.989	6.0418
115	sobre	3763	1098.0709	6.0406
116	ni	3717	1084.6478	6.0353
117	home	3695	1078.228	6.0327
118	han	3643	1063.054	6.0266
119	gent	3615	1054.8834	6.0232
120	sempre	3606	1052.2571	6.0221
121	vida	3589	1047.2964	6.0201
122	després	3586	1046.421	6.0197
123	als	3560	1038.834	6.0165
124	vol	3547	1035.0405	6.015
125	déu	3521	1027.4535	6.0118
126	sap	3424	999.1482	5.9996
127	algú	3367	982.5152	5.9923
128	coses	3294	961.2133	5.9828
129	abans	3286	958.8788	5.9818
130	pel	3267	953.3345	5.9792
131	mare	3262	951.8754	5.9786
132	mateix	3240	945.4557	5.9756
133	passa	3225	941.0786	5.9736
134	millor	3214	937.8687	5.9721
135	nosaltres	3208	936.1178	5.9713
136	sense	3207	935.826	5.9712
137	anys	3204	934.9506	5.9708
138	sembla	3154	920.3602	5.964
139	anar	3080	898.7665	5.9536
140	tant	3077	897.8911	5.9532
141	llavors	3019	880.9663	5.945
142	parlar	2981	869.8776	5.9395
143	tenim	2945	859.3725	5.9342
144	bona	2938	857.3299	5.9331
145	mica	2936	856.7462	5.9329
146	gran	2928	854.4118	5.9317
147	mort	2902	846.8248	5.9278
148	sigui	2900	846.2412	5.9275
149	ningú	2897	845.3658	5.927
150	veritat	2890	843.3231	5.926
151	lloc	2876	839.2378	5.9239
152	dona	2867	836.6115	5.9225
153	vostè	2834	826.9819	5.9175
154	estava	2808	819.3949	5.9135
155	havia	2784	812.3915	5.9098
156	allà	2751	802.7619	5.9046
157	se	2749	802.1783	5.9043
158	fill	2721	794.0077	5.8998
159	sento	2684	783.2108	5.8939
160	fora	2669	778.8337	5.8914
161	doncs	2668	778.5419	5.8913
162	anem	2648	772.7057	5.888
163	vist	2624	765.7024	5.8841
164	oh	2621	764.8269	5.8836
165	plau	2614	762.7843	5.8824
166	podria	2568	749.3612	5.8747
167	oi	2546	742.9414	5.871
168	vegada	2505	730.9773	5.8639
169	moment	2500	729.5183	5.863
170	podem	2497	728.6428	5.8625
171	vinga	2485	725.1412	5.8604
172	seus	2479	723.3903	5.8594
173	mira	2455	716.3869	5.8551
174	diu	2441	712.3016	5.8527
175	s'ha	2376	693.3342	5.8409
176	tenir	2374	692.7505	5.8406
177	bon	2364	689.8325	5.8387
178	hauria	2353	686.6226	5.8367
179	d'un	2340	682.8291	5.8343
180	altre	2336	681.6619	5.8336
181	prou	2335	681.3701	5.8334
182	passat	2327	679.0356	5.8319
183	sr	2315	675.5339	5.8296
184	des	2301	671.4486	5.827
185	segur	2293	669.1142	5.8255
186	estem	2281	665.6125	5.8232
187	clar	2227	649.8549	5.8128
188	tota	2207	644.0187	5.8089
189	merda	2201	642.2679	5.8077
190	estar	2187	638.1826	5.8049
191	massa	2174	634.3891	5.8024
192	meus	2150	627.3857	5.7975
193	serà	2135	623.0086	5.7945
194	nostre	2130	621.5496	5.7935
195	manera	2118	618.0479	5.791
196	cop	2111	616.0052	5.7896
197	homes	2098	612.2117	5.7869
198	estan	2065	602.5821	5.78
199	passar	2062	601.7067	5.7794
200	ei	2049	597.9132	5.7766
201	d'en	2019	589.159	5.7702
201	tenia	2019	589.159	5.7702
202	món	2007	585.6573	5.7676
203	saber	1994	581.8638	5.7648
204	volia	1992	581.2802	5.7644
205	fas	1976	576.6112	5.7609
206	tres	1941	566.398	5.7531
207	rei	1934	564.3553	5.7516
208	tornar	1911	557.6438	5.7464
209	som	1887	550.6404	5.7409
210	vam	1878	548.0141	5.7388
211	quin	1868	545.096	5.7365
212	d'una	1867	544.8042	5.7362
213	primer	1861	543.0534	5.7348
214	haver	1858	542.178	5.7341
215	matar	1855	541.3026	5.7334
215	quina	1855	541.3026	5.7334
216	feina	1828	533.4238	5.7271
217	altra	1817	530.2139	5.7245
218	nou	1816	529.9221	5.7242
219	nom	1811	528.463	5.723
220	ells	1802	525.8368	5.7209
221	aquests	1801	525.545	5.7206
222	porta	1800	525.2532	5.7204
223	germà	1789	522.0433	5.7177
224	trobar	1784	520.5842	5.7165
225	part	1777	518.5416	5.7148
226	sentit	1776	518.2498	5.7145
227	cada	1768	515.9153	5.7126
228	nostra	1750	510.6628	5.7081
229	nostres	1741	508.0365	5.7059
230	d'aquí	1736	506.5775	5.7046
231	diners	1716	500.7413	5.6996
232	t'ho	1708	498.4069	5.6976
233	raó	1706	497.8233	5.6971
234	deixar	1698	495.4888	5.695
235	totes	1687	492.2789	5.6922
236	mal	1678	489.6527	5.6899
237	amic	1669	487.0264	5.6876
238	qualsevol	1662	484.9837	5.6857
239	creus	1656	483.2329	5.6842
240	família	1619	472.436	5.6743
240	m'ha	1619	472.436	5.6743
241	uns	1613	470.6852	5.6727
242	fent	1600	466.8917	5.6692
243	aquestes	1592	464.5572	5.667
244	necessito	1591	464.2654	5.6668
245	dins	1579	460.7637	5.6635
246	noi	1563	456.0948	5.6591
247	poder	1536	448.216	5.6515
248	ben	1532	447.0488	5.6504
249	morir	1528	445.8816	5.6492
249	seves	1528	445.8816	5.6492
250	policia	1520	443.5471	5.6469
251	espera	1500	437.711	5.6412
252	terra	1499	437.4192	5.6409
253	greu	1493	435.6683	5.6392
254	durant	1487	433.9175	5.6374
255	tothom	1481	432.1666	5.6357
256	noia	1472	429.5404	5.633
257	altres	1466	427.7895	5.6312
257	avui	1466	427.7895	5.6312
258	debò	1463	426.9141	5.6303
259	sol	1439	419.9107	5.6232
260	teus	1434	418.4517	5.6216
261	donar	1430	417.2844	5.6204
262	cotxe	1423	415.2418	5.6183
263	punt	1419	414.0746	5.6171
264	problema	1400	408.5302	5.6112
265	fer-ho	1380	402.6941	5.605
265	heu	1380	402.6941	5.605
266	venir	1373	400.6514	5.6028
267	deu	1372	400.3596	5.6025
268	sortir	1370	399.776	5.6018
269	entre	1365	398.317	5.6002
270	idea	1360	396.8579	5.5986
271	bo	1356	395.6907	5.5974
272	guerra	1339	390.73	5.5919
273	ciutat	1337	390.1464	5.5912
274	dic	1326	386.9365	5.5876
275	dues	1321	385.4775	5.586
275	m'ho	1321	385.4775	5.586
275	tenen	1321	385.4775	5.586
276	trobat	1319	384.8938	5.5853
277	algun	1304	380.5167	5.5804
277	collons	1304	380.5167	5.5804
278	me	1302	379.9331	5.5797
278	pensar	1302	379.9331	5.5797
279	vosaltres	1296	378.1823	5.5777
280	sang	1293	377.3068	5.5767
281	escolta	1285	374.9724	5.574
