Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	je	21014846	39154.3466	7.5928	j e
2	ne	10445648	19462.0756	7.2892	n e
3	se	10239809	19078.5614	7.2805	s e
4	u	9051511	16864.5537	7.227	u
5	i	9040205	16843.4886	7.2264	i
6	što	6381831	11890.4713	7.0752	ʃ t ô
7	na	5249048	9779.8977	6.9903	n a
8	ti	4655952	8674.8558	6.9383	t îː
9	mi	4269847	7955.4744	6.9007	m îː
10	za	4261108	7939.1921	6.8998	z a
11	si	4201598	7828.3145	6.8937	s i
12	li	4011659	7474.4248	6.8736	l i
13	ja	3247038	6049.8017	6.7817	j â  |  j âː
14	ali	2882493	5370.5904	6.73	â l i
15	s	2418714	4506.4887	6.6538	s
16	samo	2347421	4373.6573	6.6408	s â m o
17	od	2213819	4124.7334	6.6154	ô d
18	kako	2182295	4065.9986	6.6092	k â k o  |  k ǎ k o
19	dobro	1940775	3616.0045	6.5582	d ǒ b r o
20	ako	1895864	3532.3274	6.5481	â k o
21	sve	1801492	3356.4958	6.5259	s ʋ ê
22	kao	1674308	3119.5297	6.4941	k â o
23	biti	1546597	2881.5817	6.4596	b î t i
24	tako	1520227	2832.4497	6.4522	t ǎ k oː
25	ovdje	1495118	2785.6673	6.4449	ǒː ʋ d j e
26	nisam	1449892	2701.4033	6.4316	n ǐː s a m
27	bio	1415480	2637.2877	6.4212	b î o
28	zašto	1323091	2465.1508	6.3918	z â ʃ t o
29	još	1290549	2404.5193	6.381	j ô ʃ
30	on	1248139	2325.502	6.3665	ôː n
31	pa	1218857	2270.9445	6.3562	p a
32	nešto	1208989	2252.5587	6.3527	n ê ʃ t o
33	bilo	1172702	2184.9497	6.3394	b î l o
34	koji	1164716	2170.0703	6.3365	k ǒ j iː
35	kad	1141749	2127.2788	6.3278	k â d  |  k âː d
36	vas	1139863	2123.7648	6.3271	ʋ âː s
37	iz	1016682	1894.257	6.2774	i z
38	hvala	1008749	1879.4764	6.274	x ʋ ǎː l a
39	ih	1002064	1867.0211	6.2711	i x
40	gdje	965240	1798.4115	6.2549	ɡ d j ê
41	ili	962698	1793.6753	6.2537	i l i
42	možda	958240	1785.3693	6.2517	m ǒ ʒ d a
43	više	910701	1696.7958	6.2296	ʋ î ʃ e  |  ʋ î ʃ eː
44	moj	870432	1621.7676	6.21	m ôː j
45	sada	861357	1604.8593	6.2054	s â d a
46	onda	853661	1590.5203	6.2015	ô n d aː
47	tko	844811	1574.0312	6.197	t k ô
48	nas	841647	1568.1361	6.1954	n âː s
49	do	819852	1527.5282	6.184	d ô  |  d ôː
50	ništa	795035	1481.2897	6.1706	n î ʃ t a
51	zar	783982	1460.6961	6.1646	z â r  |  z âː r
52	mene	755564	1407.7483	6.1485	m ê n e
53	malo	748824	1395.1905	6.1446	m â l o
54	ona	714972	1332.1183	6.1245	ǒ n a
55	može	708469	1320.0021	6.1206	m o ʒ e
56	tebe	690624	1286.7537	6.1095	t ê b e
57	kada	680675	1268.217	6.1032	k ǎ d a  |  k ǎː d a
58	reći	676252	1259.9762	6.1004	r ê t͡ɕ i
59	sad	670632	1249.5051	6.0967	s â d  |  s âː d
60	prije	668716	1245.9353	6.0955	p r î j e
61	vi	665325	1239.6173	6.0933	ʋ îː
62	jer	651318	1213.5198	6.084	j ê r
63	tamo	643283	1198.5491	6.0787	t â m o
64	šta	642601	1197.2785	6.0782	ʃ t â
65	hej	632403	1178.2778	6.0712	ɦ ɛ j
66	zbog	627539	1169.2153	6.0679	z b ô ɡ
67	ljudi	612715	1141.5956	6.0575	ʎ ûː d i
68	hajde	579524	1079.7549	6.0333	x ǎ j d e
69	moram	570773	1063.4503	6.0267	m ôː r aː m
70	po	551244	1027.0643	6.0116	p ô  |  p ôː
71	treba	548613	1022.1623	6.0095	t r ěː b a
72	koliko	540615	1007.2606	6.0031	k o l ǐ k o
73	jedan	533039	993.1452	5.997	j ě d a n
74	stvarno	521161	971.0144	5.9872	s t ʋ âː r n o
75	već	519935	968.7302	5.9862	ʋ ê t͡ɕ
76	neće	509144	948.6246	5.9771	n êː t͡ɕ eː  |  n ěː t͡ɕ eː
77	zato	504948	940.8068	5.9735	z ǎ t oː
78	nego	497297	926.5516	5.9669	n ê ɡ o
79	baš	496046	924.2208	5.9658	b â ʃ
80	bez	495183	922.6128	5.965	b ê z
81	vrijeme	482086	898.2108	5.9534	ʋ r i j ěː m e
82	dok	478915	892.3027	5.9505	d ô k
83	ono	462058	860.8952	5.935	ǒ n o
84	g	452384	842.8708	5.9258	ɡ
85	toga	447362	833.5139	5.9209	t ǒː ɡ a
86	oni	438964	817.867	5.9127	ǒ n i
87	ovaj	437979	816.0318	5.9117	ǒ ʋ aː j
88	taj	434026	808.6666	5.9078	t âː j
89	joj	431167	803.3398	5.9049	j o j  |  j ôː j
90	žao	427870	797.1969	5.9016	ʒ â o
91	naravno	409515	762.9983	5.8825	n ǎː r a ʋ n o
92	tvoj	408287	760.7103	5.8812	t ʋ ôː j
93	nikad	404159	753.0192	5.8768	n î k a d
94	posao	399207	743.7927	5.8715	p ǒ s a o
95	dan	378431	705.0834	5.8482	d âː n
96	radi	374318	697.4201	5.8435	r â d i
97	put	373527	695.9464	5.8426	p û t  |  p ûː t
98	godina	364603	679.3194	5.8321	ɡ ô d i n a
99	bolje	362785	675.9321	5.8299	b ô ʎ eː
100	neću	353804	659.199	5.819	n ěː t͡ɕ u
101	puno	348635	649.5682	5.8126	p û n o
102	netko	347607	647.6529	5.8113	n ê t k o
103	meni	345997	644.6531	5.8093	m ê n i  |  m ě n iː
104	im	339599	632.7325	5.8012	i m
105	vidjeti	335292	624.7078	5.7957	ʋ î d j e t i
106	kod	333236	620.8772	5.793	k ô d  |  k ôː d
107	dobar	332403	619.3251	5.7919	d ô b a r
108	dva	326996	609.2509	5.7848	d ʋ âː
109	njega	326842	608.964	5.7846	ɲ ê ɡ a
110	život	326572	608.461	5.7842	ʒ ǐ ʋ o t
111	mora	325416	606.3071	5.7827	m ô r a  |  m ôː r a  |  m ǒː r a
112	nisu	324237	604.1104	5.7811	n ǐː s u
113	mama	310384	578.2999	5.7622	m â m a
114	tata	309969	577.5267	5.7616	t â t a
115	jako	309841	577.2882	5.7614	j âː k o
116	pomoći	304488	567.3146	5.7538	p ǒ m o t͡ɕ i
117	odmah	290255	540.796	5.733	ô d m aː x
118	ići	287831	536.2797	5.7294	ǐ t͡ɕ i
119	nikada	284560	530.1852	5.7244	n î k a d a
120	kući	284384	529.8573	5.7242	k û t͡ɕ i
121	ime	283782	528.7357	5.7232	î m e
122	danas	281267	524.0498	5.7194	d ǎ n a s
123	nitko	280171	522.0077	5.7177	n î t k o
124	čovjek	279061	519.9396	5.716	t͡ʃ ô ʋ j e k
125	opet	277462	516.9604	5.7135	ô p eː t
126	bit	273395	509.3829	5.707	b î t  |  b îː t
127	sigurno	272777	508.2314	5.7061	s î ɡ uː r n o
128	tri	272123	507.0129	5.705	t r îː
129	upravo	270043	503.1375	5.7017	u p r a ʋ o
130	vrlo	269958	502.9791	5.7015	ʋ r̂ l o
131	učiniti	268073	499.4671	5.6985	u t͡ʃ ǐ n i t i
132	čemu	267528	498.4516	5.6976	t͡ʃ ě m u
133	nakon	255034	475.1731	5.6769	n ǎ k o n
134	tobom	251623	468.8178	5.671	t ô b oː m
135	mnogo	249323	464.5325	5.667	m n ô ɡ o
136	nismo	248681	463.3364	5.6659	n ǐː s m o
137	zdravo	246435	459.1517	5.662	z d r â ʋ o
138	mnom	246111	458.548	5.6614	m n ôː m
139	no	246017	458.3729	5.6612	n o  |  n ôː
140	prema	243327	453.3609	5.6564	p r ê m a
141	sranje	241947	450.7897	5.654	s r ǎː ɲ e
142	toliko	241253	449.4967	5.6527	t o l ǐ k oː
143	neki	241063	449.1427	5.6524	n ê k iː
144	čak	240193	447.5217	5.6508	t͡ʃ â k
145	oko	239674	446.5547	5.6499	ô k o
146	mjesto	237828	443.1153	5.6465	m j ê s t o
147	god	237751	442.9718	5.6464	ɡ ôː d
148	žena	231336	431.0196	5.6345	ʒ ě n a
149	dovoljno	227610	424.0774	5.6274	d ô ʋ oː ʎ n o
150	otac	227270	423.4439	5.6268	ǒ t a t͡s
151	tebi	224175	417.6774	5.6208	t ê b i
152	jednom	223869	417.1072	5.6202	j ě d n oː m
153	drugi	223516	416.4495	5.6196	d r û ɡ iː
154	znati	221136	412.0152	5.6149	z n â t i
155	vrata	220275	410.411	5.6132	ʋ r ǎː t a
156	prvi	219493	408.954	5.6117	p r̩̂ː ʋ iː  |  p ř̩ ʋ iː
157	njih	216563	403.4949	5.6058	ɲ îː x
158	novac	216527	403.4278	5.6058	n ǒ ʋ a t͡s
159	doći	215412	401.3504	5.6035	d ôː t͡ɕ i
160	ju	213688	398.1383	5.6	j u
161	način	213091	397.0259	5.5988	n ǎː t͡ʃ i n
162	puta	207410	386.4412	5.5871	p û t a  |  p ǔː t aː
163	lijepo	206034	383.8775	5.5842	l i j êː p o
164	naći	205963	383.7452	5.584	n ǎː t͡ɕ i
165	ovamo	203026	378.2731	5.5778	ǒ ʋ aː m o
166	ubiti	201863	376.1062	5.5753	ǔ b i t i
167	vratiti	201028	374.5504	5.5735	ʋ r ǎː t i t i
168	siguran	199942	372.527	5.5712	s î ɡ uː r a n
169	sebe	199911	372.4693	5.5711	s ê b e
170	drago	197716	368.3796	5.5663	d r âː ɡ o
171	poput	196382	365.8941	5.5634	p ô p uː t
172	problem	196298	365.7376	5.5632	p r ǒ b l eː m
173	otići	195364	363.9974	5.5611	ǒ t iː t͡ɕ i
174	vaš	194623	362.6168	5.5594	ʋ â ʃ  |  ʋ âː ʃ
175	kroz	194340	362.0895	5.5588	k r ô z
176	odavde	192297	358.2831	5.5542	ô d aː ʋ d e
177	oprostite	190776	355.4492	5.5508	o p r ǒ s t i t e
178	ma	190597	355.1157	5.5504	m â
179	razgovarati	190449	354.8399	5.55	r a z ɡ o ʋ ǎː r a t i
180	zajedno	190269	354.5045	5.5496	z â j e d n o
181	dugo	189388	352.8631	5.5476	d û ɡ o
182	nekoliko	189353	352.7979	5.5475	n ê k o l i k o
183	sutra	189127	352.3768	5.547	s û t r a
184	točno	188909	351.9706	5.5465	t ô t͡ʃ n o
185	gore	188827	351.8178	5.5463	ɡ ô r e  |  ɡ ô r eː
186	pod	188313	350.8602	5.5451	p ô d
187	naš	187061	348.5275	5.5422	n â ʃ
188	imati	186288	347.0872	5.5404	ǐ m a t i
