Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	se	14855716	23248.6875	7.3664	s ɛ
2	že	9227341	14440.4731	7.1596	ʒ ɛ
3	na	9197829	14394.2879	7.1582	n a
4	co	7864661	12307.9255	7.0902	t͡s o
5	v	6091460	9532.9266	6.9792	v
6	si	5890410	9218.2902	6.9647	s ɪ
7	tak	5002804	7829.2172	6.8937	t a k
8	ale	4540997	7106.505	6.8517	a l ɛ
9	s	4146213	6488.6816	6.8122	s
10	mě	3516560	5503.2961	6.7406	m ɲ ɛ
11	do	3156061	4939.1275	6.6937	d o
12	jak	2982375	4667.3149	6.6691	j a k
13	ty	2875393	4499.8917	6.6532	t ɪ
14	z	2702543	4229.3874	6.6263	z
15	tu	2275225	3560.6493	6.5515	t u
16	když	2272584	3556.5162	6.551	ɡ d ɪ ʃ
17	za	2271260	3554.4442	6.5508	z a
18	jako	2193959	3433.4708	6.5357	j a k o
19	tady	2069634	3238.9064	6.5104	t a d ɪ
20	ano	1959294	3066.2281	6.4866	a n o
21	pro	1883838	2948.1421	6.4695	p r o
22	dobře	1777922	2782.3871	6.4444	d o b r̝ ɛ
23	něco	1721305	2693.7835	6.4304	ɲ ɛ t͡s o
24	byl	1693590	2650.4104	6.4233	b ɪ l
25	tam	1603947	2510.1222	6.3997	t a m
26	bych	1269596	1986.8743	6.2982	b ɪ x
27	má	1215664	1902.4726	6.2793	m aː
28	ve	1187465	1858.3421	6.2691	v ɛ
29	kdo	1167419	1826.9708	6.2617	ɡ d o
30	nebo	1130157	1768.6571	6.2476	n ɛ b o
31	kde	1098855	1719.6705	6.2354	ɡ d ɛ
32	než	997171	1560.5385	6.1933	n ɛ ʃ
33	jeho	944900	1478.7362	6.1699	j ɛ ɦ o
34	jestli	943517	1476.5718	6.1693	j ɛ s t l ɪ
35	od	936371	1465.3886	6.166	o t
36	protože	915983	1433.4821	6.1564	p r o t o ʒ ɛ
37	prosím	888430	1390.3626	6.1431	p ɾ o s iː m
38	nikdy	881001	1378.7364	6.1395	ɲ ɪ ɡ d ɪ
39	vy	880111	1377.3436	6.139	v ɪ
40	ani	851516	1332.5934	6.1247	a ɲ ɪ
41	možná	847008	1325.5386	6.1224	m o ʒ n aː
42	až	744230	1164.6945	6.0662	a ʃ
43	nám	722821	1131.1901	6.0535	n aː m
44	sem	697240	1091.1568	6.0379	s ɛ m
45	ta	689157	1078.5071	6.0328	t a
46	pokud	656327	1027.1293	6.0116	p o k u t
47	ahoj	654801	1024.7412	6.0106	a ɦ o j
48	jí	647220	1012.8772	6.0056	j iː
49	u	637030	996.9302	5.9987	u
50	řekl	628457	983.5137	5.9928	r̝ ɛ k l̩
51	on	616780	965.2396	5.9846	o n
52	asi	601767	941.7448	5.9739	a s ɪ
53	někdo	595373	931.7384	5.9693	ɲ ɛ ɡ d o
54	jít	583944	913.8524	5.9609	j iː t
55	opravdu	570196	892.3372	5.9505	o p r a v d u
56	myslíš	532241	832.939	5.9206	m ɪ s l iː ʃ
57	trochu	525984	823.147	5.9155	t r o x u
58	my	513700	803.9229	5.9052	m ɪ
59	musíme	512713	802.3783	5.9044	m ʊ s iː m ɛ
60	rád	511118	799.8822	5.903	r aː t
61	ze	508387	795.6083	5.9007	z ɛ
62	mohl	504963	790.2498	5.8978	m ɔ ɦ l̩
63	abych	501089	784.1871	5.8944	a b ɪ x
64	který	499644	781.9258	5.8932	k t ɛ r iː
65	bys	497153	778.0274	5.891	b ɪ s
66	den	468969	733.9204	5.8656	d ɛ n
67	udělat	449530	703.4991	5.8473	u ɟ ɛ l a t
68	kdy	431365	675.0715	5.8293	ɡ d ɪ
69	čas	430629	673.9197	5.8286	t͡ʃ a s
70	nikdo	424485	664.3045	5.8224	ɲ ɪ ɡ d o
71	může	412048	644.841	5.8095	m uː ʒ ɛ
72	další	410480	642.3872	5.8078	d a l ʃ iː
73	dost	410241	642.0131	5.8075	d o s t
74	bez	408982	640.0428	5.8062	b ɛ s
75	můžeš	398930	624.3118	5.7954	m uː ʒ ɛ ʃ
76	dnes	396871	621.0895	5.7932	d n ɛ s
77	své	393803	616.2882	5.7898	s v ɛː
78	kvůli	391909	613.3242	5.7877	k v uː l ɪ
79	bože	390815	611.6121	5.7865	b ɔ ʒ ɛ
