Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	the	77517446	32211.4742	7.508	ð i  |  ð iː
2	i	68807385	28592.1096	7.4562	a ɪ
3	to	58299354	24225.6194	7.3843	t o ʊ  |  t u
4	a	49679041	20643.5484	7.3148	e ɪ  |  e ɪ̯  |  æ  |  ɑː  |  ə
5	it	32337774	13437.5864	7.1283	ə t  |  ɪ t
6	of	30163488	12534.0871	7.0981	ə  |  ə v  |  ʌ v
7	that	27569516	11456.1921	7.059	ð æ t
8	is	25045341	10407.3005	7.0173	a ɪ z  |  ɪ z
9	in	25032631	10402.019	7.0171	ə n  |  ɪ n
10	me	22742430	9450.3526	6.9754	m i
11	what	21100284	8767.9779	6.9429	w ʌ t  |  ʍ ʌ t
12	this	20170936	8381.7981	6.9233	ð ə s  |  ð ɪ s
13	for	17514702	7278.031	6.862	f ɔ ɹ  |  f ə  |  f ɚ
14	we	17308313	7192.2684	6.8569	w i  |  w iː
15	your	16503143	6857.6894	6.8362	j ɔ ɹ  |  j ɝ  |  j ʊ ɚ
16	i'm	15614172	6488.2878	6.8121	a ɪ m
17	do	15392539	6396.1908	6.8059	d o ʊ  |  d u
18	was	14658653	6091.233	6.7847	w ɑ z  |  w ə z  |  w ʌ z
19	not	14624274	6076.9472	6.7837	n ɑ t  |  n ɒ t
20	be	14473633	6014.3501	6.7792	b i
21	don't	14446716	6003.165	6.7784	d o ʊ n t
22	are	14376676	5974.0607	6.7763	ɑ ɹ  |  ɚ  |  ɛ ə ɹ  |  ɛ ɹ
23	it's	14117505	5866.3652	6.7684	ɪ t s
24	know	13847977	5754.366	6.76	n o ʊ
25	he	13534697	5624.1861	6.7501	h e ɪ  |  h i
26	with	12832764	5332.506	6.7269	w ɪ ð  |  w ɪ θ
27	all	12658644	5260.1525	6.721	ɔ l
28	but	12021194	4995.2675	6.6986	b ʌ t
29	just	11738945	4877.9822	6.6882	d͡ʒ ʌ s t
30	so	11419252	4745.1375	6.6762	s o ʊ
