Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	mi	17500	39501.5135	7.5966	m i
2	estas	12039	27174.784	7.4342	e s t a s
3	ĉu	6498	14667.4763	7.1664	t͡ʃ u
4	ni	5920	13362.7977	7.1259	n i
5	ĉi	3288	7421.7701	6.8705	t ʃ i
6	volas	1548	3494.191	6.5433	v o l a s
7	bone	1462	3300.0693	6.5185	b o n e
8	lin	1084	2446.8366	6.3886	l i n
9	sur	853	1925.4166	6.2845	s u r
10	da	831	1875.7576	6.2732	d a
11	nu	818	1846.4136	6.2663	n u
12	ilin	743	1677.1214	6.2246	i l i n
13	estos	739	1668.0925	6.2222	e s t o s
14	du	509	1148.9297	6.0603	d u
15	fari	501	1130.8719	6.0534	f a r i
16	ol	483	1090.2418	6.0375	o l
17	bona	465	1049.6116	6.021	b o n a
18	patro	432	975.1231	5.9891	p a t r o
19	ŝin	361	814.8598	5.9111	ʃ i n
20	vidas	360	812.6026	5.9099	v i d a s
21	ci	344	776.4869	5.8901	t͡s i
22	pensas	343	774.2297	5.8889	p e n s a s
23	iom	318	717.7989	5.856	i o m
24	mondo	299	674.9116	5.8292	m o n d o
25	ha	295	665.8827	5.8234	h a
26	ĉiu	278	627.5098	5.7976	t ʃ i u
27	iras	275	620.7381	5.7929	i r a s
28	kien	269	607.1947	5.7833	k i e n
29	rapide	268	604.9375	5.7817	r a p i d e
30	ŝatas	260	586.8796	5.7685	ʃ a t a s
31	kontraŭ	248	559.7929	5.748	k o n t r a w
32	volis	241	543.9923	5.7356	v o l i s
33	bela	237	534.9634	5.7283	b e l a
34	ĝuste	224	505.6194	5.7038	d ʒ u s t e
35	unua	222	501.1049	5.6999	u n u a
36	iros	208	469.5037	5.6716	i r o s
37	venos	180	406.3013	5.6088	v e n o s
38	morto	177	399.5296	5.6015	m o r t o
39	simple	174	392.7579	5.5941	s i m p l e
40	longe	173	390.5007	5.5916	l o n ɡ e
41	pensis	169	381.4718	5.5815	p e n s i s
42	kompreneble	167	376.9573	5.5763	k o m p r e n e b l e
43	kvazaŭ	148	334.0699	5.5238	k v a z a w
44	zorgu	144	325.041	5.5119	z o r ɡ u
45	memoras	141	318.2693	5.5028	m e m o r a s
46	nova	140	316.0121	5.4997	n o v a
47	lian	128	288.9254	5.4608	l i a n
48	akvo	126	284.4109	5.4539	a k v o
49	malbona	118	266.3531	5.4255	m a l b o n a
50	malbone	114	257.3241	5.4105	m a l b o n e
51	koro	112	252.8097	5.4028	k o r o
52	dek	111	250.5525	5.3989	d e k
53	grava	106	239.2663	5.3789	ɡ r a v a
54	decidis	103	232.4946	5.3664	d e t͡s i d i s
55	apud	101	227.9802	5.3579	a p u d
55	l'	101	227.9802	5.3579	l
