Rank	Word	Frequency	Frequency per million	Zipf value
1	la	20160	45505.7435	7.6581
2	mi	17500	39501.5135	7.5966
3	vi	15193	34294.0854	7.5352
4	ne	12112	27339.5618	7.4368
5	estas	12039	27174.784	7.4342
6	kaj	7607	17170.7436	7.2348
7	ĉu	6498	14667.4763	7.1664
8	de	6419	14489.1551	7.161
9	ni	5920	13362.7977	7.1259
10	al	5870	13249.9362	7.1222
11	en	4617	10421.6279	7.0179
12	li	4220	9525.5078	6.9789
13	ke	3904	8812.2233	6.9451
14	por	3379	7627.1779	6.8824
15	ĉi	3288	7421.7701	6.8705
16	tio	2807	6336.0428	6.8018
17	sed	2675	6038.0885	6.7809
18	ili	2527	5704.0185	6.7562
19	kiel	2400	5417.3504	6.7338
20	tie	2396	5408.3215	6.7331
21	vin	2259	5099.0811	6.7075
22	min	2110	4762.7539	6.6779
23	pri	2088	4713.0949	6.6733
24	mia	1996	4505.4298	6.6537
25	jes	1990	4491.8864	6.6524
26	kun	1950	4401.5972	6.6436
27	kio	1931	4358.7099	6.6394
28	estis	1928	4351.9382	6.6387
29	kion	1904	4297.7647	6.6332
30	ĝi	1874	4230.0478	6.6263
31	povas	1812	4090.0996	6.6117
32	kiu	1771	3997.5532	6.6018
33	via	1697	3830.5182	6.5833
34	tiu	1695	3826.0037	6.5827
35	ŝi	1590	3588.9947	6.555
36	ĝin	1572	3548.3645	6.55
37	volas	1548	3494.191	6.5433
38	se	1535	3464.847	6.5397
39	tion	1468	3313.6127	6.5203
40	bone	1462	3300.0693	6.5185
41	havas	1429	3225.5807	6.5086
42	do	1404	3169.15	6.5009
43	pli	1334	3011.1439	6.4787
44	nur	1330	3002.115	6.4774
45	nun	1313	2963.7421	6.4718
46	oni	1297	2927.6265	6.4665
47	scias	1224	2762.8487	6.4414
48	kial	1158	2613.8716	6.4173
49	lin	1084	2446.8366	6.3886
50	devas	1076	2428.7788	6.3854
51	el	1029	2322.689	6.366
52	kie	988	2230.1426	6.3483
53	kiam	985	2223.3709	6.347
54	unu	912	2058.5932	6.3136
55	tiel	897	2024.7347	6.3064
56	sur	853	1925.4166	6.2845
57	ja	852	1923.1594	6.284
58	jen	845	1907.3588	6.2804
59	jam	837	1889.301	6.2763
60	da	831	1875.7576	6.2732
61	ankaŭ	825	1862.2142	6.27
62	nu	818	1846.4136	6.2663
63	pro	791	1785.4684	6.2518
64	tre	786	1774.1823	6.249
65	per	776	1751.61	6.2434
66	ĉiuj	768	1733.5521	6.2389
67	vian	757	1708.7226	6.2327
68	ilin	743	1677.1214	6.2246
69	diris	740	1670.3497	6.2228
70	estos	739	1668.0925	6.2222
71	aŭ	731	1650.0346	6.2175
72	je	730	1647.7774	6.2169
73	dio	715	1613.919	6.2079
74	tiun	701	1582.3178	6.1993
75	ho	688	1552.9738	6.1912
76	iru	686	1548.4593	6.1899
77	nin	659	1487.5141	6.1725
78	sinjoro	645	1455.9129	6.1631
79	nia	643	1451.3985	6.1618
80	ankoraŭ	640	1444.6268	6.1598
81	ĉar	638	1440.1123	6.1584
82	mian	619	1397.225	6.1453
83	dum	610	1376.9099	6.1389
84	esti	598	1349.8231	6.1303
85	plu	597	1347.5659	6.1296
86	ĉio	596	1345.3087	6.1288
87	dankon	580	1309.193	6.117
88	eĉ	577	1302.4213	6.1148
89	venu	572	1291.1352	6.111
90	vere	569	1284.3635	6.1087
91	neniam	551	1243.7334	6.0947
92	diras	547	1234.7044	6.0916
93	ĝis	546	1232.4472	6.0908
94	homoj	540	1218.9038	6.086
95	eble	534	1205.3605	6.0811
96	ion	531	1198.5888	6.0787
97	tiuj	528	1191.8171	6.0762
98	iu	517	1166.9876	6.0671
99	du	509	1148.9297	6.0603
100	fari	501	1130.8719	6.0534
101	ol	483	1090.2418	6.0375
102	faris	482	1087.9845	6.0366
103	antaŭ	481	1085.7273	6.0357
104	post	480	1083.4701	6.0348
105	tien	476	1074.4412	6.0312
105	ĉiam	476	1074.4412	6.0312
106	ĉe	473	1067.6695	6.0284
107	bona	465	1049.6116	6.021
108	bezonas	460	1038.3255	6.0163
109	faras	448	1011.2387	6.0049
109	plej	448	1011.2387	6.0049
110	kia	444	1002.2098	6.001
110	tiom	444	1002.2098	6.001
110	ĉion	444	1002.2098	6.001
111	rigardu	443	999.9526	6.0
112	patro	432	975.1231	5.9891
113	bonvolu	430	970.6086	5.987
114	certe	429	968.3514	5.986
115	bonan	425	959.3225	5.982
116	tuj	424	957.0652	5.9809
117	diru	422	952.5508	5.9789
118	kiuj	413	932.2357	5.9695
119	tro	403	909.6634	5.9589
120	lia	397	896.12	5.9524
121	vidis	392	884.8339	5.9469
121	vivo	392	884.8339	5.9469
122	sen	390	880.3194	5.9446
123	poste	386	871.2905	5.9402
