Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	on	4106982	32713.0424	7.5147	o n
2	ma	3484587	27755.5251	7.4433	m ɑ
3	ta	1711770	13634.636	7.1346	t ɑ
4	kõik	527237	4199.5622	6.6232	k ɤ i̯ k
5	tema	325840	2595.3894	6.4142	t e m ɑ
6	mina	324818	2587.249	6.4128	m i n ɑ
7	miks	301146	2398.6961	6.38	m i k s
8	või	286277	2280.2612	6.358	v ɤ i̯
9	küll	275232	2192.2853	6.3409	k y lʲː
10	teie	244535	1947.7767	6.2895	t e i̯ e
11	üks	234284	1866.1252	6.2709	y k s
12	tahad	157947	1258.0836	6.0997	t ɑ h ɑ d̥
13	tänan	153278	1220.894	6.0867	t æ n ɑ n
14	mees	145846	1161.6964	6.0651	m eː s
15	läbi	133289	1061.6771	6.026	l æ b̥ i
16	enne	120084	956.4963	5.9807	e nː e  |  e nːː e
17	üles	114394	911.1741	5.9596	y l e s
18	kaks	111483	887.9874	5.9484	k ɑ k s
19	täna	110773	882.332	5.9456	t æ n ɑ
20	valmis	99478	792.3648	5.8989	v ɑ lʲ m i s
21	vabandust	94398	751.9015	5.8762	v ɑ b̥ ɑ n d̥ u s t
22	saada	90250	718.8617	5.8566	s ɑː d̥ ɑ  |  s ɑːː d̥ ɑ
23	lahti	83153	662.3325	5.8211	l ɑ h t i
24	aeg	81543	649.5085	5.8126	ɑ e̯ ɡ̊
25	õigus	73109	582.3298	5.7652	ɤ i̯ ɡ̊ u s
26	nimi	72937	580.9597	5.7641	n i m i
27	kõige	72040	573.8149	5.7588	k ɤ i̯ ɡ̊ e
28	aitäh	68540	545.9366	5.7371	ɑ i̯ t æ h
29	naine	57477	457.8173	5.6607	n ɑ i̯ n e
30	kolm	57451	457.6102	5.6605	k o l m
31	tahab	56898	453.2055	5.6563	t ɑ h ɑ b̥
32	tuli	50887	405.3265	5.6078	t u l i  |  t u lʲ i
33	päev	46678	371.8008	5.5703	p æ e̯ v
34	vana	45401	361.6293	5.5583	v ɑ n ɑ
35	viis	43816	349.0044	5.5428	v iː s
36	auto	42236	336.4193	5.5269	ɑ u̯ t o
37	homme	39846	317.3824	5.5016	h o mː e
38	ainus	34996	278.7511	5.4452	ɑ i̯ n u s
39	pool	33981	270.6664	5.4324	p oː l  |  p oː lʲ
40	vabandage	31616	251.8286	5.4011	v ɑ b̥ ɑ n d̥ ɑ ɡ̊ e
41	üksi	31490	250.825	5.3994	y k s i
42	võimalus	31193	248.4593	5.3953	v ɤ i̯ m ɑ l u s
43	sõna	27325	217.6498	5.3378	s ɤ n ɑ
44	järgmine	26053	207.518	5.3171	j æ r ɡ̊ m i n e
45	neli	24916	198.4616	5.2977	n e l i
46	politsei	24457	194.8055	5.2896	p o l i t s e i̯
47	ütlema	22494	179.1698	5.2533	y t l e m ɑ
48	käsi	22030	175.4739	5.2442	k æ s i  |  k æ sʲ i
49	õnnelik	21681	172.6941	5.2373	ɤ nː e l i k
50	küsimus	20137	160.3958	5.2052	k y s i m u s
51	kuus	19578	155.9432	5.193	k uː s
52	kuu	17146	136.5718	5.1354	k uː
53	öö	16538	131.7289	5.1197	øː
54	ameerika	16383	130.4943	5.1156	ɑ m eː r i k ɑ
55	kuningas	16032	127.6985	5.1062	k u n i ŋ ɡ̊ ɑ s
56	lõpp	15106	120.3227	5.0803	l ɤ pː
57	kiire	14358	114.3647	5.0583	k iː r e  |  k iːː r e
58	noor	14113	112.4132	5.0508	n oː r
59	õhtu	14058	111.9752	5.0491	ɤ h t u
60	viin	13145	104.7029	5.02	v iː n
61	must	12627	100.5769	5.0025	m u s t
62	kõne	12466	99.2945	4.9969	k ɤ n e
63	kümme	12360	98.4502	4.9932	k y mː e
64	valge	12001	95.5907	4.9804	v ɑ l ɡ̊ e
65	tugev	11931	95.0331	4.9779	t u ɡ̊ e v
66	a	11903	94.8101	4.9769	ɑː
67	mäng	11837	94.2844	4.9744	m æ ŋ ɡ̊
68	armastus	11526	91.8072	4.9629	ɑ r m ɑ s t u s
69	kaheksa	10933	87.0838	4.9399	k ɑ h e k s ɑ
70	seitse	10586	84.3199	4.9259	s e i̯ t s e
71	külm	9881	78.7044	4.896	k y lʲ m
72	sööma	9659	76.9361	4.8861	s øː m ɑ
73	kuum	9229	73.5111	4.8664	k uː m
74	üksteist	8652	68.9151	4.8383	y k s t e i̯ s t
75	vesi	8476	67.5133	4.8294	v e s i
76	igaüks	7552	60.1534	4.7793	i ɡ̊ ɑ y k s
77	õpetaja	7390	58.863	4.7698	ɤ p e t ɑ j ɑ
78	üheksa	7206	57.3974	4.7589	y h e k s ɑ
79	keset	6378	50.8022	4.7059	k e s e t
80	muretsema	6344	50.5314	4.7036	m u r e t s e m ɑ
81	b	6312	50.2765	4.7014	b̥ eː
82	lõuna	6080	48.4286	4.6851	l ɤ u̯ n ɑ
83	martin	5803	46.2222	4.6649	m ɑ r t i n
84	toit	5696	45.3699	4.6568	t o i̯ t
85	rooma	5624	44.7964	4.6512	r oː m ɑ
86	õppima	5319	42.367	4.627	ɤ pː i m ɑ
87	kõht	5301	42.2237	4.6256	k ɤ h t
88	vene	5220	41.5785	4.6189	v e n e
89	voodi	5159	41.0926	4.6138	v oː d̥ i
90	nõu	5149	41.013	4.6129	n ɤ u  |  n ɤ u̯
