Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	on	6252334	30953.3454	7.4907	o n
2	ei	3367396	16670.9219	7.222	e i̯
3	ja	3078574	15241.0547	7.183	j ɑ
4	se	2830876	14014.7796	7.1466	s e
5	hän	2624129	12991.24	7.1137	h æ n
6	en	1977497	9789.9677	6.9908	e n
7	että	1741692	8622.571	6.9356	e tː æ
8	ole	1564098	7743.3588	6.8889	o l eˣ
9	olen	1229343	6086.0918	6.7843	o l e n
10	niin	1175939	5821.7053	6.7651	n iː  |  n iː n
11	mutta	1131545	5601.9245	6.7483	m u tː ɑ
12	sen	1045047	5173.7001	6.7138	s e n
13	vain	1031180	5105.0489	6.708	ʋ ɑ i̯ n
14	minä	968106	4792.7893	6.6806	m i n æ
15	jos	934634	4627.0799	6.6653	j o s
16	tämä	893305	4422.473	6.6457	t æ m æ
17	nyt	878909	4351.2029	6.6386	n y t
18	voi	850471	4210.4153	6.6243	ʋ o i̯  |  ʋ o i̯ˣ
19	sinä	848837	4202.3259	6.6235	s i n æ
20	kun	770826	3816.1179	6.5816	k u n
21	sitä	716578	3547.553	6.5499	s i t æ
22	kuin	697663	3453.9108	6.5383	k u i̯ n
23	he	646281	3199.5346	6.5051	h e  |  h eː
24	täällä	625053	3094.4414	6.4906	t æː lː æ
25	hänen	616798	3053.5735	6.4848	h æ n e n
26	kaikki	596755	2954.3469	6.4705	k ɑ i̯ kː i
27	et	585890	2900.5577	6.4625	e t
28	minun	584849	2895.404	6.4617	m i n u n
29	olla	580215	2872.4626	6.4583	o lː ɑˣ
30	hyvä	573027	2836.877	6.4528	h y ʋ æ
31	minua	544908	2697.6687	6.431	m i n u ɑ
32	sitten	518795	2568.3914	6.4097	s i tː e n
33	sinua	502810	2489.2547	6.3961	s i n u ɑ
34	miksi	494142	2446.3421	6.3885	m i k s i
35	sinun	493230	2441.8271	6.3877	s i n u n
36	älä	487491	2413.4151	6.3826	æ l æ  |  æ l æˣ
37	kyllä	471617	2334.8279	6.3683	k y lː æ
38	siitä	462327	2288.836	6.3596	s iː t æ  |  s iː t æˣ
39	kiitos	449311	2224.3979	6.3472	k iː t o s
40	hei	437692	2166.8759	6.3358	h e i̯
41	mikä	437562	2166.2323	6.3357	m i k æ
42	ne	425521	2106.6211	6.3236	n e
43	olisi	408813	2023.905	6.3062	o l i s i
44	kanssa	388699	1924.3269	6.2843	k ɑ n sː ɑ
45	joka	386518	1913.5294	6.2818	j o k ɑ
46	pitää	379486	1878.7162	6.2739	p i t æːˣ
47	tai	364959	1806.7976	6.2569	t ɑ i̯
48	tässä	363402	1799.0894	6.2551	t æ sː æ
49	minulle	357989	1772.2913	6.2485	m i n u lː eˣ
50	häntä	355962	1762.2563	6.2461	h æ n t æ
51	minulla	347659	1721.1507	6.2358	m i n u lː ɑ
52	missä	339868	1682.5799	6.226	m i sː æ
53	tuo	335249	1659.7127	6.22	t u o̯  |  t u o̯ˣ
54	minut	334343	1655.2274	6.2189	m i n u t
55	me	320775	1588.0565	6.2009	m e
56	ehkä	317867	1573.6599	6.1969	e h k æ
57	kuka	317743	1573.046	6.1967	k u k ɑ
58	sinut	315900	1563.9219	6.1942	s i n u t
59	sinulle	312409	1546.639	6.1894	s i n u lː eˣ
60	vielä	308087	1525.2421	6.1833	ʋ i e̯ l æ
61	hyvin	306671	1518.232	6.1813	h y ʋ i n
62	anteeksi	305119	1510.5485	6.1791	ɑ n t eː k s i
63	jo	298550	1478.0274	6.1697	j o
64	koska	293428	1452.67	6.1622	k o s k ɑ
65	tänne	291908	1445.145	6.1599	t æ nː eˣ
66	meidän	291285	1442.0607	6.159	m e i̯ d æ n
67	tehdä	283081	1401.4453	6.1466	t e h d æˣ
68	emme	275858	1365.6865	6.1354	e mː e
69	anna	259088	1282.6635	6.1081	ɑ nː ɑ  |  ɑ nː ɑˣ
70	siellä	254062	1257.7813	6.0996	s i e̯ lː æ
71	saa	253468	1254.8406	6.0986	s ɑː  |  s ɑːˣ
72	paljon	253201	1253.5188	6.0981	p ɑ l j o n
73	pois	252515	1250.1226	6.097	p o i̯ s
74	täytyy	246785	1221.7552	6.087	t æ y̯ t yː
75	eivät	243889	1207.418	6.0819	e i̯ ʋ æ t
76	sinulla	242741	1201.7346	6.0798	s i n u lː ɑ
77	ennen	236770	1172.174	6.069	e nː e n
78	herra	231700	1147.0741	6.0596	h e rː ɑ
79	takaisin	228878	1133.1032	6.0543	t ɑ k ɑ i̯ s i n
80	aina	226163	1119.6621	6.0491	ɑ i̯ n ɑ
81	selvä	222987	1103.9387	6.0429	s e l ʋ æ
82	enää	220185	1090.0669	6.0375	e n æː
83	yksi	214810	1063.457	6.0267	y k s i
84	mistä	213273	1055.8478	6.0236	m i s t æ
85	juuri	210871	1043.9562	6.0187	j uː r i  |  j uː r iˣ
86	kuinka	210519	1042.2136	6.018	k u i̯ ŋ k ɑ
87	te	210021	1039.7481	6.0169	t e
88	näin	203163	1005.7963	6.0025	n æ i̯ n
89	vai	197973	980.1023	5.9913	ʋ ɑ i̯
90	kaksi	196074	970.7009	5.9871	k ɑ k s  |  k ɑ k s i
91	koko	195653	968.6167	5.9862	k o k o
92	mennä	195214	966.4433	5.9852	m e nː æˣ
93	joku	193817	959.5272	5.9821	j o k u
94	hänelle	188956	935.4619	5.971	h æ n e lː eˣ
95	tietää	185005	915.9018	5.9618	t i e̯ t æːˣ
96	mies	180829	895.2277	5.9519	m i e̯ s
97	aivan	180257	892.3959	5.9506	ɑ i̯ ʋ ɑ n
98	joten	178917	885.762	5.9473	j o t e n
99	no	174090	861.865	5.9354	n o
100	kai	172397	853.4835	5.9312	k ɑ i̯  |  k ɑ i̯ˣ
101	entä	167571	829.5915	5.9189	e n t æ
102	oikein	167228	827.8934	5.918	o i̯ k e i̯ n
103	totta	167191	827.7102	5.9179	t o tː ɑ
104	aika	165403	818.8584	5.9132	ɑ i̯ k ɑ
105	isä	165118	817.4475	5.9125	i s æ
106	ihan	163729	810.5709	5.9088	i h ɑ n
107	siis	163457	809.2244	5.9081	s iː s
108	kuten	163455	809.2145	5.9081	k u t e n
109	edes	155731	770.9754	5.887	e d e s
110	kunnossa	153493	759.8957	5.8808	k u nː o sː ɑ
111	todella	152842	756.6728	5.8789	t o d e lː ɑ
112	kukaan	149995	742.5782	5.8707	k u k ɑː n
113	äiti	148772	736.5235	5.8672	æ i̯ t i
114	eikä	147624	730.8401	5.8638	e i̯ k æ
115	ulos	144337	714.5672	5.854	u l o s
116	vaan	143431	710.0819	5.8513	ʋ ɑː n
117	itse	142751	706.7154	5.8492	i t s e  |  i t s eˣ
118	sillä	142168	703.8292	5.8475	s i lː æ
119	minusta	142043	703.2104	5.8471	m i n u s t ɑ
120	mukaan	141844	702.2252	5.8465	m u k ɑː n
121	myös	141627	701.1509	5.8458	m y ø̯ s
122	noin	138956	687.9276	5.8375	n o i̯ n
123	sanoi	137956	682.9769	5.8344	s ɑ n o i̯
124	tulla	134620	666.4614	5.8238	t u lː ɑˣ
125	heidän	133905	662.9217	5.8215	h e i̯ d æ n
126	hänellä	133882	662.8078	5.8214	h æ n e lː æ
127	päästä	133757	662.189	5.821	p æː s t æ  |  p æː s t æˣ
128	auttaa	132054	653.758	5.8154	ɑ u̯ tː ɑːˣ
129	taas	131061	648.8419	5.8121	t ɑː s
130	kerro	130881	647.9508	5.8115	k e rː oˣ
131	jälkeen	130171	644.4358	5.8092	j æ l k eː n
132	kiinni	128959	638.4356	5.8051	k iː nː iˣ
133	sinusta	128436	635.8464	5.8034	s i n u s t ɑ
134	tänään	128258	634.9651	5.8027	t æ n æː n
135	tee	127084	629.153	5.7988	t eː  |  t eːˣ
136	meitä	127008	628.7768	5.7985	m e i̯ t æ
137	teidän	126196	624.7568	5.7957	t e i̯ d æ n
138	puhua	125852	623.0538	5.7945	p u h u ɑˣ
139	etkö	124890	618.2912	5.7912	e t k ø
140	vaikka	123672	612.2613	5.7869	ʋ ɑ i̯ kː ɑ
141	tuli	122129	604.6224	5.7815	t u l i
142	näyttää	122044	604.2016	5.7812	n æ y̯ tː æːˣ
143	muuta	121148	599.7658	5.778	m uː t ɑ  |  m uː t ɑˣ
144	nämä	117476	581.5868	5.7646	n æ m æ
145	nähdä	116208	575.3094	5.7599	n æ h d æˣ
146	sinne	115522	571.9132	5.7573	s i nː eˣ
147	ilman	114880	568.7349	5.7549	i l m ɑ n
148	heti	114159	565.1654	5.7522	h e t i  |  h e t iˣ
149	ette	113329	561.0563	5.749	e tː e
150	ota	112423	556.571	5.7455	o t ɑ  |  o t ɑˣ
151	kolme	112069	554.8185	5.7442	k o l m e  |  k o l m eˣ
152	odota	111902	553.9917	5.7435	o d o t ɑˣ
153	saat	110892	548.9915	5.7396	s ɑː t
154	antaa	110885	548.9569	5.7395	ɑ n t ɑːˣ
155	sanoa	110594	547.5162	5.7384	s ɑ n o ɑˣ
156	teitä	106489	527.1937	5.722	t e i̯ t æ
157	täältä	105894	524.248	5.7195	t æː l t æ
158	kertoa	105165	520.6389	5.7165	k e r t o ɑˣ
159	saada	103553	512.6584	5.7098	s ɑː d ɑˣ
160	poika	99689	493.529	5.6933	p o i̯ k ɑ
161	vastaan	98867	489.4595	5.6897	ʋ ɑ s t ɑː n
162	olevan	97801	484.1821	5.685	o l e ʋ ɑ n
163	heitä	96972	480.078	5.6813	h e i̯ t æ  |  h e i̯ t æˣ
164	usko	96182	476.1669	5.6778	u s k o  |  u s k oˣ
165	tuolla	95158	471.0974	5.6731	t u o̯ lː ɑ
166	meille	93605	463.409	5.666	m e i̯ lː eˣ
167	takia	92669	458.7752	5.6616	t ɑ k i ɑ
168	asia	92608	458.4732	5.6613	ɑ s i ɑ
169	käy	92381	457.3494	5.6602	k æ y̯  |  k æ y̯ˣ
170	teille	90919	450.1115	5.6533	t e i̯ lː eˣ
171	ikinä	90811	449.5768	5.6528	i k i n æ
172	kuollut	90499	448.0322	5.6513	k u o̯ lː u t
173	varma	89578	443.4726	5.6469	ʋ ɑ r m ɑ
174	rakastan	88993	440.5764	5.644	r ɑ k ɑ s t ɑ n
175	piti	87319	432.289	5.6358	p i t i
176	tappaa	87157	431.487	5.635	t ɑ pː ɑːˣ
177	minne	86760	429.5216	5.633	m i nː eˣ
178	joo	86710	429.274	5.6327	j oː
179	yhä	86593	428.6948	5.6321	y h æ  |  y h æˣ
180	ottaa	84939	420.5064	5.6238	o tː ɑːˣ
181	yhdessä	84640	419.0261	5.6222	y h d e sː æ
182	voisi	84604	418.8479	5.6221	ʋ o i̯ s i
183	kerran	84365	417.6647	5.6208	k e rː ɑ n
184	ajan	83527	413.516	5.6165	ɑ j ɑ n
185	juttu	83229	412.0407	5.6149	j u tː u
186	lähteä	82391	407.892	5.6105	l æ h t e æˣ
187	siksi	81823	405.08	5.6075	s i k s i
188	yhtä	81443	403.1988	5.6055	y h t æ
189	valmis	81348	402.7284	5.605	ʋ ɑ l m i s
190	toinen	80575	398.9016	5.6009	t o i̯ n e n
191	tyttö	78775	389.9903	5.5911	t y tː ø
192	kauan	78750	389.8666	5.5909	k ɑ u̯ ɑ n
193	teillä	78371	387.9903	5.5888	t e i̯ lː æ
194	silloin	77773	385.0297	5.5855	s i lː o i̯ n
195	kulta	76966	381.0345	5.581	k u l t ɑ
196	tuota	76920	380.8068	5.5807	t u o̯ t ɑ  |  t u o̯ t ɑˣ
197	rouva	76120	376.8463	5.5762	r o u̯ ʋ ɑ
198	yksin	75409	373.3263	5.5721	y k s i n
199	ensin	75350	373.0342	5.5717	e n s i n
200	joskus	75025	371.4253	5.5699	j o s k u s
201	nainen	74889	370.752	5.5691	n ɑ i̯ n e n
202	tohtori	74850	370.5589	5.5689	t o h t o r i
203	apua	74589	369.2668	5.5673	ɑ p u ɑ
204	lisää	74532	368.9846	5.567	l i s æː
205	älkää	73700	364.8656	5.5621	æ l k æː
206	päivä	72413	358.4941	5.5545	p æ i̯ ʋ æ
207	kyse	72385	358.3554	5.5543	k y s eˣ
208	päivää	71738	355.1523	5.5504	p æ i̯ ʋ æː
209	tosi	70922	351.1126	5.5454	t o s i
210	pari	70806	350.5383	5.5447	p ɑ r i
211	huomenna	70498	349.0135	5.5428	h u o̯ m e nː ɑ
212	ainoa	70230	347.6867	5.5412	ɑ i̯ n o ɑ
213	sai	69860	345.855	5.5389	s ɑ i̯
214	alas	69501	344.0777	5.5367	ɑ l ɑ s
215	jotta	69327	343.2162	5.5356	j o tː ɑ
216	uusi	69231	342.741	5.535	uː s i  |  uː s iˣ
217	tavata	69152	342.3499	5.5345	t ɑ ʋ ɑ t ɑˣ
218	niinkö	69046	341.8251	5.5338	n iː ŋ k ø
219	nähdään	68673	339.9785	5.5315	n æ h d æː n
220	odottaa	68198	337.6269	5.5284	o d o tː ɑːˣ
221	vie	66223	327.8493	5.5157	ʋ i e̯  |  ʋ i e̯ˣ
222	minäkin	65718	325.3492	5.5123	m i n æ k i n
