Rank	Bigram	Frequency	Frequency per million	Zipf value
1	e$	162147921	50732.8337	7.7053
2	s$	111618384	34923.1546	7.5431
3	t$	63522279	19874.8476	7.2983
4	^d	53029114	16591.7466	7.2199
5	^p	52785040	16515.3808	7.2179
6	es	50678521	15856.2932	7.2002
7	n$	46292057	14483.8566	7.1609
8	ou	45336101	14184.7571	7.1518
9	ai	44091243	13795.266	7.1397
10	^c	43110878	13488.5294	7.13
11	en	42899170	13422.2902	7.1278
12	^l	42756575	13377.6751	7.1264
13	le	39663075	12409.781	7.0938
14	on	39183417	12259.7056	7.0885
15	re	38377263	12007.4762	7.0795
16	^s	36373207	11380.4473	7.0562
17	r$	35542382	11120.4988	7.0461
18	^t	35307613	11047.0443	7.0432
19	^m	34713007	10861.004	7.0359
20	^a	34542227	10807.5703	7.0337
21	a$	32965200	10314.1502	7.0134
22	de	32449623	10152.8365	7.0066
23	qu	31687977	9914.5327	6.9963
24	is	31550849	9871.6281	6.9944
25	i$	31461600	9843.7039	6.9932
26	^v	29927807	9363.8108	6.9715
27	^e	29749193	9307.9261	6.9689
28	er	29433755	9209.2318	6.9642
29	^j	28300968	8854.8055	6.9472
30	te	28052008	8776.9109	6.9433
31	nt	27989577	8757.3775	6.9424
32	^q	24176824	7564.4435	6.8788
33	ur	23164654	7247.7558	6.8602
34	us	22836800	7145.1769	6.854
35	me	22504426	7041.1837	6.8476
36	pa	22258064	6964.102	6.8429
37	ne	22142402	6927.9137	6.8406
38	u$	22109484	6917.6143	6.84
39	an	22040968	6896.177	6.8386
40	st	21701153	6789.8557	6.8319
41	^n	21561838	6746.2668	6.8291
42	oi	21542627	6740.2561	6.8287
43	it	19896926	6225.3493	6.7942
44	as	19832592	6205.2204	6.7928
45	ue	19831313	6204.8203	6.7927
46	vo	19700101	6163.7667	6.7898
47	ie	18726584	5859.1727	6.7678
48	il	18525331	5796.2047	6.7631
49	se	18329791	5735.0241	6.7585
50	je	17832780	5579.5193	6.7466
51	eu	17655313	5523.9935	6.7423
52	ra	17588739	5503.1638	6.7406
53	la	17150800	5366.1415	6.7297
54	ar	16673980	5216.9541	6.7174
55	^f	16546328	5177.0143	6.7141
56	ce	16402959	5132.157	6.7103
57	co	16133097	5047.7226	6.7031
58	tr	16051036	5022.0474	6.7009
59	un	15863211	4963.2807	6.6958
60	'a	15742963	4925.6575	6.6925
61	ma	15600446	4881.0668	6.6885
62	in	15504667	4851.0995	6.6858
63	'e	15006840	4695.3394	6.6717
64	ns	14784675	4625.8284	6.6652
65	et	14651380	4584.1231	6.6613
66	ve	14637180	4579.6802	6.6608
67	^r	14630561	4577.6092	6.6606
68	ir	14271093	4465.1389	6.6498
69	ui	14222510	4449.9382	6.6484
70	l$	14066597	4401.1562	6.6436
71	ll	13728156	4295.2648	6.633
72	^o	13559801	4242.5899	6.6276
73	^b	13517609	4229.3889	6.6263
74	^i	13205535	4131.7472	6.6161
75	po	12871901	4027.3598	6.605
76	^u	12849847	4020.4595	6.6043
77	au	12358870	3866.8427	6.5874
78	tu	12226989	3825.5797	6.5827
79	é$	11911726	3726.9403	6.5714
80	ch	11742222	3673.9059	6.5651
81	pe	11640301	3642.0168	6.5613
82	ut	11632366	3639.5341	6.561
83	ri	11562162	3617.5687	6.5584
84	to	11526956	3606.5534	6.5571
85	mo	11170395	3494.9927	6.5434
86	el	11013423	3445.8793	6.5373
87	so	10871556	3401.4919	6.5317
88	or	10702518	3348.6033	6.5249
89	ti	10672721	3339.2804	6.5237
90	ro	10523715	3292.6594	6.5175
91	à$	10455546	3271.3307	6.5147
92	ez	10305083	3224.2539	6.5084
93	ss	10059600	3147.4472	6.498
94	sa	10049641	3144.3312	6.4975
95	av	9988941	3125.3394	6.4949
96	nd	9950397	3113.2797	6.4932
97	no	9777798	3059.277	6.4856
98	ta	9563098	2992.1016	6.476
99	al	9553440	2989.0798	6.4755
100	pr	9197487	2877.7093	6.459
101	fa	9156113	2864.7642	6.4571
102	si	9035328	2826.973	6.4513
103	om	8940019	2797.1527	6.4467
104	va	8739703	2734.4779	6.4369
105	z$	8430485	2637.7297	6.4212
106	em	8422734	2635.3046	6.4208
107	c'	8304716	2598.3791	6.4147
108	di	8105594	2536.0779	6.4042
109	^à	7869283	2462.1409	6.3913
110	su	7660479	2396.8103	6.3796
111	x$	7273501	2275.7326	6.3571
112	l'	7164112	2241.507	6.3505
113	at	6919209	2164.8818	6.3354
114	rt	6851836	2143.8021	6.3312
115	ux	6714506	2100.8343	6.3224
116	rs	6542523	2047.0243	6.3111
117	he	6354155	1988.0877	6.2984
118	li	6341283	1984.0603	6.2976
