Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	de	16611424	28354.067	7.4526	d ə
2	je	16374563	27949.7686	7.4464	ʃ  |  ʒ  |  ʒ ə
3	pas	11548702	19712.4985	7.2947	p a  |  p ɑ
4	le	10594963	18084.5598	7.2573	l  |  l ø  |  l ə  |  ɛ l
5	que	9857277	16825.4023	7.226	k ə
6	la	9600768	16387.5667	7.2145	l a
7	vous	8977291	15323.3528	7.1854	v u  |  v u z ‿
8	tu	8771421	14971.953	7.1753	t y
9	et	8037952	13719.9935	7.1374	e
10	à	7865964	13426.4269	7.128	a
11	un	7421210	12667.2756	7.1027	œ̃  |  œ̃ n ‿  |  œ̃ ˞  |  ɛ̃  |  ɛ̃ n ‿
12	c'est	7363317	12568.4579	7.0993	s ‿ ɛ  |  s ‿ ɛ t ‿
13	ne	6521898	11132.2384	7.0466	n ə
14	il	6110469	10429.9696	7.0183	i  |  i l  |  j
15	les	6078070	10374.6677	7.016	l e  |  l e z ‿  |  l ɛ  |  l ɛ z ‿
16	a	5740438	9798.3631	6.9912	a  |  ɑ  |  ɔ
17	ça	5444257	9292.8112	6.9681	s a
18	ce	4974465	8490.9225	6.929	s ø  |  s ə
19	une	4859350	8294.4325	6.9188	y n  |  œ̃ n
20	pour	4831359	8246.6546	6.9163	p u ʁ
21	est	4747810	8104.0447	6.9087	ɛ  |  ɛ s t  |  ɛ t ‿
22	on	4696765	8016.9159	6.904	ɔ n ‿  |  ɔ̃
23	en	4437013	7573.5448	6.8793	ɑ̃  |  ɑ̃ n ‿
24	des	3798164	6483.0924	6.8118	d e  |  d e z ‿  |  d ɛ  |  d ɛ z ‿
25	qui	3294118	5622.7354	6.7499	k i
26	j'ai	3231100	5515.1699	6.7416	ʒ ‿ e
27	mais	3173792	5417.3508	6.7338	m ɛ  |  m ɛ z ‿
28	dans	2977691	5082.6257	6.7061	d a n  |  d ɑ̃  |  d ɑ̃ z ‿
29	nous	2960778	5053.7568	6.7036	n u  |  n u z ‿
30	me	2890342	4933.5295	6.6932	m ø  |  m ə
31	bien	2773715	4734.4587	6.6753	b j ɛ̃
32	si	2773583	4734.2334	6.6752	s i  |  ɛ s i
33	du	2669596	4556.7378	6.6587	d y  |  d z y
34	suis	2541306	4337.7594	6.6373	s ɥ i  |  s ɥ i z ‿
35	non	2475870	4226.0666	6.6259	n ɔ̃
36	tout	2462316	4202.9312	6.6236	t u  |  t u t ‿  |  t ʊ t
37	avec	2414155	4120.7251	6.615	a v ɛ k
38	plus	2409808	4113.3052	6.6142	p l y  |  p l y s  |  p l y z ‿  |  p y
39	mon	2372909	4050.3223	6.6075	m ɔ n ‿  |  m ɔ̃  |  m ɔ̃ n ‿
40	elle	2324134	3967.0682	6.5985	a  |  ɛ l
41	te	2276893	3886.4324	6.5896	t ə
42	au	2156214	3680.4452	6.5659	o
43	fait	2075348	3542.4149	6.5493	f ɛ  |  f ɛ t
44	moi	2066772	3527.7765	6.5475	m w a  |  m w e
45	va	1998004	3410.3963	6.5328	v a
46	oui	1901058	3244.919	6.5112	w i
47	faire	1887814	3222.3128	6.5082	f ɛ ʁ
48	y	1853384	3163.5442	6.5002	i  |  i ɡ ʁ ɛ k
49	sur	1844697	3148.7163	6.4981	s y ʁ
50	quoi	1785310	3047.3486	6.4839	k w a
51	se	1735053	2961.5648	6.4715	s ə
52	comme	1686090	2877.9898	6.4591	k ɔ m
53	sais	1662162	2837.1471	6.4529	s ɛ
54	ils	1517305	2589.8904	6.4133	i  |  i l  |  i l z ‿  |  j
55	veux	1460907	2493.6246	6.3968	v ø
56	ma	1411372	2409.0732	6.3818	m a
57	toi	1408291	2403.8142	6.3809	t w a  |  t w e
58	dit	1381092	2357.3882	6.3724	d i
59	lui	1363465	2327.3007	6.3669	l ɥ i
60	qu'il	1361451	2323.863	6.3662	k ‿ i l
61	votre	1360403	2322.0741	6.3659	v ɔ t ʁ
62	rien	1288458	2199.2711	6.3423	ʁ j ɛ̃
63	pourquoi	1287989	2198.4705	6.3421	p u ʁ k w a
64	ici	1283266	2190.4088	6.3405	i s i
65	là	1269079	2166.193	6.3357	l a  |  l ɑ  |  l ɔ
66	où	1224195	2089.5805	6.3201	u
67	cette	1222934	2087.4281	6.3196	s ɛ t
68	sont	1211516	2067.9387	6.3155	s ɔ̃  |  s ɔ̃ t ‿
69	quand	1161194	1982.044	6.2971	e k ɑ̃  |  k ɑ̃  |  k ɑ̃ t  |  k ɑ̃ t ‿  |  k ɛ̃
70	peux	1160791	1981.3561	6.297	p ø
71	son	1146788	1957.4543	6.2917	s ɔ n ‿  |  s ɔ̃  |  s ɔ̃ n ‿
72	dire	1120779	1913.0595	6.2817	d i ʁ  |  d͡z i ʁ
73	être	1120251	1912.1583	6.2815	d ɛ t  |  ɛ t r ə  |  ɛ t ʁ
74	ton	1086960	1855.3338	6.2684	t ɔ n ‿  |  t ɔ̃  |  t ɔ̃ n ‿
75	alors	1054907	1800.6225	6.2554	a l ɔ ʁ
76	as	1050626	1793.3152	6.2537	a  |  ɑ s
77	vais	1046726	1786.6583	6.252	v ɛ
78	comment	1042661	1779.7198	6.2504	k ɔ m ɑ̃
79	par	1041336	1777.4581	6.2498	p a ʁ
80	ou	981408	1675.1669	6.2241	u
81	n'est	961283	1640.8155	6.2151	n ‿ ɛ
82	bon	952167	1625.2554	6.2109	b ɔ n ‿  |  b ɔ̃
83	chose	939069	1602.8984	6.2049	ʃ o z
84	merci	913473	1559.2086	6.1929	m ɛ ʁ s i
85	très	901921	1539.4904	6.1874	t ʁ ɛ  |  t ʁ ɛ z ‿
86	jamais	869000	1483.2975	6.1712	ʒ a m e  |  ʒ a m ɛ
87	qu'on	863923	1474.6316	6.1687	k ‿ ɔ̃
88	était	852791	1455.6304	6.1631	e t ɛ
89	juste	849759	1450.455	6.1615	ʒ y s t
90	voir	827901	1413.1456	6.1502	v w a ʁ
91	aussi	824786	1407.8286	6.1485	o s i
92	été	820035	1399.7191	6.146	e t e
93	avez	819420	1398.6693	6.1457	a v e
94	es	813281	1388.1907	6.1424	ɛ  |  ɛ z ‿
95	sa	805447	1374.8188	6.1382	s a
96	tous	802713	1370.1521	6.1368	t u  |  t u s  |  t u z ‿  |  t ʊ s
97	vraiment	801681	1368.3906	6.1362	v ʁ ɛ m ɑ̃
98	même	793435	1354.3155	6.1317	m ɛ m  |  m ɛ̃ː m
99	peut	776863	1326.0287	6.1226	p ø
100	deux	775319	1323.3933	6.1217	d ø  |  d œ z ‿
101	ces	771540	1316.9429	6.1196	s e  |  s e z ‿  |  s e ø ɛ s
102	maintenant	769168	1312.8941	6.1182	m ɛ̃ t n ɑ̃  |  m ɛ̃ t ə n ɑ̃
103	ta	748904	1278.3055	6.1066	t a
104	allez	726166	1239.4939	6.0932	a l e
105	oh	716632	1223.2203	6.0875	o
106	ont	711932	1215.1979	6.0846	ɔ̃  |  ɔ̃ t ‿
107	fais	708474	1209.2954	6.0825	f ɛ
108	temps	696668	1189.1438	6.0752	t ã  |  t ɑ̃
109	peu	687203	1172.9879	6.0693	p ø
110	êtes	679459	1159.7697	6.0644	ɛ t
111	encore	675843	1153.5975	6.0621	ɑ̃ k ɔ ʁ
112	toujours	672658	1148.161	6.06	t u ʒ u ʁ
113	quelque	671557	1146.2817	6.0593	k ɛ k  |  k ɛ l k  |  k ɛ l k ə
114	notre	671274	1145.7987	6.0591	n ɔ t ʁ
115	faut	669534	1142.8287	6.058	f o
116	mes	662030	1130.0201	6.0531	m e  |  m e z ‿  |  m ɛ  |  m ɛ z ‿
117	besoin	636983	1087.2673	6.0363	b ə z w ɛ̃
