Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	que	75767	41165.1218	7.6145	k ɪ
2	a	61891	33626.1242	7.5267	a  |  a̝
3	de	50115	27228.0818	7.435	d ɪ
4	e	40336	21915.0336	7.3407	ɪ
5	é	27880	15147.5391	7.1803	ɛ
6	un	23041	12518.4522	7.0976	u ŋ
7	os	16285	8847.8362	6.9468	ʊ s
8	unha	15540	8443.0688	6.9265	u ŋ a̝
9	do	13640	7410.7759	6.8699	d̪ ʊ
10	en	13046	7088.0486	6.8505	e ŋ
11	da	11322	6151.3787	6.789	d̪ ɐ
12	as	9892	5374.4425	6.7303	ɐ s
13	como	9209	5003.3604	6.6993	k ʊ m ʊ
14	no	8084	4392.1344	6.6427	n ʊ
15	ao	7819	4248.1567	6.6282	ɔ
16	ben	7674	4169.3764	6.6201	b ɛ ŋ
17	eu	7516	4083.5331	6.611	e w  |  j e w  |  ɛ w  |  ɪ w
18	na	7251	3939.5555	6.5954	n ɐ
19	con	7021	3814.5937	6.5814	k ɔ ŋ
20	aquí	6614	3593.4657	6.5555	a k i
21	son	6441	3499.4727	6.544	s̺ o ŋ
22	meu	5578	3030.5944	6.4815	m e w  |  m ɛ w
23	xa	5499	2987.6728	6.4753	ʃ a
24	ti	5250	2852.3881	6.4552	t i
25	dos	4630	2515.5346	6.4006	d̪ ʊ s̺
26	miña	4323	2348.7379	6.3708	m i ɲ a̝
27	moi	4058	2204.7602	6.3434	m o j
28	onde	4028	2188.4608	6.3401	o n d e̝
29	ten	3889	2112.9404	6.3249	t ɛ ŋ
30	ser	3802	2065.6723	6.3151	s e ɾ
31	el	3633	1973.8526	6.2953	e l
32	teño	3568	1938.5373	6.2875	t e ɲ ʊ
33	esta	3505	1904.3086	6.2797	ɛ s t ɐ
34	quen	3432	1864.6468	6.2706	k e ŋ
35	nos	3404	1849.4341	6.267	n ʊ s
36	xente	2648	1438.6902	6.158	ʃ e n t e̝
37	das	2600	1412.6112	6.15	d̪ ɐ s̺
38	tamén	2598	1411.5246	6.1497	t a m ɛ ŋ
39	señor	2580	1401.745	6.1467	s e ɲ o ɾ
40	vez	2526	1372.4062	6.1375	b e s  |  b e θ
41	teu	2449	1330.5711	6.124	t e w
42	sen	2442	1326.768	6.1228	s ɛ ŋ
43	vostede	2301	1250.161	6.097	b o s t e ð ɪ
44	túa	2285	1241.468	6.0939	ʲt u ɐ
45	dicir	2281	1239.2947	6.0932	d i θ i ɾ
46	che	2241	1217.5622	6.0855	t͡ʃ e
47	mesmo	2202	1196.3731	6.0779	m i h m o̝  |  m i ɾ m o̝  |  m ɛ s m o̝
48	aos	2176	1182.247	6.0727	ɔ s
49	nin	2131	1157.7979	6.0636	n i ŋ
50	tes	2121	1152.3648	6.0616	t ɛ s
51	nós	2111	1146.9317	6.0595	n ɔ s
52	es	1943	1055.6553	6.0235	ɛ s
53	temos	1881	1021.9699	6.0094	t e m ʊ s
54	traballo	1846	1002.954	6.0013	t ɾ a β a ʎ o̝
55	mundo	1795	975.2451	5.9891	m u n ð o̝
56	ás	1792	973.6151	5.9884	a s
57	ese	1759	955.6858	5.9803	e s ɪ
58	esa	1722	935.5833	5.9711	ɛ s ɐ
59	bo	1676	910.5909	5.9593	b o
60	entón	1637	889.4018	5.9491	e n t o ŋ
61	pai	1619	879.6222	5.9443	p a j
62	eles	1567	851.3699	5.9301	e l ɪ s
63	alí	1557	845.9368	5.9273	a l i
64	nun	1503	816.598	5.912	n u ŋ
65	falar	1476	801.9285	5.9041	f a l a ɾ
66	noso	1421	772.0464	5.8876	n ɔ s ʊ
67	pouco	1416	769.3298	5.8861	p o w k o̝
68	nosa	1298	705.219	5.8483	n ɔ s ɐ
69	mañá	1288	699.7859	5.845	m a ɲ a
70	hoxe	1272	691.0929	5.8395	o ʃ e̝
71	nai	1258	683.4865	5.8347	n a j
72	ola	1222	663.9273	5.8221	ɔ l ɐ
73	nas	1220	662.8407	5.8214	n ɐ s
74	muller	1202	653.061	5.815	m u ɟ ɛ ɾ  |  m u ʎ ɛ ɾ
75	meus	1199	651.4311	5.8139	m e w s
76	tres	1197	650.3445	5.8131	t ɾ ɪ s
77	guerra	1196	649.8012	5.8128	ɡ ɛ r a̝
78	fillo	1192	647.6279	5.8113	f i ʎ o̝
79	menos	1186	644.3681	5.8091	m e n ʊ s
80	claro	1139	618.8324	5.7916	k l a ɾ o̝
81	parte	1125	611.226	5.7862	p a ɾ t e̝
82	nunha	1113	604.7063	5.7815	n u ŋ ɐ
83	canto	1059	575.3674	5.7599	k a n t o̝
84	teñen	1052	571.5642	5.7571	t ɛ ɲ e ŋ
85	ó	1024	556.3515	5.7453	ɔ
86	mal	964	523.7528	5.7191	m a l
87	momento	957	519.9496	5.716	m o m e n t o̝
87	terra	957	519.9496	5.716	t ɛ r a̝
88	daquela	895	486.2643	5.6869	d a k e l a  |  d a k ɛ l a
89	auga	862	468.335	5.6706	a w ɡ a
90	xeito	836	454.2088	5.6573	ʃ e j t o̝
91	saber	808	438.9961	5.6425	s a β e ɾ
92	merda	802	435.7362	5.6392	m ɛ ɾ ð a̝
93	país	798	433.563	5.6371	p a i s
94	pobo	779	423.2401	5.6266	p ɔ β o̝
95	ano	764	415.0904	5.6181	ɐ n ʊ
95	morte	764	415.0904	5.6181	m ɔ ɾ t e̝
96	desde	763	414.5471	5.6176	d e s ð e̝
97	feito	752	408.5706	5.6113	f e j t o̝  |  f ɛ j t o̝
97	uns	752	408.5706	5.6113	u ŋ s
98	estes	723	392.8146	5.5942	e s t ɪ s
99	cabeza	719	390.6413	5.5918	k a β e s a̝  |  k a β e θ a̝
100	somos	715	388.4681	5.5894	s o m ʊ s
101	ningún	710	385.7515	5.5863	n i ŋ ɡ u ŋ
102	traballar	705	383.035	5.5832	t ɾ a β a ʎ a ɾ
103	dar	681	369.9955	5.5682	d a ɾ
104	policía	675	366.7356	5.5644	p ʊ l i θ j ɐ
105	irmán	672	365.1057	5.5624	i ɾ m a o̯  |  i ɾ m a ŋ
106	cal	642	348.8063	5.5426	k a l
107	estas	639	347.1764	5.5406	ɛ s t ɐ s
108	camiño	634	344.4598	5.5371	k a m i ɲ o̝
109	vén	625	339.57	5.5309	b ɛ ŋ
110	volta	623	338.4834	5.5295	b ɔ l t a̝
111	algunha	612	332.507	5.5218	a l ɣ u ŋ a̝
112	eses	605	328.7038	5.5168	e s ɪ s
113	vivir	601	326.5305	5.5139	b i β i ɾ
114	cinco	587	318.9242	5.5037	θ i ŋ k ʊ
115	porta	580	315.121	5.4985	p ɔ ɾ t a̝
116	chegar	546	296.6484	5.4722	t͡ʃ e ɣ a ɾ
117	ningunha	540	293.3885	5.4674	n i ŋ ɡ u ŋ a̝
118	matar	538	292.3019	5.4658	m a t a ɾ
119	rapaz	527	286.3254	5.4569	r a p a s  |  r a p a θ
120	corazón	519	281.9789	5.4502	k o ɾ a s o ŋ  |  k o ɾ a θ o ŋ
121	cuarto	513	278.7191	5.4452	k w a ɾ t o̝
122	pequeno	503	273.2859	5.4366	p e k e n o̝
123	paz	501	272.1993	5.4349	p a s  |  p a θ
123	vello	501	272.1993	5.4349	b ɛ ʎ o̝
124	marchar	486	264.0496	5.4217	m a ɾ t͡ʃ a ɾ
124	medio	486	264.0496	5.4217	m e ð i o̝  |  m e ð j o̝
