Rank	Word	Frequency	Frequency per million	Zipf value
1	que	75767	41165.1218	7.6145
2	a	61891	33626.1242	7.5267
3	o	53348	28984.6096	7.4622
4	de	50115	27228.0818	7.435
5	non	49923	27123.7659	7.4333
6	e	40336	21915.0336	7.3407
7	é	27880	15147.5391	7.1803
8	un	23041	12518.4522	7.0976
9	os	16285	8847.8362	6.9468
10	unha	15540	8443.0688	6.9265
11	se	14853	8069.8134	6.9069
12	para	14482	7868.2447	6.8959
13	por	14410	7829.1262	6.8937
14	do	13640	7410.7759	6.8699
15	en	13046	7088.0486	6.8505
16	da	11322	6151.3787	6.789
17	as	9892	5374.4425	6.7303
18	como	9209	5003.3604	6.6993
19	está	8719	4737.1375	6.6755
20	si	8390	4558.3878	6.6588
21	máis	8341	4531.7656	6.6563
22	no	8084	4392.1344	6.6427
23	ao	7819	4248.1567	6.6282
24	pero	7772	4222.621	6.6256
25	ben	7674	4169.3764	6.6201
26	eu	7516	4083.5331	6.611
27	na	7251	3939.5555	6.5954
28	con	7021	3814.5937	6.5814
29	aquí	6614	3593.4657	6.5555
30	son	6441	3499.4727	6.544
31	me	6173	3353.8651	6.5255
32	todo	6083	3304.967	6.5192
33	á	6078	3302.2505	6.5188
34	iso	5972	3244.6594	6.5112
35	meu	5578	3030.5944	6.4815
36	hai	5546	3013.2085	6.479
37	xa	5499	2987.6728	6.4753
38	ti	5250	2852.3881	6.4552
39	cando	5130	2787.1907	6.4452
40	ou	4647	2524.771	6.4022
41	dos	4630	2515.5346	6.4006
42	só	4594	2495.9754	6.3972
43	súa	4583	2489.999	6.3962
44	seu	4350	2363.4073	6.3735
45	agora	4335	2355.2576	6.372
46	miña	4323	2348.7379	6.3708
47	moi	4058	2204.7602	6.3434
48	así	4055	2203.1302	6.343
49	onde	4028	2188.4608	6.3401
50	ten	3889	2112.9404	6.3249
51	nada	3861	2097.7277	6.3217
52	era	3836	2084.1449	6.3189
53	ser	3802	2065.6723	6.3151
54	facer	3773	2049.9162	6.3117
54	foi	3773	2049.9162	6.3117
55	el	3633	1973.8526	6.2953
56	teño	3568	1938.5373	6.2875
57	isto	3548	1927.671	6.285
58	esta	3505	1904.3086	6.2797
59	quen	3432	1864.6468	6.2706
60	nos	3404	1849.4341	6.267
61	todos	3358	1824.4418	6.2611
62	algo	3324	1805.9692	6.2567
63	vai	3260	1771.1972	6.2483
64	porque	3219	1748.9214	6.2428
65	estou	3165	1719.5825	6.2354
66	este	3090	1678.8341	6.225
67	lle	2929	1591.3609	6.2018
68	pode	2903	1577.2348	6.1979
69	te	2822	1533.2265	6.1856
