Rank	Bigram	Frequency	Frequency per million	Zipf value
1	ა$	284236	42633.1532	7.6297
2	ვ$	249290	37391.5295	7.5728
3	თ$	176364	26453.2059	7.4225
4	ჲ$	152747	22910.8426	7.36
5	^ჟ	141448	21216.0819	7.3267
6	^ნ	125232	18783.8101	7.2738
7	^ე	105328	15798.3674	7.1986
8	ნა	92051	13806.9224	7.1401
9	^რ	89026	13353.1963	7.1256
10	^ო	86169	12924.6689	7.1114
11	^მ	80252	12037.1656	7.0805
12	ეა	77542	11630.6871	7.0656
13	კა	72362	10853.728	7.0356
14	რჲ	71619	10742.2839	7.0311
15	გა	69134	10369.5535	7.0158
16	ნვ	67088	10062.6697	7.0027
17	^გ	66883	10031.9213	7.0014
18	^კ	65860	9878.4794	6.9947
19	რა	65678	9851.1808	6.9935
20	პა	63322	9497.7995	6.9776
21	^თ	60838	9125.2191	6.9602
22	რვ	57709	8655.8938	6.9373
23	არ	56194	8428.6558	6.9258
24	მ$	53701	8054.7255	6.9061
25	^ჲ	51510	7726.0928	6.888
26	^ვ	51266	7689.4948	6.8859
27	^ჱ	50806	7620.4984	6.882
28	ამ	50497	7574.1508	6.8793
29	კჲ	48866	7329.5137	6.8651
30	ჟრ	47275	7090.8763	6.8507
31	რ$	45446	6816.5408	6.8336
32	ნთ	44220	6632.6505	6.8217
33	ლთ	44057	6608.2017	6.8201
34	ჟვ	43354	6502.7573	6.8131
35	ოპ	43170	6475.1588	6.8113
36	ჱა	42679	6401.5126	6.8063
37	პვ	42259	6338.516	6.802
38	ოჲ	42020	6302.6678	6.7995
39	ჲრ	41742	6260.97	6.7966
40	ნჲ	40186	6027.5823	6.7801
41	^დ	39940	5990.6843	6.7775
42	მა	39021	5852.8416	6.7674
43	ჲგ	38914	5836.7924	6.7662
44	აკ	38023	5703.1494	6.7561
45	რთ	37861	5678.8507	6.7543
46	მვ	37247	5586.7556	6.7472
47	^ბ	36974	5545.8077	6.744
48	ვნ	36198	5429.4139	6.7348
49	გჲ	36163	5424.1641	6.7343
50	დჲ	35803	5370.167	6.73
51	გთ	33677	5051.2838	6.7034
52	პთ	32214	4831.8454	6.6841
53	აგ	32171	4825.3957	6.6835
54	მჲ	31792	4768.5487	6.6784
55	ევ	31369	4705.102	6.6726
56	^ა	30994	4648.855	6.6673
57	ჟთ	30846	4626.6562	6.6653
58	ვე	29745	4461.5149	6.6495
59	წ$	29397	4409.3176	6.6444
60	ქ$	29129	4369.1197	6.6404
61	ნ$	28907	4335.8215	6.6371
62	მთ	28745	4311.5228	6.6346
63	ეჲ	28742	4311.0728	6.6346
64	ვრ	28590	4288.274	6.6323
65	ან	28268	4239.9766	6.6274
66	თრ	27514	4126.8825	6.6156
67	ალ	26950	4042.287	6.6066
68	ი$	25289	3793.1501	6.579
69	ლა	24731	3709.4545	6.5693
70	ფვ	24687	3702.8549	6.5685
71	ლვ	24629	3694.1553	6.5675
72	თნ	24463	3669.2566	6.5646
73	გვ	24173	3625.7589	6.5594
74	ჲპ	23861	3578.9614	6.5538
75	^ლ	23505	3525.5642	6.5472
76	აპ	23291	3493.4659	6.5433
77	^ფ	23133	3469.7671	6.5403
78	და	22546	3381.7218	6.5291
79	თმ	22431	3364.4727	6.5269
80	ჲე	22267	3339.874	6.5237
81	პჲ	21990	3298.3262	6.5183
82	თჟ	21899	3284.6769	6.5165
83	აჱ	21732	3259.6282	6.5132
84	ჲბ	21669	3250.1787	6.5119
85	^პ	21442	3216.1305	6.5073
86	ჲჟ	21367	3204.8811	6.5058
87	ჲლ	21266	3189.7319	6.5038
88	გ$	20281	3041.9897	6.4832
89	ეთ	19997	2999.3919	6.477
90	ს$	19973	2995.7921	6.4765
91	რპ	19746	2961.7439	6.4715
92	ჲდ	19737	2960.394	6.4713
93	აქ	19634	2944.9448	6.4691
94	ჟ$	19602	2940.1451	6.4684
95	ბთ	18809	2821.2013	6.4504
96	ვპ	18452	2767.6541	6.4421
97	ვმ	18409	2761.2045	6.4411
98	ჟა	18076	2711.2571	6.4332
99	ვლ	18042	2706.1574	6.4324
100	^ს	17977	2696.4079	6.4308
101	ღვ	17601	2640.0109	6.4216
102	კ$	17154	2572.9644	6.4104
103	ვქ	17087	2562.9149	6.4087
104	აე	16565	2484.6191	6.3953
105	თჱ	16075	2411.1229	6.3822
