Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ვ	37682	30411.1747	7.483	v
2	თ	21329	17213.5222	7.2359	tʰ
3	გ	11025	8897.7019	6.9493	ɡ
4	ა	7344	5926.9589	6.7728	a
5	თმა	3375	2723.7863	6.4352	tʰ m a
6	რამ	1509	1217.8351	6.0856	r a m
7	ვენა	1145	924.0697	5.9657	v ɛ n a
8	და	1037	836.9086	5.9227	d a
9	არ	834	673.0779	5.8281	a r
10	რომ	702	566.5475	5.7532	r ɔ m
11	რა	458	369.6279	5.5678	r a
12	მე	413	333.3107	5.5228	m ɛ
13	ეს	365	294.5724	5.4692	ɛ s
14	შენ	314	253.413	5.4038	ʃ ɛ n
15	უნდა	296	238.8861	5.3782	u n d a
16	მამა	267	215.4818	5.3334	m a m a
17	მაგრამ	235	189.6562	5.278	m a ɡ r a m
18	არა	230	185.621	5.2686	a r a
19	ის	224	180.7787	5.2571	i s
20	თუ	219	176.7435	5.2473	tʰ u
21	ჩემი	208	167.8659	5.225	t͡ʃ ɛ m i
22	აქ	207	167.0589	5.2229	a kʰ
23	კი	191	154.1461	5.1879	kʼ i
24	შენი	181	146.0756	5.1646	ʃ ɛ n i
25	ვარ	177	142.8475	5.1549	v a r
26	ხარ	174	140.4263	5.1474	x a r
27	ამ	132	106.5303	5.0275	a m
27	არის	132	106.5303	5.0275	a r i s
27	ჩვენ	132	106.5303	5.0275	t͡ʃ v ɛ n
27	ძალიან	132	106.5303	5.0275	d͡z a l i a n
28	კარგი	129	104.1092	5.0175	kʼ a r ɡ i
29	ვერ	128	103.3021	5.0141	v ɛ r
29	ვიცი	128	103.3021	5.0141	v i t͡s i
29	მას	128	103.3021	5.0141	m a s
30	როგორ	111	89.5823	4.9522	r ɔ ɡ ɔ r
31	რატომ	104	83.933	4.9239	r a tʼ ɔ m
32	მისი	103	83.1259	4.9197	m i s i
33	ასე	99	79.8977	4.9025	a s ɛ
34	ყველაფერი	96	77.4766	4.8892	qʼ v ɛ l a pʰ ɛ r i
35	თქვენ	93	75.0554	4.8754	tʰ kʰ v ɛ n
36	ახლა	91	73.4413	4.8659	a x l a
37	მათ	89	71.8273	4.8563	m a tʰ
37	რას	89	71.8273	4.8563	r a s
38	ერთად	85	68.5991	4.8363	ɛ r tʰ a d
39	ან	82	66.1779	4.8207	a n
39	როცა	82	66.1779	4.8207	r ɔ t͡s a
40	ხომ	80	64.5638	4.81	x ɔ m
41	ჩვენი	79	63.7568	4.8045	t͡ʃ v ɛ n i
42	გაქ	77	62.1427	4.7934	ɡ a kʰ
42	უფრო	77	62.1427	4.7934	u pʰ r ɔ
42	ჩემს	77	62.1427	4.7934	t͡ʃ ɛ m s
43	კიდევ	73	58.9145	4.7702	kʼ i d ɛ v
43	უკვე	73	58.9145	4.7702	u kʼ v ɛ
44	მინდა	72	58.1074	4.7642	m i n d a
44	ყველა	72	58.1074	4.7642	qʼ v ɛ l a
44	შეიძლება	72	58.1074	4.7642	ʃ ɛ i d͡z l ɛ b a
45	ამას	71	57.3004	4.7582	a m a s
45	მალა	71	57.3004	4.7582	m a l a
46	კარგად	68	54.8792	4.7394	kʼ a r ɡ a d
46	მხოლოდ	68	54.8792	4.7394	m x ɔ l ɔ d
47	შემდეგ	67	54.0722	4.733	ʃ ɛ m d ɛ ɡ
48	აღარ	66	53.2652	4.7264	a ɣ a r
49	დიდი	64	51.6511	4.7131	d i d i
50	ერთი	63	50.844	4.7062	ɛ r tʰ i
51	მან	62	50.037	4.6993	m a n
52	დედა	59	47.6158	4.6778	d ɛ d a
52	მის	59	47.6158	4.6778	m i s
53	თქვენი	58	46.8088	4.6703	tʰ kʰ v ɛ n i
54	არც	53	42.7735	4.6312	a r t͡s
54	ყვირილი	53	42.7735	4.6312	qʼ v i r i l i
55	არიან	52	41.9665	4.6229	a r i a n
55	კმ	52	41.9665	4.6229	kʼ m
56	ვინ	51	41.1594	4.6145	v i n
56	სმა	51	41.1594	4.6145	s m a
56	სხვა	51	41.1594	4.6145	s x v a
57	ჯერ	50	40.3524	4.6059	d͡ʒ ɛ r
58	დიახ	49	39.5453	4.5971	d i a x
58	ეხლა	49	39.5453	4.5971	ɛ x l a
58	მეფე	49	39.5453	4.5971	m ɛ pʰ ɛ
59	თავს	48	38.7383	4.5881	tʰ a v s
59	იქნება	48	38.7383	4.5881	i kʰ n ɛ b a
60	მაქვს	47	37.9312	4.579	m a kʰ v s
61	ისე	46	37.1242	4.5697	i s ɛ
62	ბ	45	36.3172	4.5601	b
62	გინდა	45	36.3172	4.5601	ɡ i n d a
63	ისინი	44	35.5101	4.5504	i s i n i
63	პატარა	44	35.5101	4.5504	pʼ a tʼ a r a
63	სანამ	44	35.5101	4.5504	s a n a m
63	უბრალოდ	44	35.5101	4.5504	u b r a l ɔ d
64	მოხდა	42	33.896	4.5301	m ɔ x d a
65	თავი	41	33.089	4.5197	tʰ a v i
65	სად	41	33.089	4.5197	s a d
66	მაინც	40	32.2819	4.509	m a i n t͡s
67	დღეს	39	31.4749	4.498	d ɣ ɛ s
67	იყოს	39	31.4749	4.498	i qʼ ɔ s
67	მერე	39	31.4749	4.498	m ɛ r ɛ
67	რაღაც	39	31.4749	4.498	r a ɣ a t͡s
67	სულ	39	31.4749	4.498	s u l
68	აი	38	30.6678	4.4867	a i
68	ვართ	38	30.6678	4.4867	v a r tʰ
68	კაცი	38	30.6678	4.4867	kʼ a t͡s i
69	მაშინ	37	29.8608	4.4751	m a ʃ i n
69	ხალხი	37	29.8608	4.4751	x a l x i
69	ჰო	37	29.8608	4.4751	h ɔ
70	არაფერი	36	29.0537	4.4632	a r a pʰ ɛ r i
70	სახლში	36	29.0537	4.4632	s a x l ʃ i
70	ყოველთვის	36	29.0537	4.4632	qʼ ɔ v ɛ l tʰ v i s
71	მოდი	35	28.2467	4.451	m ɔ d i
72	ეგ	34	27.4396	4.4384	ɛ ɡ
72	იმიტომ	34	27.4396	4.4384	i m i tʼ ɔ m
72	ო	34	27.4396	4.4384	ɔ
72	ორი	34	27.4396	4.4384	ɔ r i
73	გაქვს	33	26.6326	4.4254	ɡ a kʰ v s
73	დრო	33	26.6326	4.4254	d r ɔ
73	რადგან	33	26.6326	4.4254	r a d ɡ a n
73	ხართ	33	26.6326	4.4254	x a r tʰ
74	თქმა	32	25.8255	4.412	tʰ kʰ m a
75	საკუთარი	31	25.0185	4.3983	s a kʼ u tʰ a r i
75	უკან	31	25.0185	4.3983	u kʼ a n
76	გამო	30	24.2114	4.384	ɡ a m ɔ
76	მართლა	30	24.2114	4.384	m a r tʰ l a
76	მეტი	30	24.2114	4.384	m ɛ tʼ i
76	პ	30	24.2114	4.384	pʼ
76	ყველაზე	30	24.2114	4.384	qʼ v ɛ l a z ɛ
76	შესახებ	30	24.2114	4.384	ʃ ɛ s a x ɛ b
77	ვიყავი	29	23.4044	4.3693	v i qʼ a v i
77	საქმე	29	23.4044	4.3693	s a kʰ m ɛ
77	ცოტა	29	23.4044	4.3693	t͡s ɔ tʼ a
78	აქვს	28	22.5973	4.3541	a kʰ v s
78	ბევრი	28	22.5973	4.3541	b ɛ v r i
79	ვწუხვარ	27	21.7903	4.3383	v t͡sʼ u x v a r
79	მადლობა	27	21.7903	4.3383	m a d l ɔ b a
79	მათი	27	21.7903	4.3383	m a tʰ i
79	მალე	27	21.7903	4.3383	m a l ɛ
79	რომელიც	27	21.7903	4.3383	r ɔ m ɛ l i t͡s
80	ალბათ	26	20.9832	4.3219	a l b a tʰ
80	ბოლო	26	20.9832	4.3219	b ɔ l ɔ
80	თქვა	26	20.9832	4.3219	tʰ kʰ v a
80	სმ	26	20.9832	4.3219	s m
81	დროს	25	20.1762	4.3048	d r ɔ s
81	ვიდრე	25	20.1762	4.3048	v i d r ɛ
81	იქ	25	20.1762	4.3048	i kʰ
81	ქალი	25	20.1762	4.3048	kʰ a l i
82	თუმცა	24	19.3691	4.2871	tʰ u m t͡s a
82	იგი	24	19.3691	4.2871	i ɡ i
82	მზად	24	19.3691	4.2871	m z a d
83	დარწმუნებული	23	18.5621	4.2686	d a r t͡sʼ m u n ɛ b u l i
83	დღე	23	18.5621	4.2686	d ɣ ɛ
83	ისევ	23	18.5621	4.2686	i s ɛ v
83	მარტო	23	18.5621	4.2686	m a r tʼ ɔ
83	როგორი	23	18.5621	4.2686	r ɔ ɡ ɔ r i
83	ხდება	23	18.5621	4.2686	x d ɛ b a
84	არასოდეს	22	17.7551	4.2493	a r a s ɔ d ɛ s
84	ბედნიერი	22	17.7551	4.2493	b ɛ d n i ɛ r i
84	გამარჯობა	22	17.7551	4.2493	ɡ a m a r d͡ʒ ɔ b a
84	გეი	22	17.7551	4.2493	ɡ ɛ i
84	იქნებოდა	22	17.7551	4.2493	i kʰ n ɛ b ɔ d a
84	მერი	22	17.7551	4.2493	m ɛ r i
84	მეფის	22	17.7551	4.2493	m ɛ pʰ i s
84	რომელსაც	22	17.7551	4.2493	r ɔ m ɛ l s a t͡s
84	ცხოვრება	22	17.7551	4.2493	t͡s x ɔ v r ɛ b a
85	არასდროს	21	16.948	4.2291	a r a s d r ɔ s
85	ბიჭი	21	16.948	4.2291	b i t͡ʃʼ i
85	ბოდიში	21	16.948	4.2291	b ɔ d i ʃ i
85	განა	21	16.948	4.2291	ɡ a n a
85	ესე	21	16.948	4.2291	ɛ s ɛ
85	ისეთი	21	16.948	4.2291	i s ɛ tʰ i
85	იყავი	21	16.948	4.2291	i qʼ a v i
85	მთელი	21	16.948	4.2291	m tʰ ɛ l i
85	რამე	21	16.948	4.2291	r a m ɛ
85	სპა	21	16.948	4.2291	s pʼ a
85	შეუძლია	21	16.948	4.2291	ʃ ɛ u d͡z l i a
85	შვილი	21	16.948	4.2291	ʃ v i l i
85	წინ	21	16.948	4.2291	t͡sʼ i n
86	ამბობს	20	16.141	4.2079	a m b ɔ b s
86	ასევე	20	16.141	4.2079	a s ɛ v ɛ
86	ლამაზი	20	16.141	4.2079	l a m a z i
86	რამდენი	20	16.141	4.2079	r a m d ɛ n i
86	სურს	20	16.141	4.2079	s u r s
87	გარეშე	19	15.3339	4.1857	ɡ a r ɛ ʃ ɛ
87	გთხოვ	19	15.3339	4.1857	ɡ tʰ x ɔ v
87	ვაჟი	19	15.3339	4.1857	v a ʒ i
87	თავად	19	15.3339	4.1857	tʰ a v a d
87	მართალი	19	15.3339	4.1857	m a r tʰ a l i
87	ნამდვილად	19	15.3339	4.1857	n a m d v i l a d
87	შავი	19	15.3339	4.1857	ʃ a v i
87	წადი	19	15.3339	4.1857	t͡sʼ a d i
87	ჯანდაბა	19	15.3339	4.1857	d͡ʒ a n d a b a
88	აბა	18	14.5269	4.1622	a b a
88	არავინ	18	14.5269	4.1622	a r a v i n
88	ახალგაზრდა	18	14.5269	4.1622	a x a l ɡ a z r d a
