Rank	Word	Frequency	Frequency per million	Zipf value
1	ეა	51830	41829.2868	7.6215
2	ვ	37682	30411.1747	7.483
3	ნვ	33775	27258.039	7.4355
4	ჟვ	27562	22243.8511	7.3472
5	თ	21329	17213.5222	7.2359
6	ნა	21240	17141.695	7.2341
7	ჟთ	16126	13014.4526	7.1144
8	ჱა	15679	12653.7023	7.1022
9	ღვ	13563	10945.9891	7.0393
10	რთ	13288	10724.051	7.0304
11	დჲ	12847	10368.1429	7.0157
12	ლთ	12677	10230.9448	7.0099
13	გ	11025	8897.7019	6.9493
14	მთ	10726	8656.3946	6.9373
15	რჲგა	10063	8121.3219	6.9096
16	ფვ	9566	7720.2191	6.8876
17	ჲრ	8346	6735.6208	6.8284
18	ჟ	8119	6552.421	6.8164
19	კაკგჲ	7676	6194.8988	6.792
20	ა	7344	5926.9589	6.7728
21	რვ	6130	4947.2029	6.6944
22	ნჲ	5747	4638.1036	6.6663
23	მვ	5450	4398.4104	6.6433
24	ჟყმ	5263	4247.4925	6.6281
25	აჱ	4658	3759.2286	6.5751
26	აკჲ	4349	3509.8508	6.5453
27	ეჲბპვ	4319	3485.6394	6.5423
28	ჟა	4011	3237.0687	6.5102
29	რპწბგა	4002	3229.8052	6.5092
30	გჲ	3928	3170.0837	6.5011
31	ნწმა	3893	3141.837	6.4972
32	ქრჲ	3876	3128.1172	6.4953
33	მჲზვ	3729	3009.4812	6.4785
34	მს	3706	2990.9191	6.4758
35	ჟამჲ	3588	2895.6875	6.4618
36	რაკა	3567	2878.7395	6.4592
37	გთ	3564	2876.3183	6.4588
38	დთ	3549	2864.2126	6.457
39	წ	3478	2806.9122	6.4482
40	ბვქვ	3390	2735.892	6.4371
41	რსკ	3384	2731.0497	6.4363
42	თმა	3375	2723.7863	6.4352
43	ნთ	3350	2703.6101	6.4319
44	რჲა	3344	2698.7678	6.4312
45	ოჲ	3315	2675.3634	6.4274
46	მნჲდჲ	2985	2409.0376	6.3818
47	ჲე	2804	2262.962	6.3547
48	ჱნამ	2773	2237.9435	6.3498
49	კაკ	2701	2179.8361	6.3384
50	ჟვდა	2676	2159.6599	6.3344
51	ევკა	2675	2158.8528	6.3342
52	კარჲ	2646	2135.4484	6.3295
53	რჲი	2563	2068.4635	6.3156
54	ჟჲ	2514	2028.9181	6.3073
55	ნვღჲ	2455	1981.3023	6.297
56	ბთ	2388	1927.2301	6.2849
57	ჱაღჲ	2274	1835.2267	6.2637
58	მვნ	2138	1725.4682	6.2369
59	ეჲ	2096	1691.5722	6.2283
60	რვბ	2073	1673.0101	6.2235
61	გჟთფკჲ	2053	1656.8691	6.2193
62	რჲ	2032	1639.9211	6.2148
63	კაკჲ	2006	1618.9379	6.2092
64	ჟრვ	1971	1590.6912	6.2016
65	ჟმვ	1967	1587.463	6.2007
66	თლთ	1826	1473.6693	6.1684
67	ჱნავქ	1806	1457.5283	6.1636
68	ჲღვ	1772	1430.0887	6.1554
69	კყევ	1762	1422.0182	6.1529
70	თჟკამ	1745	1408.2984	6.1487
71	ეჲბპჲ	1691	1364.7178	6.135
72	მჲდა	1611	1300.154	6.114
73	ნალთ	1564	1262.2227	6.1011
74	აჟ	1562	1260.6086	6.1006
74	გპვმვ	1562	1260.6086	6.1006
75	ბლადჲეაპწ	1556	1255.7664	6.0989
76	გჟთფკთ	1541	1243.6606	6.0947
76	თმამ	1541	1243.6606	6.0947
77	ნვდჲ	1520	1226.7126	6.0887
78	კჲდარჲ	1516	1223.4844	6.0876
79	რამ	1509	1217.8351	6.0856
80	რჲჱთ	1501	1211.3787	6.0833
81	ჟსმ	1448	1168.6052	6.0677
82	ოპჲჟრჲ	1431	1154.8854	6.0625
83	ჲგა	1427	1151.6572	6.0613
84	ნთვ	1405	1133.9021	6.0546
85	ს	1398	1128.2528	6.0524
86	ჟამ	1386	1118.5682	6.0487
87	რაჱთ	1385	1117.7612	6.0483
88	კჲვრჲ	1366	1102.4273	6.0423
89	ვეთნ	1361	1098.392	6.0408
90	რწ	1339	1080.637	6.0337
91	კჲი	1335	1077.4088	6.0324
92	ნთღჲ	1323	1067.7242	6.0285
93	ჳაიევ	1291	1041.8987	6.0178
94	ჲ	1276	1029.793	6.0127
95	მჲზვქ	1262	1018.4943	6.008
96	ნაჟ	1237	998.3181	5.9993
97	თჟკაქ	1224	987.8265	5.9947
98	ჟლვე	1210	976.5278	5.9897
99	კჲდა	1205	972.4926	5.9879
100	პაბჲრა	1198	966.8432	5.9854
101	ჱაღჲრჲ	1194	963.6151	5.9839
102	თმაქ	1164	939.4036	5.9729
102	მთჟლწ	1164	939.4036	5.9729
103	მჲლწ	1155	932.1402	5.9695
