Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ich	8189460	37449.2079	7.5734	ɪ ç
2	sie	5333813	24390.75	7.3872	z iː  |  z ə
3	das	4350364	19893.581	7.2987	d a s  |  d aː s
4	ist	4230347	19344.7607	7.2866	ɪ s  |  ɪ s t
5	du	4111865	18802.9598	7.2742	d uː  |  d ə
6	nicht	3849995	17605.4664	7.2456	n ɪ ç  |  n ɪ ç t
7	die	3502476	16016.3127	7.2046	d iː  |  d ɪ
8	und	3205199	14656.9082	7.166	ə n  |  ʊ n  |  ʊ n t
9	es	3194903	14609.8261	7.1646	eː s  |  ə s  |  ɛ s
10	der	2438704	11151.8382	7.0473	d eː r
11	wir	2397211	10962.0968	7.0399	m ɐ  |  v iː ɐ̯  |  v ɐ
12	was	2385436	10908.2514	7.0378	v a s
13	zu	1990860	9103.9128	6.9592	t͡s uː  |  t͡s ə
14	er	1911395	8740.531	6.9415	eː r  |  eː ɐ̯  |  ɐ
15	ein	1853178	8474.3131	6.9281	a ɪ̯ n  |  n̩  |  ə n
16	in	1740092	7957.1873	6.9008	ʔ ɪ n
17	ja	1444629	6606.078	6.8199	j aː
18	mir	1429263	6535.8115	6.8153	m iː ɐ̯  |  m ɐ  |  m ə
19	mit	1415685	6473.7213	6.8112	m ɪ t
20	den	1305301	5968.9514	6.7759	d e n  |  d eː n  |  d ə n
21	wie	1303998	5962.9929	6.7755	v iː
22	mich	1252872	5729.2012	6.7581	m ɪ ç
23	auf	1240701	5673.545	6.7539	a ʊ̯ f
24	aber	1172024	5359.4951	6.7291	a b ɐ  |  aː b ɐ
25	eine	1166022	5332.0488	6.7269	ʔ a ɪ̯ n ə
26	so	1131315	5173.3387	6.7138	z oː
27	hat	1093828	5001.9161	6.6991	h a t
28	hier	1067832	4883.0402	6.6887	h iː r  |  h iː ɐ
29	haben	1030571	4712.6511	6.6733	h a m  |  h aː b ə n
30	sind	1028356	4702.5222	6.6723	z ɪ n  |  z ɪ n t
31	für	1026291	4693.0793	6.6715	f yː r  |  f yː ɐ̯  |  f ə  |  f ʏ ɐ̯
32	von	995448	4552.0387	6.6582	f ɔ n
33	dich	968830	4430.3185	6.6464	d ɪ ç
34	war	964545	4410.7238	6.6445	v aː ɐ̯
35	wenn	962137	4399.7124	6.6434	v ɛ n
36	ihr	927404	4240.8834	6.6275	iː ɐ̯  |  ɐ  |  ʔ iː ɐ̯
37	nein	888722	4063.9963	6.609	n a ɪ̯ n
38	an	882632	4036.1476	6.606	ʔ a n
39	habe	871489	3985.1923	6.6004	h aː b ə
40	noch	803171	3672.784	6.565	n o  |  n ɔ  |  n ɔ x
41	da	795833	3639.2284	6.561	d aː
42	bin	793048	3626.493	6.5595	b ɪ n
43	nur	786936	3598.5437	6.5561	n uː ɐ̯
44	dir	777918	3557.3057	6.5511	d iː ɐ̯  |  d ɐ  |  d ə
45	sich	742512	3395.3992	6.5309	z ɪ ç
46	uns	734163	3357.2205	6.526	ʊ n s
47	hast	711158	3252.022	6.5122	h a s  |  h a s t  |  h a ʃ
48	dem	653696	2989.2566	6.4756	d e m  |  d eː m  |  d m̩  |  d ə m
49	kann	634736	2902.5553	6.4628	k a n
50	gut	630609	2883.6831	6.4599	ɡ uː t  |  ɡ ʊ t
51	auch	620865	2839.1252	6.4532	a ʊ̯  |  a ʊ̯ x
52	ihn	620748	2838.5902	6.4531	iː n  |  ə n
53	schon	618592	2828.7311	6.4516	ʃ oː n  |  ʃ ɔ n
