Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	το	18247552	28214.3381	7.4505	t o
2	δεν	13041722	20165.0914	7.3046	ð e n
3	είναι	12882479	19918.8701	7.2993	i n e
4	θα	12198503	18861.3074	7.2756	θ a
5	και	11421269	17659.5494	7.247	c e
6	ο	7232971	11183.6091	7.0486	o
7	τον	6322461	9775.7799	6.9902	t o n
8	η	6300531	9741.8718	6.9886	i
9	αυτό	5568774	8610.4302	6.935	a f t o
10	ότι	5311823	8213.1329	6.9145	o t i
11	στο	4506331	6967.6824	6.8431	s t o
12	μια	2780890	4299.808	6.6334	m ɲ a
13	ήταν	2675188	4136.3718	6.6166	i t a n
14	είσαι	2558434	3955.8469	6.5972	i s e
15	πρέπει	2532398	3915.5901	6.5928	p ɾ e p i
16	είμαι	2416273	3736.0378	6.5724	i m e̞
17	στην	2277648	3521.696	6.5468	s t i n
18	κι	2261550	3496.8053	6.5437	c ‿
19	πολύ	2216733	3427.5093	6.535	p o l i
20	γιατί	2064911	3192.7624	6.5042	ʝ a t i
21	εγώ	1933113	2988.9765	6.4755	e ɣ o
22	εντάξει	1798787	2781.2818	6.4442	e n d a k s i
23	ξέρω	1687915	2609.8517	6.4166	k s e ɾ o
24	έχει	1674526	2589.1496	6.4132	e ç i
25	έχω	1592098	2461.6996	6.3912	e x o
26	θέλω	1308434	2023.0987	6.306	θ e l o
27	αυτή	1256489	1942.7814	6.2884	a f t i
28	στον	1233301	1906.9282	6.2803	s t o n
29	στη	1223365	1891.5652	6.2768	s t i
30	μπορώ	1167481	1805.1574	6.2565	b o ɾ o
31	μαζί	1109347	1715.2707	6.2343	m a z i
32	κάνω	970521	1500.6181	6.1763	k a n o
33	ευχαριστώ	957478	1480.4511	6.1704	e f x a ɾ i s t o
34	ποτέ	892743	1380.3579	6.14	p o t e
35	τόσο	889965	1376.0626	6.1386	t o s o
36	των	853197	1319.2119	6.1203	t o n
37	έλα	842614	1302.8485	6.1149	e l a
38	στα	835994	1292.6127	6.1115	s t a
39	μέσα	828234	1280.6142	6.1074	m e s a
40	λοιπόν	777106	1201.5602	6.0797	l i p o n
41	έχουμε	773047	1195.2841	6.0775	e x u m e
42	σπίτι	759112	1173.7379	6.0696	s p i t i
43	παρακαλώ	756137	1169.1379	6.0679	p a r a k a l o
44	είμαστε	728123	1125.8227	6.0515	i m a s t e
45	πίσω	726157	1122.7829	6.0503	p i s o
46	πάντα	706307	1092.0908	6.0383	p a n d a
47	νομίζω	688988	1065.3122	6.0275	n o m i z o
