Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	לא	11988205	29982.4575	7.4769	l o
2	את	11684576	29223.0825	7.4657	e d  |  e t  |  e ɪ s  |  e θ  |  ɛ s
3	אני	10749300	26883.9606	7.4295	ʔ a n i
4	אתה	5377847	13449.976	7.1287	ʔ a t a
5	הוא	3718770	9300.6304	6.9685	h u
6	על	3404272	8514.072	6.9301	a l  |  ŋ a l  |  ʕ a l
7	כן	2868940	7175.2086	6.8558	k a n  |  k e n
8	עם	1917774	4796.3459	6.6809	a m  |  i m
9	אם	1885435	4715.4661	6.6735	ʔ e m
10	טוב	1802729	4508.6187	6.654	t e i̯ v  |  t o i̯ v  |  t o v  |  tˤ eː v  |  tˤ o v  |  tˤ oː b  |  tˤ øː v
11	היה	1667361	4170.0639	6.6201	h a j a
12	אנחנו	1652869	4133.8194	6.6164	ʔ a n a χ n u
13	יכול	1324223	3311.877	6.5201	j a χ o l
14	אחד	982748	2457.8492	6.3906	e χ ɔ d  |  ʔ e ħ aː d  |  ʔ e χ a d  |  ʔ e̞ ħ ä d̪  |  ʔ æ ħ ɔ ð  |  ʔ ɛ ħ ɔ ð
15	משהו	976824	2443.0333	6.3879	m a ʃ ɛ h u
16	אל	944278	2361.6359	6.3732	ʔ a l  |  ʔ e l  |  ʔ ɛ l
17	צריך	915777	2290.355	6.3599	s a r i x  |  sˤ aː r i k  |  sˤ ɔ r i x  |  t͡s a ʁ i χ  |  t͡s ɔ r i x
18	כמו	885846	2215.4977	6.3455	k e m o  |  k m o
19	איך	880170	2201.302	6.3427	ʔ e χ
20	אין	871468	2179.5383	6.3384	ʔ e n
21	כך	853601	2134.853	6.3294	k a χ
22	לו	801293	2004.0309	6.3019	l o  |  l u
23	כדי	698847	1747.8138	6.2425	k e d e
24	אולי	682432	1706.76	6.2322	u l a j
25	גם	661762	1655.0644	6.2188	d ʒ æ m  |  ɡ a m
26	דבר	594730	1487.4176	6.1724	d a b a r  |  d a v a ʁ  |  d aː b aː r  |  d ɔ v ɔ r  |  d̪ a v a r
27	כבר	576396	1441.5643	6.1588	k v a ʁ
28	מאוד	516418	1291.5596	6.1111	m e o d
29	זמן	477998	1195.4713	6.0775	z m a n
30	פעם	474821	1187.5256	6.0746	p a ʔ a m  |  p e ʔ e m
31	עד	473812	1185.0021	6.0737	ʔ a d  |  ʔ e d
32	איפה	469090	1173.1924	6.0694	e f o
33	לעזאזל	462786	1157.4261	6.0635	l a ʔ a z a z e l  |  l e ʔ a z a z e l
34	ממש	451279	1128.6472	6.0526	m a m a ʃ  |  m a m ə ʃ
35	מישהו	429875	1075.1158	6.0315	m i ʃ u  |  m i ʃ ɛ h u
36	לה	410153	1025.7912	6.0111	l a  |  l ɑ h
37	ובכן	404332	1011.2329	6.0049	u v χ ɛ n
38	הייתה	381769	954.8029	5.9799	h a j t a  |  h a j ə t a  |  h a j ɛ t a
39	בדיוק	377887	945.094	5.9755	b e d i j u k  |  b i d j u k
40	מר	375337	938.7165	5.9725	m a ʁ
41	אף	367329	918.6885	5.9632	ʔ a f
42	שוב	363052	907.9917	5.9581	ʃ u v
43	אדוני	357515	894.1437	5.9514	a d o n a j  |  a d ɔ ɪ n o j  |  æ ð øː n ɔ j  |  ă ð o n ɔ j  |  ă ð oː n aː j
44	קרה	336322	841.1401	5.9249	k a ʁ a
45	אחת	331955	830.2183	5.9192	a χ a s  |  a χ a t  |  ä ħ ä t̪  |  æ ħ æ θ
46	אפילו	309236	773.3981	5.8884	a f i l u
47	יום	306025	765.3674	5.8839	j o m
48	שלום	301074	752.985	5.8768	ʃ a l o m  |  ʃ aː l oː m  |  ʃ ɔ l o m  |  ʃ ɔ l o ɪ m
49	בטוח	296695	742.0331	5.8704	b a t u a χ
50	כולם	289201	723.2907	5.8593	k u l a m
51	בן	285578	714.2295	5.8538	b e n
52	אחרי	283239	708.3797	5.8503	a χ a ʁ e  |  a χ ʁ e
53	אדם	261193	653.2428	5.8151	a d a m  |  ɔ d ɔ m  |  ʔ a d a m  |  ʔ ɔ ð ɔ m  |  ʔ ɔː ð ɔː m
