Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	है	40961	52236.3125	7.718	ɦ ɛː
2	मैं	17957	22900.0138	7.3598	m ə ɪ  |  m ɛ̃ː
3	नहीं	16881	21527.8238	7.333	n ə ɦ ĩː
4	हैं	13598	17341.1142	7.2391	ɦ ɛ̃ː
5	में	13186	16815.7032	7.2257	m ẽː
6	एक	12825	16355.3309	7.2137	eː k
7	आप	11358	14484.5106	7.1609	ɑː p
8	लिए	10293	13126.3486	7.1181	l ɪ eː
9	और	9561	12192.8513	7.0861	ɔː ɾ
10	यह	9435	12032.1674	7.0803	j eː  |  j ə ɦ
11	से	9268	11819.1974	7.0726	s eː
12	की	8682	11071.8895	7.0442	k iː
13	क्या	8094	10322.031	7.0138	k j ɑː
14	कि	7925	10106.5105	7.0046	k ɪ
15	तुम	7826	9980.2588	6.9991	t̪ ʊ m
16	हो	7409	9448.4715	6.9754	ɦ oː
17	कर	7339	9359.2026	6.9712	k ə ɾ
18	मुझे	6701	8545.5807	6.9317	m ʊ d͡ʒʱ eː
19	हम	6219	7930.9008	6.8993	ɦ ə m
20	था	6014	7669.4706	6.8848	t̪ʰ ɑː
21	वह	5739	7318.7715	6.8644	ʋ oː  |  ʋ ə ɦ
22	पर	5352	6825.2422	6.8341	p ə ɾ
23	हूँ	5041	6428.6334	6.8081	ɦ ũː
24	रहे	4783	6099.6138	6.7853	ɾ ə ɦ eː
25	भी	4533	5780.7965	6.762	bʱ iː
26	रहा	4443	5666.0222	6.7533	ɾ ə ɦ ɑː
27	का	4280	5458.1533	6.737	k ɑː
28	कुछ	3760	4795.0132	6.6808	k ʊ t͡ʃʰ
29	तो	3600	4590.9701	6.6619	t̪ oː
30	गया	3548	4524.6561	6.6556	ɡ ə j ɑː
31	इस	3436	4381.8259	6.6417	ɪ s
32	ठीक	3334	4251.7484	6.6286	ʈʰ iː k
33	किया	3105	3959.7117	6.5977	k ɪ j ɑː
34	साथ	2974	3792.6514	6.5789	s ɑː t̪ʰ
35	उसे	2965	3781.174	6.5776	ʊ s eː
36	वे	2752	3509.5416	6.5453	ʋ eː
37	यहाँ	2628	3351.4082	6.5252	j ə ɦ ɑ̃ː
38	हाँ	2604	3320.8017	6.5212	ɦ ɑ̃ː
39	तुम्हें	2587	3299.1221	6.5184	t̪ ʊ m ɦ ẽː
40	लेकिन	2582	3292.7458	6.5176	l eː k ɪ n
41	कोई	2416	3081.051	6.4887	k oː iː
42	तरह	2411	3074.6747	6.4878	t̪ ə ɾ ə ɦ  |  t̪ ə ɾ ɦ ə
43	पता	2403	3064.4725	6.4864	p ə t̪ ɑː
44	होगा	2357	3005.8101	6.478	ɦ oː ɡ ɑː
45	सकता	2189	2791.5649	6.4458	s ə k t̪ ɑː
46	जाओ	2177	2776.2616	6.4435	d͡ʒ ɑː oː
47	बहुत	2154	2746.9304	6.4388	b ə ɦ ʊ t̪
48	बात	2137	2725.2508	6.4354	b ɑː t̪
49	ही	2043	2605.3755	6.4159	ɦ iː
50	दिया	2027	2584.9712	6.4125	d̪ ɪ j ɑː
51	करना	1998	2547.9884	6.4062	k ə ɾ n ɑː
52	जा	1891	2411.5346	6.3823	d͡ʒ ɑː
53	सब	1801	2296.7603	6.3611	s ə b
54	लगता	1759	2243.199	6.3509	l ə ɡ t̪ ɑː
55	बारे	1741	2220.2441	6.3464	b ɑː ɾ eː
56	कहा	1727	2202.3904	6.3429	k ə ɦ ɑː
57	जो	1675	2136.0764	6.3296	d͡ʒ oː
58	जब	1605	2046.8075	6.3111	d͡ʒ ə b
59	बाहर	1603	2044.257	6.3105	b ɑː ɦ ə ɾ
60	इसे	1600	2040.4311	6.3097	ɪ s eː
61	अच्छा	1576	2009.8247	6.3032	ə t͡ʃ t͡ʃʰ ɑː
62	क्यों	1464	1866.9945	6.2711	k j õː  |  k j ũː
63	दो	1463	1865.7192	6.2708	d̪ oː
64	थे	1448	1846.5902	6.2664	t̪ʰ eː
65	काम	1393	1776.4504	6.2496	k ɑː m
66	फिर	1386	1767.5235	6.2474	f ɪ ɾ  |  pʰ ɪ ɾ
67	अगर	1381	1761.1471	6.2458	ə ɡ ə ɾ
68	वापस	1362	1736.917	6.2398	ʋ ɑː p ə s
69	करते	1354	1726.7149	6.2372	k ə ɾ t̪ eː
70	जाएगा	1353	1725.4396	6.2369	d͡ʒ ɑː eː ɡ ɑː
71	ये	1340	1708.8611	6.2327	j eː
72	आदमी	1339	1707.5858	6.2324	ɑː d̪ m iː
73	कभी	1335	1702.4847	6.2311	k ə bʱ iː
74	हमें	1329	1694.8331	6.2291	ɦ ə m ẽː
75	बस	1327	1692.2826	6.2285	b ə s
76	पहले	1321	1684.631	6.2265	p ə ɦ l eː
77	समय	1317	1679.5299	6.2252	s ə m ə j
78	आ	1296	1652.7492	6.2182	a  |  aː  |  ɑː
79	रही	1291	1646.3729	6.2165	ɾ ə ɦ iː
80	तक	1235	1574.9578	6.1973	t̪ ə k
81	मैंने	1177	1500.9922	6.1764	m ɛ̃ː n eː
82	मेरा	1169	1490.79	6.1734	m eː ɾ ɑː
83	रूप	1153	1470.3857	6.1674	ɾ uː p
84	करता	1124	1433.4029	6.1564	k ə ɾ t̪ ɑː
85	अभी	1113	1419.3749	6.1521	ə bʱ iː
86	मिल	1108	1412.9986	6.1501	m ɪ l
87	या	1107	1411.7233	6.1497	j ɑː
88	उस	1067	1360.7125	6.1338	ʊ s
