Rank	Word	Frequency	Frequency per million	Zipf value
1	है	40961	52236.3125	7.718
2	के	20309	25899.4476	7.4133
3	मैं	17957	22900.0138	7.3598
4	नहीं	16881	21527.8238	7.333
5	हैं	13598	17341.1142	7.2391
6	में	13186	16815.7032	7.2257
7	एक	12825	16355.3309	7.2137
8	आप	11358	14484.5106	7.1609
9	लिए	10293	13126.3486	7.1181
10	और	9561	12192.8513	7.0861
11	यह	9435	12032.1674	7.0803
12	से	9268	11819.1974	7.0726
13	की	8682	11071.8895	7.0442
14	क्या	8094	10322.031	7.0138
15	कि	7925	10106.5105	7.0046
16	तुम	7826	9980.2588	6.9991
17	हो	7409	9448.4715	6.9754
18	कर	7339	9359.2026	6.9712
19	मुझे	6701	8545.5807	6.9317
20	को	6682	8521.3506	6.9305
21	हम	6219	7930.9008	6.8993
22	था	6014	7669.4706	6.8848
23	वह	5739	7318.7715	6.8644
24	पर	5352	6825.2422	6.8341
25	हूँ	5041	6428.6334	6.8081
26	रहे	4783	6099.6138	6.7853
27	भी	4533	5780.7965	6.762
28	रहा	4443	5666.0222	6.7533
29	का	4280	5458.1533	6.737
30	अपने	4111	5242.6328	6.7195
31	कुछ	3760	4795.0132	6.6808
32	तो	3600	4590.9701	6.6619
33	गया	3548	4524.6561	6.6556
34	इस	3436	4381.8259	6.6417
35	मेरे	3376	4305.3097	6.634
36	ठीक	3334	4251.7484	6.6286
37	करने	3261	4158.6537	6.619
38	किया	3105	3959.7117	6.5977
39	साथ	2974	3792.6514	6.5789
40	उसे	2965	3781.174	6.5776
41	वे	2752	3509.5416	6.5453
42	यहाँ	2628	3351.4082	6.5252
43	सकते	2623	3345.0318	6.5244
44	हाँ	2604	3320.8017	6.5212
45	तुम्हें	2587	3299.1221	6.5184
46	लेकिन	2582	3292.7458	6.5176
47	कोई	2416	3081.051	6.4887
48	तरह	2411	3074.6747	6.4878
49	पता	2403	3064.4725	6.4864
50	अब	2392	3050.4446	6.4844
51	होगा	2357	3005.8101	6.478
52	सकता	2189	2791.5649	6.4458
53	जाओ	2177	2776.2616	6.4435
54	बहुत	2154	2746.9304	6.4388
55	बात	2137	2725.2508	6.4354
56	ही	2043	2605.3755	6.4159
57	दिया	2027	2584.9712	6.4125
58	करना	1998	2547.9884	6.4062
59	जा	1891	2411.5346	6.3823
60	सब	1801	2296.7603	6.3611
61	मेरी	1794	2287.8334	6.3594
62	लगता	1759	2243.199	6.3509
63	बारे	1741	2220.2441	6.3464
64	कहा	1727	2202.3904	6.3429
65	वहाँ	1685	2148.829	6.3322
66	जो	1675	2136.0764	6.3296
67	जब	1605	2046.8075	6.3111
68	बाहर	1603	2044.257	6.3105
69	इसे	1600	2040.4311	6.3097
70	अच्छा	1576	2009.8247	6.3032
71	चाहिए	1546	1971.5666	6.2948
72	करो	1544	1969.0161	6.2942
73	ले	1475	1881.0225	6.2744
74	चलो	1473	1878.4719	6.2738
75	क्यों	1464	1866.9945	6.2711
76	दो	1463	1865.7192	6.2708
77	अपनी	1459	1860.6181	6.2697
78	थे	1448	1846.5902	6.2664
79	काम	1393	1776.4504	6.2496
80	किसी	1392	1775.1751	6.2492
81	फिर	1386	1767.5235	6.2474
82	अगर	1381	1761.1471	6.2458
83	वापस	1362	1736.917	6.2398
84	करते	1354	1726.7149	6.2372
84	कैसे	1354	1726.7149	6.2372
85	जाएगा	1353	1725.4396	6.2369
86	चाहते	1340	1708.8611	6.2327
86	ये	1340	1708.8611	6.2327
87	आदमी	1339	1707.5858	6.2324
88	कभी	1335	1702.4847	6.2311
89	हमें	1329	1694.8331	6.2291
90	बस	1327	1692.2826	6.2285
91	पहले	1321	1684.631	6.2265
92	समय	1317	1679.5299	6.2252
93	आ	1296	1652.7492	6.2182
94	रही	1291	1646.3729	6.2165
95	तक	1235	1574.9578	6.1973
96	हमारे	1210	1543.0761	6.1884
97	मैंने	1177	1500.9922	6.1764
98	मेरा	1169	1490.79	6.1734
99	रूप	1153	1470.3857	6.1674
100	करता	1124	1433.4029	6.1564
101	अभी	1113	1419.3749	6.1521
102	मिल	1108	1412.9986	6.1501
103	या	1107	1411.7233	6.1497
104	चाहता	1092	1392.5943	6.1438
105	उसके	1071	1365.8136	6.1354
106	उस	1067	1360.7125	6.1338
107	मत	1060	1351.7856	6.1309
108	घर	1054	1344.134	6.1284
109	सभी	1022	1303.3254	6.1151
110	आपको	1012	1290.5727	6.1108
111	जाना	1010	1288.0222	6.1099
112	अरे	1005	1281.6458	6.1078
113	हूं	1000	1275.2695	6.1056
114	बंद	999	1273.9942	6.1052
115	सिर्फ	997	1271.4437	6.1043
116	ने	994	1267.6178	6.103
117	देखो	985	1256.1404	6.099
118	उन्हें	978	1247.2135	6.0959
119	थी	957	1220.4329	6.0865
120	ओह	953	1215.3318	6.0847
120	सही	953	1215.3318	6.0847
121	तुम्हारे	899	1146.4672	6.0594
122	जरूरत	885	1128.6135	6.0525
123	लोगों	884	1127.3382	6.0521
124	हुआ	880	1122.2371	6.0501
125	प्यार	873	1113.3102	6.0466
126	करें	866	1104.3834	6.0431
127	न	862	1099.2823	6.0411
128	वो	853	1087.8049	6.0366
129	भगवान	846	1078.878	6.033
130	कौन	835	1064.85	6.0273
130	बाद	835	1064.85	6.0273
131	उन्होंने	834	1063.5747	6.0268
132	दे	832	1061.0242	6.0257
132	नीचे	832	1061.0242	6.0257
133	ऐसा	827	1054.6478	6.0231
134	दिन	824	1050.822	6.0215
135	पास	813	1036.7941	6.0157
136	हर	807	1029.1425	6.0125
137	जाता	781	995.9855	5.9983
138	देखा	772	984.508	5.9932
139	धन्यवाद	769	980.6822	5.9915
140	बार	757	965.379	5.9847
141	पिता	732	933.4972	5.9701
142	कृपया	730	930.9467	5.9689
143	करेंगे	724	923.2951	5.9653
144	लोग	716	913.0929	5.9605
145	जानते	707	901.6155	5.955
145	वाला	707	901.6155	5.955
146	कहाँ	706	900.3402	5.9544
147	जाने	704	897.7897	5.9532
148	सर	696	887.5875	5.9482
149	क्योंकि	695	886.3123	5.9476
150	आओ	690	879.9359	5.9445
151	छोड़	686	874.8349	5.9419
151	जीवन	686	874.8349	5.9419
152	देख	682	869.7338	5.9394
152	यही	682	869.7338	5.9394
153	अधिक	680	867.1832	5.9381
154	मतलब	679	865.908	5.9375
155	आज	672	856.9811	5.933
155	मदद	672	856.9811	5.933
156	होता	665	848.0542	5.9284
157	लिया	648	826.3746	5.9172
158	माँ	642	818.723	5.9131
159	रात	638	813.6219	5.9104
160	मार	637	812.3466	5.9097
161	तुमने	624	795.7681	5.9008
162	आया	620	790.6671	5.898
163	नाम	616	785.566	5.8952
164	याद	612	780.4649	5.8924
165	केवल	609	776.6391	5.8902
166	सबसे	607	774.0886	5.8888
167	शायद	602	767.7122	5.8852
168	गए	597	761.3359	5.8816
168	साल	597	761.3359	5.8816
169	जानता	596	760.0606	5.8808
170	कारण	592	754.9595	5.8779
171	दूर	590	752.409	5.8765
172	हमेशा	587	748.5832	5.8742
173	हे	572	729.4541	5.863
174	हुए	571	728.1789	5.8622
175	होने	567	723.0778	5.8592
176	मिला	562	716.7014	5.8553
177	वास्तव	560	714.1509	5.8538
178	उसकी	557	710.3251	5.8515
179	जगह	556	709.0498	5.8507
180	शुरू	551	702.6735	5.8468
181	चला	550	701.3982	5.846
182	कम	549	700.1229	5.8452
182	कोशिश	549	700.1229	5.8452
182	भाई	549	700.1229	5.8452
183	लग	546	696.2971	5.8428
184	सच	544	693.7466	5.8412
185	पसंद	543	692.4713	5.8404
185	मर	543	692.4713	5.8404
186	इन	531	677.1681	5.8307
186	तुम्हारी	531	677.1681	5.8307
187	अच्छी	528	673.3423	5.8282
188	यहां	526	670.7917	5.8266
189	फोन	520	663.1401	5.8216
190	कहते	516	658.039	5.8183
191	दोस्त	515	656.7638	5.8174
192	शादी	512	652.938	5.8149
193	दुनिया	505	644.0111	5.8089
194	रुको	501	638.91	5.8054
195	होना	497	633.8089	5.802
196	कह	487	621.0562	5.7931
197	इसके	483	615.9552	5.7895
198	तुम्हारा	480	612.1293	5.7868
199	उन	478	609.5788	5.785
200	लो	469	598.1014	5.7768
201	तैयार	459	585.3487	5.7674
202	बच्चे	455	580.2476	5.7636
203	उनके	449	572.596	5.7578
204	अंदर	448	571.3207	5.7569
205	यदि	443	564.9444	5.752
206	जल्दी	441	562.3938	5.75
207	जैसे	434	553.4669	5.7431
208	कल	430	548.3659	5.7391
209	इतना	426	543.2648	5.735
210	अपना	424	540.7143	5.733
211	देंगे	423	539.439	5.7319
212	श्री	421	536.8884	5.7299
213	ऊपर	418	533.0626	5.7268
213	पिताजी	418	533.0626	5.7268
214	रहो	417	531.7874	5.7257
215	आपके	412	525.411	5.7205
215	हमारी	412	525.411	5.7205
216	खैर	411	524.1357	5.7194
217	खुद	410	522.8605	5.7184
218	उसने	408	520.3099	5.7163
219	hé	402	512.6583	5.7098
220	गई	400	510.1078	5.7077
221	बताओ	398	507.5572	5.7055
222	चलते	396	505.0067	5.7033
223	दी	390	497.3551	5.6967
