Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	a	27738617	61461.4367	7.7886	aː  |  ɒ  |  ɒː
2	nem	13187822	29220.7246	7.4657	n ɛ m
3	az	11054440	24493.7145	7.3891	ɒ z
4	hogy	9181733	20344.2912	7.3084	h o ɟ
5	és	7072378	15670.5186	7.1951	eː ʃ
6	egy	6445776	14282.1343	7.1548	ɛ ɟː
7	van	4709303	10434.5696	7.0185	v ɒ n
8	ez	4283137	9490.2984	6.9773	ɛ z
9	is	3736643	8279.4123	6.918	i ʃ
10	de	3604151	7985.8451	6.9023	d ɛ
11	meg	3432447	7605.3945	6.8811	m ɛ ɡ
12	csak	3164772	7012.2975	6.8459	t͡ʃ ɒ k
13	ha	3043632	6743.8833	6.8289	h ɒ
14	mi	2954457	6546.2951	6.816	m i
15	én	2828416	6267.0216	6.7971	eː n
16	azt	2752158	6098.054	6.7852	ɒ s t
17	volt	2390518	5296.7555	6.724	v o l t
18	vagy	2388435	5292.1401	6.7236	v ɒ ɟ
19	igen	2352725	5213.0162	6.7171	i ɡ ɛ n
20	kell	2209312	4895.2509	6.6898	k ɛ lː
21	el	2111142	4677.7321	6.67	ɛ l
22	itt	2107376	4669.3877	6.6693	i tː
23	már	2056788	4557.2981	6.6587	m aː r
24	még	1981837	4391.2265	6.6426	m eː ɡ
25	ne	1943600	4306.5034	6.6341	n ɛ
26	te	1894393	4197.4737	6.623	t ɛ
27	ki	1841417	4080.0929	6.6107	k i
28	mit	1790806	3967.9523	6.5986	m i t
29	ezt	1722639	3816.9123	6.5817	ɛ s t
30	most	1665475	3690.252	6.5671	m o ʃ t
31	vagyok	1659389	3676.767	6.5655	v ɒ ɟ o k
32	jó	1637739	3628.7963	6.5598	j oː
33	tudom	1360917	3015.432	6.4793	t u d o m
34	úgy	1310223	2903.1075	6.4629	uː ɟ
35	miért	1292026	2862.7878	6.4568	m i j eː r t
36	akkor	1271240	2816.7315	6.4497	ɒ kː o r
37	mint	1203362	2666.3318	6.4259	m i n t
38	ő	1089755	2414.6088	6.3828	øː
39	jól	1055351	2338.3786	6.3689	j oː l
40	lesz	1014123	2247.0283	6.3516	l ɛ s  |  l ɛ sː
41	nincs	977390	2165.6377	6.3356	n i n t͡ʃ
42	nagyon	957752	2122.125	6.3268	n ɒ ɟ o n
43	mert	945003	2093.8766	6.321	m ɛ r t
44	minden	915106	2027.6328	6.307	m i n d ɛ n
45	sem	893898	1980.6415	6.2968	ʃ ɛ m
46	amit	861619	1909.1198	6.2808	ɒ m i t
47	rendben	839147	1859.3277	6.2694	r ɛ n d b ɛ n
48	olyan	835467	1851.1738	6.2674	o j ɒ n
49	be	833487	1846.7867	6.2664	b ɛ
50	így	828928	1836.6851	6.264	iː ɟ
51	volna	801607	1776.149	6.2495	v o l n ɒ
52	le	787513	1744.9205	6.2418	l ɛ
53	fel	764648	1694.2577	6.229	f ɛ l
54	oké	760583	1685.2507	6.2267	o k eː
55	nekem	758095	1679.738	6.2252	n ɛ k ɛ m
56	ott	745447	1651.7133	6.2179	o tː
57	tudod	728007	1613.0709	6.2077	t u d o d
58	lehet	685382	1518.6252	6.1815	l ɛ h ɛ t
59	valami	674597	1494.7285	6.1746	v ɒ l ɒ m i
60	majd	664246	1471.7934	6.1678	m ɒ j d
61	maga	663094	1469.2409	6.1671	m ɒ ɡ ɒ
62	mindig	652534	1445.8427	6.1601	m i n d i ɡ  |  m i n d iː ɡ
63	talán	641243	1420.8248	6.1525	t ɒ l aː n
64	semmi	608049	1347.2757	6.1295	ʃ ɛ mː i
65	köszönöm	605111	1340.7659	6.1274	k ø s ø n ø m
66	hol	603529	1337.2606	6.1262	h o l
67	aki	590718	1308.8748	6.1169	ɒ k i
68	hát	587126	1300.9159	6.1142	h aː t
69	neki	569533	1261.9345	6.101	n ɛ k i
70	szóval	564329	1250.4038	6.0971	s oː v ɒ l
71	amikor	562130	1245.5314	6.0954	ɒ m i k o r
72	ami	532057	1178.8976	6.0715	ɒ m i
73	neked	531905	1178.5608	6.0714	n ɛ k ɛ d
74	kis	525243	1163.7995	6.0659	k i ʃ
75	hé	515637	1142.5152	6.0579	h eː
76	fog	500243	1108.4061	6.0447	f o ɡ
77	valamit	498950	1105.5412	6.0436	v ɒ l ɒ m i t
78	elég	496471	1100.0484	6.0414	ɛ l eː ɡ
79	tényleg	496413	1099.9199	6.0414	t eː lː ɛ ɡ  |  t eː ɲ l ɛ ɡ
80	hiszem	496246	1099.5498	6.0412	h i s ɛ m
