Rank	Bigram	Frequency	Frequency per million	Zipf value
1	r$	1540257	29810.5976	7.4744
2	đ$	1137344	22012.4982	7.3427
3	a$	1085545	21009.9647	7.3224
4	^e	982295	19011.6331	7.279
5	^h	964055	18658.6107	7.2709
6	^ū	922139	17847.3558	7.2516
7	i$	826581	15997.8975	7.2041
8	er	821211	15893.9649	7.2012
9	^s	814134	15756.9945	7.1975
10	ađ	777939	15056.4656	7.1777
11	g$	754472	14602.2782	7.1644
12	n$	739201	14306.7187	7.1555
13	^a	671084	12988.3618	7.1136
14	^v	634811	12286.3232	7.0894
15	in	625109	12098.5478	7.0827
16	ar	591676	11451.4754	7.0589
17	t$	589977	11418.5925	7.0576
18	nn	565538	10945.5927	7.0392
19	u$	540712	10465.1028	7.0197
20	an	524092	10143.4343	7.0062
21	^m	515433	9975.8454	6.9989
22	ur	474854	9190.4673	6.9633
23	m$	466148	9021.9687	6.9553
24	^f	463841	8977.3183	6.9531
25	ei	443075	8575.4069	6.9333
26	st	424328	8212.5718	6.9145
27	iđ	398575	7714.1405	6.8873
28	ta	379327	7341.6089	6.8658
29	^é	374944	7256.779	6.8607
30	ir	374793	7253.8565	6.8606
31	ég	373693	7232.5668	6.8593
32	kk	368462	7131.3245	6.8532
33	tt	366562	7094.5513	6.8509
34	um	360240	6972.1934	6.8434
35	ki	350625	6786.1018	6.8316
36	na	346659	6709.3426	6.8267
37	ve	336896	6520.3866	6.8143
38	vi	322581	6243.3298	6.7954
39	á$	314240	6081.8956	6.784
40	^g	310458	6008.6976	6.7788
41	ra	303938	5882.5075	6.7696
42	ti	294116	5692.4096	6.7553
43	ri	291953	5650.5462	6.7521
44	^b	280930	5437.2038	6.7354
45	^l	279268	5405.0369	6.7328
46	tu	277775	5376.141	6.7305
47	ek	265180	5132.3735	6.7103
48	í$	258770	5008.3125	6.6997
49	ūa	256839	4970.9393	6.6964
50	va	251987	4877.0323	6.6882
51	đu	248849	4816.2985	6.6827
52	^t	246070	4762.5129	6.6778
53	en	245368	4748.9261	6.6766
54	^o	243296	4708.824	6.6729
55	^k	242726	4697.7921	6.6719
56	ha	240811	4660.7286	6.6685
57	^á	238729	4620.4329	6.6647
58	il	238149	4609.2074	6.6636
59	ni	230953	4469.9339	6.6503
60	hv	230118	4453.773	6.6487
61	al	228782	4427.9157	6.6462
62	la	225435	4363.1369	6.6398
63	ūe	221378	4284.6165	6.6319
64	^í	217608	4211.6507	6.6245
65	le	215159	4164.2521	6.6195
66	et	212568	4114.1051	6.6143
67	ng	211000	4083.7575	6.6111
68	nd	210381	4071.7772	6.6098
69	he	208908	4043.2683	6.6067
70	ga	208358	4032.6235	6.6056
71	ú$	204493	3957.8191	6.5975
72	eg	200916	3888.5887	6.5898
73	^n	199134	3854.0994	6.5859
