Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	aku	3776814	36634.7708	7.5639	a k u
2	kau	2721704	26400.2946	7.4216	k a u̯
3	yang	2350576	22800.3849	7.3579	j a ŋ
4	dan	1431623	13886.6199	7.1426	d a n
5	di	1423293	13805.8196	7.1401	d i
6	dia	1406680	13644.675	7.135	d i a
7	akan	1380150	13387.3362	7.1267	a k a n
8	apa	1342811	13025.1512	7.1148	a p a
9	kita	1209037	11727.5549	7.0692	k i t a
10	ada	781364	7579.1636	6.8796	a d a
11	mereka	746619	7242.1401	6.8599	m ə r e k a
12	tahu	680427	6600.0834	6.8195	t a h u  |  t a u
13	dengan	663316	6434.1081	6.8085	d ə ŋ a n
14	anda	608791	5905.2203	6.7712	a n d a
15	dari	606387	5881.9017	6.7695	d a r i
16	saya	570947	5538.1368	6.7434	s a j a
17	ya	570893	5537.613	6.7433	j a
18	kami	529083	5132.0596	6.7103	k a m i
19	harus	489411	4747.2446	6.6764	h a r ʊ s
20	orang	437391	4242.6551	6.6276	o r a ŋ
21	saja	427206	4143.8614	6.6174	s a d ʒ a
22	kamu	416661	4041.5758	6.6066	k a m u
23	adalah	411112	3987.751	6.6007	a d a l a h
24	ingin	382381	3709.0628	6.5693	i ŋ i n
25	pergi	370101	3589.9479	6.5551	p ə r ɡ i
26	semua	352933	3423.4197	6.5345	s ə m u a
27	sini	349469	3389.8192	6.5302	s i n i
28	hanya	346251	3358.6049	6.5262	h a ɲ a
29	dalam	341412	3311.667	6.52	d a l a m
30	jadi	334245	3242.1477	6.5108	d ʒ a d i
31	jangan	312618	3032.3677	6.4818	d͡ʒ a ŋ a n
32	kalian	275268	2670.0759	6.4265	k a l i a n
33	sangat	248274	2408.2364	6.3817	s a ŋ a t
34	ayo	227125	2203.093	6.343	a j o
35	satu	225120	2183.6446	6.3392	s a t u
36	pernah	219030	2124.5722	6.3273	p ə r n a h
37	telah	207691	2014.5848	6.3042	t ə l a h
38	apakah	206755	2005.5057	6.3022	a p a k a h
39	saat	202110	1960.4496	6.2924	s a ʔ a t
40	kenapa	196214	1903.2589	6.2795	k ə n a p a
41	datang	194987	1891.3571	6.2768	d a t a ŋ
42	hal	192403	1866.2925	6.271	h a l
43	atau	188738	1830.7424	6.2626	a t a u̯
44	banyak	185261	1797.0158	6.2546	b a ɲ a k
45	terima	177667	1723.3546	6.2364	t ə r i m a
46	seorang	164529	1595.9171	6.203	s ə o r a ŋ
47	masih	159237	1544.5852	6.1888	m a s i h
48	tentang	158993	1542.2184	6.1881	t ə n t a ŋ
49	bahwa	154685	1500.4312	6.1762	b a h w a
50	tempat	146419	1420.2517	6.1524	t ə m p a t
51	mana	146397	1420.0383	6.1523	m a n a
52	waktu	142108	1378.4354	6.1394	w a k t u
53	oke	139873	1356.7561	6.1325	ɔ k e
54	keluar	138495	1343.3896	6.1282	k ə l u a r
55	sekali	134355	1303.2319	6.115	s ə k a l i
56	anak	132355	1283.8321	6.1085	a n a k  |  a n a ʔ
57	malam	132093	1281.2907	6.1076	m a l a m
58	sedang	131889	1279.312	6.107	s ə d a ŋ
59	sampai	130888	1269.6023	6.1037	s a m p a i̯
60	tahun	130781	1268.5644	6.1033	t a h ʊ n
61	ayah	130651	1267.3035	6.1029	a j a h
62	hidup	121929	1182.7008	6.0729	h i d u p
63	mengapa	115193	1117.3622	6.0482	m ə ŋ a p a
64	sama	111694	1083.4222	6.0348	s a m a
65	salah	108721	1054.5843	6.0231	s a l a h
66	dengar	107542	1043.1481	6.0183	d ə ŋ a r
67	ia	105708	1025.3585	6.0109	i a
68	besar	105187	1020.3048	6.0087	b ə s a r
69	mengatakan	100834	978.0811	5.9904	m ə ŋ a t a k a n
70	belum	98446	954.9177	5.98	b ə l ʊ m
71	pikir	95962	930.8231	5.9689	p i k ɪ r
72	bicara	93714	909.0177	5.9586	b i t͡ʃ a r a
73	suka	93036	902.4412	5.9554	s u k a
74	selalu	92324	895.5349	5.9521	s ə l a l u
75	tuhan	90785	880.6067	5.9448	t u h a n
76	mengerti	86823	842.1756	5.9254	m ə ŋ ə r t i
77	pria	85599	830.3029	5.9192	p r i a̯  |  p ə r i a̯
78	dunia	83070	805.7719	5.9062	d u n i a
79	berada	82400	799.2729	5.9027	b ə r a d a
80	lama	82139	796.7412	5.9013	l a m a
81	jalan	81081	786.4787	5.8957	d ʒ a l a n
82	boleh	79671	772.8018	5.8881	b o l e h
83	terlalu	79411	770.2799	5.8866	t ə r l a l u
84	menemukan	79382	769.9986	5.8865	m ə n ə m u k a n
85	makan	78986	766.1574	5.8843	m a k a n
86	tinggal	78631	762.7139	5.8824	t ɪ ŋ ɡ a l
87	kali	77444	751.2001	5.8758	k a l i
88	berhenti	77131	748.1641	5.874	b ə r h ə n t i
89	ku	76698	743.964	5.8716	k u
90	wanita	75852	735.7579	5.8667	w a n i t a
91	membunuh	75551	732.8382	5.865	m ə m b u n ʊ h
92	luar	75495	732.295	5.8647	l u a r
93	kecil	74683	724.4187	5.86	k ə t ʃ i l
94	cara	73705	714.9322	5.8543	t͡ʃ a r a
95	mulai	73646	714.3599	5.8539	m u l a i̯
96	mari	73075	708.8212	5.8505	m a r i
97	butuh	69098	670.2447	5.8262	b u t u h
98	dulu	66518	645.2189	5.8097	d u l u
99	mencari	66342	643.5117	5.8086	m ə n t͡ʃ a r i
100	uang	64626	626.8666	5.7972	ʊ a̯ ŋ
101	tanpa	64100	621.7645	5.7936	t a n p a
102	buruk	60506	586.903	5.7686	b u r ʊ k̚
103	membawa	59793	579.987	5.7634	m ə m b a w a
104	berapa	59202	574.2543	5.7591	b ə r a p a
105	pulang	55575	539.0727	5.7316	p u l a ŋ
106	takut	55543	538.7623	5.7314	t a k u t
107	mobil	54125	525.0078	5.7202	m o b i l
108	tidur	54008	523.873	5.7192	t i d u r
109	sakit	53130	515.3564	5.7121	s a k ɪ t̚
110	kota	52242	506.7429	5.7048	k o t a
111	bodoh	49852	483.5601	5.6845	b o d o h
112	tiga	49142	476.6732	5.6782	t i ɡ a
113	ambil	49015	475.4413	5.6771	a m b ɪ l
114	rasa	48684	472.2306	5.6742	r a s a
115	berbicara	48142	466.9733	5.6693	b ə r b i t͡ʃ a r a
116	bagian	48121	466.7696	5.6691	b a ɡ iʲ a n
117	air	46150	447.651	5.6509	a ʔ ɪ r
118	sialan	46053	446.7101	5.65	s i a l a n
119	tepat	45815	444.4016	5.6478	t ə p a t
120	hai	45702	443.3055	5.6467	h a ɪ
121	tangan	44102	427.7856	5.6312	t a ŋ a n
122	mendengar	43781	424.6719	5.6281	m ə n d ə ŋ a r
123	cuma	43616	423.0714	5.6264	t͡ʃ u m a
124	nanti	43351	420.501	5.6238	n a n t i
125	bagi	43055	417.6298	5.6208	b a ɡ i
126	si	42075	408.1239	5.6108	s i
127	mu	41508	402.624	5.6049	m u
128	menit	41483	402.3815	5.6046	m ə n ɪ t
129	tenang	40712	394.9029	5.5965	t ə n a ŋ
130	coba	40386	391.7407	5.593	t͡ʃ o b a
131	pekerjaan	40228	390.2081	5.5913	p ə k ə r d ʒ a ʔ a n
132	aman	40173	389.6746	5.5907	a m a n
133	tua	39926	387.2788	5.588	t u a
134	khawatir	38705	375.4352	5.5745	k a w a t i r  |  x a w a t i r
135	duduk	38095	369.5182	5.5676	d u d ʊ k̚
136	memberikan	37676	365.454	5.5628	m ə m b ə r i k a n
137	i	37473	363.4849	5.5605	i  |  ɪ
138	bulan	36909	358.0141	5.5539	b u l a n
139	diam	36637	355.3757	5.5507	d i a m
140	hampir	36440	353.4649	5.5483	h a m p i r  |  h a m p ɪ r
141	kawan	35984	349.0417	5.5429	k a w a n
142	a	35661	345.9086	5.539	a
143	cari	35181	341.2527	5.5331	t͡ʃ a r i
144	pintu	35038	339.8656	5.5313	p ɪ n t u
145	hati	34027	330.059	5.5186	h a t i
146	kapan	33254	322.5609	5.5086	k a p a n
147	dekat	33211	322.1438	5.508	d ə k a t
148	memberi	32098	311.3478	5.4932	m ə m b ə r i
149	mata	32063	311.0083	5.4928	m a t a
150	cantik	31620	306.7113	5.4867	t͡ʃ a n t i k
151	bunuh	31595	306.4688	5.4864	b u n ʊ h
152	berubah	31069	301.3666	5.4791	b ə r ʊ b a h
153	jelas	31058	301.2599	5.4789	d͡ʒ ə l a s
154	perang	31002	300.7167	5.4782	p ə r a ŋ
155	beri	30446	295.3236	5.4703	b ə r i
156	kapal	30424	295.1102	5.47	k a p a l
157	dokter	29995	290.9489	5.4638	d ɔ k t ə r
158	bangun	29711	288.1941	5.4597	b a ŋ ʊ n
159	keras	29591	287.0302	5.4579	k ə r a s
160	awak	28982	281.1229	5.4489	a w a k  |  a w a ʔ
161	kabar	28662	278.0189	5.4441	k a b a r
162	tau	28317	274.6725	5.4388	t a ʊ
163	amerika	27894	270.5694	5.4323	a m e r i k a
164	ruang	27882	270.453	5.4321	r u a ŋ
165	kapten	27879	270.4239	5.432	k a p̚ t ɛ n
166	paham	27872	270.356	5.4319	p a h a m
167	makanan	27399	265.7679	5.4245	m a k a n a n
168	hilang	27339	265.1859	5.4236	h i l a ŋ
169	buku	27264	264.4585	5.4224	b u k u
170	nah	27198	263.8183	5.4213	n a h
171	meninggal	26013	252.3239	5.402	m ə n ɪ ŋ ɡ a l
172	belajar	25710	249.3848	5.3969	b ə l a d͡ʒ a r
173	bajingan	25492	247.2702	5.3932	b a d͡ʒ i ŋ a n
174	buka	25471	247.0665	5.3928	b u k a
175	lupa	25214	244.5736	5.3884	l u p a
176	muda	24878	241.3145	5.3826	m u d a
177	menikah	24807	240.6258	5.3813	m ə n i k a h
178	menang	24787	240.4318	5.381	m ə n a ŋ
179	suara	24602	238.6373	5.3777	s u a r a
180	tinggi	24372	236.4063	5.3737	t i ŋ ɡ i
181	telepon	24347	236.1638	5.3732	t ɛ l ɛ p ɔ n
182	guru	24061	233.3896	5.3681	ɡ u r u
183	cerita	24059	233.3702	5.368	t͡ʃ ə r i t a
184	tanah	23469	227.6473	5.3573	t a n a h
185	lucu	22992	223.0204	5.3483	l u t͡ʃ u
186	agen	22169	215.0374	5.3325	a ɡ ɛ n
187	memilih	21782	211.2835	5.3249	m ə m i l i h
188	kira	21779	211.2544	5.3248	k i r a
189	bumi	21600	209.5181	5.3212	b u m i
190	tembak	21530	208.8391	5.3198	t e m b a k
191	kesalahan	20837	202.1171	5.3056	k ə s a l a h a n
192	bahasa	20761	201.3799	5.304	b a h a s a
193	terbang	20727	201.0501	5.3033	t ə r b a ŋ
194	empat	20247	196.3942	5.2931	ə m p a t
195	sementara	20234	196.2681	5.2928	s ə m ə n t a r a
196	benda	20193	195.8704	5.292	b ə n d a
197	jawab	19936	193.3775	5.2864	d͡ʒ a w a p̚
198	sempurna	19889	192.9216	5.2854	s ə m p u r n a
199	panas	19761	191.68	5.2826	p a n a s
200	perintah	19720	191.2823	5.2817	p ə r ɪ n t a h
201	setuju	19071	184.9871	5.2671	s ə t u d͡ʒ u
202	film	18628	180.69	5.2569	f ɪ l ə m  |  p e l ə m
203	permainan	18480	179.2544	5.2535	p ə r m a i n a n
204	surat	18459	179.0507	5.253	s u r a t
205	pembunuh	18405	178.5269	5.2517	p ə m b u n ʊ h
206	berbahaya	18137	175.9273	5.2453	b ə r b a h a j a
207	bila	18028	174.87	5.2427	b i l a
208	tanda	17906	173.6867	5.2398	t a n d a
209	kurang	17669	171.3878	5.234	k u r a ŋ
210	dingin	17532	170.0589	5.2306	d i ŋ ɪ n
211	menangkap	17246	167.2847	5.2235	m ə n a ŋ k a p̚
212	tugas	16920	164.1225	5.2152	t u ɡ a s
213	mengenai	16800	162.9586	5.2121	m ə ɲ ə n a i
214	harap	16487	159.9225	5.2039	h a r a p
215	membaca	16437	159.4375	5.2026	m ə m b a t ʃ a
216	membeli	16424	159.3114	5.2022	m ə m b e l i
217	saudara	16373	158.8167	5.2009	s a u̯ d a r a
218	hadiah	16172	156.867	5.1955	h a d i j a h
219	juta	16090	156.0716	5.1933	d͡ʒ u t a
220	makhluk	16081	155.9843	5.1931	m a x l ʊ k̚
221	bebas	15936	154.5778	5.1891	b ɛ b a s
222	dewa	15729	152.5699	5.1835	d ɛ w a
223	informasi	15678	152.0753	5.1821	i n f ɔ r m a s i
224	merah	15636	151.6679	5.1809	m ə r a h  |  m ɛ r a h
225	hukum	15635	151.6582	5.1809	h u k ʊ m
226	siang	15590	151.2217	5.1796	s i a ŋ
227	mengubah	15537	150.7076	5.1781	m ə ŋ u b a h
228	bukti	15507	150.4166	5.1773	b u k t i
229	mampu	15454	149.9025	5.1758	m a m p u
230	lantai	15166	147.1089	5.1676	l a n t a i̯
231	wajah	15114	146.6045	5.1661	w a d͡ʒ a h
232	kakak	14951	145.0234	5.1614	k a k a ʔ
233	tentara	14858	144.1213	5.1587	t ə n t a r a
234	dolar	14825	143.8012	5.1578	d o l a r
235	sadar	14652	142.1231	5.1527	s a d a r
236	pribadi	14484	140.4936	5.1477	p r i b a d i
237	utara	14368	139.3684	5.1442	u t a r a
238	istri	14362	139.3102	5.144	i s t r i
239	jaga	14271	138.4275	5.1412	d͡ʒ a ɡ a
240	kabur	14011	135.9055	5.1332	k a b ʊ r
240	pahlawan	14011	135.9055	5.1332	p a h l a w a n
241	panjang	13993	135.7309	5.1327	p a n d͡ʒ a ŋ
242	nyonya	13755	133.4223	5.1252	ɲ o ɲ a
243	matahari	13577	131.6957	5.1196	m a t a h a r i
244	kartu	13359	129.5812	5.1125	k a r t u
245	utama	13117	127.2338	5.1046	u t a m a
246	hutan	12998	126.0795	5.1006	h u t a n
247	ahli	12615	122.3644	5.0877	a h l i
248	ratu	12611	122.3256	5.0875	r a t u
249	cahaya	12438	120.6475	5.0815	t͡ʃ a h a j a
250	toko	12310	119.4059	5.077	t o k o
251	perasaan	12220	118.5329	5.0738	p ə r a s a a n
252	ditemukan	12142	117.7764	5.0711	d i t ə m u k a n
253	tangkap	12110	117.466	5.0699	t a ŋ k a p̚
254	bahaya	12033	116.7191	5.0671	b a h a j a
255	alat	11887	115.3029	5.0618	a l a t
256	main	11819	114.6433	5.0593	m a i n
257	merupakan	11814	114.5948	5.0592	m ə r u p a k a n
258	emas	11660	113.101	5.0535	ə m a s
259	l	11475	111.3065	5.0465	l  |  ɛ l
260	berangkat	11442	110.9864	5.0453	b ə r a ŋ k a t
261	bank	11220	108.833	5.0368	b a ŋ
262	pistol	11150	108.154	5.034	p ɪ s t ɔ l
263	tanya	10992	106.6215	5.0278	t a ɲ a
264	es	10991	106.6118	5.0278	ɛ s
265	go	10986	106.5633	5.0276	ɡ o
266	awas	10907	105.797	5.0245	a w a s
267	ikan	10893	105.6612	5.0239	i k a n
268	sampah	10774	104.5069	5.0191	s a m p a h
269	bohong	10756	104.3323	5.0184	b o h o n ɡ
270	keparat	10748	104.2547	5.0181	k ə p a r a t
271	rusak	10735	104.1286	5.0176	r u s a k̚  |  r u s a ʔ
272	bunga	10691	103.7018	5.0158	b u ŋ a
273	kopi	10686	103.6533	5.0156	k o p i
274	hancur	10596	102.7803	5.0119	h a n t͡ʃ ʊ r
275	jiwa	10466	101.5193	5.0065	d͡ʒ i w a
