Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	жоқ	165	11616.4461	7.0651	ʑ o q
2	жақсы	97	6829.0622	6.8344	d ʒ a q s ɯ
3	бір	50	3520.1352	6.5466	b ɘ r
4	саған	46	3238.5244	6.5103	s ɑ ʁ ɑ n
5	адам	45	3168.1217	6.5008	ɑ d ɑ m
6	және	35	2464.0946	6.3917	ʒ æ n e
7	а	15	1056.0406	6.0237	ɑ
7	қан	15	1056.0406	6.0237	q ɑ n
8	қол	13	915.2351	5.9615	q o l
9	у	12	844.8324	5.9268	u w  |  w  |  y w  |  ʉ w  |  ʊ w
10	соң	10	704.027	5.8476	s ɔ ŋ
11	болу	8	563.2216	5.7507	b o l u w
12	кісі	6	422.4162	5.6257	k ɘ s ɘ
12	о	6	422.4162	5.6257	o
12	қара	6	422.4162	5.6257	q ɑ ɾ ɑ
13	жер	5	352.0135	5.5466	d ʒ e r
13	су	5	352.0135	5.5466	s u w
14	жігіт	4	281.6108	5.4496	ʒ ɘ ɡ ɘ t
14	халық	4	281.6108	5.4496	χ ɑ l ə q
14	үкімет	4	281.6108	5.4496	ʉ̞ k ʉ̞ m e t
15	бірінші	3	211.2081	5.3247	b ɘ r ɘ n ʃ ɘ
15	ие	3	211.2081	5.3247	i j e
15	қою	3	211.2081	5.3247	q o j u w
15	ұ	3	211.2081	5.3247	ʊ
16	алты	2	140.8054	5.1486	ɑ l t ə
16	баға	2	140.8054	5.1486	b ɑ ʁ ɑ
16	жомарт	2	140.8054	5.1486	ʒ o m ɑ r t
16	кету	2	140.8054	5.1486	k e t ʉ w
16	туған	2	140.8054	5.1486	t̻̪ u w ʁ ɑ̙ː n̻̪
17	азаттық	1	70.4027	4.8476	ɑ z ɑ t t ə q
17	арқан	1	70.4027	4.8476	ɑ r q ɑ n
17	дүние	1	70.4027	4.8476	d ʉ̞ n i j e
17	ж	1	70.4027	4.8476	ʒ
17	жасау	1	70.4027	4.8476	ʒ ɑ s ɑ w
17	ит	1	70.4027	4.8476	i j t
17	келу	1	70.4027	4.8476	k e l ʉ w
17	кітап	1	70.4027	4.8476	k ɘ t ɑ p
17	оңтүстік	1	70.4027	4.8476	w o ŋ t ʉ̞ s t ʉ̞ k
17	тілі	1	70.4027	4.8476	t ɘ l ɘ
17	ш	1	70.4027	4.8476	ʃ
17	ізгі	1	70.4027	4.8476	ɘ z ɡ ɘ
17	құс	1	70.4027	4.8476	q ʊ s
17	ү	1	70.4027	4.8476	ʉ
