Rank	Word	Frequency	Frequency per million	Zipf value
1	мен	364	25626.5841	7.4087
2	ол	222	15629.4002	7.1939
3	жоқ	165	11616.4461	7.0651
4	сен	164	11546.0434	7.0624
5	не	154	10842.0163	7.0351
6	бұл	140	9856.3785	6.9937
7	керек	111	7814.7001	6.8929
8	оны	102	7181.0758	6.8562
9	ба	99	6969.8676	6.8432
10	жақсы	97	6829.0622	6.8344
10	ма	97	6829.0622	6.8344
11	менің	96	6758.6595	6.8299
12	иә	91	6406.646	6.8066
12	маған	91	6406.646	6.8066
13	бар	85	5984.2298	6.777
14	бе	84	5913.8271	6.7719
15	деп	78	5491.4109	6.7397
16	емес	75	5280.2028	6.7227
17	оның	68	4787.3838	6.6801
18	сіз	67	4716.9811	6.6737
19	ал	66	4646.5784	6.6671
19	біз	66	4646.5784	6.6671
20	де	64	4505.773	6.6538
20	мені	64	4505.773	6.6538
21	ғой	62	4364.9676	6.64
22	жатыр	59	4153.7595	6.6184
23	енді	58	4083.3568	6.611
23	олар	58	4083.3568	6.611
23	үшін	58	4083.3568	6.611
24	сенің	52	3660.9406	6.5636
25	бір	50	3520.1352	6.5466
25	бірақ	50	3520.1352	6.5466
25	да	50	3520.1352	6.5466
26	қайда	48	3379.3298	6.5288
27	саған	46	3238.5244	6.5103
27	сені	46	3238.5244	6.5103
28	адам	45	3168.1217	6.5008
28	неге	45	3168.1217	6.5008
29	осында	43	3027.3162	6.4811
30	болады	42	2956.9135	6.4708
30	келеді	42	2956.9135	6.4708
31	доктор	41	2886.5108	6.4604
32	николас	40	2816.1081	6.4496
32	оған	40	2816.1081	6.4496
32	хаку	40	2816.1081	6.4496
33	болды	39	2745.7054	6.4387
33	мына	39	2745.7054	6.4387
34	бәрі	38	2675.3027	6.4274
34	рахмет	38	2675.3027	6.4274
34	тек	38	2675.3027	6.4274
35	дұрыс	36	2534.4973	6.4039
36	және	35	2464.0946	6.3917
36	мүмкін	35	2464.0946	6.3917
36	сол	35	2464.0946	6.3917
37	еді	34	2393.6919	6.3791
37	жұмыс	34	2393.6919	6.3791
37	тағы	34	2393.6919	6.3791
38	басқа	33	2323.2892	6.3661
39	ме	32	2252.8865	6.3527
40	болып	31	2182.4838	6.339
40	егер	31	2182.4838	6.339
40	осы	31	2182.4838	6.339
41	біздің	30	2112.0811	6.3247
42	едім	29	2041.6784	6.31
42	мында	29	2041.6784	6.31
42	солай	29	2041.6784	6.31
43	малдер	28	1971.2757	6.2947
43	міне	28	1971.2757	6.2947
43	президент	28	1971.2757	6.2947
