Rank	Bigram	Frequency	Frequency per million	Zipf value
1	s$	614356	40120.8649	7.6034
2	u$	332326	21702.7368	7.3365
3	ie	311922	20370.2421	7.309
4	^t	297004	19396.0137	7.2877
5	i$	292326	19090.5142	7.2808
6	a$	237278	15495.5736	7.1902
7	^v	225046	14696.7559	7.1672
8	^n	212455	13874.4935	7.1422
9	es	211327	13800.8289	7.1399
10	^k	210301	13733.8254	7.1378
11	^p	207390	13543.7209	7.1317
12	^m	159399	10409.6416	7.0174
13	vi	159182	10395.4702	7.0168
14	ka	158561	10354.9155	7.0151
15	as	157881	10310.5077	7.0133
16	t$	155273	10140.1908	7.006
17	r$	147669	9643.6073	6.9842
18	ai	144553	9440.1152	6.975
19	^i	142287	9292.1327	6.9681
20	ar	140984	9207.0396	6.9641
21	ā$	137064	8951.0418	6.9519
22	^s	134989	8815.5327	6.9452
23	^a	129528	8458.8991	6.9273
24	ti	121908	7961.2707	6.901
25	pa	119571	7808.6516	6.8926
26	ta	115940	7571.5271	6.8792
27	ne	112947	7376.0675	6.8678
28	tu	112644	7356.2799	6.8667
29	^d	109785	7169.5713	6.8555
30	^e	108990	7117.6534	6.8523
31	ma	107605	7027.2052	6.8468
32	m$	107421	7015.189	6.846
33	is	104958	6854.3414	6.836
34	o$	103864	6782.8971	6.8314
35	va	103722	6773.6237	6.8308
36	an	101254	6612.4496	6.8204
37	ir	100477	6561.7071	6.817
38	ja	100464	6560.8582	6.817
39	at	99169	6476.2875	6.8113
40	^l	98680	6444.353	6.8092
41	^j	98245	6415.9451	6.8073
42	^b	95035	6206.3143	6.7928
43	n$	85211	5564.7524	6.7454
44	la	85157	5561.2259	6.7452
45	au	85132	5559.5933	6.745
46	st	82041	5357.7338	6.729
47	et	80117	5232.0859	6.7187
48	sa	78065	5098.0788	6.7074
49	en	77641	5070.3893	6.705
50	iņ	77401	5054.7159	6.7037
51	te	77106	5035.4508	6.702
52	^u	74712	4879.1093	6.6883
53	ri	73753	4816.4812	6.6827
54	in	72669	4745.69	6.6763
55	no	72603	4741.3798	6.6759
56	ik	71536	4671.6988	6.6695
57	si	70976	4635.1277	6.6661
58	tā	70223	4585.9526	6.6614
59	dz	69162	4516.6634	6.6548
60	na	68780	4491.7167	6.6524
61	li	66962	4372.9912	6.6408
62	ra	66645	4352.2893	6.6387
63	am	66533	4344.9751	6.638
64	ei	66180	4321.9222	6.6357
65	un	65511	4278.2328	6.6313
66	kā	64961	4242.3147	6.6276
67	iz	60411	3945.1744	6.5961
68	ev	60095	3924.5379	6.5938
69	da	59012	3853.8119	6.5859
70	ju	57791	3774.0738	6.5768
71	ni	55484	3623.4139	6.5591
72	ga	55442	3620.6711	6.5588
73	jā	54689	3571.496	6.5529
74	ad	54430	3554.5818	6.5508
75	ko	54220	3540.8677	6.5491
76	^g	53698	3506.7782	6.5449
77	nā	53374	3485.6192	6.5423
78	zi	52903	3454.8602	6.5384
79	to	52551	3431.8727	6.5355
80	ek	52372	3420.183	6.534
81	ij	51825	3384.4608	6.5295
82	bi	51630	3371.7263	6.5279
83	di	51375	3355.0733	6.5257
84	pi	51258	3347.4326	6.5247
85	ku	50884	3323.0083	6.5215
86	er	50859	3321.3757	6.5213
87	al	49410	3226.7479	6.5088
88	um	48611	3174.5688	6.5017
89	av	48318	3155.4342	6.4991
90	ot	47872	3126.3079	6.495
91	e$	47614	3109.4591	6.4927
92	ci	46913	3063.6799	6.4862
93	em	45615	2978.9133	6.4741
94	us	43162	2818.7187	6.4501
95	mu	42985	2807.1597	6.4483
96	ur	41829	2731.6664	6.4364
97	^r	40797	2664.2711	6.4256
98	re	40762	2661.9854	6.4252
99	k$	40004	2612.4838	6.4171
100	ār	39958	2609.4797	6.4166
101	z$	39849	2602.3614	6.4154
102	ro	39534	2581.7902	6.4119
103	ab	39397	2572.8433	6.4104
104	mi	38971	2545.0231	6.4057
105	ks	38790	2533.2028	6.4037
106	ed	37908	2475.6033	6.3937
107	rī	37754	2465.5463	6.3919
108	ms	37306	2436.2894	6.3867
109	ak	37276	2434.3302	6.3864
110	nu	36978	2414.8691	6.3829
111	pr	36631	2392.2081	6.3788
112	āt	36571	2388.2898	6.3781
113	āj	36272	2368.7634	6.3745
114	v$	36250	2367.3267	6.3743
115	uz	36097	2357.3349	6.3724
116	os	36035	2353.286	6.3717
117	ūs	35780	2336.6331	6.3686
118	tr	35516	2319.3924	6.3654
119	el	35511	2319.0659	6.3653
120	d$	35406	2312.2088	6.364
121	ās	35384	2310.7721	6.3638
122	ēj	35332	2307.3762	6.3631
123	do	35271	2303.3925	6.3624
124	ve	35199	2298.6905	6.3615
125	ād	35175	2297.1232	6.3612
126	^š	34475	2251.4093	6.3525
127	rā	34210	2234.1033	6.3491
128	ru	33583	2193.1567	6.3411
129	āk	32632	2131.0512	6.3286
130	vē	32566	2126.741	6.3277
131	sk	32183	2101.729	6.3226
132	mē	30996	2024.2113	6.3063
133	^z	30784	2010.3665	6.3033
134	ba	30632	2000.44	6.3011
135	^c	30063	1963.2812	6.293
136	īt	29992	1958.6445	6.292
137	be	29976	1957.5996	6.2917
138	ēt	29893	1952.1792	6.2905
139	il	29626	1934.7426	6.2866
140	pē	29576	1931.4774	6.2859
141	mā	29189	1906.2041	6.2802
142	me	28605	1868.0657	6.2714
143	ji	28561	1865.1922	6.2707
144	id	28453	1858.1392	6.2691
145	ap	28382	1853.5025	6.268
146	ts	28210	1842.27	6.2654
147	ē$	27577	1800.9315	6.2555
148	š$	27188	1775.5277	6.2493
149	tī	26915	1757.6992	6.2449
150	ņa	26911	1757.438	6.2449
151	ām	26910	1757.3727	6.2449
152	it	26772	1748.3606	6.2426
153	ns	26621	1738.4994	6.2402
154	ēs	26523	1732.0995	6.2386
155	gr	26449	1727.2669	6.2374
156	sm	26186	1710.0915	6.233
157	om	26144	1707.3487	6.2323
158	bū	25983	1696.8345	6.2296
159	īg	25544	1668.1653	6.2222
