Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ir	68628	26782.5992	7.4279	i r
2	es	65034	25380.0133	7.4045	ɛ s
3	tu	44811	17487.8337	7.2427	t u
4	un	39678	15484.6414	7.1899	ù n
5	tas	29964	11693.679	7.068	t a s
6	ka	28848	11258.1515	7.0515	k a
7	vai	24763	9663.9492	6.9852	v a î  |  v à i  |  v ā ī
8	tā	20949	8175.5067	6.9125	t àː  |  t âː  |  t āː
9	kā	20143	7860.959	6.8955	k âː  |  k āː
10	viņš	19546	7627.9752	6.8824	v i ɲ ʃ
11	jā	17444	6807.6537	6.833	j àː
12	mēs	16472	6428.3233	6.8081	m ɛ̄ː s
13	jūs	13910	5428.4833	6.7347	j ūː s
14	bet	13874	5414.4341	6.7336	b ɛ t
15	lai	13068	5099.8864	6.7076	l a î
16	arī	7061	2755.609	6.4402	a ɾ îː  |  a ɾ īː
17	viss	6930	2704.4852	6.4321	v i s
18	kur	6822	2662.3374	6.4253	k ù ɾ  |  k û ɾ  |  k ū ɾ
19	vēl	5851	2283.3973	6.3586	v ɛ̂ l
20	jau	5812	2268.1772	6.3557	j à w
21	tur	5768	2251.0059	6.3524	t ù ɾ
22	tagad	5329	2079.6828	6.318	t a ɡ a t
23	šeit	5221	2037.535	6.3091	ʃ ɛ î t  |  ʃ ɛ̄ ī t
24	pēc	5211	2033.6324	6.3083	p ɛ ː̂ t s
25	kāpēc	5009	1954.8004	6.2911	k âː p êː t s
26	ļoti	4596	1793.624	6.2537	ʎ ù o t i
27	mūsu	4184	1632.8378	6.2129	m uː s u
28	taču	4183	1632.4476	6.2128	t a t ʃ u
29	daudz	3618	1411.952	6.1498	d ā ū d z
30	būt	3026	1180.9195	6.0722	b ûː t
31	viens	2895	1129.7958	6.053	v i ɛ̂ n s
32	kopā	2542	992.0348	5.9965	k u ō p aː
33	dievs	2480	967.8389	5.9858	d ì ɛ w s
34	šis	2324	906.9587	5.9576	ʃ i s
35	iet	1873	730.9525	5.8639	i ɛ̂ t  |  i ɛ̄ t
36	sveiks	1647	642.7543	5.808	s v ɛ̀ j k s
37	zināt	1566	611.1434	5.7861	z i n âː t
