Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	aš	133642	16367.286	7.214	ɐ ʂ
2	tai	121664	14900.3269	7.1732	t ɐ ɪ
3	tu	101428	12422.0012	7.0942	t ʊ
4	ne	91557	11213.0887	7.0497	n ɛ
5	jis	75095	9196.9691	6.9636	j ɪ s
6	į	63926	7829.0891	6.8937	iː
7	kaip	62600	7666.6924	6.8846	k ɐ ɪˑ p
8	mano	49502	6062.5656	6.7827	m ɐ n ɔ
9	bet	48060	5885.9622	6.7698	bʲ ɛ t
10	mes	46284	5668.4535	6.7535	mʲ æː s
11	jie	32239	3948.3466	6.5964	j æ
12	kai	28734	3519.0853	6.5464	k ɐ ɪ  |  k ɐ ɪˑ
13	dar	28690	3513.6966	6.5458	d a r
14	viskas	25614	3136.9754	6.4965	ʋʲ ɪ s k ɐ s
15	nuo	16145	1977.2963	6.2961	n u ə
16	jos	14055	1721.3317	6.2359	j oː s
17	nes	12377	1515.8251	6.1806	nʲ ɛ s
18	jų	10423	1276.5165	6.106	j uː
19	kol	7903	967.8893	5.9858	k oː l
20	niekas	6435	788.1017	5.8966	nʲ i ə k ɐ s
21	kada	6341	776.5894	5.8902	k ɐ d ɐ
22	vėl	5468	669.6721	5.8259	ʋʲ eː lʲ
23	visada	5025	615.4174	5.7892	vʲ ɪ s ɐ d ɐ
24	geras	4395	538.2606	5.731	ɡʲ æ ɾ ɐ s
25	laikas	3333	408.1963	5.6109	l ɐ͡ɪ k ɐ s
26	diena	3148	385.5391	5.5861	dʲ i ə n ɐ
27	vardas	3145	385.1717	5.5857	v ɐ rː d ɐ s
28	gera	2670	326.9979	5.5145	ɡʲ ɛ r a
29	visas	2625	321.4867	5.5072	vʲ ɪ s ɐ s
30	tarp	2480	303.7284	5.4825	t ɐ͡r p
31	žinoti	2415	295.7678	5.471	ʒ ɪ n oː tʲ ɪ
32	abu	1977	242.1254	5.384	ɐ b ʊ
33	dievas	1470	180.0326	5.2554	d ɪ͡ə ʋ ɐ s
34	rasti	1425	174.5214	5.2418	r ɐ sʲ tʲ ɪ
35	dingo	1326	162.3967	5.2106	dʲ ɪ ŋ ɡ oː
36	likti	958	117.3273	5.0694	lʲ ɪ k tʲ ɪ
37	dukra	950	116.3476	5.0658	d u k r a
38	kelis	923	113.0408	5.0532	kʲ æ̌ː lʲ ɪ s
39	namas	801	98.0994	4.9917	n aː m ɐ s
40	deja	798	97.732	4.99	d ɛ j ɐ
41	arti	754	92.3432	4.9654	a r tʲ ɪ  |  ɐ r tʲ ɪ
42	žodis	746	91.3635	4.9608	ʐ oː dʲ ɪ s
43	sistema	669	81.9332	4.9135	sʲ ɪ sʲ tʲ ɛ m ɐ
44	pora	667	81.6882	4.9122	p oː r a
