Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	да	1659699	43226.2102	7.6357	d aː
2	не	1073355	27955.1105	7.4465	n ɛ
3	се	1017570	26502.212	7.4233	s ɛ
4	е	980485	25536.3477	7.4072	ɛ
5	на	736989	19194.5898	7.2832	n a
6	го	717283	18681.3547	7.2714	ɡ ɔ
7	и	662730	17260.5432	7.2371	i
8	што	629468	16394.2474	7.2147	ʃ t ɔ
9	ќе	602943	15703.4142	7.196	c ɛ
10	во	580400	15116.2906	7.1794	v ɔ
11	за	503081	13102.5475	7.1174	z a
12	тоа	475518	12384.68	7.0929	t ɔ a
13	ти	410318	10686.5716	7.0288	t i
14	дека	394008	10261.784	7.0112	d ɛ k a
15	од	368171	9588.8695	6.9818	ɔ t
16	со	351668	9159.0553	6.9619	s ɔ
17	ми	335994	8750.8321	6.942	m i
18	си	311281	8107.1917	6.9089	s i
19	ја	298788	7781.8164	6.8911	j a
20	како	258356	6728.7808	6.8279	k a k ɔ
21	ги	235551	6134.8335	6.7878	ɡ i
22	јас	233350	6077.5093	6.7837	j a s
23	ова	206719	5383.9154	6.7311	ɔ v a
24	сум	200909	5232.5962	6.7187	s u m
25	ме	170983	4453.1852	6.6487	m ɛ
26	добро	168679	4393.1785	6.6428	d ɔ b r ɔ  |  d ɔˑ β̞ r ɔ̩
27	те	167761	4369.2695	6.6404	t ɛ
28	само	164346	4280.3272	6.6315	s a m ɔ
29	ли	155109	4039.7531	6.6064	l i
30	нема	149027	3881.3498	6.589	n ɛ m a
31	но	144051	3751.7519	6.5742	n ɔ
32	ако	143912	3748.1317	6.5738	a k ɔ
33	а	137609	3583.9725	6.5544	a
34	тој	126876	3304.4357	6.5191	t ɔ j
35	треба	119358	3108.6323	6.4926	t r ɛ b a
36	кога	115236	3001.2765	6.4773	k ɔ ɡ a
37	сега	114420	2980.0241	6.4742	s ɛ ɡ a
38	кој	110749	2884.4143	6.4601	k ɔ j
39	многу	109491	2851.6502	6.4551	m n ɔ ɡ u  |  n ɔ ɡ u
40	му	107210	2792.2424	6.446	m u
41	има	104145	2712.4157	6.4334	i m a
42	нешто	103865	2705.1232	6.4322	n ɛ ʃ t ɔ
43	би	102799	2677.3597	6.4277	b i
44	каде	99899	2601.8303	6.4153	k a d ɛ
45	мене	98993	2578.2339	6.4113	m ɛ n ɛ
46	може	97903	2549.8453	6.4065	m ɔ ʒ ɛ
47	дали	94773	2468.3257	6.3924	d a l i
48	тебе	93884	2445.172	6.3883	t ɛ b ɛ
49	тука	88656	2309.0108	6.3634	t u k a
50	така	88296	2299.6347	6.3617	t a k a
51	зошто	87409	2276.5332	6.3573	z ɔ ʃ t ɔ
52	сите	86707	2258.2498	6.3538	s i t ɛ
53	ајде	84445	2199.3369	6.3423	a j d ɛ
54	ред	82357	2144.9558	6.3314	r ɛ t
55	ни	79523	2071.1454	6.3162	n i
56	овде	79042	2058.6179	6.3136	ɔ v d ɛ
57	па	76151	1983.323	6.2974	p a  |  pʰ a
58	биде	74314	1935.479	6.2868	b i d ɛ
59	таа	72371	1884.8743	6.2753	t a a
60	по	72293	1882.8429	6.2748	p ɔ
61	до	69343	1806.0113	6.2567	d ɔ
62	еден	65075	1694.8529	6.2291	ɛ d ɛ n
63	ви	63468	1652.9992	6.2183	v i
64	уште	63000	1640.8103	6.2151	u ʃ t ɛ
65	или	61500	1601.7434	6.2046	i l i
66	време	58992	1536.4235	6.1865	v r ɛ m ɛ
67	некој	58970	1535.8505	6.1863	n ɛ k ɔ j
68	ништо	56829	1480.089	6.1703	n i ʃ t ɔ
69	таму	56296	1466.2073	6.1662	t a m u
70	тие	56102	1461.1546	6.1647	t i j ɛ
71	мора	55399	1442.8453	6.1592	m ɔ ɾ a
72	ама	55150	1436.3601	6.1573	a m a
73	пред	53527	1394.0897	6.1443	p r ɛ t
74	ве	52625	1370.5975	6.1369	v ɛ
75	имам	52499	1367.3159	6.1359	i m a m
76	можеби	52476	1366.7169	6.1357	m ɔ ʒ ɛ b i
77	малку	51446	1339.8909	6.1271	m a ɫ k u
78	ние	51061	1329.8637	6.1238	n i j ɛ
79	молам	50276	1309.4187	6.1171	m ɔ ɫ a m
80	еј	47802	1244.9844	6.0952	ɛ j
81	него	46909	1221.7265	6.087	n ɛ ɡ ɔ
82	навистина	46895	1221.3619	6.0868	n a v i s t i n a
83	колку	46627	1214.3819	6.0844	k ɔ ɫ k u
84	тогаш	44506	1159.1413	6.0641	t ɔ ɡ a ʃ
85	оди	44263	1152.8125	6.0618	ɔ d i
86	работа	44195	1151.0415	6.0611	r a b ɔ t a
87	никогаш	43743	1139.2693	6.0566	n i k ɔ ɡ a ʃ
88	толку	42330	1102.4683	6.0424	t ɔ ɫ k u
89	луѓе	41064	1069.4958	6.0292	ɫ u ɟ ɛ
90	здраво	40642	1058.505	6.0247	z d r a v ɔ
91	вие	40416	1052.6189	6.0223	v i j ɛ
92	им	40341	1050.6655	6.0215	i m
93	кои	39305	1023.6833	6.0102	k ɔ i
94	овој	38483	1002.2747	6.001	ɔ v ɔ j
95	татко	38339	998.5242	5.9994	t a t k ɔ
96	значи	38232	995.7375	5.9981	z n a t͡ʃ i
97	затоа	38028	990.4244	5.9958	z a t ɔ a
98	која	37628	980.0065	5.9912	k ɔ j a
99	благодарам	37157	967.7395	5.9858	b ɫ a ɡ ɔ d a ɾ a m
100	човек	35132	914.9992	5.9614	t͡ʃ ɔ v ɛ k
101	работи	34823	906.9514	5.9576	r a b ɔ t i
102	веќе	34752	905.1022	5.9567	v ɛ c ɛ
103	без	34422	896.5075	5.9526	b ɛ s
104	нас	34070	887.3398	5.9481	n a s
105	години	34036	886.4543	5.9477	ɡ ɔ d i n i
106	оваа	32844	855.4091	5.9322	ɔ v a a
107	нели	32681	851.1638	5.93	n ɛ l i
108	ден	32381	843.3505	5.926	d ɛ n
109	кај	30798	802.1218	5.9042	k a j
110	сака	30207	786.7295	5.8958	s a k a
111	фала	30097	783.8646	5.8942	f a ɫ a
112	направи	29702	773.577	5.8885	n a p r a v i
113	рече	29037	756.2573	5.8787	r ɛ t͡ʃ ɛ
114	додека	28478	741.6984	5.8702	d ɔ d ɛ k a
115	изгледа	28420	740.1878	5.8693	i z ɡ l ɛ d a
116	види	28042	730.3429	5.8635	v i d i
117	пат	27936	727.5822	5.8619	p a t
118	вас	26955	702.0324	5.8464	v a s
119	никој	26804	698.0997	5.8439	n i k ɔ j
120	овие	26343	686.0931	5.8364	ɔ v i j ɛ
121	бидејќи	26189	682.0822	5.8338	b i d ɛ j c i
122	место	26138	680.754	5.833	m ɛ s t ɔ
123	о	25785	671.5602	5.8271	ɔ
124	секогаш	24948	649.7609	5.8128	s ɛ k ɔ ɡ a ʃ
125	дома	24567	639.8379	5.8061	d ɔ m a
126	жал	24514	638.4575	5.8051	ʒ a ɫ
127	добар	24489	637.8064	5.8047	d ɔ b a r
128	нив	24258	631.7901	5.8006	n i f
129	неа	24156	629.1336	5.7987	n ɛ a
130	дојде	23864	621.5285	5.7935	d ɔ j d ɛ
131	мајка	23652	616.0071	5.7896	m a j k a
132	боже	22653	589.9885	5.7708	b ɔ ʒ ɛ
133	живот	22372	582.67	5.7654	ʒ i v ɔ t
134	веднаш	22342	581.8886	5.7648	v ɛ d n a ʃ
135	неколку	22213	578.5289	5.7623	n ɛ k ɔ ɫ k u
136	секој	22191	577.9559	5.7619	s ɛ k ɔ j
137	луѓето	21934	571.2624	5.7568	ɫ u ɟ ɛ t ɔ
138	она	21859	569.3091	5.7553	ɔ n a
139	жена	21762	566.7828	5.7534	ʒ ɛ n a
140	секако	21608	562.7719	5.7503	s ɛ k a k ɔ
141	право	21366	556.4691	5.7454	p r a v ɔ
142	знае	21338	555.7399	5.7449	z n a ɛ
143	исто	20798	541.6758	5.7337	i s t ɔ
144	тато	20624	537.144	5.7301	t a t ɔ
145	еве	20556	535.373	5.7287	ɛ v ɛ
146	сеуште	20182	525.6323	5.7207	s ɛ u ʃ t ɛ
147	сигурно	20162	525.1114	5.7203	s i ɡ u r n ɔ
148	поради	20123	524.0957	5.7194	p ɔ ɾ a d i
149	извини	19861	517.272	5.7137	i z v i n i
150	врати	19850	516.9855	5.7135	v r a t i
151	ох	19796	515.5791	5.7123	ɔ x
152	прави	19620	510.9952	5.7084	p r a v i
153	пари	19610	510.7348	5.7082	p a ɾ i
154	повторно	18467	480.9658	5.6821	p ɔ f t ɔ r n ɔ
155	надвор	17840	464.6358	5.6671	n a d v ɔ r
156	дури	17805	463.7242	5.6663	d u ɾ i
157	доволно	17131	446.1702	5.6495	d ɔ v ɔ ɫ n ɔ
158	помош	17007	442.9407	5.6463	p ɔ m ɔ ʃ
159	три	16858	439.06	5.6425	t r i
160	баш	16814	437.914	5.6414	b a ʃ
161	после	16781	437.0546	5.6405	p ɔ s l ɛ
162	друг	16768	436.716	5.6402	d r u k
163	мој	16708	435.1533	5.6386	m ɔ j
164	син	16548	430.9862	5.6345	s i n
165	убаво	16095	419.188	5.6224	u b a v ɔ
166	под	16019	417.2086	5.6204	p ɔ t
167	име	15896	414.0051	5.617	i m ɛ
167	проблем	15896	414.0051	5.617	p r ɔ b l ɛ m
168	брат	15787	411.1662	5.614	b r a t
169	пак	15384	400.6703	5.6028	p a k
170	зарем	15268	397.6491	5.5995	z a ɾ ɛ m
171	два	15244	397.024	5.5988	d v a
172	супер	15176	395.253	5.5969	s u p ɛ r
173	точно	15154	394.68	5.5962	t ɔ t͡ʃ n ɔ
174	начин	15088	392.961	5.5943	n a t͡ʃ i n
175	денес	14975	390.018	5.5911	d ɛ n ɛ s
176	дел	14843	386.5801	5.5872	d ɛ ɫ
177	г	14787	385.1216	5.5856	ɡ ə
178	сигурен	14561	379.2355	5.5789	s i ɡ u ɾ ɛ n
179	заедно	14523	378.2458	5.5778	z a ɛ d n ɔ
180	низ	14495	377.5166	5.5769	n i s
181	назад	14410	375.3028	5.5744	n a z a t
182	минути	14375	374.3912	5.5733	m i n u t i
183	нека	14307	372.6202	5.5713	n ɛ k a
184	пријател	14171	369.0781	5.5671	p r i j a t ɛ ɫ
185	потоа	14148	368.4791	5.5664	p ɔ t ɔ a
186	врска	13834	360.3011	5.5567	v r̩ s k a
187	дете	13778	358.8426	5.5549	d ɛ t ɛ
188	момче	13773	358.7124	5.5547	m ɔ m t͡ʃ ɛ
189	зашто	13716	357.2278	5.5529	z a ʃ t ɔ
190	ноќ	13635	355.1182	5.5504	n ɔ c
191	деца	13615	354.5973	5.5497	d ɛ t͡s a
192	околу	13405	349.128	5.543	ɔ k ɔ ɫ u
193	внатре	13403	349.0759	5.5429	v n a t r ɛ
194	мртов	13296	346.2891	5.5394	m r̩ t ɔ f
195	утре	13239	344.8046	5.5376	u t r ɛ
196	кое	13212	344.1014	5.5367	k ɔ ɛ
197	страна	13084	340.7677	5.5325	s t r a n a
198	брзо	12925	336.6266	5.5271	b r̩ z ɔ
199	моја	12865	335.0639	5.5251	m ɔ j a
200	всушност	12755	332.199	5.5214	f s u ʃ n ɔ s t
201	себе	12663	329.8029	5.5183	s ɛ b ɛ
202	девојка	12626	328.8392	5.517	d ɛ v ɔ j k a
203	некогаш	12548	326.8077	5.5143	n ɛ k ɔ ɡ a ʃ
204	лошо	12434	323.8387	5.5103	ɫ ɔ ʃ ɔ
205	освен	12129	315.8951	5.4995	ɔ s v ɛ n
206	остави	12037	313.4989	5.4962	ɔ s t a v i
207	имаат	12001	312.5613	5.4949	i m a a t
208	еднаш	11875	309.2797	5.4904	ɛ d n a ʃ
209	сам	11851	308.6547	5.4895	s a m
210	вечерва	11755	306.1544	5.4859	v ɛ t͡ʃ ɛ r v a
211	долго	11637	303.0811	5.4816	d ɔ ɫ ɡ ɔ
212	доаѓа	11354	295.7105	5.4709	d ɔ a ɟ a
213	пријатели	11188	291.3871	5.4645	p r i j a t ɛ l i
214	кого	11174	291.0225	5.4639	k ɔ ɡ ɔ
215	против	11148	290.3453	5.4629	p r ɔ t i f
216	доста	11018	286.9595	5.4578	d ɔ s t a
217	важно	10904	283.9904	5.4533	v a ʒ n ɔ
218	година	10832	282.1152	5.4504	ɡ ɔ d i n a
219	тешко	10822	281.8548	5.45	t ɛ ʃ k ɔ
220	одлично	10798	281.2297	5.4491	ɔ d l i t͡ʃ n ɔ
221	мило	10747	279.9014	5.447	m i ɫ ɔ
222	преку	10504	273.5726	5.4371	p r ɛ k u
223	цел	10451	272.1922	5.4349	t͡s ɛ ɫ
224	голем	10449	272.1401	5.4348	ɡ ɔ l ɛ m
225	даде	10399	270.8379	5.4327	d a d ɛ
226	дена	10347	269.4836	5.4305	d ɛ n a
227	ниту	10168	264.8216	5.423	n i t u
228	јави	10071	262.2952	5.4188	j a v i
229	заврши	10033	261.3056	5.4171	z a v r̩ ʃ i
229	прво	10033	261.3056	5.4171	p r̩ v ɔ
230	момент	10017	260.8888	5.4165	m ɔ m ɛ n t
231	куќа	9928	258.5709	5.4126	k u c a
232	грижи	9880	257.3207	5.4105	ɡ r i ʒ i
233	постои	9715	253.0234	5.4032	p ɔ s t ɔ i
234	разбира	9711	252.9192	5.403	r a z b i ɾ a
235	туку	9707	252.815	5.4028	t u k u
236	двајца	9589	249.7417	5.3975	d v a j t͡s a
237	човеку	9493	247.2415	5.3931	t͡ʃ ɔ v ɛ k u
238	среќа	9375	244.1682	5.3877	s r ɛ c a
239	тип	9355	243.6473	5.3868	t i p
240	каков	9307	242.3972	5.3845	k a k ɔ f
241	случај	9302	242.2669	5.3843	s ɫ u t͡ʃ a j
242	умре	9289	241.9284	5.3837	u m r ɛ
243	најде	9280	241.694	5.3833	n a j d ɛ
244	држи	9268	241.3814	5.3827	d r̩ ʒ i
245	вели	9236	240.548	5.3812	v ɛ l i
246	вака	9188	239.2979	5.3789	v a k a
247	едноставно	9178	239.0374	5.3785	ɛ d n ɔ s t a v n ɔ
248	човекот	9061	235.9902	5.3729	t͡ʃ ɔ v ɛ k ɔ t
249	вечер	9049	235.6777	5.3723	v ɛ t͡ʃ ɛ r
250	вика	9039	235.4172	5.3718	v i k a
251	долу	9025	235.0526	5.3712	d ɔ ɫ u
252	барем	9020	234.9224	5.3709	b a ɾ ɛ m
253	свет	8989	234.115	5.3694	s v ɛ t
254	пушти	8940	232.8388	5.3671	p u ʃ t i
255	долари	8933	232.6565	5.3667	d ɔ ɫ a ɾ i
256	мисли	8915	232.1877	5.3658	m i s l i
257	пати	8853	230.5729	5.3628	p a t i
258	сепак	8731	227.3955	5.3568	s ɛ p a k
259	ќерка	8618	224.4524	5.3511	c ɛ r k a
260	горе	8536	222.3168	5.347	ɡ ɔ ɾ ɛ
261	соба	8507	221.5615	5.3455	s ɔ b a
262	семејство	8479	220.8322	5.3441	s ɛ m ɛ j s t v ɔ
263	каже	8458	220.2853	5.343	k a ʒ ɛ
264	шанса	8421	219.3216	5.3411	ʃ a n s a
265	вистина	8419	219.2696	5.341	v i s t i n a
265	среќен	8419	219.2696	5.341	s r ɛ c ɛ n
266	земја	8404	218.8789	5.3402	z ɛ m j a
267	број	8395	218.6445	5.3397	b r ɔ j
268	вода	8390	218.5143	5.3395	v ɔ d a
269	човече	8387	218.4361	5.3393	t͡ʃ ɔ v ɛ t͡ʃ ɛ
270	бог	8386	218.4101	5.3393	b ɔ k
271	откако	8381	218.2799	5.339	ɔ t k a k ɔ
272	зборува	8367	217.9152	5.3383	z b ɔ ɾ u v a
273	крв	8328	216.8995	5.3363	k r̩ f
274	прв	8327	216.8735	5.3362	p r̩ f
275	оној	8287	215.8317	5.3341	ɔ n ɔ j
276	крај	8228	214.295	5.331	k r a j
277	убие	8211	213.8523	5.3301	u b i j ɛ
278	нов	8123	211.5604	5.3254	n ɔ f
279	срце	8075	210.3102	5.3229	s r̩ t͡s ɛ
280	игра	8022	208.9298	5.32	i ɡ r a
281	ало	7913	206.091	5.3141	a ɫ ɔ
282	полека	7857	204.6325	5.311	p ɔ l ɛ k a
283	маж	7790	202.8875	5.3073	m a ʃ
284	зар	7698	200.4914	5.3021	z a r
285	жив	7688	200.2309	5.3015	ʒ i f
286	недела	7680	200.0226	5.3011	n ɛ d ɛ ɫ a
287	гајле	7585	197.5484	5.2957	ɡ a j l ɛ
288	проблеми	7553	196.7149	5.2938	p r ɔ b l ɛ m i
289	вистински	7493	195.1522	5.2904	v i s t i n s k i
290	прашање	7449	194.0063	5.2878	p r a ʃ a ɲ ɛ
291	сестра	7407	192.9124	5.2854	s ɛ s t r a
292	меѓу	7402	192.7822	5.2851	m ɛ ɟ u
293	пет	7387	192.3915	5.2842	p ɛ t
294	оружје	7377	192.1311	5.2836	ɔ ɾ u ʒ j ɛ
295	лесно	7366	191.8446	5.2829	l ɛ s n ɔ
296	биле	7360	191.6883	5.2826	b i l ɛ
297	чудно	7352	191.48	5.2821	t͡ʃ u d n ɔ
298	воопшто	7218	187.99	5.2741	v ɔ ɔ p ʃ t ɔ
299	сем	7208	187.7295	5.2735	s ɛ m
300	збор	7204	187.6254	5.2733	z b ɔ r
301	идеја	7156	186.3752	5.2704	i d ɛ j a
302	кола	7062	183.927	5.2646	k ɔ ɫ a
303	децата	7050	183.6145	5.2639	d ɛ t͡s a t a
303	одовде	7050	183.6145	5.2639	ɔ d ɔ v d ɛ
304	наскоро	7046	183.5103	5.2637	n a s k ɔ ɾ ɔ
305	утро	7045	183.4843	5.2636	u t r ɔ
306	покрај	7015	182.7029	5.2617	p ɔ k r a j
307	веројатно	7013	182.6508	5.2616	v ɛ r ɔ j a t n ɔ  |  v ɛ ɾ ɔ j a t n ɔ
308	причина	6973	181.6091	5.2591	p r i t͡ʃ i n a
309	месеци	6961	181.2965	5.2584	m ɛ s ɛ t͡s i
310	затвор	6934	180.5933	5.2567	z a t v ɔ r
311	мал	6920	180.2287	5.2558	m a ɫ
312	отвори	6893	179.5255	5.2541	ɔ t v ɔ ɾ i
313	звучи	6845	178.2753	5.2511	z v u t͡ʃ i
314	отколку	6830	177.8847	5.2501	ɔ t k ɔ ɫ k u
315	стави	6808	177.3117	5.2487	s t a v i
316	заради	6776	176.4783	5.2467	z a ɾ a d i
317	љубов	6725	175.15	5.2434	ʎ u b ɔ f
318	прекрасно	6670	173.7175	5.2398	p r ɛ k r a s n ɔ
319	некаде	6655	173.3269	5.2389	n ɛ k a d ɛ
320	час	6648	173.1446	5.2384	t͡ʃ a s
321	мама	6637	172.8581	5.2377	m a m a
322	град	6630	172.6758	5.2372	ɡ r a t
323	помогне	6627	172.5976	5.237	p ɔ m ɔ ɡ n ɛ
324	другар	6591	171.66	5.2347	d r u ɡ a r
325	рака	6578	171.3214	5.2338	r a k a
326	зад	6545	170.462	5.2316	z a t
327	готово	6528	170.0192	5.2305	ɡ ɔ t ɔ v ɔ
328	избор	6515	169.6806	5.2296	i z b ɔ r
329	војна	6496	169.1858	5.2284	v ɔ j n a
330	чао	6490	169.0295	5.228	t͡ʃ a ɔ
331	очи	6406	166.8418	5.2223	ɔ t͡ʃ i
332	продолжи	6358	165.5916	5.219	p r ɔ d ɔ ɫ ʒ i
333	живее	6347	165.3051	5.2183	ʒ i v ɛ ɛ
333	некого	6347	165.3051	5.2183	n ɛ k ɔ ɡ ɔ
334	приказна	6281	163.5862	5.2137	p r i k a z n a
335	смрт	6257	162.9611	5.2121	s m r̩ t
336	бара	6210	161.737	5.2088	b a ɾ a
