Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	saya	582004	33729.8182	7.528	s a j a
2	yang	391612	22695.723	7.3559	i a ŋ
3	aku	326804	18939.8003	7.2774	a k u
4	awak	274825	15927.3773	7.2021	a w a ʔ
5	dia	269112	15596.2826	7.193	d i a
6	kau	249649	14468.3119	7.1604	k a u̯
7	tak	232891	13497.1084	7.1302	t a ʔ
8	ini	231576	13420.8981	7.1278	i n i
9	di	227416	13179.8069	7.1199	d i
10	dan	223326	12942.7725	7.112	d a n
11	akan	217358	12596.8994	7.1003	a k a n
12	tidak	201748	11692.2278	7.0679	t i d a ʔ
13	apa	199582	11566.6981	7.0632	a p a  |  a p ə
14	itu	193809	11232.1261	7.0505	i t u
15	kamu	186096	10785.1222	7.0328	k a m u
16	untuk	165621	9598.5014	6.9822	u n t o ʔ  |  u n t ʊ ʔ
17	ada	139654	8093.5939	6.9081	a d a  |  a d ə
18	mereka	129823	7523.8421	6.8764	m ə r e k a  |  m ə r e k ə
19	boleh	129635	7512.9466	6.8758	b o l e h
20	dengan	122837	7118.9711	6.8524	d ə ŋ a n
21	anda	117577	6814.1299	6.8334	a n d a
22	tahu	105830	6133.337	6.7877	t a h u
23	kami	96526	5594.1273	6.7477	k a m i
24	ya	93107	5395.9804	6.7321	j a
25	dalam	80873	4686.9636	6.6709	d a l a m
26	sini	78444	4546.1919	6.6576	s i n i
27	semua	77059	4465.9247	6.6499	s ə m u a  |  s ə m u ə
28	tapi	73114	4237.2938	6.6271	t a p i
29	orang	71753	4158.4176	6.6189	o r a ŋ
30	adalah	69213	4011.2128	6.6033	a d a l a h  |  a d ə l a h
31	ia	65802	3813.5296	6.5813	i a
32	lagi	60850	3526.5384	6.5473	l a ɡ i
33	jadi	59758	3463.2519	6.5395	d ʒ a d i
34	jangan	56415	3269.5097	6.5145	d͡ʒ a ŋ a n
35	dah	55275	3203.4414	6.5056	d a h
36	buat	54987	3186.7505	6.5033	b u a t
37	bukan	54042	3131.9834	6.4958	b u ʔ k a n
38	sudah	51739	2998.5139	6.4769	s u d a h
39	baik	48613	2817.3477	6.4498	b a i k
40	seperti	48162	2791.2102	6.4458	s ə p ə r t i
41	jika	48044	2784.3716	6.4447	d͡ʒ i k a  |  d͡ʒ i k ə
42	mana	47549	2755.684	6.4402	m a n a  |  m a n ə
43	satu	44642	2587.21	6.4128	s a t u
44	telah	43951	2547.1633	6.4061	t ə l a h
45	lebih	42600	2468.8666	6.3925	l ə b i h
46	hanya	40714	2359.5642	6.3728	h a ɲ a  |  h a ɲ ə
47	datang	39756	2304.0437	6.3625	d a t a ŋ
48	ayah	38519	2232.3538	6.3488	a j a h
49	siapa	37603	2179.2674	6.3383	s i a p a
50	kenapa	37323	2163.0401	6.3351	k ə n a p a
51	sangat	36157	2095.465	6.3213	s a ŋ a t
52	dapat	34815	2017.69	6.3049	d a p a t
53	juga	32706	1895.4637	6.2777	d͡ʒ u ɡ a  |  d͡ʒ u ɡ a ʔ  |  d͡ʒ u ɡ ə
54	masa	32436	1879.8159	6.2741	m a s a  |  m a s ə
55	kasih	32233	1868.0511	6.2714	k a s i h
56	kalau	31064	1800.3022	6.2553	k a l a u̯
57	mari	29504	1709.893	6.233	m a r i
58	tuan	29459	1707.285	6.2323	t u a n
59	ni	29458	1707.2271	6.2323	n i
60	atau	29024	1682.0748	6.2258	a t a u̯
61	sana	28998	1680.568	6.2255	s a n a  |  s a n ə
62	tu	28609	1658.0236	6.2196	t u
63	masih	27796	1610.9065	6.2071	m a s i h
64	mati	27145	1573.178	6.1968	m a t i
65	cakap	26334	1526.1769	6.1836	t͡ʃ a k a p
66	betul	26237	1520.5553	6.182	b ə t u l
67	kerana	25951	1503.9802	6.1772	k ə r a n a  |  k ə r a n ə
68	lain	25808	1495.6927	6.1748	l a i n
69	keluar	25501	1477.9007	6.1696	k ə l u ä r
70	banyak	25420	1473.2063	6.1683	b a ɲ a k
71	tempat	25254	1463.5859	6.1654	t ə m p a t
72	dengar	25074	1453.154	6.1623	d ə ŋ a r
73	begitu	24774	1435.7677	6.1571	b ə ɡ i t u
74	tentang	24149	1399.546	6.146	t ə n t a ŋ
75	beritahu	24053	1393.9824	6.1443	b ə r i t a h u
76	hidup	23212	1345.2425	6.1288	h i d o p  |  h i d ʊ p
77	bagus	23081	1337.6505	6.1263	b a ɡ o s  |  b a ɡ u s  |  b a ɡ ʊ s
78	anak	23022	1334.2312	6.1252	a n a ʔ
79	diri	22735	1317.5982	6.1198	d i r i
80	lihat	22127	1282.3618	6.108	l i h a t
81	lelaki	21202	1228.7538	6.0895	l ə l a k i
82	baru	21077	1221.5094	6.0869	b a r u
83	tolong	21054	1220.1765	6.0864	t o l o ŋ
84	pun	20571	1192.1844	6.0763	p o n  |  p ʊ n
85	cuma	20530	1189.8083	6.0755	t͡ʃ u m a  |  t͡ʃ u m ə
86	masuk	20267	1174.5662	6.0699	m a s o ʔ  |  m a s ʊ ʔ
87	okey	20001	1159.1503	6.0641	o k e
88	sedang	19912	1153.9923	6.0622	s ə d a ŋ
89	malam	19819	1148.6025	6.0602	m a l a m
90	berada	18710	1084.3309	6.0352	b ə r a d a  |  b ə r a d ə
91	rumah	18612	1078.6513	6.0329	r u m a h
92	tetapi	18188	1054.0786	6.0229	t ə t a p i
93	sama	17952	1040.4013	6.0172	s a m a
