Rank	Bigram	Frequency	Frequency per million	Zipf value
1	്$	569271	37000.3456	7.5682
2	ന്	458947	29829.7254	7.4746
3	ക്	391928	25473.7576	7.4061
4	്ക	338196	21981.3918	7.3421
5	ം$	250485	16280.5264	7.2117
6	്ന	243998	15858.8973	7.2003
7	െ$	226358	14712.3676	7.1677
8	ത്	224725	14606.2291	7.1645
9	്ട	184841	12013.9281	7.0797
10	^ന	182872	11885.951	7.075
11	^അ	177855	11559.866	7.063
12	ല്	175537	11409.2052	7.0573
13	^പ	172574	11216.622	7.0499
14	്ത	170273	11067.0662	7.044
15	^ക	165945	10785.7635	7.0329
16	ണ്	161201	10477.4224	7.0203
17	നി	154214	10023.2952	7.001
18	ു$	142740	9277.531	6.9674
19	ിക	142687	9274.0862	6.9673
20	ട്	136422	8866.8861	6.9478
21	^എ	135243	8790.2558	6.944
22	ില	134726	8756.6529	6.9423
23	^വ	128654	8361.9971	6.9223
24	്ല	122144	7938.8731	6.8998
25	ങ്	119501	7767.0886	6.8903
26	ും	116135	7548.312	6.8778
27	കു	108473	7050.3126	6.8482
28	്റ	106299	6909.0112	6.8394
29	ിന	104483	6790.9785	6.8319
30	രു	98034	6371.8192	6.8043
31	ുന	97186	6316.7026	6.8005
32	നു	97077	6309.618	6.8
33	എന	95972	6237.7974	6.795
34	തി	95146	6184.1107	6.7913
35	ി$	94633	6150.7677	6.7889
36	യി	94076	6114.565	6.7864
37	പ്	93219	6058.8634	6.7824
38	്ങ	92226	5994.3223	6.7777
39	^മ	90480	5880.8393	6.7694
40	ിയ	88216	5733.6883	6.7584
41	ള്	87213	5668.4973	6.7535
42	ാണ	86093	5595.7018	6.7479
43	കാ	84935	5520.4364	6.742
44	ാന	83623	5435.1616	6.7352
45	^ഇ	83250	5410.9181	6.7333
46	്പ	81917	5324.2784	6.7263
47	ച്	80238	5215.1501	6.7173
48	യാ	76714	4986.1042	6.6978
49	^സ	75875	4931.5725	6.693
50	്ച	73084	4750.1686	6.6767
51	രി	72824	4733.2697	6.6752
52	വി	71142	4623.9464	6.665
53	ര്	71139	4623.7514	6.665
54	്യ	69761	4534.1869	6.6565
55	ടെ	69390	4510.0734	6.6542
56	^ത	68985	4483.75	6.6516
57	്ര	68927	4479.9802	6.6513
58	ായ	67804	4406.9897	6.6441
59	നെ	66448	4318.8551	6.6354
60	മാ	65098	4231.1105	6.6265
61	ടി	64457	4189.448	6.6222
62	ിട	64286	4178.3337	6.621
63	പോ	63969	4157.73	6.6189
64	ോ$	61580	4002.4545	6.6023
65	സ്	61484	3996.2149	6.6016
66	ടു	59368	3858.6833	6.5864
67	ുക	58575	3807.1415	6.5806
68	റ്	58544	3805.1266	6.5804
69	^ഞ	58192	3782.248	6.5778
70	^ആ	57483	3736.1658	6.5724
71	ല$	56585	3677.7994	6.5656
72	യു	54563	3546.3775	6.5498
73	ിര	54196	3522.5239	6.5469
74	^ഒ	52717	3426.3948	6.5348
75	താ	50904	3308.5571	6.5196
76	റെ	50861	3305.7622	6.5193
77	അവ	50707	3295.7529	6.518
78	ഞാ	50669	3293.283	6.5176
79	റി	49850	3240.0513	6.5106
80	കി	49826	3238.4914	6.5103
81	ങള	49577	3222.3074	6.5082
82	െയ	49512	3218.0826	6.5076
83	ിച	48933	3180.4499	6.5025
84	ാര	47860	3110.7092	6.4929
85	അത	47359	3078.1462	6.4883
86	^ച	47354	3077.8212	6.4882
87	ുട	43199	2807.7628	6.4484
88	വര	43181	2806.5929	6.4482
89	െന	42082	2735.1622	6.437
90	തു	41943	2726.1278	6.4355
91	ാ$	41811	2717.5483	6.4342
92	നാ	41638	2706.304	6.4324
93	യ്	41554	2700.8443	6.4315
94	ലാ	38565	2506.5713	6.3991
95	തെ	37044	2407.7123	6.3816
96	മു	36185	2351.8807	6.3714
97	പറ	36097	2346.1611	6.3704
98	ിങ	36068	2344.2762	6.37
99	ഒര	35861	2330.822	6.3675
100	ൻ$	35371	2298.974	6.3615
101	നത	35234	2290.0695	6.3598
102	ുത	34947	2271.4157	6.3563
103	മ്	34496	2242.1025	6.3507
104	േ$	33335	2166.6421	6.3358
105	്മ	32653	2122.3148	6.3268
106	ുമ	31937	2075.7777	6.3172
107	കള	31397	2040.6798	6.3098
108	ാം	30816	2002.9172	6.3017
109	മി	30455	1979.4536	6.2965
110	കൊ	30244	1965.7394	6.2935
111	ുണ	30205	1963.2046	6.293
112	പി	29670	1928.4317	6.2852
113	വന	29412	1911.6627	6.2814
114	രാ	29350	1907.633	6.2805
115	്ഷ	28880	1877.0849	6.2735
116	ഞ്	28809	1872.4702	6.2724
117	^ഉ	28012	1820.6683	6.2602
118	നീ	27950	1816.6386	6.2593
119	ോക	27881	1812.1539	6.2582
120	ടാ	27644	1796.7498	6.2545
121	്ള	27634	1796.0998	6.2543
122	ൽ$	27454	1784.4006	6.2515
123	ാത	27244	1770.7514	6.2482
124	ാൻ	27052	1758.2722	6.2451
125	ചെ	26973	1753.1375	6.2438
126	വാ	26737	1737.7984	6.24
127	ഇത	26259	1706.7303	6.2322
128	ാക	25891	1682.8118	6.226
129	ലു	25846	1679.887	6.2253
130	ളു	25574	1662.208	6.2207
131	കൂ	24670	1603.4517	6.2051
132	്ഞ	24625	1600.5268	6.2043
133	ലെ	24446	1588.8925	6.2011
134	^ശ	24426	1587.5926	6.2007
135	നോ	23781	1545.6702	6.1891
136	കണ	23621	1535.2708	6.1862
137	െട	23458	1524.6765	6.1832
138	നമ	23407	1521.3617	6.1822
139	ൾ$	23355	1517.9819	6.1813
140	വേ	23310	1515.0571	6.1804
141	ോട	23156	1505.0477	6.1776
142	ീ$	23150	1504.6577	6.1774
143	ളി	23001	1494.9733	6.1746
144	ണം	22670	1473.4596	6.1683
145	ചു	22538	1464.8802	6.1658
146	ുറ	21810	1417.5631	6.1515
147	ൂ$	21716	1411.4534	6.1497
148	ിൽ	21615	1404.8888	6.1476
149	സി	21521	1398.7792	6.1457
150	രെ	20962	1362.4464	6.1343
151	ദ്	20719	1346.6524	6.1293
152	ാല	20454	1329.4285	6.1237
153	ലേ	20037	1302.3251	6.1147
154	^ജ	20006	1300.3102	6.114
155	ളെ	19898	1293.2907	6.1117
156	ലി	19716	1281.4614	6.1077
157	യ$	19693	1279.9665	6.1072
158	ചി	19649	1277.1067	6.1062
159	ാവ	19349	1257.6079	6.0995
160	്സ	19303	1254.618	6.0985
161	^ബ	19238	1250.3933	6.097
162	ുള	18873	1226.6698	6.0887
163	േണ	18523	1203.9212	6.0806
164	പെ	18453	1199.3714	6.079
165	്വ	18288	1188.6471	6.0751
166	െങ	17711	1151.1444	6.0611
167	സാ	17555	1141.005	6.0573
168	ാള	16965	1102.6574	6.0424
169	ഴി	16856	1095.5728	6.0396
170	ൂട	16841	1094.5979	6.0393
171	തന	16780	1090.6331	6.0377
172	കെ	16665	1083.1586	6.0347
173	വു	16587	1078.0889	6.0327
174	^ര	16492	1071.9143	6.0302
175	കയ	16398	1065.8046	6.0277
176	ശ്	16379	1064.5697	6.0272
177	ോള	16080	1045.1359	6.0192
178	ോല	15987	1039.0913	6.0167
179	റു	15739	1022.9723	6.0099
180	റയ	15449	1004.1234	6.0018
181	യത	15439	1003.4735	6.0015
182	വള	15421	1002.3035	6.001
183	യം	15407	1001.3936	6.0006
184	തോ	15212	988.7194	5.9951
185	ലോ	15188	987.1595	5.9944
186	പാ	15104	981.6998	5.992
187	ിപ	15008	975.4602	5.9892
188	യെ	14630	950.8917	5.9781
189	^ദ	14616	949.9817	5.9777
190	ഇവ	14547	945.497	5.9757
191	^ഹ	14510	943.0922	5.9746
192	്ദ	14478	941.0123	5.9736
193	ിത	14418	937.1125	5.9718
194	ുവ	14295	929.118	5.9681
195	പക	14247	925.9982	5.9666
196	േക	14202	923.0734	5.9652
197	ൊണ	13979	908.5793	5.9584
198	^ഈ	13721	891.8103	5.9503
199	വെ	13504	877.7062	5.9433
200	കര	13417	872.0515	5.9405
