Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	ഞാൻ	14391	8144.7733	6.9109	ɲ äː n
2	ഈ	12828	7260.1732	6.8609	iː
3	ആ	10485	5934.1219	6.7734	ɑː
4	നല്ല	4048	2291.0182	6.36	n̪ ɐ lː ɐ
5	നിങ്ങൾ	3938	2228.7622	6.3481	n̪ i ŋː ɐ ɭ
6	പക്ഷേ	3843	2174.9958	6.3375	p ɐ k ʂ e
7	ഒന്ന്	2715	1536.5895	6.1866	o n̪ː ɨ̆
8	ഓ	2171	1228.7056	6.0894	oː
9	അവർ	1896	1073.0658	6.0306	ɐ ʋ ɐ r
10	കുറച്ച്	1879	1063.4445	6.0267	k u r ɐ t͡ː ʃ ɨ̆
11	പേര്	1820	1030.0526	6.0129	p eː ɾ ɨ̆
12	ജോലി	1649	933.273	5.97	d͡ʒ oː l i
13	സമയം	1562	884.0342	5.9465	s ɐ m ɐ j ɐ m
14	പറ്റി	1499	848.3785	5.9286	p ɐ tː i
15	ദിവസം	1398	791.2163	5.8983	d̪ i ʋ ɐ s ɐ m
16	ഞങ്ങൾ	1375	778.1991	5.8911	ɲ ɐ ŋː ɐ ɭ
17	രാത്രി	1301	736.3178	5.8671	ɾ äː t̪ r i
18	വഴി	1233	697.8324	5.8438	ʋ ɐ ɻ i
19	പുതിയ	1158	655.3851	5.8165	p u d̪ i j ɐ
20	നല്ലത്	1150	650.8574	5.8135	n̪ ɐ lː ɐ d̪ ɨ̆
21	രണ്ട്	1144	647.4617	5.8112	ɾ ɐ ɳ ɖ ɨ̆
22	എന്നാൽ	938	530.8733	5.725	e nː äː l  |  e n̪ː äː l
23	ചെറിയ	934	528.6094	5.7231	t͡ʃ e r i j ɐ
24	ദൈവം	919	520.12	5.7161	d̪ e i ʋ ɐ m
25	അമ്മ	917	518.9881	5.7152	ä mː ɐ
26	ചില	878	496.9155	5.6963	t͡ʃ i l ɐ
27	നാം	855	483.8984	5.6848	n̪ äː m
28	ഭക്ഷണം	717	405.7955	5.6083	bʱ ɐ k ʂ ɐ ɳ ɐ m
29	കൈ	711	402.3997	5.6047	k ɐ j
30	മൂന്ന്	663	375.2335	5.5743	m uː n̪ː ɨ̆
31	പഴയ	656	371.2717	5.5697	p ɐ ɻ ɐ j ɐ
32	പണി	597	337.8799	5.5288	p ɐ ɳ i
33	താഴെ	574	324.8628	5.5117	t̪ äː ɻ e
34	അവസാനം	569	322.0329	5.5079	ɐ ʋ ɐ s äː n ɐ m
34	വീട്	569	322.0329	5.5079	ʋ iː ɖ ɨ̆
35	കഴിഞ്ഞ	565	319.7691	5.5048	k ɐ ɻ i ɲː ɐ
36	വെള്ളം	560	316.9393	5.501	ʋ e ɭː ɐ m
37	കൂടുതൽ	542	306.7519	5.4868	k uː ɖ u d̪ ɐ l
38	ശബ്ദം	530	299.9604	5.4771	ʃ ɐ b d̪ ɐ m
39	കഥ	446	252.4195	5.4021	k ɐ t̪ʰ ɐ
40	സ്വാഗതം	439	248.4578	5.3953	s ʋ ɐː ɡ ɐ d̪ ɐ m
41	തല	403	228.0831	5.3581	t̪ ɐ l ɐ
42	തമാശ	385	217.8957	5.3382	t̪ ɐ m äː ʃ ɐ
43	മുഖം	381	215.6319	5.3337	m u kʰ ɐ m
44	തോക്ക്	379	214.5	5.3314	t̪ oː kː ɨ̆
45	അങ്ങ്	351	198.653	5.2981	ɐ ŋː ɨ̆
46	നേരം	343	194.1253	5.2881	n̪ eː ɾ ɐ m
47	നാല്	330	186.7678	5.2713	n̪ ɐː l ɨ̆
48	വില	323	182.806	5.262	ʋ i l ɐ
49	അച്ഛൻ	310	175.4485	5.2441	ɐ tː ʃʰ ɐ n
50	പൈസ	303	171.4868	5.2342	p ɐ j s ɐ
51	വർഷം	292	165.2612	5.2182	ʋ ɐ r ʂ ɐ m
52	അഞ്ച്	283	160.1675	5.2046	ɐ ɲ d͡ʒ ɨ̆
53	ശക്തി	278	157.3377	5.1968	ʃ ɐ k t̪ i
54	വണ്ടി	276	156.2058	5.1937	ʋ ɐ ɳ ɖ i
55	രക്തം	268	151.6781	5.1809	ɾ ɐ k t̪ ɐ m
56	പല	265	149.9802	5.176	p ɐ l ɐ
57	ഇവര്	250	141.4907	5.1507	i ʋ ɐ ɾ ɨ̆
58	കഴിഞ്ഞ്	238	134.6992	5.1294	k ɐ ɻ i ɲː ɨ̆
59	ശെരി	236	133.5673	5.1257	ʃ e ɾ i
60	കൊച്ചു	227	128.4736	5.1088	k o t͡ː ʃ u
61	സുഹൃത്ത്	225	127.3417	5.105	s u h r t̪ː ɨ̆
62	സുഖം	221	125.0778	5.0972	s u kʰ ɐ m
