Rank	Bigram	Frequency	Frequency per million	Zipf value
1	r$	11113974	32868.0476	7.5168
2	e$	10805870	31956.8724	7.5046
3	^d	8970063	26527.726	7.4237
4	er	8907200	26341.8174	7.4206
5	t$	8708005	25752.7256	7.4108
6	n$	7775248	22994.2252	7.3616
7	en	7539206	22296.1635	7.3482
8	de	7169278	21202.1524	7.3264
9	g$	6289243	18599.5701	7.2695
10	^s	6229949	18424.2162	7.2654
11	^h	6135787	18145.7451	7.2588
12	et	5763069	17043.4829	7.2316
13	^e	4566990	13506.244	7.1305
14	eg	4436454	13120.2018	7.1179
15	^m	4048805	11973.7832	7.0782
16	^v	3853588	11396.4558	7.0568
17	re	3803749	11249.0638	7.0511
18	te	3795724	11225.331	7.0502
19	je	3760594	11121.4389	7.0462
20	^f	3467674	10255.1683	7.0109
21	^j	3435967	10161.3992	7.007
22	an	3280739	9702.3338	6.9869
23	ke	3240627	9583.7081	6.9815
24	^i	3194753	9448.042	6.9753
25	å$	3141564	9290.7429	6.9681
26	or	3061065	9052.6782	6.9568
27	ne	3059488	9048.0144	6.9566
28	me	2985641	8829.6221	6.9459
29	i$	2911514	8610.4017	6.935
30	ar	2878883	8513.9	6.9301
31	^t	2859245	8455.8233	6.9272
32	a$	2848745	8424.771	6.9256
33	ha	2525793	7469.685	6.8733
34	^k	2469740	7303.9159	6.8636
35	^b	2466751	7295.0764	6.863
36	kk	2458293	7270.063	6.8615
37	^o	2456012	7263.3173	6.8611
38	le	2449471	7243.9732	6.86
39	in	2390070	7068.3029	6.8493
40	^a	2268582	6709.0189	6.8267
41	vi	2256018	6671.8626	6.8242
42	l$	2251158	6657.4898	6.8233
43	ik	2211980	6541.6262	6.8157
44	il	2150441	6359.6331	6.8034
45	du	2118035	6263.7968	6.7968
46	u$	2084304	6164.042	6.7899
47	m$	2079863	6150.9084	6.7889
48	el	2014916	5958.8366	6.7752
49	st	2006781	5934.7785	6.7734
50	^g	2002429	5921.908	6.7725
51	ve	1973861	5837.4221	6.7662
52	tt	1955614	5783.4591	6.7622
53	se	1854591	5484.6975	6.7392
54	om	1826936	5402.9116	6.7326
55	sk	1819802	5381.8138	6.7309
56	^p	1793794	5304.8987	6.7247
57	^n	1789645	5292.6286	6.7237
58	li	1773722	5245.5386	6.7198
59	nn	1763981	5216.7309	6.7174
60	ti	1746791	5165.8938	6.7131
61	d$	1734268	5128.8588	6.71
62	ge	1688057	4992.1961	6.6983
63	s$	1657850	4902.8631	6.6904
64	fo	1626289	4809.5258	6.6821
65	al	1570884	4645.6731	6.667
66	ng	1568881	4639.7495	6.6665
67	^l	1530198	4525.3499	6.6557
68	ka	1465894	4335.1796	6.637
69	ll	1458988	4314.7561	6.635
70	va	1442656	4266.4564	6.6301
71	hv	1434110	4241.1828	6.6275
72	ed	1320462	3905.0845	6.5916
73	he	1319531	3902.3312	6.5913
74	at	1220417	3609.2152	6.5574
75	ra	1178412	3484.9912	6.5422
76	es	1151713	3406.0326	6.5322
77	ig	1141909	3377.0386	6.5285
78	og	1140228	3372.0673	6.5279
79	k$	1124626	3325.9265	6.5219
80	is	1049284	3103.1129	6.4918
81	rt	1015308	3002.6336	6.4775
82	ta	996656	2947.4729	6.4694
83	la	984781	2912.3542	6.4642
84	ør	983126	2907.4598	6.4635
85	ri	940816	2782.3338	6.4444
86	^å	937514	2772.5685	6.4429
87	nt	922906	2729.3674	6.4361
88	nd	916476	2710.3516	6.433
89	ei	882191	2608.9584	6.4165
90	^r	880087	2602.7361	6.4154
91	it	878069	2596.7681	6.4144
92	på	853482	2524.0555	6.4021
93	si	842854	2492.6246	6.3967
94	un	839885	2483.8442	6.3951
95	ns	838081	2478.5091	6.3942
96	be	824482	2438.292	6.3871
97	ak	821428	2429.2602	6.3855
98	ko	820889	2427.6662	6.3852
99	tr	812092	2401.6503	6.3805
100	so	809780	2394.8128	6.3793
101	^u	781181	2310.2352	6.3637
102	am	773335	2287.0318	6.3593
103	di	769949	2277.0181	6.3574
104	gj	762078	2253.7407	6.3529
105	pe	752967	2226.7962	6.3477
106	mi	743931	2200.0735	6.3424
107	em	738211	2183.1574	6.3391
108	da	736990	2179.5464	6.3384
109	år	731677	2163.834	6.3352
110	dr	731436	2163.1212	6.3351
111	ro	718554	2125.0245	6.3274
112	så	713226	2109.2677	6.3241
113	ma	709954	2099.5912	6.3221
114	av	703394	2080.1909	6.3181
115	mm	702509	2077.5736	6.3176
116	ba	697973	2064.159	6.3147
117	sa	687034	2031.8084	6.3079
118	ss	683854	2022.404	6.3059
119	ut	680402	2012.1952	6.3037
120	no	674132	1993.6526	6.2996
121	rd	670081	1981.6723	6.297
122	on	653330	1932.1335	6.286
123	v$	637768	1886.111	6.2756
124	ol	612382	1811.0354	6.2579
125	ld	598427	1769.7654	6.2479
126	to	583787	1726.4697	6.2372
127	kj	568657	1681.7248	6.2258
128	bl	566764	1676.1265	6.2243
129	ær	550101	1626.848	6.2113
130	vo	549728	1625.7449	6.2111
131	pp	546774	1617.0088	6.2087
132	lt	544459	1610.1625	6.2069
133	rs	536193	1585.717	6.2002
134	jo	529486	1565.8819	6.1948
135	id	521059	1540.9602	6.1878
136	oe	512397	1515.3436	6.1805
137	na	510082	1508.4973	6.1785
138	kt	508867	1504.9041	6.1775
139	jø	505555	1495.1093	6.1747
140	as	496863	1469.4039	6.1671
141	ie	492138	1455.4304	6.163
142	ek	490002	1449.1134	6.1611
143	ag	480084	1419.7823	6.1522
144	ja	477420	1411.9039	6.1498
145	fr	453886	1342.3053	6.1279
146	hu	449098	1328.1455	6.1232
147	fa	437393	1293.5296	6.1118
148	o$	435160	1286.9258	6.1096
149	op	426279	1260.6614	6.1006
150	br	424159	1254.3918	6.0984
151	ir	420906	1244.7715	6.0951
152	nå	413693	1223.4401	6.0876
153	må	406909	1203.3773	6.0804
154	ok	398194	1177.6039	6.071
155	ni	397083	1174.3183	6.0698
156	ga	388256	1148.2137	6.06
157	os	388113	1147.7907	6.0599
158	p$	387469	1145.8862	6.0591
159	dd	386028	1141.6246	6.0575
160	ul	383755	1134.9026	6.055
161	fi	377762	1117.1791	6.0481
162	ku	370629	1096.0842	6.0398
163	y$	368673	1090.2996	6.0375
164	sp	366914	1085.0976	6.0355
165	mo	366446	1083.7136	6.0349
166	sl	359994	1064.6327	6.0272
167	lo	350962	1037.9218	6.0162
168	fe	346794	1025.5955	6.011
169	væ	346078	1023.478	6.0101
170	pr	343172	1014.8839	6.0064
171	ad	342788	1013.7483	6.0059
172	us	341494	1009.9215	6.0043
173	od	340115	1005.8433	6.0025
174	ls	335302	991.6095	5.9963
175	pa	331363	979.9604	5.9912
176	ho	326602	965.8804	5.9849
177	kl	320252	947.1012	5.9764
178	gå	317361	938.5515	5.9725
179	gr	317243	938.2025	5.9723
180	fø	311050	919.8875	5.9637
