Rank	Word	Frequency	Frequency per million	Zipf value	IPA
1	jeg	2582508	38688.6174	7.5876	j æ ɪ̯
2	det	2483081	37199.099	7.5705	d eː  |  d ə
3	er	2319191	34743.8588	7.5409	æ ɾ  |  æː ɾ
4	du	2028649	30391.2418	7.4827	d ʉː
5	ikke	1467626	21986.5421	7.3422	² ɪ kː ə
6	en	1003505	15033.5337	7.1771	eː n  |  ə n
7	og	983354	14731.651	7.1683	ɔ
8	i	919997	13782.4982	7.1393	iː
9	har	913107	13679.279	7.1361	h ɑː ɾ
10	vi	853007	12778.9193	7.1065	ʋ iː
11	på	821518	12307.1818	7.0902	p oː  |  p ɔ
12	å	796229	11928.3267	7.0766	ɔ  |  ɔː
13	til	718764	10767.8216	7.0321	t ɪ l
14	deg	669527	10030.2008	7.0013	d æ j
15	med	647897	9706.1613	6.987	m eː
16	meg	631951	9467.2738	6.9762	m æ ɪ̯
17	han	629836	9435.589	6.9748	h a n
18	hva	621326	9308.1005	6.9689	k ɑ  |  v ɑ  |  v ɑː  |  ʋ ɑː
19	for	618385	9264.0413	6.9668	f ɔ  |  f ɔ rː
20	som	564662	8459.2156	6.9273	s ɔ m
21	at	545658	8174.5162	6.9125	a t
22	så	531165	7957.3962	6.9008	s ɔː
23	de	504610	7559.5751	6.8785	d iː
24	den	486438	7287.3399	6.8626	d ə n  |  d ɛ n
25	var	460329	6896.2003	6.8386	ʋ ɑː ɾ
26	vil	422794	6333.8876	6.8017	ʋ ɪ l
27	av	419416	6283.2817	6.7982	ɑː  |  ɑː ʋ
28	om	410488	6149.5311	6.7888	ɔ m
29	et	327294	4903.1997	6.6905	eː t  |  ɛ t
30	ja	318744	4775.1119	6.679	j ɑː
31	her	296837	4446.9226	6.6481	h æː r
32	dere	279705	4190.2676	6.6222	d eː ɾ ə
33	hun	273737	4100.8609	6.6129	h ʉ n
34	noe	271535	4067.8727	6.6094	n uː ə
35	nei	269163	4032.3377	6.6056	n æ ɪ
36	ham	233708	3501.1854	6.5442	h ɑ m  |  h ɑː m
37	kom	216996	3250.8225	6.512	k ɔ m
38	oss	201507	3018.7814	6.4798	ɔ sː
39	fra	182940	2740.6287	6.4379	f r ɑː
40	være	174581	2615.4024	6.4175	ʋ æː ɾ ə
41	noen	169483	2539.0291	6.4047	n uː e n
42	der	165994	2486.7603	6.3956	d æː r
43	dem	165337	2476.9178	6.3939	d ɛ m
44	se	157983	2366.7473	6.3742	s eː
45	ta	153106	2293.6848	6.3605	tʰ ɑː
46	bra	124512	1865.3174	6.2708	b ɾ ɑː
47	takk	120962	1812.1348	6.2582	t a k
48	henne	120702	1808.2397	6.2573	h ɛ nː ə
49	gå	120059	1798.6069	6.2549	ɡ oː
50	bli	116437	1744.3456	6.2416	b l i
51	la	112579	1686.5488	6.227	l a
52	si	112509	1685.5002	6.2267	s iː
53	hvem	111417	1669.1409	6.2225	v ɛ m
54	inn	105932	1586.97	6.2006	ɪ n
55	to	85214	1276.5931	6.1061	t uː
56	vært	78508	1176.1303	6.0705	ʋ ɛ r t
57	man	75640	1133.1647	6.0543	m ɑ n  |  m ɑː n
58	gi	75329	1128.5056	6.0525	j iː
59	god	74871	1121.6443	6.0499	ɡ uː
60	mye	74470	1115.6369	6.0475	² m yː ə
61	mitt	71702	1074.1695	6.0311	m ɪ tː
62	dag	67066	1004.7174	6.002	d ɑː ɡ
63	enn	66291	993.1071	5.997	ɛ nː
64	vær	62763	940.2541	5.9732	v æː ɾ
65	mot	57673	864.0007	5.9365	m uː t
66	år	57114	855.6263	5.9323	ɔː ɾ
67	snakke	52657	788.8558	5.897	s n ɑ kː ɛ
68	ved	52013	779.2081	5.8917	ʋ eː
69	mann	51235	767.5528	5.8851	m ɑ nː
70	rett	49670	744.1075	5.8716	ɾ ɛ t
71	mange	48027	719.4937	5.857	m ɑ ŋ ə
72	tre	44898	672.6181	5.8278	t ɾ eː
73	veldig	42382	634.9258	5.8027	v ɛ l d i
74	ingenting	40213	602.432	5.7799	² ɪ ŋː ɛ n t ɪ ŋ
75	morgen	38344	574.4324	5.7592	m ɔː r ə n
76	vite	37609	563.4214	5.7508	ʋ iː t ɛ
77	akkurat	37567	562.7922	5.7503	ɑ kː ʉ ɾ ɑː t
78	kveld	36628	548.725	5.7394	k ʋ ɛ lː
79	slik	36241	542.9273	5.7347	s l iː k
80	snakker	36190	542.1633	5.7341	s n ɑ kː e r
81	skjer	36006	539.4068	5.7319	ʃ eː ɾ
82	snill	32663	489.3252	5.6896	s n ɪ lː
83	feil	32580	488.0818	5.6885	f æ ɪ l
84	hør	29876	447.5731	5.6509	h øː r
85	mamma	29643	444.0825	5.6475	m a m a
86	under	29551	442.7043	5.6461	ʉ n d ə r
87	barn	28241	423.0791	5.6264	b ɑː ɳ
88	penger	27737	415.5287	5.6186	p e ŋː e r
89	redd	26662	399.4241	5.6014	ɾ ɛ dː
90	først	24502	367.0651	5.5647	f œ r s t
91	stor	23976	359.1851	5.5553	s t uː ɾ
92	gjennom	23927	358.451	5.5544	j ɛ n ɔ m
93	glad	23163	347.0055	5.5403	ɡ l ɑː  |  ɡ ɽ ɑː
94	annen	22561	337.9869	5.5289	ɑ n ə n  |  ɑː ɑ n  |  ɑː ə n
95	lei	22446	336.2641	5.5267	l æ ɪ̯
96	gjerne	22167	332.0844	5.5212	j ɛ r n ə
97	fem	21276	318.7363	5.5034	f ɛ m
98	jævla	20116	301.3583	5.4791	j æː v l ɑ
99	dager	19719	295.4108	5.4704	d ɑː ɡ ə r
100	sitt	19446	291.321	5.4644	s ɪ tː
101	gutt	18831	282.1077	5.4504	ɡ ʉ tː
102	ett	18366	275.1415	5.4396	ɛ tː
103	fire	18176	272.2951	5.435	f iː ɾ ə
104	fort	18033	270.1528	5.4316	f u ʈ
105	sine	16834	252.1906	5.4017	s iː n e
106	gode	16770	251.2318	5.4001	ɡ uː ə
107	hyggelig	16746	250.8722	5.3995	h ʏ ɡ l̩ ɪ
108	måte	16559	248.0708	5.3946	m ôː t e
109	allerede	15496	232.146	5.3658	ɑ l ə r eː d ɛ
110	jente	14282	213.959	5.3303	² j ɛ n t ə
111	sønn	13990	209.5845	5.3214	s œ n
112	kvinne	13884	207.9966	5.3181	² k ʋ ɪ n ə
113	mennesker	13837	207.2924	5.3166	m ɛ nː ə s k ə r
114	velkommen	13663	204.6857	5.3111	v ɛ l k o m ə n
115	spise	13204	197.8095	5.2962	s p iː s ə
116	full	12352	185.0456	5.2673	f ʉ l
117	hus	11290	169.1358	5.2282	h ʉː s
118	selvfølgelig	11117	166.5441	5.2215	s ɛ l f œ lː ɡ ə l iː
119	vann	10930	163.7426	5.2142	ʋ ɑ nː
120	våpen	10725	160.6715	5.2059	ʋ oː p n̩  |  ʋ oː p ə n
121	fri	10677	159.9524	5.204	f ɾ iː
122	foran	10213	153.0012	5.1847	f ɔ ɾ ɑ n
123	an	10096	151.2484	5.1797	ɑː n
124	hvert	10095	151.2334	5.1796	ʋ æ ʈ
125	bil	10066	150.799	5.1784	b iː l
126	fly	10028	150.2297	5.1768	f l yː
127	laget	9615	144.0426	5.1585	l ɑː ɡ ə  |  l ɑː ɡ ə t
128	legge	9473	141.9153	5.152	l ê ɡ e
129	lære	9122	136.6569	5.1356	l æː r e
130	tide	9108	136.4472	5.135	t iː d
131	lager	8738	130.9042	5.117	l ɑː ɡ ə r
132	lov	8701	130.3499	5.1151	l oː ʋ
133	aner	8581	128.5522	5.1091	ɑː n ə r
134	kjærlighet	8522	127.6683	5.1061	ç æː ɭ ɪ h eː t
135	lykke	8428	126.2601	5.1013	l y k e
136	herre	8279	124.0279	5.0935	h ê ɾ e
137	forstå	8143	121.9905	5.0863	f ɔ r s t oː
138	land	8051	120.6122	5.0814	l ɑ nː
139	følge	7884	118.1104	5.0723	f ø l ɡ e
140	kaffe	7647	114.5599	5.059	k ɑ fː ə
141	nummer	7597	113.8108	5.0562	n ʉ m ə r
142	krig	7450	111.6086	5.0477	k ɾ iː ɡ
143	prate	7312	109.5413	5.0396	p r ɑː t ɛ
144	ansiktet	7216	108.1031	5.0338	ɑ n s ɪ k t ə
145	ofte	7106	106.4552	5.0272	ɔ f t ə
146	datter	7094	106.2754	5.0264	d ɑ̂ t e ɾ
147	ung	7090	106.2155	5.0262	ʊ ŋ
148	absolutt	6750	101.1219	5.0048	a b s ʊ l ʉ t  |  ɑ p s ʊ l ʉ t
149	kort	6622	99.2043	4.9965	k ɔ ʈ
150	spill	6366	95.3692	4.9794	s p ɪ l
151	by	6350	95.1295	4.9783	b yː
152	sjekk	6323	94.725	4.9765	ʂ ɛ k
153	person	6216	93.1221	4.9691	p æ r s uː n
154	svart	6060	90.785	4.958	s ʋ ɑ ʈ
155	menneske	6054	90.6951	4.9576	m ɛ nː ə s k ə
156	dyr	5868	87.9087	4.944	d yː r
157	kult	5866	87.8787	4.9439	k ʉ l t
158	bord	5860	87.7888	4.9434	b o r d  |  b uː ɽ  |  b uː ɾ
159	bilde	5805	86.9649	4.9393	b ɪ l d ə
160	skål	5770	86.4405	4.9367	s k ɒː l  |  s k ɒː ɽ
161	lærer	5468	81.9162	4.9134	l æː r ə r
162	øl	5444	81.5567	4.9115	œ l
163	hjerte	5300	79.3994	4.8998	¹ j ɛ r t ɛ
164	ligge	5269	78.935	4.8973	l î ɡ e
165	lege	5250	78.6504	4.8957	l eː ɡʲ ə
166	blant	5075	76.0287	4.881	b l a n t
167	kjempe	4993	74.8003	4.8739	ç ɛ m p ə
168	bilder	4895	73.3321	4.8653	b ɪ l d ə r
169	lag	4784	71.6692	4.8553	l ɑː ɡ
170	bildet	4772	71.4895	4.8542	b ɪ l d ə
171	hund	4474	67.0251	4.8262	h ʉ nː
172	mål	4463	66.8603	4.8252	m oː l
173	ordentlig	4363	65.3622	4.8153	o r d e n t l i
174	skip	4306	64.5083	4.8096	ʃ iː p
175	jul	4199	62.9053	4.7987	j ʉː l  |  j ʉː ɽ
176	london	4188	62.7405	4.7975	l ɔ n d ɔ n
177	drøm	4168	62.4409	4.7955	d r ø m
178	våpenet	4072	61.0027	4.7853	ʋ oː p n̩ ə  |  ʋ oː p ə n ə
179	lest	4049	60.6582	4.7829	l eː s t  |  l ɛ s t
180	blå	4028	60.3436	4.7806	b l oː  |  b ɽ oː
181	bok	3915	58.6507	4.7683	b uː k
182	altfor	3796	56.868	4.7549	ɑ l t f ɔ r
183	målet	3790	56.7781	4.7542	m oː l ə
184	menneskene	3750	56.1788	4.7496	m ɛ nː ə s k ə n ə
185	kyss	3702	55.4598	4.744	ç ʏ s
186	bank	3624	54.2912	4.7347	b ɑ ŋ k
187	ansikt	3593	53.8268	4.731	ɑ n s ɪ k t
188	brev	3571	53.4972	4.7283	b r eː ʋ
189	åpen	3468	51.9542	4.7156	oː p e n
190	b	3456	51.7744	4.7141	b  |  b eː
191	te	3454	51.7445	4.7139	t eː
192	kjenne	3445	51.6096	4.7127	ç ɛ nː ə
193	vin	3397	50.8905	4.7066	ʋ iː n
194	ende	3372	50.516	4.7034	ɛ n d ə  |  ɛ nː ə
195	greie	3333	49.9318	4.6984	ɡ r ɛ i ə
196	sang	3324	49.7969	4.6972	s a ŋ
197	våpnene	3292	49.3175	4.693	ʋ oː p n ə n ə
198	hest	3099	46.4262	4.6668	h eː s t  |  h ɛ s t
199	bildene	3070	45.9917	4.6627	b ɪ l d n̩ ə
200	form	3049	45.6771	4.6597	f ɔ r m
201	ender	3043	45.5873	4.6588	ɛ n d ə r  |  ɛ nː ə r
202	rød	2991	44.8082	4.6514	ɾ øː
203	vill	2940	44.0442	4.6439	ʋ ɪ lː
204	kule	2912	43.6247	4.6397	k ʉː l ə
205	øya	2880	43.1454	4.6349	² œ ʏ̯ ɑ  |  œ ʏ̯ ɑ
206	lyve	2877	43.1004	4.6345	l ŷː ʋ e
207	frihet	2708	40.5686	4.6082	f r iː h eː t
208	and	2674	40.0593	4.6027	ɑ n d  |  ɑ nː
209	politimann	2658	39.8196	4.6001	p u l t ɪ m ɑ n  |  p u l ɪ t iː m ɑ n
210	våken	2656	39.7896	4.5998	ʋ ôː k e n
211	kjøtt	2636	39.49	4.5965	ç œ t
212	jepp	2541	38.0668	4.5805	j ɛ p
213	skjule	2525	37.8271	4.5778	² ʃ uː ɽ ə  |  ² ʃ ʉː l ə
214	smil	2521	37.7672	4.5771	s m iː l
215	ferie	2491	37.3177	4.5719	f eː r j ə
216	skole	2446	36.6436	4.564	s k uː l ə
217	kysse	2415	36.1792	4.5585	ç ʏ s ə
218	modig	2372	35.535	4.5507	m uː d i
219	egg	2356	35.2953	4.5477	ɛ ɡ
220	slem	2345	35.1305	4.5457	ʃ l e m
221	c	2301	34.4713	4.5375	k  |  k a r b uː n  |  k ʊ l ɔ m b  |  s  |  s a ŋ t iː m  |  s eː  |  s iː  |  s yː k ə l  |  s ɛ l s ɪ ʉ s  |  s ɛ n t  |  s ɛ n t ɑː ʋ ʊ  |  s ɛ n t ɪ  |  t ʃ  |  ʃ
222	jord	2300	34.4564	4.5373	j uː r
223	kjærligheten	2296	34.3964	4.5365	ç æː ɭ ɪ h eː t n̩
224	kilo	2278	34.1268	4.5331	ç iː l u
225	anelse	2249	33.6923	4.5275	ɑː n ə l s ə
226	kul	2210	33.1081	4.5199	k ʉː l
227	bringe	2189	32.7935	4.5158	b r i n ɡ ə
228	fatter	2153	32.2541	4.5086	f a tː ə r
229	søvn	2148	32.1792	4.5076	s ø v n
230	mareritt	2121	31.7748	4.5021	m âː r e r i t
231	ante	2100	31.4602	4.4978	ɑː n t ə
232	fransk	2051	30.7261	4.4875	f r a n s k
233	mars	2041	30.5763	4.4854	m ɑ r s
234	kniv	2037	30.5163	4.4845	k n iː ʋ
235	angripe	2011	30.1268	4.479	ɑ n ɡ ɾ iː p ə
235	penny	2011	30.1268	4.479	p ɛ n n ɪ
236	årsak	1979	29.6474	4.472	ôː ɾ s ɑː k
237	kjekk	1918	28.7336	4.4584	ç ɛ kː
238	d	1829	27.4003	4.4378	d eː
239	fjellet	1813	27.1606	4.4339	f j ɛ l ə
240	fremmed	1792	26.846	4.4289	f ɾ ê m e d
241	biter	1789	26.8011	4.4282	b iː t ə r  |  ² b iː t ə r
242	stil	1782	26.6962	4.4264	s t iː l
243	tekst	1770	26.5164	4.4235	t ɛ k s t
244	tosk	1749	26.2018	4.4183	t o s k
245	tap	1742	26.0969	4.4166	t ɑː p
